	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_19	Rbp4_tdTpositive_cell_116	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_35	Scnn1a.Tg3_tdTpositive_cell_37	Ntsr1_tdTpos_100cell_1
Spock2	3.13	14.87	0.28	0.31	27.9	0.85	36.26	0.24	0.22	0.96	0.26	0.14	6.77	0.0	18.18	13.75	37.91	131.14	17.99
Srp54b	50.84	88.09	19.65	116.9	160.0	25.78	7.63	7.39	5.52	4.83	97.96	16.01	33.54	183.14	26.64	156.42	277.92	285.55	157.94
St8sia3	11.19	98.86	76.83	154.31	99.11	39.24	194.0	59.29	140.0	116.87	0.37	0.0	122.61	79.71	77.64	108.33	92.65	188.24	61.01
Tbx22	0.0	0.0	0.02	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.06	0.0	0.44	0.0
Thyn1	119.73	75.81	12.57	63.16	76.64	375.43	136.64	181.5	317.24	257.79	241.89	0.0	0.0	40.88	154.29	0.65	71.19	312.95	127.02
Tiprl	0.16	151.57	0.35	68.39	247.46	80.08	0.56	2.59	76.68	16.82	59.19	0.0	6.31	5.25	51.65	113.22	55.86	262.17	82.84
Tmem168	0.0	0.03	81.87	0.0	65.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	0.0	0.0	0.13	0.12	162.71	11.12
Tmem97	0.0	70.56	0.08	127.79	317.94	0.0	0.0	158.25	0.3	70.05	694.83	0.0	0.0	0.73	71.43	344.18	0.0	529.48	52.7
Tnfrsf1b	0.0	0.0	0.0	0.02	0.1	0.25	0.0	0.05	0.09	0.13	0.15	0.0	0.26	0.0	0.0	0.09	0.14	0.89	0.06
Tnfsf15	0.17	0.02	0.03	0.13	0.23	0.0	0.22	0.0	0.07	0.14	0.09	0.0	0.0	0.0	0.07	0.12	0.27	0.55	0.03
Ttc30b	0.0	0.0	0.0	0.0	0.0	0.0	25.02	0.0	0.0	107.28	0.12	0.0	0.0	0.0	0.0	0.28	0.0	211.62	55.11
Tut1	0.56	9.09	0.22	0.0	0.0	0.0	2.07	33.14	0.0	15.03	0.65	0.0	0.0	0.0	0.04	2.9	115.59	158.25	35.8
Twf2	0.0	107.09	186.01	0.0	14.42	0.0	0.0	190.53	0.0	0.0	236.72	0.0	0.0	0.0	164.93	92.99	0.0	193.53	14.26
Txndc12	169.54	99.32	118.17	231.34	67.82	182.02	204.22	50.16	115.87	0.0	0.79	0.45	4.98	279.8	0.0	621.66	99.57	427.58	56.94
Txndc9	37.52	40.34	62.65	60.7	68.51	44.52	45.77	50.86	4.09	130.75	90.57	0.36	32.16	0.61	32.48	65.16	42.48	89.83	69.16
Uap1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.73	1.25
Ubn2	17.33	31.8	2.24	6.06	2.79	0.32	43.98	3.7	0.15	4.45	2.9	0.18	22.86	20.65	17.64	42.75	2.77	119.07	13.55
Usp10	0.0	59.42	0.12	37.11	17.81	0.17	2.28	7.08	0.12	9.19	93.0	0.0	8.49	2.04	67.34	6.13	0.0	193.75	44.29
Vps18	0.0	0.0	0.02	18.18	0.0	0.0	0.0	0.14	0.0	0.0	0.08	0.0	0.0	21.13	10.55	0.0	0.0	216.96	5.92
Wdr83	0.0	20.29	0.0	0.0	90.26	178.41	0.0	111.59	0.0	225.93	0.0	0.0	6.53	0.0	0.0	0.1	0.0	206.0	40.75
Zc3h7a	0.0	0.37	122.48	0.0	118.63	0.0	52.84	2.14	0.42	79.19	0.04	0.0	34.14	0.0	0.21	47.83	110.69	161.32	26.13
Zfp622	0.0	0.0	3.47	0.0	0.0	37.08	6.9	6.38	0.0	0.0	6.97	0.0	0.0	0.0	0.0	16.43	0.0	31.29	6.49
Zfp646	0.0	0.0	0.0	0.0	0.08	0.0	0.0	21.7	0.0	0.0	0.13	0.0	0.0	0.0	1.05	0.0	0.0	76.74	1.54
Zzef1	1.62	2.07	21.25	20.23	30.03	0.05	0.0	0.05	0.0	0.04	28.46	0.0	7.18	0.0	5.87	13.96	2.48	59.47	2.53
c10_tRNA-Ala-GCA	0.0	0.0	2.82	0.0	0.0	0.0	0.0	9.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.61	0.0
