	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_73	Rbp4_tdTpositive_cell_51
Ldhb	8970.97	2593.67	10118.08	10894.4	10165.1	11261.44	10004.69	2872.48	13571.31	12546.17	11010.48	10182.84	7844.79	11746.38
Leprotl1	0.0	0.13	15.43	27.39	27.15	24.11	27.1	186.64	63.53	50.47	5.85	12.25	61.12	61.54
Macf1	0.9	0.0	11.39	27.26	10.4	13.37	6.72	33.94	12.44	33.85	9.31	12.94	69.83	3.11
Mir466i	0.0	0.0	0.0	29.38	31.45	5.43	4.23	43.69	4.01	13.28	8.22	13.63	89.62	1.1
Mlf2	17.01	0.0	6.15	6.87	30.79	125.99	105.8	143.92	45.75	39.55	30.98	43.62	128.18	38.38
Nbea	3.28	0.0	5.89	5.39	47.25	18.0	22.85	54.07	9.35	8.29	23.83	14.05	58.85	10.9
Ngfrap1	78.25	0.0	206.1	112.65	232.97	153.07	429.46	878.95	208.96	290.37	435.22	236.11	541.24	297.39
Ogdhl	0.07	0.0	0.0	0.0	5.44	0.0	8.15	27.72	0.16	0.0	1.09	1.7	20.31	5.33
Optc	0.0	0.0	0.0	0.0	0.0	0.12	0.03	0.67	0.17	0.25	0.35	0.0	0.25	0.0
P4ha3	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.47	0.11	0.87	0.0	0.19	0.7	0.23
Phf20l1	0.0	0.0	0.0	0.0	18.94	41.79	12.73	55.45	5.72	9.43	6.07	2.27	30.71	3.66
Pik3c2a	5.19	0.0	0.03	1.71	11.73	1.16	31.54	32.13	2.75	1.32	14.1	6.47	26.13	17.59
Pold4	0.0	0.0	0.0	0.0	3.71	0.0	0.0	111.15	35.29	35.98	0.0	33.09	47.94	3.33
Ppp4r1	0.0	0.0	0.0	0.13	1.87	36.77	33.34	53.54	27.98	24.37	20.32	9.29	45.12	0.05
Rab8b	21.61	0.0	0.06	19.51	0.87	20.26	1.29	44.82	6.87	56.65	1.1	39.72	39.25	3.75
Rnf20	26.44	0.0	0.0	0.0	0.0	3.11	4.03	41.88	21.22	33.18	4.72	13.48	46.79	9.71
Rnft1	0.0	0.0	0.0	16.45	0.0	37.11	39.74	47.55	27.26	24.03	0.12	3.03	146.19	0.73
Ryr2	1.86	0.02	0.01	0.05	4.7	0.37	2.33	25.13	4.76	0.64	4.38	4.88	5.37	0.01
Sim1	0.03	0.0	0.0	0.0	0.0	0.06	0.0	0.17	0.11	0.0	0.07	0.06	0.09	0.0
Slc19a2	0.0	0.0	0.0	29.51	29.89	0.0	0.17	65.28	4.68	1.38	0.0	0.25	46.8	0.05
Slc38a1	3.19	0.0	96.42	84.72	88.01	183.79	93.64	183.61	85.14	126.95	93.98	82.85	171.03	132.13
Snord116	0.0	0.0	0.0	8.69	0.0	3.39	5.67	8.97	7.64	3.68	9.68	0.0	11.1	1.69
Snord116l1	0.0	0.0	0.0	8.69	0.0	3.39	5.67	8.97	7.64	3.68	9.68	0.0	11.1	1.69
Snord116l2	0.0	0.0	0.0	8.69	0.0	3.39	5.67	8.97	7.64	3.68	9.68	0.0	11.1	1.69
Tmem178	0.0	0.0	0.0	0.0	25.6	14.8	3.3	93.01	13.61	4.88	7.41	33.2	79.17	47.73
Trank1	0.0	0.0	0.02	19.45	3.89	12.56	3.93	14.59	1.2	11.31	0.2	17.08	49.43	2.55
Uba3	126.79	0.0	153.01	170.1	319.51	495.3	387.16	475.28	433.52	329.49	201.68	356.63	430.98	153.69
Vash1	0.0	0.0	10.81	0.0	0.0	0.0	9.0	23.54	0.0	0.0	0.02	0.21	23.14	6.45
Vegfa	0.1	0.0	1.32	5.44	6.88	1.01	0.0	47.23	21.23	5.89	1.03	1.53	14.59	0.0
Vmn1r58	37.86	0.0	0.3	60.82	72.88	109.04	98.24	125.75	44.41	72.97	77.37	90.79	108.87	98.29
Zfp60	0.0	0.0	61.51	31.21	3.1	0.0	0.16	109.02	38.17	4.89	95.84	0.23	139.34	45.5
Zfp617	0.61	0.0	0.18	2.67	0.71	117.02	116.8	121.64	1.57	1.01	74.17	1.41	134.88	5.46
Zyg11b	25.08	0.95	25.75	40.05	13.68	34.65	37.55	56.61	19.85	8.65	17.24	15.54	57.81	24.13
c17_tRNA-Ala-GCY_	0.0	0.0	0.0	0.0	0.0	16.6	35.84	74.43	11.33	0.0	0.0	24.53	27.99	0.0
