	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_12	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_69	Rbp4_tdTpositive_cell_47	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Car11	0.0	37.01	2.35	1.78	2.28	68.39	0.0	0.0	2.21	69.65	0.0	0.0	0.0	102.25	0.0	5.45	12.64	6.04	0.37	0.33	32.93	0.0	16.27	59.23	15.84	7.13	0.0	0.0	0.0	2.1	0.0	0.0	0.0	34.27	214.47	236.01	224.75
Ccno	0.0	0.0	0.0	0.0	0.0	23.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96	3.29	2.95
Cdh24	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.45	10.94	11.28
Cdkl3	0.0	0.0	0.0	0.0	0.0	7.38	0.05	0.0	0.0	0.0	0.0	0.0	0.0	2.33	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	5.34	0.07	2.27	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.67	7.93	7.93
Clec2d	0.0	0.0	0.31	0.0	0.88	12.46	0.09	0.0	0.0	0.0	4.19	0.0	0.0	0.0	0.0	0.33	0.0	1.1	0.0	0.79	0.0	0.26	0.0	0.29	1.17	0.69	1.43	0.0	0.2	0.0	0.0	0.0	0.0	0.86	4.7	3.97	5.04
Clstn1	60.35	35.39	78.3	111.63	6.66	51.41	3.27	3.26	15.72	178.74	21.58	0.0	27.46	0.19	0.24	28.24	58.85	21.28	67.9	152.73	131.76	0.0	30.97	46.68	47.83	50.34	74.49	0.0	6.79	33.28	28.93	3.65	20.27	36.38	777.34	797.87	800.57
Cpeb3	0.0	0.62	3.34	0.0	9.06	23.11	2.34	0.48	0.0	1.17	0.0	0.0	43.23	0.04	0.0	1.05	0.66	0.0	2.59	3.98	27.62	0.0	3.52	6.71	2.0	2.02	1.32	0.05	0.0	0.0	0.0	0.0	0.0	16.26	37.98	38.31	37.55
Cryga	0.0	75.79	0.0	0.0	0.0	145.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.95	1.04
Cyp11a1	0.0	0.0	0.0	0.0	0.0	120.58	0.0	0.0	0.0	98.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	3.95	7.26	9.9	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.64	4.49	5.61
D11Wsu47e	0.0	0.0	0.0	0.0	0.0	54.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.04	0.0	2.07	0.0	0.0	0.0	0.0	0.0	12.39	0.0	0.0	10.91	9.64	10.24
D19Wsu162e	0.39	34.66	0.54	0.19	0.28	50.69	0.17	0.04	0.0	0.1	0.0	0.42	1.3	3.74	0.21	0.14	0.07	0.18	0.2	0.48	1.59	0.0	6.3	0.5	1.05	3.65	0.13	0.0	0.0	0.41	0.0	0.0	11.65	0.18	23.74	24.64	23.55
Ddx54	0.0	0.0	0.0	0.0	0.08	58.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	5.07	0.08	2.78	0.0	0.0	0.0	5.28	1.4	1.04	1.58	0.0	0.0	0.0	11.6	0.0	0.0	0.0	0.0	28.29	33.01	31.66
Defb1	0.0	0.0	0.0	0.82	0.0	211.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.21	0.11
Dhx57	1.1	0.49	0.97	0.0	0.65	5.19	0.0	21.21	0.0	25.05	0.0	0.0	0.05	25.73	1.23	1.32	0.0	0.0	0.21	0.0	0.0	0.0	3.45	1.91	2.71	2.77	0.58	0.0	0.63	0.0	0.0	0.0	0.0	1.76	29.97	28.8	29.34
Dlx3	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.04	0.04
Dmc1	0.0	0.0	0.0	0.0	0.0	39.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.8	1.92	0.0	0.0	0.0	14.94	0.0	0.0	0.0	1.22	0.98	0.61
Dnajc13	5.91	10.04	34.46	29.08	36.49	3.85	0.81	0.36	0.0	17.62	0.0	39.23	0.21	13.01	3.28	18.47	0.05	2.22	28.18	0.0	0.0	4.63	7.04	0.05	6.35	4.72	0.0	0.0	31.0	3.68	0.0	10.48	1.57	4.12	30.45	26.54	30.2
Dnm1	1.44	73.76	40.51	28.32	71.93	62.47	32.34	15.88	42.26	63.14	65.82	7.38	3.74	29.39	10.14	45.19	22.62	31.91	21.05	5.1	35.14	13.53	38.1	30.63	26.56	27.18	40.19	118.95	1.01	7.62	58.04	24.6	106.47	13.95	785.48	840.55	821.55
Epn2	66.96	17.47	0.26	0.17	2.89	48.08	2.39	8.08	47.75	0.04	0.08	0.0	0.06	3.34	0.0	25.61	0.0	1.08	0.0	0.0	0.0	0.0	11.13	15.0	26.92	23.53	0.0	0.33	97.98	2.61	3.53	16.63	1.36	0.0	84.72	82.38	86.14
Flot2	4.2	53.39	0.0	1.1	6.66	57.2	27.5	0.24	5.32	1.53	0.0	7.92	56.72	0.0	0.31	0.3	0.0	2.9	34.56	0.18	0.0	0.17	17.42	41.4	32.48	26.91	2.97	0.0	10.06	0.68	0.0	153.99	3.32	1.15	98.88	102.37	104.94
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gdf15	0.0	0.0	0.0	0.0	0.0	5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.1
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gm10413	0.0	0.0	0.0	0.4	0.0	7.41	20.56	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.4	0.16
Gm10421	0.0	0.0	0.0	0.0	0.0	9.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18	1.94	3.87
Gm14431	2.06	0.9	2.88	2.26	0.99	3.6	0.49	2.91	0.13	0.0	0.0	0.21	1.02	0.09	0.48	0.0	2.71	0.0	0.11	0.53	1.11	0.7	0.71	0.72	0.9	1.65	2.13	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Gm16517	1.47	0.0	0.0	0.0	20.51	36.73	4.99	0.58	0.0	0.0	0.0	0.0	0.0	11.31	0.0	0.72	0.0	0.0	0.0	10.64	0.0	0.0	1.45	6.31	4.2	5.54	2.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.43	90.05	84.9
Gm16897	0.0	0.0	0.0	0.0	0.0	34.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	6.44	0.0	0.19	0.0	0.0	0.42	1.38	0.71	1.98	0.0	0.0	7.53	1.67	0.0	0.0	0.0	0.0	1.95	1.53	2.09
Gm3985	0.0	0.0	0.0	0.0	0.0	2.6	0.0	0.0	122.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04	2.18	2.6
Gm5458	0.0	0.0	0.0	0.41	0.0	3.29	8.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	1.22	0.23
Gm5797	0.0	0.63	0.39	0.0	0.0	3.3	8.86	0.33	0.0	2.15	0.0	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.28	0.67
Gm8898	2.06	0.9	2.88	2.26	0.99	3.6	0.49	2.91	0.13	0.0	0.0	0.21	1.02	0.09	0.48	0.0	2.71	0.0	0.11	0.53	1.11	0.7	0.71	0.72	0.9	1.65	2.13	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Has2	0.0	0.0	0.0	0.0	0.0	0.07	0.5	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.24	0.19
Hhla1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2be	0.0	0.0	0.0	0.0	0.0	38.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.72	0.17	0.0	0.0	0.0	0.0	0.24	0.0	1.62	0.0	0.88	4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16	2.9	2.39
Hist1h2bj	0.0	0.0	0.0	0.0	0.0	29.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.68	0.93
Hist1h2bq	0.0	0.13	0.0	0.0	0.08	0.18	0.15	0.15	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.31	0.07	0.0	0.11	0.53	0.0	0.07	0.0	0.28	0.0	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.13	0.0	0.0	0.08	0.18	0.15	0.15	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.31	0.07	0.0	0.11	0.53	0.0	0.07	0.0	0.28	0.0	0.0	0.0	0.0	0.38	0.28	0.38
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hscb	28.73	0.0	61.96	0.0	5.9	23.54	45.71	33.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.01	0.0	0.0	0.0	0.0	0.0	8.13	25.69	9.93	5.47	0.42	202.31	0.0	0.0	0.0	0.0	0.0	0.0	11.04	12.67	11.14
Hvcn1	0.0	0.0	1.96	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	1.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.68	11.36	10.25
Ifi35	0.0	0.0	0.28	0.0	0.0	193.24	39.08	41.23	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46	3.74	3.11
Ifi44	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.48	0.77
Ifitm1	0.0	0.0	0.0	0.0	0.0	57.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66	6.52	4.15
Il17d	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.15	24.29	19.67
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Invs	4.82	0.77	0.04	0.91	1.03	11.63	1.28	0.05	0.43	0.35	0.0	0.0	0.0	0.12	0.0	0.04	3.27	1.39	0.0	0.6	0.31	0.0	0.52	0.38	2.09	0.61	0.19	0.0	0.0	0.05	0.0	0.16	0.0	0.04	7.81	7.46	8.44
Itgad	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.18	0.14
Kat2a	0.0	0.8	24.42	0.0	27.77	82.74	1.21	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.09	0.0	0.0	41.09	0.0	0.0	0.19	0.0	7.3	6.66	12.18	11.14	19.46	0.0	0.0	0.0	0.0	0.0	0.0	19.04	57.33	61.26	58.57
Krt73	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.84	2.04	1.61
LOC434205	0.0	0.0	0.0	0.0	0.0	6.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0
Lap3	0.35	3.51	0.0	0.0	0.14	101.62	2.85	0.14	0.0	0.22	0.0	0.15	0.24	0.1	0.0	3.29	0.0	0.15	77.64	0.0	0.0	0.0	15.32	14.27	9.62	17.85	0.0	34.83	68.0	0.0	0.0	0.0	0.0	0.18	43.18	47.86	51.71
Leprel2	6.24	5.5	2.87	1.26	3.03	40.02	0.92	3.9	2.44	1.22	4.15	0.12	0.58	48.77	1.08	3.72	3.25	4.49	7.06	3.63	20.99	2.89	4.26	4.18	5.36	3.86	1.69	5.9	2.5	6.66	3.5	1.58	0.35	2.07	19.22	20.26	19.87
Mal2	0.0	58.45	0.13	199.45	79.88	163.6	0.07	48.42	9.12	5.83	0.13	0.0	163.05	60.4	67.61	83.35	0.13	22.35	231.65	1.7	93.21	0.0	75.63	80.09	82.81	113.34	95.69	0.0	45.14	21.55	0.0	8.98	0.35	300.19	179.73	179.68	167.52
Mir1930	0.0	0.0	0.0	0.0	0.0	29.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir491	0.0	0.0	0.0	0.0	0.0	9.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.74	0.0
Muc5b	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0
Mup11	0.0	0.0	0.0	0.0	0.0	10.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mup12	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
