	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dpm1	89.78	0.0	45.79	0.0	220.68	0.0	0.0	357.11	54.08	0.21	117.98	3.77	0.0	0.0	139.33	50.21	7.61	0.0	0.0	0.74	0.0	109.56	128.99	117.98	96.97	87.83	39.09	37.84	38.3
Dus2l	0.0	0.0	0.0	0.0	0.0	562.97	0.21	492.37	37.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.58	0.0	0.0	0.0	41.71	24.28	11.53	4.16	20.19	13.45	12.78	12.51
Fam193a	2.33	0.0	0.0	0.0	0.14	83.24	0.0	48.77	2.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.41	7.55	9.32	9.56	5.1	21.4	21.54	21.91
Fance	0.0	0.0	0.0	0.0	4.97	0.0	0.0	5.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.16	0.28	0.97	14.41	18.94	16.58
Fbxo21	0.08	0.0	0.5	0.15	0.0	215.34	0.1	134.92	16.39	0.06	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	115.41	0.0	3.0	13.87	3.57	11.28	15.82	88.7	92.78	86.13
Fert2	0.0	0.0	0.0	0.0	0.0	12.4	0.16	360.2	8.6	0.0	131.27	33.36	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	19.46	37.76	22.86	9.33	27.06	14.02	12.99	12.94
Galnt11	0.0	0.0	0.0	0.0	1.27	0.22	0.0	431.78	18.54	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.25	25.67	2.63	19.55	11.79	38.12	38.14	35.07
Glrx3	194.84	0.0	133.55	0.0	0.49	213.71	0.0	167.0	115.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.58	168.31	179.76	130.68	190.2	137.49	29.5	31.66	30.46
Gm10516	0.39	0.19	0.0	0.24	1.49	0.2	0.13	2.75	0.98	1.48	1.04	0.0	0.96	0.0	0.23	1.05	0.27	0.23	0.74	0.38	0.7	2.04	0.58	6.67	0.23	2.09	4.72	5.54	5.89
Gm10635	0.0	0.0	0.12	0.0	0.0	0.0	0.0	1.75	0.23	0.33	0.03	0.0	0.36	0.54	0.1	0.0	0.0	0.16	0.0	0.08	0.0	0.08	0.25	0.08	0.13	0.54	2.45	1.99	1.65
Gm12669	307.1	0.0	69.49	0.0	0.0	298.73	0.0	277.79	109.72	0.0	0.49	0.44	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	211.73	160.59	179.21	207.04	200.65	106.03	104.04	99.94
Gm14430	0.0	0.0	0.04	0.0	0.0	0.01	0.04	0.23	6.69	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	1.76	6.89	5.17	4.81	5.97	7.67	5.07	7.49
Gm14434	0.0	0.0	0.04	0.0	0.0	0.01	0.04	0.23	6.69	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	1.76	6.89	5.17	4.81	5.97	7.67	5.07	7.49
Gm4724	0.0	0.0	0.04	0.0	0.0	0.01	0.04	0.23	6.69	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	1.76	6.89	5.17	4.81	5.97	7.67	5.07	7.49
Gpc6	0.15	1.49	1.29	1.14	2.42	0.46	0.0	5.61	1.12	0.14	0.2	0.0	0.47	0.0	0.92	0.0	2.12	1.36	0.5	1.03	0.0	0.35	0.79	0.81	0.43	0.91	5.57	5.69	6.21
Gpr156	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	1.15	1.35	0.82
Grm8	0.04	0.0	0.0	0.0	0.0	0.07	0.0	0.21	9.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.24	68.61	44.44	38.18	34.89	11.41	11.69	12.14
Gys1	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.1	0.98	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	7.94	7.98	4.33	4.09	12.8	13.74	12.16
H2-DMa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	58.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.5	18.29	10.89	44.15	35.39	29.17	27.48	26.34
Hist1h2bq	0.04	0.0	0.0	0.0	0.29	0.07	0.0	52.33	0.19	0.0	0.04	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.07	0.07	0.06	0.11	0.38	0.28	0.38
Hist1h2br	0.04	0.0	0.0	0.0	0.29	0.07	0.0	52.33	0.19	0.0	0.04	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.07	0.07	0.06	0.11	0.38	0.28	0.38
Impa1	0.06	0.0	0.19	0.0	5.61	531.31	0.0	328.44	115.2	0.09	0.09	0.33	0.0	12.47	0.0	299.79	0.0	0.0	0.0	0.0	0.0	128.49	144.43	145.43	131.4	136.18	63.42	61.88	61.92
Kifc2	0.0	0.0	0.0	0.0	0.25	204.9	0.0	28.23	31.63	0.08	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.63	19.98	24.57	15.81	21.51	427.54	441.98	465.18
Lhfpl5	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.32	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.81	2.55	4.83	5.68	4.82
Lrrc4	0.0	0.0	0.14	0.33	0.22	2.19	0.0	346.04	8.96	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	16.74	10.79	7.8	0.47	5.1	70.72	68.88	67.82
Med16	2.25	3.06	2.74	0.84	1.72	3.33	1.18	4.3	7.1	1.3	2.52	0.9	2.35	1.63	1.36	1.75	2.22	0.75	1.96	4.02	0.72	2.25	4.69	3.26	1.79	2.38	41.23	46.11	45.2
Med28	0.19	0.0	2.46	0.0	29.66	137.54	0.0	174.66	46.3	0.05	22.15	0.09	22.14	45.71	0.0	0.0	0.45	60.35	0.0	50.37	0.08	45.3	67.43	51.05	28.71	35.33	25.89	25.64	25.66
Myef2	100.56	355.58	125.18	106.16	223.8	421.31	0.8	320.26	547.42	0.73	24.95	0.59	0.0	98.22	112.16	6.32	92.71	18.58	93.27	0.0	210.76	261.47	288.71	347.08	318.34	369.51	73.75	69.38	77.69
Mzf1	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.11	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	2.46	1.57	7.24	6.89	7.69
Nefm	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.89	42.58	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.83	36.59	53.4	55.09	50.93	170.79	173.01	185.04
Nme2	306.9	0.0	388.51	0.0	234.13	784.74	0.0	625.78	367.47	231.88	230.74	1.8	0.0	0.0	93.37	0.0	262.48	0.0	0.0	1.76	0.0	248.21	326.3	236.44	245.43	244.28	173.29	184.01	173.58
Nrgn	0.36	0.0	0.78	0.0	1.91	0.22	0.0	2.45	434.86	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	329.97	297.95	240.27	280.46	286.83	2256.7	2403.01	2414.28
Pdk3	0.0	0.0	0.0	0.0	0.0	258.7	0.0	122.88	17.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.93	0.0	0.0	0.0	0.0	19.86	36.64	6.36	13.44	5.9	38.63	36.34	39.56
Plec	0.0	0.0	0.07	0.0	0.03	0.02	0.0	0.03	25.66	0.02	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.76	20.2	23.11	25.65	13.6	46.49	48.19	52.96
Plxnd1	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.06	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.15	45.32	48.04	46.87
Poc1a	0.0	0.0	0.0	74.37	17.85	70.49	0.0	127.2	7.84	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.66	0.0	0.0	0.0	11.44	11.75	14.97	9.23	9.4	9.79	9.44	10.41
Psma2	20.78	31.92	589.06	165.93	864.36	965.35	0.0	867.09	691.6	382.85	0.52	333.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.02	0.0	656.52	600.56	652.22	755.77	555.12	132.56	145.56	134.3
Ptgds	34173.38	26584.93	48907.82	54843.26	18368.91	30173.93	26720.82	47452.67	0.0	56522.07	60719.49	32699.18	40932.13	38022.65	47873.29	36019.29	10624.05	40457.23	55284.07	39774.1	53160.05	0.0	0.0	0.0	0.0	0.9	1497.69	1644.65	1231.28
Rapgefl1	0.0	0.0	0.12	0.06	0.18	196.43	0.11	0.18	7.55	0.11	0.06	0.0	0.0	0.16	0.0	0.0	0.17	0.0	0.0	0.0	0.0	37.1	22.31	52.96	34.11	31.26	101.3	104.49	107.12
Rev3l	0.0	0.0	0.0	0.0	0.0	173.13	0.04	52.1	2.39	0.0	0.0	0.0	0.0	0.0	15.63	0.0	0.0	0.0	25.78	0.0	0.0	2.81	5.06	7.33	4.71	4.86	12.69	10.66	14.48
Rslcan18	0.0	0.0	0.15	0.0	0.0	0.29	0.0	0.15	0.13	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	0.1	0.0	0.0	0.35	0.64	0.54	0.86
Runx2	0.0	0.0	0.0	0.0	0.28	0.46	0.0	0.47	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	2.98	2.57	0.46	0.33	0.77	3.07	3.56	3.45
Sec14l1	0.0	0.0	0.1	0.0	0.14	0.0	0.0	79.2	46.76	0.25	0.58	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.06	5.61	5.99	16.05	14.35	162.02	165.04	152.18
Sept5	0.0	0.0	0.0	0.0	0.38	0.26	0.0	6.75	54.96	0.0	0.22	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.5	59.89	82.12	52.69	68.22	835.64	844.16	829.9
Slc39a8	0.08	0.0	0.25	0.0	0.12	0.29	0.11	0.22	0.08	0.16	0.15	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.08	0.15	0.0	3.14	3.04	3.32
Steap2	0.11	0.1	0.16	0.06	0.19	0.43	0.04	0.88	0.1	0.03	0.04	0.35	0.0	0.06	0.0	0.15	0.0	0.29	0.01	0.0	0.04	1.62	0.1	0.0	0.08	0.2	3.33	3.04	3.88
Tcf25	0.11	185.25	0.8	0.45	0.3	0.31	0.14	606.2	148.48	29.27	133.84	0.65	0.0	0.0	0.19	0.96	83.27	0.0	0.0	0.0	0.0	218.87	266.17	243.7	172.23	185.65	547.75	558.94	547.36
Tfap2a	0.48	0.39	0.0	0.0	0.7	5.97	0.0	10.38	1.23	0.25	0.09	0.86	0.94	0.94	0.0	0.2	0.0	0.07	0.39	0.0	0.0	0.7	0.52	0.69	0.5	0.09	0.39	0.34	0.35
Tmtc3	0.03	0.0	0.0	0.0	0.0	183.49	0.0	152.72	11.11	0.04	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.56	6.04	4.78	6.15	4.6	8.71	7.38	8.91
Trim33	0.0	5.28	0.0	0.0	0.09	11.0	0.0	158.03	22.79	0.08	0.05	0.1	0.0	0.0	5.45	0.0	0.0	0.0	2.17	0.0	0.0	9.12	7.06	13.45	5.02	5.54	25.38	22.69	24.34
Usp29	0.02	0.0	0.07	0.24	0.05	0.31	0.0	0.6	5.1	0.11	0.05	0.06	0.09	0.08	0.2	0.13	0.19	0.24	0.0	0.0	0.04	6.76	19.87	23.01	16.29	10.02	14.49	13.37	14.7
Zdhhc21	0.0	0.0	0.0	0.0	0.05	0.07	0.0	0.74	13.88	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.12	6.19	8.88	6.74	8.22	25.33	21.96	25.68
