	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_10	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Heph	0.0	0.0	0.0	3.48	3.35	2.94
Hes5	0.0	0.0	0.0	21.5	25.82	25.85
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bq	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.38	0.28	0.38
Hnrnpl	64.85	89.02	79.4	164.26	169.32	160.95
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Ifrd2	0.0	0.0	0.0	8.27	8.54	8.12
Il17d	0.0	0.0	0.0	16.15	24.29	19.67
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Isyna1	0.0	0.0	0.0	42.7	49.4	42.19
Kcnj5	0.09	0.4	0.29	0.53	0.69	0.74
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kifc2	0.0	0.0	0.0	427.54	441.98	465.18
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lbh	2.68	0.0	0.0	33.89	36.55	35.92
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lnx2	0.0	0.0	0.0	3.85	4.21	4.08
Mapre3	0.0	0.0	0.0	190.73	200.75	198.18
Mrpl13	0.0	0.0	0.0	66.19	61.33	61.17
Mrps16	0.0	0.0	0.0	50.05	47.68	49.19
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nfs1	0.0	0.0	0.0	40.41	43.3	42.81
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Nsg2	0.0	0.0	0.0	642.61	673.47	621.36
Nxph3	0.0	0.0	0.0	29.11	33.94	31.51
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Osbpl11	0.0	0.0	0.0	14.34	14.11	12.95
Ost4	0.0	0.0	1.01	75.09	80.36	67.36
Ovca2	0.0	0.0	0.0	31.31	24.15	20.25
Pde12	0.0	0.0	0.0	11.57	12.21	10.3
Pip5kl1	0.0	0.0	0.0	6.3	7.47	7.97
Plk4	0.0	0.0	0.0	3.41	3.11	3.47
Poc1b	0.0	0.0	0.0	4.52	5.73	5.49
Prkce	0.0	0.0	0.0	203.76	201.38	207.81
Ptprn	0.0	0.0	0.0	407.08	399.89	415.88
Rab39	0.0	0.0	0.0	1.33	1.56	1.34
Rab7l1	0.0	0.0	0.0	6.66	6.36	6.97
Ralgapb	0.0	0.0	0.0	55.12	50.01	54.12
Rassf7	0.0	0.0	0.0	1.5	1.36	1.15
Rspo1	0.0	0.26	0.0	10.29	8.47	9.06
Scn4a	0.0	0.0	0.0	0.0	0.0	0.03
Sec22c	1.65	0.08	1.48	22.99	22.86	22.18
Sema5a	0.0	0.0	0.0	16.08	14.68	16.4
Sf3a1	0.0	0.0	3.21	40.44	38.62	37.66
Sil1	0.0	0.0	0.0	22.43	23.39	24.79
Skint3	0.0	0.0	0.0	0.12	0.08	0.25
Slc15a5	0.0	0.0	0.0	0.08	0.04	0.21
Slc3a1	0.0	0.0	0.0	0.11	0.0	0.12
Slc43a3	0.0	0.0	0.54	0.51	0.71	0.84
Slc9a6	0.0	0.0	0.0	78.9	77.05	75.88
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Snora68	0.0	0.0	0.0	11.17	4.51	0.0
Snord32a	0.0	0.0	0.0	0.0	4.17	6.85
Sox12	0.0	0.0	0.0	14.37	15.49	16.19
Spryd3	0.0	0.0	0.0	145.21	153.27	145.79
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem87b	0.0	0.0	0.0	23.46	23.88	22.05
Top2a	0.0	0.0	0.0	1.0	1.31	1.2
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tubb6	0.0	0.0	0.0	6.67	6.95	6.98
Ubtd2	0.0	0.0	0.0	36.11	33.89	33.78
Ubxn6	0.0	0.0	0.0	96.98	109.7	101.44
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wdr11	0.0	0.0	0.0	35.59	34.95	35.38
Wdr91	0.0	0.0	0.0	24.26	23.42	24.49
Wee1	0.0	0.0	0.0	20.38	17.81	17.68
Wnt2b	0.0	0.0	0.0	4.79	4.2	4.04
Zfp429	0.0	0.0	0.0	2.83	2.49	2.03
Zfp811	0.19	0.67	0.0	8.65	9.14	8.38
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c9_tRNA-Ala-GCY_	0.0	0.0	251.03	74.87	45.68	58.87
mt_AK131586	6370.03	3744.02	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
