	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_70	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_21	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Rbp4_CTX_250ng_1
Bri3bp	0.86	131.02	0.99	1.09	19.18	65.82	10.27	2.1	22.5	6.48	3.48	1.42	1.22	4.62	1.29	1.67	2.93	20.44	1.9	46.77
Bsn	0.0	49.18	0.06	0.03	16.2	24.55	16.19	8.63	18.84	8.95	3.26	1.27	0.13	0.22	3.29	0.04	0.21	39.64	0.26	89.93
C030046I01Rik	223.56	681.66	2.33	35.64	135.91	140.59	143.04	129.07	187.94	188.6	206.34	248.16	1.73	498.19	2.23	1.01	0.94	256.41	2.97	278.49
Ccl27b	0.0	223.23	0.0	0.0	54.72	30.68	0.23	21.3	40.26	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	30.63
Cds2	0.0	56.62	0.0	0.0	38.66	6.61	22.48	11.77	21.73	32.54	29.71	4.05	0.44	0.65	1.01	0.29	0.59	17.48	0.51	203.83
Clptm1	0.0	70.36	0.0	0.0	1.06	0.45	12.66	0.0	2.39	0.32	5.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	90.39
Clstn1	0.0	228.94	0.0	0.0	68.02	36.73	71.65	14.74	21.3	2.43	0.0	3.86	0.0	0.22	0.0	0.0	0.0	45.25	0.25	777.34
Copz1	0.0	598.06	0.0	0.0	415.54	320.48	226.85	0.77	176.83	254.94	214.5	73.79	0.78	1345.56	1.41	0.0	0.0	0.0	19.74	93.16
Cox11	0.0	144.62	0.0	0.0	6.0	0.0	12.78	6.46	22.02	2.52	1.55	0.0	0.0	37.35	0.0	0.0	0.0	1.03	0.0	19.79
Dcaf13	0.0	527.0	36.21	0.0	96.17	23.28	83.26	115.89	69.52	36.38	0.0	95.97	0.0	1544.85	300.2	0.0	0.0	162.37	1.1	28.02
Dmwd	0.0	120.89	0.0	0.0	49.4	2.81	21.5	2.02	11.43	9.67	0.28	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.17	100.0
Dpysl3	0.0	247.14	0.0	0.0	0.0	46.1	52.54	4.3	12.95	0.0	0.34	84.32	0.33	1201.01	1012.32	0.0	0.0	82.77	0.42	28.63
Ep400	0.0	62.55	0.0	0.0	6.01	0.04	0.03	13.21	7.04	11.8	0.71	7.73	0.06	0.0	0.07	2.48	0.0	15.6	0.11	26.54
Fam160a2	0.0	50.2	0.0	0.0	17.89	24.98	0.27	0.24	9.85	1.86	0.03	0.03	0.0	0.2	0.14	0.06	0.0	0.0	0.0	24.28
Fbxo16	0.0	116.57	0.0	0.0	55.79	0.0	0.0	0.0	16.65	0.0	76.81	0.0	0.0	0.0	0.0	0.0	0.0	30.07	0.0	13.39
Fhl1	0.0	133.52	0.0	0.0	31.23	0.0	0.45	1.1	24.27	18.56	0.0	36.83	0.14	0.29	0.0	0.0	0.0	6.54	0.18	89.26
Flad1	0.0	161.67	0.0	0.0	134.78	48.86	3.34	0.0	18.92	0.0	0.0	0.0	0.0	0.0	30.89	0.0	0.0	0.0	0.0	32.54
Fmn2	0.0	57.32	0.0	0.0	1.84	4.33	0.0	0.0	2.26	4.73	0.0	17.29	0.0	0.34	0.12	0.0	0.0	5.93	0.7	37.67
Fsd1l	0.89	66.09	20.22	0.0	2.28	5.59	0.71	2.57	6.45	3.1	0.32	0.37	0.29	292.18	0.0	0.32	0.12	0.57	1.0	15.92
Ftsj2	0.0	127.42	0.0	0.0	88.66	85.41	0.0	0.0	3.47	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	45.48	0.0	14.26
Fyttd1	0.1	345.25	0.0	0.22	32.77	79.12	99.44	112.66	41.55	43.85	111.32	36.59	0.0	0.51	9.61	0.0	0.0	57.99	0.29	53.61
Gabrb3	0.0	229.25	0.0	0.0	17.92	49.71	64.23	27.36	56.7	59.68	94.09	30.74	0.16	683.26	0.69	0.0	0.0	27.62	0.37	154.37
Gapvd1	0.0	75.36	0.0	0.0	33.68	8.53	43.72	33.19	13.08	67.93	35.81	13.56	0.0	254.62	1.67	0.0	0.0	32.07	0.0	43.6
Gdap1l1	0.0	154.1	0.0	0.0	21.23	20.27	60.27	29.73	15.17	65.17	1.08	64.51	0.0	0.0	0.0	0.0	0.0	14.18	0.16	52.17
Gm13306	0.0	223.23	0.0	0.0	54.72	30.68	0.23	21.3	40.26	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	30.63
Gm2506	0.0	223.23	0.0	0.0	54.72	30.68	0.23	21.3	40.26	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	30.63
Gm9766	0.0	24.06	0.0	0.0	0.0	3.85	0.0	0.79	1.06	0.0	3.63	9.56	0.0	12.49	0.0	0.0	0.0	0.0	0.0	9.76
Gnpat	0.0	231.6	0.11	0.0	19.99	26.29	0.0	3.26	14.47	0.0	0.0	15.51	66.2	0.0	0.0	0.0	0.0	75.15	0.0	52.15
Hcn2	0.0	5.69	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.46
Hunk	0.0	57.39	0.0	0.0	0.11	0.0	0.0	40.17	1.23	10.49	0.0	33.32	0.0	0.0	0.0	0.0	0.0	27.62	0.08	15.94
Ift52	0.0	192.28	1.98	0.0	44.93	53.27	57.13	150.16	21.22	0.0	0.0	0.0	0.0	0.0	4.03	0.0	1.1	81.7	0.59	33.82
Iws1	1.26	36.41	0.67	0.0	26.63	3.13	0.69	1.22	3.46	4.25	1.86	4.35	2.15	73.25	1.15	3.16	0.72	0.61	0.18	15.3
Kctd2	0.0	196.93	0.0	0.0	27.84	0.0	0.0	0.0	2.97	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.17	0.24	73.64
Kdm5a	73.0	40.38	0.0	0.0	12.06	29.7	64.63	10.59	15.5	5.38	15.57	14.7	0.53	0.33	0.07	7.84	0.19	3.38	0.04	15.41
Khdrbs3	0.0	343.84	0.0	0.0	82.04	83.52	139.55	24.83	156.81	190.72	122.98	43.3	0.34	0.39	17.31	0.0	0.0	175.69	0.66	170.44
Kif3c	0.0	198.91	0.0	0.0	28.35	21.27	21.59	0.0	19.3	21.28	20.77	5.98	0.05	0.0	0.0	0.0	0.0	0.6	0.11	111.23
Klraq1	0.0	110.32	0.0	0.0	61.88	47.91	2.65	1.35	19.44	9.55	19.95	0.0	0.2	0.46	1.48	0.0	0.0	57.1	0.13	63.06
Mapre2	0.0	310.4	6.23	0.0	105.29	124.49	97.65	62.67	64.67	66.93	36.41	52.69	39.19	631.1	1.56	0.15	0.0	89.92	0.73	190.4
Mef2a	0.0	163.13	0.0	0.0	0.7	29.28	40.49	0.15	6.48	0.0	0.0	0.35	0.11	0.0	0.0	3.75	46.05	0.0	0.0	74.48
Megf9	0.0	83.72	0.0	0.0	0.11	9.2	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.98
Mir690	26828.41	13684.55	19376.41	14765.71	30528.33	39867.27	42000.18	28695.45	11744.41	37370.15	37614.4	32522.04	27509.93	44948.68	42282.55	35532.88	23237.11	48007.3	26597.61	1.35
Morn4	0.0	169.65	0.0	0.0	0.0	2.1	0.0	0.0	67.74	10.61	0.0	87.38	0.0	0.41	0.0	0.0	0.0	3.97	0.0	76.1
Msra	0.35	424.42	0.0	0.0	76.74	184.86	224.41	54.72	130.8	131.66	95.45	93.13	0.0	0.63	0.0	0.0	0.0	379.39	1.07	46.4
Myh10	0.0	139.85	0.0	0.0	53.73	32.34	46.53	6.29	20.89	2.5	17.13	3.13	0.0	0.09	0.2	0.0	0.0	39.42	0.16	136.61
Nol10	0.0	111.75	1.79	4.38	75.29	2.05	30.43	31.93	19.56	1.76	26.72	1.51	2.62	4.8	0.57	4.06	8.19	15.37	3.74	19.79
Nr2c1	0.0	47.64	0.08	0.0	0.0	0.0	0.0	0.0	5.45	8.85	3.64	0.0	0.0	0.0	0.0	0.0	0.0	1.54	0.0	7.76
Nudcd3	0.31	141.46	0.0	0.0	99.2	6.14	12.0	2.33	17.01	10.58	59.94	32.5	0.08	0.56	1.38	0.0	0.12	20.23	0.1	97.11
Os9	28.86	213.45	0.0	0.0	33.22	18.0	48.34	25.23	18.62	0.0	4.64	22.94	0.33	0.19	0.0	0.0	0.0	0.72	0.21	80.2
Osbpl1a	0.0	1062.69	0.0	0.18	158.7	196.95	79.72	276.48	283.9	370.86	292.12	411.75	0.51	1.15	0.0	0.0	0.0	651.42	0.65	291.73
Ost4	0.0	571.69	0.0	0.0	311.77	248.87	349.79	447.93	335.25	401.03	335.52	521.24	0.69	0.0	1.66	0.0	0.0	503.05	0.0	75.09
Parl	0.0	185.83	0.0	0.0	138.34	57.54	56.89	64.21	62.92	6.9	38.82	65.97	0.0	0.0	0.0	0.0	0.0	104.39	0.0	32.72
Pcdhga9	0.0	51.43	0.0	0.0	0.0	0.0	1.26	0.17	0.77	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	11.68
Pde4b	0.0	462.14	0.0	0.0	77.9	65.8	0.0	97.15	41.38	0.19	13.15	136.43	0.29	0.21	0.88	0.0	0.0	59.01	0.0	82.75
Pdzrn3	0.0	192.49	0.0	0.0	14.38	0.0	0.0	6.42	6.58	1.04	7.09	4.58	0.0	0.0	0.0	0.0	0.0	40.01	0.02	20.95
Pelp1	0.0	25.09	0.0	0.0	19.06	0.0	0.1	0.49	2.92	0.0	0.0	14.69	0.09	0.21	0.22	0.0	0.0	0.0	0.12	24.86
Pgbd5	0.0	401.73	0.0	0.0	81.61	57.26	167.55	180.14	135.06	34.15	118.11	55.21	0.11	1.03	0.82	0.0	0.0	99.52	0.44	134.18
Prdm10	0.0	31.34	0.0	0.14	0.0	0.14	4.46	0.0	5.14	8.59	0.0	13.25	0.09	0.0	6.33	0.0	0.0	14.7	0.0	10.54
Prkcb	0.1	236.32	0.05	4.56	202.56	160.58	160.17	48.41	117.39	63.29	102.83	100.58	0.25	41.41	0.77	0.07	0.06	112.44	13.84	360.87
Prpf38a	0.0	242.42	0.0	0.31	0.0	36.86	23.68	57.83	75.18	3.8	97.04	179.01	0.0	0.49	0.0	0.0	0.0	2.78	3.89	26.14
Prrt2	0.0	244.01	0.0	0.0	11.45	32.21	31.59	58.62	36.89	40.79	79.64	7.76	0.0	0.29	0.0	0.0	0.0	30.93	0.33	264.19
Psmb10	0.33	304.9	0.0	241.2	46.92	40.25	36.1	216.43	38.24	106.67	101.93	25.39	0.52	0.59	0.0	0.0	0.0	18.21	32.13	37.23
Psmd8	58.48	752.25	0.0	0.0	60.37	266.08	110.72	78.84	186.99	148.32	91.35	53.0	0.0	0.98	0.0	0.0	0.0	261.84	0.56	124.23
Psme4	0.0	84.56	0.0	0.0	24.85	13.35	1.91	2.27	16.0	14.31	34.52	1.35	0.05	103.32	0.24	0.0	0.5	34.57	1.15	28.43
Ptprj	0.0	56.86	0.08	0.0	0.48	1.97	0.09	0.38	5.08	11.67	0.36	0.74	21.54	0.0	0.36	0.23	35.97	22.07	0.12	51.0
Rab6b	0.0	387.04	0.0	0.0	148.03	124.59	71.58	73.8	70.56	128.23	36.48	14.61	0.0	0.76	0.16	0.13	0.0	34.61	0.61	557.19
Rab9b	0.0	124.13	0.0	0.0	0.72	37.16	46.18	10.04	0.25	0.41	67.07	26.13	0.15	0.29	1.53	0.54	0.0	0.17	0.0	18.22
Rasa1	0.0	99.51	0.0	0.0	21.18	42.12	9.42	1.89	19.5	16.85	0.0	32.06	0.0	313.19	0.3	21.6	0.0	20.83	187.17	30.51
Ripply2	0.0	101.05	0.0	0.0	0.0	12.4	0.0	0.0	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.38	0.0	4.81
Rnf157	0.0	104.22	0.0	0.0	0.75	25.86	7.68	0.99	35.35	51.12	31.91	16.41	0.07	0.0	1.72	0.0	0.0	1.74	0.0	165.94
Rngtt	0.0	91.31	0.0	0.0	23.82	14.63	0.0	14.47	20.98	12.02	0.33	0.97	0.0	5.07	9.06	0.0	0.0	25.65	0.0	14.66
Rpgr	0.0	191.7	0.0	0.0	31.21	62.13	20.66	0.15	34.84	91.91	0.25	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.16
Rtkn	0.0	124.89	0.0	0.0	2.01	0.22	0.0	2.13	23.36	41.22	1.24	0.15	0.15	0.0	0.0	0.0	0.0	137.74	0.0	50.12
Rusc2	0.0	53.27	0.0	0.0	6.19	8.72	0.79	0.0	3.21	0.0	1.73	1.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0
Ryr2	0.0	95.92	0.0	0.08	17.42	9.72	1.72	12.75	11.62	13.76	16.42	3.33	0.03	0.18	0.13	0.0	0.0	4.47	0.02	51.84
Scn2a1	0.0	240.16	0.01	0.0	150.4	128.08	97.79	72.87	104.16	45.39	137.86	128.53	0.07	0.35	0.15	0.21	0.07	149.95	0.38	128.76
Scn3a	0.0	51.37	0.0	0.0	5.75	4.18	1.31	4.42	14.04	1.35	0.07	17.26	0.0	158.93	0.0	0.0	0.0	16.39	0.04	17.55
Shisa7	0.0	117.02	0.0	0.0	28.03	10.77	0.0	1.74	9.46	4.39	41.63	2.17	0.0	0.12	0.0	0.0	0.0	0.0	0.0	75.61
Slc24a2	0.0	103.79	0.0	0.0	159.64	63.94	28.13	32.33	59.28	80.67	3.11	62.17	0.06	0.21	0.07	0.0	0.0	32.71	0.31	186.31
Slco3a1	0.0	33.83	0.0	0.0	0.0	35.26	2.18	39.66	4.91	0.0	3.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.47
Slitrk1	0.0	211.7	0.0	0.0	0.39	0.4	12.86	0.2	10.04	0.19	16.43	43.29	0.08	0.0	0.0	0.0	0.0	54.39	0.19	69.52
Spag6	0.0	436.17	0.0	0.0	0.0	0.0	45.65	1.15	3.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.37	0.0	5.7
Susd4	0.0	237.33	0.0	0.0	29.41	5.36	7.04	45.04	11.66	0.0	55.87	29.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.28
Thnsl1	0.0	175.08	0.08	0.0	0.0	20.3	51.6	22.11	23.08	0.21	42.45	27.44	0.14	0.0	0.2	0.0	0.0	0.0	0.0	16.61
Thumpd1	0.0	184.47	0.0	0.0	1.02	26.78	22.47	0.0	14.64	66.02	4.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.76
Tmem109	0.0	250.07	0.17	0.0	52.09	98.44	102.09	119.54	27.49	50.9	38.63	67.42	0.17	1074.63	840.26	0.0	0.0	38.63	65.39	38.58
Tom1	0.0	159.81	0.0	0.0	5.49	36.38	0.3	62.47	16.49	0.0	0.0	71.78	0.0	0.0	1.02	0.0	0.0	0.36	0.0	36.41
Tspyl2	0.0	89.97	0.0	0.0	3.18	0.0	0.0	0.15	10.32	45.57	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.15	94.19
Wdr85	16.93	209.31	36.65	22.93	42.33	8.16	12.44	31.97	34.32	40.39	85.66	69.9	30.75	44.42	27.33	52.37	15.32	172.37	34.96	18.32
