	Calb2_tdTpositive_cell_1	Htr3a_tdTpositive_cell_93	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_73	PvalbD.Slc32a1_tdTpositive_cell_15	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_180	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	CAV_LP_Ipsi_tdTpos_cell_43	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Bend3	0.0	7.35	1.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	2.33	0.0	0.0	0.08	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	3.43	3.81
Bmp8a	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.28	0.28
Car11	0.0	65.34	0.23	2.28	0.0	0.0	0.0	0.09	0.0	102.25	0.17	5.45	12.64	6.04	0.0	1.79	0.0	0.0	2.14	14.86	32.93	4.77	0.0	19.53	13.62	16.27	11.72	8.46	15.84	7.13	0.0	0.0	0.0	2.1	0.0	0.0	0.0	34.27	0.0	214.47	236.01	224.75
Cbwd1	0.03	187.4	0.0	4.83	0.0	0.0	0.0	0.0	0.83	0.09	0.0	74.3	0.0	91.97	0.0	0.38	0.0	0.0	0.0	0.0	10.54	42.39	0.26	14.86	44.46	8.95	5.34	19.66	25.74	18.22	0.0	0.0	0.0	85.96	0.21	60.35	5.36	19.28	0.25	12.64	14.23	13.08
Ccdc153	0.3	2.68	0.63	0.92	0.0	0.35	0.31	0.6	0.0	0.0	0.51	0.4	0.0	0.53	1.0	0.6	3.54	0.0	0.29	0.0	0.0	0.0	1.72	0.66	1.11	0.57	0.6	0.0	0.13	0.33	0.43	0.0	0.18	0.28	0.0	0.3	0.0	0.0	0.37	3.6	4.61	4.59
Ccdc33	0.0	31.99	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.62	3.0	1.14	0.27	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.52	0.32
Cd163	0.0	0.0	0.14	0.07	0.08	0.0	0.0	0.0	0.0	0.2	0.11	0.06	0.07	0.0	0.1	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.36	0.0	0.0	0.03	0.09	0.08	0.11	0.06	0.07	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	1.87	1.67	1.55
Cd55	0.0	95.57	0.08	0.13	125.58	0.31	0.17	0.08	0.04	0.26	0.0	0.0	0.0	0.25	0.28	0.0	0.0	0.0	0.0	88.45	0.0	0.0	0.25	0.0	4.78	0.0	0.1	3.08	3.96	2.48	0.0	0.09	0.08	62.61	0.0	0.0	0.08	0.1	0.32	5.61	4.63	5.21
Chrnb3	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	1.35	1.32
Clnk	0.0	9.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61	0.0	0.0	0.0	0.19	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.41	0.58
Cpne7	0.0	195.55	4.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.78	77.82	81.68
Cyth3	0.0	81.09	12.99	0.0	0.13	0.0	0.0	0.0	0.0	0.06	0.26	0.0	0.09	0.0	4.5	0.0	0.0	0.0	0.57	5.14	0.0	10.31	0.0	4.1	5.95	2.75	2.1	6.23	5.06	4.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.55	27.59	26.54
Dirc2	1.27	1.98	0.91	1.92	0.22	0.24	0.0	1.49	0.94	1.34	0.21	0.63	0.51	1.32	1.42	2.12	2.46	0.01	0.07	3.04	20.35	1.96	1.5	11.04	1.75	2.0	11.09	5.09	10.13	8.35	0.89	0.14	0.49	1.18	1.14	2.88	0.0	34.61	1.01	38.97	41.16	39.36
Dok6	0.0	29.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	1.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	29.84	19.89	33.11
Eaf1	0.54	29.1	0.0	0.55	0.11	0.32	0.0	0.41	0.27	0.7	0.13	0.28	0.38	0.0	0.12	0.14	0.14	0.0	0.0	0.0	1.09	0.4	0.22	6.18	8.42	2.91	4.96	6.42	4.11	3.01	0.87	0.13	0.0	1.27	0.21	0.2	0.0	1.24	0.76	14.04	14.76	13.68
Ehbp1	23.38	35.6	21.34	6.27	0.0	0.0	11.13	23.24	48.05	0.0	0.2	1.23	16.6	28.5	0.0	13.81	26.78	44.03	0.0	29.62	0.0	0.0	0.0	14.92	5.2	11.1	7.75	4.04	4.32	6.09	12.92	0.0	0.0	11.32	0.09	0.0	0.24	0.74	12.01	29.47	28.16	27.18
Elovl7	0.12	25.89	1.03	11.89	1.46	1.44	0.08	0.12	0.31	0.67	0.41	0.92	0.99	0.26	0.12	0.6	1.68	0.0	0.13	1.19	0.52	28.75	1.27	6.56	0.62	0.35	1.5	2.05	0.44	1.87	0.69	0.17	0.16	0.0	0.11	0.21	0.14	0.25	0.51	9.12	9.28	9.34
Eml6	0.02	18.63	1.84	1.37	0.0	0.0	0.0	0.0	0.69	0.0	0.0	8.95	0.0	0.0	0.1	8.48	0.0	0.0	0.0	2.88	0.0	0.31	0.27	0.13	11.27	5.16	0.49	2.61	2.17	2.78	0.63	0.0	0.0	0.04	0.0	2.35	0.0	0.09	0.43	11.89	9.76	13.85
Fam134c	0.0	41.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.05	0.0	0.0	0.0	1.65	0.0	0.0	0.0	4.85	6.11	2.08	10.83	3.27	0.11	0.0	33.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.5	52.08	55.09	51.34
Fam159b	0.0	35.58	0.0	0.0	86.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	0.23	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.94	0.71
Fam167a	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	1.25	0.79
Fbf1	0.0	26.66	0.0	0.0	14.38	0.0	0.0	0.0	0.0	0.2	0.0	0.0	5.12	1.99	0.0	0.0	0.0	0.0	0.0	6.79	0.0	14.74	0.0	2.5	3.22	0.09	1.05	1.21	0.38	1.28	0.0	0.0	0.0	0.16	0.08	0.06	0.0	0.0	32.26	36.37	34.81	37.68
Fgfr1	1.11	97.5	0.0	0.0	0.0	0.0	51.83	66.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	32.15	0.0	0.0	0.0	1.42	3.0	3.02	4.33	3.74	1.58	3.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.1	47.43	29.47	32.27	32.22
Fnta	0.0	124.65	31.14	0.0	0.25	0.0	0.0	67.52	0.0	0.0	0.0	38.04	0.0	11.1	0.0	0.0	0.0	0.0	0.0	8.22	0.0	0.0	0.0	14.23	4.93	27.71	12.33	21.95	17.37	13.24	3.63	0.0	0.0	0.0	42.08	0.0	0.0	0.13	158.03	54.13	52.61	54.21
Gfod1	3.3	70.7	9.48	3.72	0.0	0.05	0.0	36.83	33.25	0.0	0.0	0.0	0.0	18.25	0.0	1.78	0.0	101.79	0.0	41.21	56.95	3.12	0.0	6.0	6.26	6.85	5.38	3.89	8.07	5.67	4.12	0.04	0.0	0.0	9.41	0.0	0.0	0.85	2.36	50.26	46.46	49.88
Gm16157	0.0	2.9	0.0	0.0	0.0	0.29	0.0	0.0	0.3	0.0	0.16	0.24	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.79	0.0	0.34	0.0	0.0	0.71	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.53	0.6	0.5
Gm4070	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.07	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43	1.62	2.49
Gm4980	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.65	4.89	5.69
Gm514	0.0	22.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69	3.89	3.81
Gm9833	0.0	1.49	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	2.09	0.48	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.28	1.1
Gvin1	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.39	0.56
Heatr1	0.0	11.5	0.0	0.19	0.0	0.0	0.0	0.02	0.0	0.57	0.0	6.18	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	5.79	9.74	7.03	3.06	2.82	3.26	2.68	15.33	0.0	0.0	1.47	0.06	0.0	0.0	0.94	0.0	12.54	12.07	10.87
Hecw2	0.0	70.87	12.17	24.78	0.0	0.0	16.82	7.62	0.0	0.0	0.09	31.26	3.85	5.68	7.59	0.0	0.0	9.54	0.0	14.49	0.0	0.0	0.0	4.97	12.8	7.08	6.73	5.44	8.71	8.56	55.67	0.0	0.0	0.65	67.12	13.09	4.16	0.42	0.0	18.31	19.04	19.67
Hhex	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76	2.49	3.65
Hopx	0.0	20.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.9	0.0	0.0	0.0	0.0	0.0	0.0	0.83	2.01	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.63	61.3	63.91
Iffo1	0.0	70.97	0.0	38.09	0.17	0.0	0.0	0.0	0.0	0.0	0.52	21.37	0.0	0.0	0.0	35.59	0.0	0.0	0.0	1.8	0.0	0.0	0.0	8.21	3.95	8.78	5.4	5.47	3.88	4.65	0.0	0.0	2.97	0.0	0.16	0.11	0.0	0.62	0.0	49.34	54.98	48.1
Il4i1	0.0	8.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.76
Il7r	0.05	0.19	0.0	0.08	0.0	0.0	0.0	0.05	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.09	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.32	0.32
Islr2	0.0	20.51	1.43	6.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	1.02	5.88	0.0	4.68	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.34	1.48	1.87	3.54	1.24	0.91	0.84	0.0	1.23	1.05	3.34	0.0	0.47	2.09	0.0	0.0	42.31	52.28	43.91
Kdm6a	0.0	29.38	1.85	0.0	0.0	0.0	0.0	0.0	0.07	1.46	0.0	2.97	0.0	0.0	3.1	77.51	0.0	0.0	0.0	2.77	1.98	0.0	0.0	9.89	7.01	3.63	0.69	7.46	5.56	4.63	0.55	0.0	0.0	0.0	0.08	0.0	0.05	0.28	0.0	22.45	14.79	17.17
Klc4	0.07	82.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.33	3.72	5.58	6.3	4.9	2.53	1.5	19.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.07	21.75	21.55
Lamc2	0.0	76.69	0.0	0.0	51.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.2	0.0	0.05	0.09	0.0	0.0	0.0	0.0	0.05	0.0	10.35	10.13	9.64
Lrrc3	1.94	78.1	3.61	1.43	4.79	1.12	0.7	1.94	2.72	1.54	3.0	3.41	2.05	3.14	2.02	5.56	2.29	0.0	1.39	2.03	3.47	4.63	1.47	3.01	2.77	5.17	2.47	2.31	4.68	3.08	2.97	0.96	1.18	4.24	5.03	2.59	0.66	3.44	1.51	9.65	8.87	9.62
Mast4	0.0	20.43	16.56	9.68	6.92	0.0	0.0	0.96	0.0	0.04	0.89	8.12	0.32	0.0	2.07	2.73	0.0	0.0	0.08	0.57	5.82	0.0	0.04	1.12	4.05	3.5	4.85	2.45	3.52	3.08	0.03	6.96	0.0	0.73	12.99	18.81	0.0	0.01	0.19	17.08	15.93	18.12
Mki67	0.0	3.17	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.17	0.03	0.08	0.07	0.26	0.2	0.24	0.0	0.25	0.0	0.0	0.13	0.03	0.21	0.61	0.0	0.8	0.69	0.89
Msh4	0.0	25.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Mtm1	0.0	97.37	0.0	26.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.04	0.26	3.55	5.62	4.84	1.02	2.05	0.0	0.0	15.46	0.0	0.0	0.0	0.0	0.0	0.0	5.42	5.1	5.52
Myh11	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	3.14	2.99
Mylk3	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.1	0.87	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	1.63	1.89
