	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_24	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTpositive_cell_20
Gm4710	0.0	1.24	0.0	0.0	1.78	0.0	1.03	0.48	0.25	1.34	3.91	2.31	2.91	0.88	0.0	0.0	1.65	0.65	0.0	0.54	0.67	0.69
Hipk3	0.0	57.87	0.0	0.0	0.0	0.34	0.89	33.98	40.95	26.02	19.23	0.28	71.82	12.88	0.0	0.1	0.0	0.0	0.06	43.97	0.0	15.98
Klhdc8a	0.0	43.03	0.0	0.0	0.0	0.0	0.0	10.28	0.0	3.13	0.0	2.92	0.14	24.7	0.18	0.0	0.0	0.0	0.0	1.68	0.11	3.42
Lphn2	0.0	66.36	0.0	0.0	0.0	0.21	6.24	30.22	53.85	24.5	0.13	0.0	55.8	51.79	0.0	0.0	0.0	0.0	0.0	13.76	0.0	87.03
Mfap2	0.0	470.81	0.0	0.0	0.0	1.27	0.0	0.0	1.02	14.24	0.0	0.0	26.74	70.27	0.32	0.72	0.0	0.0	0.0	17.94	0.0	0.0
Mir690	16968.11	8485.79	9673.58	19376.41	15339.94	30464.78	30528.33	39867.27	42000.18	11744.41	37370.15	37614.4	23271.48	32522.04	27509.93	44948.68	42282.55	35532.88	23237.11	48007.3	26597.61	23496.94
Mtg1	0.0	325.98	0.0	0.0	0.0	2.47	68.72	137.02	186.63	41.0	168.8	11.53	0.0	0.0	0.0	0.0	0.0	0.0	0.29	152.52	0.26	0.0
Ncbp2	0.0	514.43	0.0	0.0	0.0	1.28	43.87	106.34	31.71	95.84	0.0	105.6	90.91	83.82	0.0	0.36	0.0	0.0	0.0	104.74	655.54	7.02
Nipsnap1	0.0	469.54	0.0	0.0	0.0	30.02	268.98	85.95	196.34	110.36	255.64	23.28	243.37	7.11	0.17	486.36	0.0	0.65	0.25	95.26	1.34	82.13
Npcd	0.0	79.45	0.0	0.0	0.0	7.58	1.3	17.82	2.85	18.85	13.67	13.03	8.87	27.85	0.0	0.42	0.0	0.0	0.0	71.25	0.11	529.41
Nub1	0.0	78.23	0.0	0.09	0.0	0.37	29.49	40.83	75.87	36.99	19.16	46.38	13.57	18.92	0.0	1.89	0.0	0.0	0.0	36.99	0.36	33.45
Pcx	0.0	135.63	0.0	0.0	0.0	0.0	35.2	0.0	0.0	0.62	0.0	28.01	0.0	0.0	0.0	0.35	0.0	0.0	0.0	21.11	0.5	64.65
Pde4d	0.0	187.51	0.0	0.0	0.0	0.54	48.78	30.26	25.34	24.15	50.09	37.97	16.77	60.39	0.14	4.09	0.0	225.88	0.0	51.92	0.06	100.19
Pdgfa	0.0	138.74	0.0	0.0	0.0	0.0	0.34	36.89	105.25	26.11	0.83	3.55	21.96	43.07	0.0	0.0	0.0	0.0	0.0	73.49	0.0	0.0
Ppp5c	0.0	278.28	0.0	0.0	0.0	2.52	64.89	49.46	94.47	46.24	118.4	70.19	1.1	1.97	0.0	0.0	0.0	0.0	148.83	53.72	0.2	41.47
Ptk2b	0.27	106.44	0.0	0.0	0.0	56.99	65.95	131.41	80.21	114.0	53.65	10.04	56.63	50.87	0.08	0.38	0.0	0.0	0.0	11.23	0.53	84.19
Rabl5	0.0	133.84	0.0	0.0	0.0	49.01	133.69	206.47	104.13	162.32	77.13	69.45	33.81	70.55	0.74	0.84	1.77	0.0	0.0	150.3	0.48	127.73
Rufy3	0.0	184.59	0.0	0.0	0.0	24.12	132.92	260.06	127.21	90.18	127.01	87.92	46.63	150.82	0.5	1.45	0.39	0.28	0.35	165.43	0.53	245.26
Sav1	0.0	23.37	0.0	0.0	0.0	0.0	0.0	0.56	8.4	2.98	4.83	0.0	32.89	1.48	0.0	0.0	0.0	0.0	0.0	7.71	0.0	0.0
Sh3gl2	0.15	419.75	0.0	0.31	0.0	4.14	89.46	115.47	28.52	161.77	102.41	177.69	121.91	129.82	1.48	9.75	10.55	2.94	1.43	283.43	1.73	182.68
Slc25a27	0.0	238.38	0.0	0.0	0.0	0.0	0.04	20.69	0.76	11.4	34.73	51.72	29.82	49.57	0.16	0.7	1.47	0.22	0.0	0.0	0.14	70.42
Smg5	0.0	30.28	0.0	0.0	0.0	0.0	5.58	18.37	6.26	5.72	3.98	0.0	5.82	5.59	0.0	0.0	0.0	0.0	0.0	0.0	17.08	77.24
Snord116	0.0	0.0	0.0	0.0	0.0	35.0	5.77	12.39	3.1	9.2	21.53	0.0	5.01	8.52	0.0	0.0	0.0	0.0	0.0	1.44	0.0	10.89
Snord116l1	0.0	0.0	0.0	0.0	0.0	35.0	5.77	12.39	3.1	9.2	21.53	0.0	5.01	8.52	0.0	0.0	0.0	0.0	0.0	1.44	0.0	10.89
Snord116l2	0.0	0.0	0.0	0.0	0.0	35.0	5.77	12.39	3.1	9.2	21.53	0.0	5.01	8.52	0.0	0.0	0.0	0.0	0.0	1.44	0.0	10.89
Sprr2a1	0.0	0.27	0.0	0.05	0.0	0.0	0.34	0.36	0.88	0.46	1.29	0.1	2.09	0.2	0.0	1.82	0.0	0.0	0.0	0.09	1.01	2.0
Sprr2a2	0.0	0.27	0.0	0.05	0.0	0.0	0.34	0.36	0.88	0.46	1.29	0.1	2.09	0.2	0.0	1.82	0.0	0.0	0.0	0.09	1.01	2.0
Srp14	0.0	1046.88	0.0	0.0	0.0	475.88	296.06	636.64	490.83	638.01	728.03	1039.85	684.63	535.56	0.86	3.89	2.06	0.0	0.0	178.62	1.11	244.73
Tmem41b	0.76	127.02	0.0	0.76	0.65	0.56	57.32	17.4	16.43	39.13	0.7	84.99	3.29	14.25	2.16	1.82	0.0	1.73	0.77	34.98	2.09	1.16
Tomm20	0.0	113.52	0.0	0.0	0.0	9.54	113.11	44.69	13.08	29.53	53.34	26.44	22.66	22.56	0.0	0.15	0.0	0.0	7.3	35.7	0.17	80.15
Trnt1	0.23	337.1	0.0	0.0	0.0	1.43	143.05	94.83	81.76	146.86	38.59	95.37	36.35	97.1	0.32	38.18	0.41	0.0	0.0	129.84	0.85	178.98
Zdhhc6	0.0	315.57	0.0	0.0	0.0	1.16	13.28	146.6	142.74	61.34	22.77	0.0	93.21	0.0	0.0	0.0	0.0	0.0	0.0	143.98	0.18	0.0
Zfp945	0.0	85.23	0.0	0.0	0.0	0.2	6.68	0.25	1.28	8.15	0.1	46.62	2.77	23.58	194.33	41.45	68.67	0.0	0.0	0.03	0.0	0.04
Zfp958	0.0	156.45	0.0	0.69	0.29	1.8	0.81	6.02	1.07	4.19	107.13	2.4	3.49	183.71	0.5	0.32	0.99	0.0	0.0	26.12	372.17	2.99
