	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Lphn1	0.0	0.0	3.13	60.5	46.45	185.96	190.77	203.82
Map3k5	0.0	0.0	0.0	29.28	22.66	26.04	25.01	25.24
Mapk8ip2	0.0	0.0	0.0	15.1	12.48	190.79	206.07	202.05
Mast1	0.0	0.0	0.0	2.22	2.01	57.59	61.96	60.11
Mgat3	0.0	0.0	0.0	13.37	7.31	99.56	101.36	101.11
Mgat5b	0.0	0.0	0.0	0.42	0.64	55.22	54.09	52.11
Msh4	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Nkx6-3	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Odz4	0.0	0.0	0.0	2.21	1.21	30.76	27.31	33.46
Olfr875	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.0
Onecut2	0.02	0.0	0.0	0.74	0.56	1.83	1.47	1.93
Oxct1	0.46	23.27	0.0	128.9	124.35	237.85	234.89	230.25
Pacsin1	0.0	0.0	0.0	10.4	14.59	282.11	283.76	304.93
Papd7	0.0	0.0	0.0	8.46	13.34	30.36	34.28	29.87
Pde1b	0.0	0.0	0.0	3.13	7.56	245.53	258.71	247.87
Plxna2	0.0	0.0	0.0	20.64	19.94	47.46	43.4	46.56
Pou6f1	0.0	0.0	0.0	5.82	5.82	75.93	74.16	76.43
Ppp1r1a	0.0	0.0	0.0	9.49	15.52	123.86	128.2	126.28
Ppp2r2c	0.0	0.0	0.0	58.28	60.62	446.28	420.01	458.99
Ppp2r2d	0.0	0.0	0.0	70.46	39.51	66.87	66.28	62.18
Prr12	0.0	0.0	0.0	0.3	0.89	24.08	25.31	25.2
Ptges2	0.0	0.0	0.0	8.94	13.69	36.65	38.21	38.88
Rbfox2	0.0	0.0	0.0	19.98	15.65	114.48	109.59	110.57
Rnf165	0.0	0.0	0.0	2.59	2.59	24.71	25.79	25.0
Rnf208	0.0	0.0	0.0	19.93	24.83	124.6	138.39	125.1
Rnf39	0.0	0.0	0.0	0.42	0.73	10.29	10.12	8.63
Rnf8	0.0	0.0	0.0	3.85	6.32	36.51	35.78	33.56
Rnft2	0.0	0.0	0.0	5.52	7.15	58.46	59.35	61.39
Rragc	0.0	0.0	0.0	20.86	9.65	68.22	72.12	68.72
Rtf1	0.0	0.0	0.43	9.18	6.93	51.07	46.92	51.09
Sardh	0.0	0.0	0.0	0.0	0.9	6.95	6.49	7.48
Sel1l3	0.0	0.0	0.0	38.15	28.97	45.77	42.88	44.99
Serpina3a	0.0	0.0	0.0	0.0	0.0	0.55	0.24	0.78
Slc39a3	0.0	0.0	0.0	1.03	3.27	60.42	61.8	64.04
Slc6a8	0.0	0.0	0.0	7.35	11.9	61.85	65.48	65.64
Slit3	0.0	0.0	0.0	0.18	0.68	25.89	25.15	27.05
Smarca4	0.0	0.0	0.0	8.7	7.58	63.89	65.92	68.05
Smg1	12.67	3.1	0.0	7.91	8.94	45.02	36.92	47.73
Smoc2	0.0	0.0	0.0	0.42	0.0	10.03	10.37	10.17
Smyd2	0.0	0.0	0.0	2.45	9.13	72.73	77.71	73.05
Snord110	0.0	0.0	0.0	0.0	0.0	0.0	4.17	4.57
Srgap3	0.0	0.0	0.0	0.96	0.95	121.23	113.19	124.22
Srm	0.0	0.0	0.0	9.66	19.62	77.35	82.32	75.39
Tcf19	0.0	0.0	0.0	1.46	5.45	8.99	7.87	6.86
Tle1	0.0	0.0	0.0	0.14	0.0	21.48	23.56	22.5
Tlk1	0.0	1.96	0.09	71.32	31.79	73.53	68.48	65.5
Tmem8b	2.39	0.27	0.81	10.89	6.41	49.17	49.89	49.93
Tmem93	0.0	0.0	0.0	5.87	4.68	47.16	53.14	47.95
Trak1	0.0	0.0	5.88	8.77	6.49	90.13	90.67	87.04
Tsc2	0.0	0.0	0.0	11.75	11.66	54.95	54.1	55.36
Ubr4	0.0	0.0	0.0	6.85	4.92	45.95	42.73	49.32
Ubtf	0.0	0.0	0.0	10.58	11.92	78.31	78.64	80.03
Unc13a	0.0	0.17	0.0	14.56	13.86	173.28	162.24	184.32
Usp13	0.0	0.0	0.0	2.78	7.42	16.56	14.56	16.81
Usp47	0.0	0.92	0.0	17.95	14.13	50.06	49.08	47.58
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.0	0.27	0.04	0.04	0.09
Wac	0.0	31.03	0.0	38.88	32.57	58.03	57.36	55.33
Wbscr17	0.0	0.0	0.0	0.56	0.49	37.98	45.03	41.83
Wsb2	0.0	0.0	0.0	50.33	41.71	294.59	283.93	280.67
Zbtb7a	0.0	0.23	0.11	13.46	16.78	55.37	53.85	57.0
Zc3h18	0.0	0.0	0.0	2.15	1.1	30.0	31.22	31.72
Zfp827	0.1	0.0	0.0	2.48	2.91	19.14	18.31	19.24
Zfp91	0.0	0.0	0.0	17.99	15.78	72.51	70.41	73.83
Zyg11b	41.73	4.61	0.76	21.42	18.89	75.5	71.7	74.11
mt_AK131586	6370.03	3744.02	4908.34	0.01	0.0	25813.35	24091.17	24561.45
