	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_84	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_6	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_15	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
Itfg2	0.0	0.0	0.0	0.0	2.85	0.0	59.81	0.0	103.28	52.65	20.99	0.0	117.31	90.18	53.38	25.54	0.0	23.46	5.31	88.37	42.8	0.0	155.17	42.66	118.15	89.34	131.06	211.74	43.3	22.24	0.0	32.79	17.11	142.18	43.24	10.46	63.68	14.6	31.77	33.85	90.89	51.21	0.0
Katnal1	0.0	4.63	0.06	0.21	0.0	0.07	3.16	2.25	9.72	57.99	0.0	17.25	36.28	5.09	0.13	27.74	0.0	48.93	0.49	3.6	16.4	32.48	72.42	5.89	62.31	26.8	19.14	69.62	24.23	7.98	0.1	15.6	9.45	31.6	5.62	0.0	0.83	4.5	1.02	85.79	16.12	0.0	0.12
Kcna1	0.0	49.93	0.0	0.09	0.0	0.05	219.47	0.0	218.51	203.62	67.88	155.4	214.98	120.88	231.33	194.23	255.22	281.96	237.12	53.8	209.54	455.33	55.56	151.11	248.36	31.55	159.56	229.17	158.39	12.5	51.76	254.23	229.92	186.92	169.76	275.53	195.32	140.07	83.12	139.69	267.03	247.3	0.0
Ldhb	7486.96	6607.22	8970.97	6333.62	2593.67	5274.92	9309.63	5876.73	8798.32	8750.45	10118.08	10894.4	8525.9	8217.62	8583.06	8517.89	9220.91	9343.6	8808.99	8620.64	8574.79	10165.1	7814.88	9602.81	7343.35	7167.6	11261.44	6159.05	10004.69	8757.21	5166.17	9074.03	13571.31	12546.17	8513.41	9755.78	8390.99	11010.48	10182.84	9082.37	8351.44	11746.38	5577.5
Mapk10	127.77	30.3	25.77	156.15	0.05	0.0	158.07	0.0	180.08	186.07	107.73	157.87	147.49	175.98	125.36	246.32	158.87	211.52	182.94	139.89	173.01	264.81	228.6	184.75	235.37	118.93	193.52	310.08	221.53	111.75	2.15	213.25	160.97	182.2	205.41	122.75	210.67	73.16	233.0	150.57	181.66	204.3	0.0
Osbpl8	0.31	2.48	1.92	7.49	0.0	0.32	32.63	1.79	41.7	24.87	41.74	0.73	5.91	13.87	7.13	38.02	19.15	19.1	35.04	13.88	19.09	36.59	59.46	10.48	57.15	11.39	35.2	20.81	32.08	11.21	0.84	19.12	26.5	36.87	11.56	53.26	28.76	22.8	43.83	20.61	11.33	21.8	1.04
Pikfyve	0.1	0.05	0.0	10.44	0.0	0.0	5.29	0.08	18.19	0.43	0.17	9.07	7.16	0.04	0.07	25.07	14.22	4.46	4.61	0.28	0.1	10.72	25.03	0.52	41.59	16.6	0.24	23.74	0.14	0.32	0.34	16.13	5.08	0.11	2.93	0.11	5.74	0.31	0.24	26.54	20.47	0.82	259.75
Ptbp2	0.0	0.04	0.22	0.99	0.0	0.0	1.88	0.0	17.55	49.18	21.74	36.78	39.31	53.88	17.97	56.07	77.41	64.41	51.17	0.38	20.35	0.19	130.72	65.58	178.45	24.27	50.1	176.56	24.17	0.0	0.0	23.29	17.27	45.6	57.14	32.1	16.86	6.55	25.28	31.53	45.8	41.36	0.0
Pxk	0.17	0.0	0.0	0.0	0.0	0.0	3.16	0.0	33.57	34.55	33.2	33.12	13.57	36.08	10.36	60.15	0.0	0.65	0.0	59.25	50.67	33.75	113.3	40.33	77.17	10.79	0.0	89.97	16.58	29.22	18.28	57.86	39.35	7.97	44.51	47.91	25.8	4.22	74.71	4.36	35.4	30.45	0.0
Sept3	0.0	0.16	0.3	0.2	0.0	0.1	0.93	0.12	146.41	50.35	60.46	53.8	125.37	88.32	90.52	23.89	79.37	76.93	52.15	55.58	28.42	97.37	87.26	1.35	127.05	86.94	90.27	110.27	23.91	11.97	0.14	66.56	71.84	25.11	69.16	42.74	95.18	21.41	125.19	76.43	81.67	68.52	0.0
Sltm	0.0	0.0	0.0	0.23	0.0	0.0	4.44	0.0	41.2	22.28	0.0	5.54	43.41	2.28	16.8	33.6	61.56	52.18	23.08	49.01	20.13	6.88	29.93	0.0	76.37	6.13	59.66	78.67	20.26	22.97	24.16	47.97	20.44	55.69	9.43	57.96	60.4	17.59	31.59	7.04	16.45	55.0	0.0
Sorbs1	52.67	25.59	0.05	66.97	0.0	0.09	26.97	0.0	116.65	71.61	49.57	68.97	55.01	36.63	163.15	134.82	75.69	70.48	94.38	6.48	67.09	88.11	83.37	106.28	117.49	103.94	79.08	242.56	117.94	49.25	4.95	76.5	113.62	67.76	152.97	73.61	74.93	70.89	57.62	168.2	172.1	129.07	0.0
Sox5	0.0	0.0	0.03	0.0	0.0	0.0	0.1	0.04	3.84	0.0	2.33	8.87	7.7	4.32	4.29	8.86	0.0	1.67	8.2	10.9	4.1	15.5	58.51	20.96	25.39	3.52	0.12	26.41	0.04	0.0	0.0	6.48	8.37	0.0	4.26	17.37	0.95	0.0	0.94	0.0	0.05	11.07	0.29
Stk39	0.0	0.04	0.0	0.0	0.0	0.0	16.93	0.0	44.73	0.0	4.21	29.38	39.6	26.42	28.26	33.36	8.49	30.31	15.4	0.0	16.87	5.78	0.74	7.74	46.32	4.31	12.47	30.1	36.98	0.0	0.0	31.82	55.25	30.09	31.45	49.86	44.49	28.64	28.06	69.06	26.5	52.17	0.0
Taok3	0.0	8.72	17.71	0.0	0.0	0.0	19.59	0.0	2.77	26.78	0.0	40.16	5.39	22.76	0.0	7.88	6.84	11.81	20.64	3.6	19.44	3.66	34.51	21.47	31.16	0.18	5.85	32.92	13.22	57.08	0.0	26.61	15.95	32.05	11.59	36.8	7.46	6.19	17.77	7.42	24.88	0.64	0.0
Tfam	0.0	0.03	0.07	0.16	0.0	0.0	36.66	0.07	33.97	27.76	27.21	1.7	24.67	1.24	18.34	6.93	28.3	1.79	25.45	29.23	34.26	14.0	47.37	1.51	51.78	0.22	0.09	28.19	1.09	3.64	0.09	5.62	3.31	13.99	31.54	0.22	42.41	12.72	6.56	2.54	64.35	31.32	0.0
Timm44	0.0	0.07	0.0	12.07	0.0	0.0	5.4	0.0	23.22	52.52	9.05	57.28	94.55	41.75	37.76	127.04	17.5	99.53	66.75	5.82	45.46	34.64	32.57	166.87	39.21	0.22	56.71	149.41	43.91	51.03	0.2	19.08	51.2	74.43	70.4	59.08	117.08	118.02	64.12	25.12	114.71	45.69	46.03
Trak1	0.0	0.0	37.08	0.0	0.0	0.0	9.39	0.06	5.77	0.0	27.67	0.0	15.85	14.69	25.29	4.25	12.01	34.76	33.82	0.52	0.0	17.24	57.8	39.81	26.99	14.16	30.34	76.51	66.09	54.0	0.0	13.63	31.1	21.03	0.0	9.1	29.8	34.57	9.99	0.0	9.48	9.98	0.0
Ube2g1	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	8.29	0.54	0.13	22.9	4.33	1.13	32.3	73.06	33.56	34.14	12.6	19.57	21.52	41.2	54.5	0.48	94.39	0.0	7.53	75.72	47.08	0.0	0.28	32.96	5.25	26.98	32.51	19.85	22.07	54.77	26.21	90.34	36.4	34.26	0.0
Vamp1	38.87	0.0	0.0	0.13	0.0	0.0	82.08	0.0	108.03	107.92	61.88	88.18	77.92	95.96	309.65	193.37	54.17	105.26	204.8	94.09	120.26	223.98	133.36	62.72	203.76	34.88	121.86	37.13	126.35	51.39	0.0	152.03	189.43	130.96	181.36	99.48	74.49	80.25	107.42	54.88	184.84	136.71	0.0
Zfp511	0.0	0.0	0.0	0.0	0.0	0.0	6.55	0.0	3.9	43.44	0.0	8.97	3.52	0.0	0.0	11.35	0.0	0.0	0.0	0.0	0.0	28.65	104.2	14.21	68.45	41.72	0.0	174.07	46.16	0.0	0.0	30.22	0.0	0.0	5.17	19.22	31.03	42.02	55.48	0.0	6.02	36.3	0.0
