	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_25	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_1	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_85	Rbp4_tdTpositive_cell_51
Fancg	0.0	53.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.65	0.0	0.0	0.0	17.88	0.0	0.0	0.0	0.0	46.21	0.0	0.0
Gm14326	1.12	63.64	0.03	0.0	0.03	53.12	17.55	64.2	2.07	19.33	30.36	15.28	14.59	25.52	19.72	3.64	44.09	4.3	33.69	4.37	7.93	14.54
Gm15881	0.0	217.71	0.0	0.0	0.0	47.92	0.0	0.0	1.05	115.21	167.85	106.98	43.54	13.42	110.38	0.59	355.82	39.11	0.0	146.81	40.54	46.8
Gm19619	5.54	9.21	0.95	1.31	2.78	6.66	3.36	0.0	3.94	4.23	4.75	6.54	3.22	4.29	8.52	2.05	5.86	2.37	4.63	3.6	6.82	5.1
Gm8580	0.0	36.8	0.88	1.24	0.0	23.04	0.0	3.56	6.01	18.99	16.5	35.09	21.41	7.05	32.24	15.5	1.71	13.82	2.24	17.75	19.94	14.09
Habp4	0.0	118.81	0.19	0.13	0.41	2.3	0.0	1.85	56.97	38.5	55.46	53.83	123.26	24.72	77.15	68.59	15.32	110.15	36.47	2.75	91.68	48.49
Lbr	0.0	99.42	1.51	0.0	0.0	0.0	0.0	0.0	18.34	2.38	0.14	19.0	22.18	19.0	0.63	41.86	33.58	32.15	3.29	0.0	23.86	0.0
Ldhb	7486.96	5082.1	8970.97	2593.67	2388.93	9309.63	3693.02	10118.08	10894.4	10165.1	11261.44	10004.69	13571.31	12546.17	9106.97	11010.48	8671.45	10182.84	9082.37	8111.86	8045.48	11746.38
Lnp	5.59	86.08	22.53	0.0	0.0	37.38	0.0	9.82	51.15	28.35	36.64	51.28	49.82	32.93	59.39	68.07	17.07	31.56	41.84	51.22	97.34	28.15
Lsm6	8.62	289.82	126.2	0.09	0.37	53.95	3.65	108.45	48.91	71.84	14.65	158.78	73.4	34.63	107.19	63.06	49.96	71.4	39.32	70.78	129.89	44.41
Mlst8	0.0	105.41	0.0	0.0	0.0	66.35	0.0	0.0	37.39	0.0	1.53	0.97	0.0	1.68	26.31	25.92	7.86	0.0	0.0	1.57	10.92	7.71
Mrpl49	0.0	434.95	0.14	0.0	0.61	82.77	0.0	20.65	100.05	50.4	5.47	150.92	50.16	69.66	132.37	0.0	221.71	187.87	92.65	209.89	75.83	182.01
Nol11	1.38	231.31	0.31	0.0	2.18	43.73	0.82	66.15	8.34	30.18	47.74	0.12	15.32	1.06	70.61	16.91	145.8	26.88	3.51	15.59	1.28	1.18
Nova1	0.0	74.16	9.54	0.0	0.0	24.86	0.0	27.49	1.55	4.94	0.0	19.79	18.45	2.25	24.14	3.27	6.57	20.64	3.17	23.52	50.68	9.3
Nup205	0.0	69.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.13	8.74	1.97	0.0	0.0	2.06	0.0	0.0	0.09
Pcca	0.0	166.89	0.0	0.0	0.0	10.0	0.0	10.15	0.0	2.25	8.74	8.73	6.73	0.0	56.61	0.21	0.0	0.0	51.34	0.0	102.54	138.02
Pde1b	0.0	162.71	0.0	0.0	0.0	0.0	0.0	0.0	11.14	0.0	0.25	0.0	23.29	20.29	5.95	23.52	0.0	1.07	36.16	3.34	0.0	0.0
Pdik1l	0.0	69.67	0.0	0.0	0.0	0.0	0.0	0.0	26.18	0.0	0.0	0.14	27.87	0.0	50.84	0.05	0.03	27.23	8.25	5.29	6.21	4.97
Pelp1	0.0	29.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.47	0.0	0.0	0.0	0.0	0.0	0.0
Polr1c	0.0	155.12	0.0	0.0	0.0	73.62	0.0	188.15	132.0	32.09	101.5	110.61	73.26	177.55	147.55	165.04	200.3	101.76	48.45	153.3	103.32	71.98
Ptp4a2	0.0	338.61	0.0	0.1	0.61	48.36	0.18	223.01	144.24	223.51	149.94	137.18	70.21	186.19	207.46	197.38	100.89	103.11	155.21	76.33	156.44	113.01
Ptpn2	0.0	267.16	22.2	0.0	0.12	7.14	0.0	95.49	49.66	8.18	89.84	109.12	44.28	24.69	86.13	229.58	19.23	0.48	43.45	3.33	38.37	37.71
Rai2	0.0	171.66	0.11	0.0	0.0	5.51	0.0	0.0	25.35	5.0	0.0	0.0	4.32	0.19	0.0	10.11	0.0	15.29	23.09	0.32	9.65	44.71
Rtkn	0.0	158.7	12.23	0.0	0.0	6.68	0.0	0.0	2.85	9.81	66.58	3.8	0.13	2.06	22.64	10.13	69.41	53.18	28.07	0.0	112.82	22.09
Sh3glb2	0.0	131.77	14.16	0.0	0.0	0.0	0.0	53.5	83.04	62.13	68.5	99.44	20.71	42.92	37.16	9.45	169.61	44.3	18.93	47.19	156.62	57.97
Slc1a1	0.13	195.28	0.06	0.0	0.42	38.61	0.59	52.28	40.8	72.79	90.67	118.41	61.16	48.31	141.01	173.58	7.66	58.53	71.54	77.36	123.32	98.49
Snora21	0.0	72.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.89	42.59	5.64	0.0	0.0	0.0	0.0	0.0	0.0	71.53	0.0
Snord116	0.0	11.76	0.0	0.0	0.0	0.0	0.0	0.0	8.69	0.0	3.39	5.67	7.64	3.68	3.4	9.68	11.28	0.0	13.5	12.73	0.0	1.69
Snord116l1	0.0	11.76	0.0	0.0	0.0	0.0	0.0	0.0	8.69	0.0	3.39	5.67	7.64	3.68	3.4	9.68	11.28	0.0	13.5	12.73	0.0	1.69
Snord116l2	0.0	11.76	0.0	0.0	0.0	0.0	0.0	0.0	8.69	0.0	3.39	5.67	7.64	3.68	3.4	9.68	11.28	0.0	13.5	12.73	0.0	1.69
Stt3a	0.0	431.0	96.08	0.0	0.0	4.7	0.0	133.33	52.11	75.85	70.09	61.24	22.26	60.9	10.14	55.01	0.23	0.34	95.41	30.61	251.06	102.5
Tgfbrap1	0.0	45.47	0.0	0.0	0.0	0.0	0.0	0.0	5.21	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.89	2.99	1.56	0.31	25.48	0.07
Tmed8	5.66	71.38	0.0	0.0	0.0	0.0	0.0	0.0	9.53	2.32	0.0	0.0	0.08	0.0	0.0	0.44	3.07	0.0	15.4	0.0	39.55	24.53
Trak2	36.73	75.46	25.86	0.0	0.0	0.0	0.0	0.04	15.29	18.71	0.24	0.15	0.22	33.77	2.91	1.28	0.0	1.14	0.55	3.91	48.78	5.7
Zc4h2	0.0	516.23	80.79	0.0	0.0	80.61	0.0	17.52	32.51	0.0	78.88	114.69	0.0	146.12	2.46	61.74	0.0	48.1	10.56	0.0	101.57	115.13
Zfp523	0.0	79.22	0.0	0.0	0.0	2.34	0.0	0.0	0.0	0.0	0.0	0.74	0.1	0.0	45.03	0.0	0.23	21.05	4.33	0.65	41.68	2.15
Znrd1as	0.0	94.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.86	0.0	0.0	0.0	0.0	21.77	81.75	21.5
