	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_87	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_16	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_53	Htr3a_tdTpositive_cell_61	Htr3a_tdTpositive_cell_64	Ndnf_tdTpositive_cell_13	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_21	Nos1_tdTpositive_cell_9	Nos1_tdTpositive_cell_13	Nos1_tdTpositive_cell_19	Nos1_tdTpositive_cell_40	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_24
Gm14434	0.0	13.9	0.04	8.79	1.79	46.02	0.0	21.04	0.0	0.0	13.78	19.43	17.13	14.06	0.0	0.0	0.19	0.0	0.09	37.67	0.0	3.06	0.0
Gm4724	0.0	13.9	0.04	8.79	1.79	46.02	0.0	21.04	0.0	0.0	13.78	19.43	17.13	14.06	0.0	0.0	0.19	0.0	0.09	37.67	0.0	3.06	0.0
Gm5607	0.27	5.42	0.0	5.7	12.59	16.45	10.39	31.32	0.04	13.13	16.95	0.04	12.62	5.21	6.43	0.0	7.61	2.69	8.15	11.09	14.61	6.54	3.01
Hspb7	0.32	0.75	0.08	0.0	0.71	1.32	0.27	0.23	0.15	0.72	0.35	0.0	0.38	0.36	0.0	0.0	0.48	0.05	0.06	0.39	0.0	0.56	0.0
Onecut3	0.33	1.31	0.01	0.44	1.11	0.97	3.17	0.86	0.0	2.11	0.42	0.04	1.75	0.63	0.94	0.0	0.56	0.26	0.41	0.9	0.65	0.7	0.22
Scd3	1.22	6.19	0.31	2.85	5.82	8.79	6.43	2.11	1.18	5.36	4.64	0.2	7.16	2.97	15.56	2.12	2.97	10.78	0.71	4.2	3.25	12.3	1.97
Scin	0.0	0.85	0.09	0.07	1.58	1.38	0.0	0.13	0.0	1.27	0.69	0.0	1.56	0.93	0.24	0.0	0.0	0.53	0.4	0.0	0.41	0.11	0.2
Setd7	0.0	30.28	1.07	35.05	35.59	37.95	7.72	0.19	4.89	0.04	16.88	5.39	14.32	9.27	0.55	0.0	33.08	2.1	0.04	0.11	17.54	36.35	0.04
Sp110	5.33	17.69	0.39	5.47	9.03	32.89	24.64	7.96	0.12	14.51	4.95	0.0	15.71	8.26	14.14	0.0	5.26	2.54	3.49	9.27	4.9	12.2	4.44
Srgap3	0.54	108.69	9.0	54.05	94.83	99.34	19.08	49.05	41.97	18.99	19.37	3.19	90.37	58.68	68.18	0.0	61.49	38.7	36.34	100.42	63.18	79.43	21.74
Tgm3	0.0	1.86	0.07	1.45	1.6	5.58	1.15	0.73	0.0	1.21	0.55	0.0	2.92	1.99	2.76	0.0	3.05	0.86	0.48	1.38	0.12	0.94	0.18
Xcr1	0.52	1.61	0.0	3.35	3.66	3.53	3.79	1.34	0.22	5.39	1.5	0.0	3.18	2.13	3.3	0.0	1.24	0.88	0.56	2.96	1.34	2.18	0.86
