	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_43	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_71	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_5
Slc38a1	0.0	0.0	0.0	123.98	96.42	84.72	147.97	88.01	183.79	93.64	92.82	85.14	126.95	93.98	82.85	85.05	130.54	209.27	132.13	131.05
Smad4	0.0	0.0	0.0	39.89	0.0	0.0	0.0	0.0	0.44	13.08	0.0	0.0	0.0	6.27	0.0	0.0	38.83	36.35	40.84	45.93
Sprr2a1	0.0	0.0	0.0	0.46	0.03	0.2	0.08	0.09	0.6	0.23	0.13	0.2	0.0	0.3	0.13	0.02	0.03	0.23	0.03	0.23
Sprr2a2	0.0	0.0	0.0	0.46	0.03	0.2	0.08	0.09	0.6	0.23	0.13	0.2	0.0	0.3	0.13	0.02	0.03	0.23	0.03	0.23
Srsf3	0.0	0.0	55.38	221.42	332.27	71.08	281.28	171.4	449.89	141.83	91.75	253.12	72.46	214.75	174.99	7.36	90.06	237.02	62.7	486.14
Strn3	2.31	0.0	1.23	14.49	0.0	57.53	35.53	46.08	0.0	78.96	22.4	96.27	117.42	37.26	104.15	8.71	42.02	32.31	26.21	99.3
Tnks2	0.0	0.0	0.0	10.44	32.55	27.39	18.1	2.38	0.0	0.0	0.0	0.0	0.0	8.3	2.07	0.0	19.38	51.12	0.5	85.29
Tor1a	0.0	6.27	0.0	80.55	0.0	8.72	17.15	16.41	0.52	0.0	0.96	82.31	0.0	27.25	53.29	6.86	34.57	145.3	91.01	87.72
Tox4	2.93	0.38	8.72	45.09	16.23	15.87	43.21	35.01	8.32	64.96	15.43	35.82	37.06	24.16	9.76	3.2	9.19	56.89	62.19	117.02
Zbtb4	0.0	0.0	0.0	5.12	15.0	0.18	5.54	9.25	58.53	26.46	2.41	18.28	21.8	1.24	7.69	1.08	1.29	45.82	25.95	67.97
