	Chrna2_tdTpositive_cell_64	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_43	Pvalb_tdTpositive_cell_44	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_20	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arrb2	0.0	0.0	0.0	0.0	0.0	1.75	36.81	0.49	0.0	0.0	0.24	0.0	0.0	0.68	44.78	44.35	40.46
Atf1	0.28	0.0	0.0	0.34	0.49	0.0	61.97	0.39	0.35	0.27	54.34	0.29	0.63	2.55	11.96	12.33	11.11
Atp6v0d2	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
B330016D10Rik	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.58	2.34	2.14
Bak1	0.0	0.0	0.0	0.0	0.0	0.0	4.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.91	10.5	11.76
Bbs9	6.76	0.0	0.0	0.0	0.0	0.0	37.2	0.08	0.0	0.16	0.0	0.0	0.0	0.13	10.06	12.28	10.93
Bcs1l	86.55	0.23	44.99	34.6	50.24	57.07	283.39	42.22	45.14	78.12	33.91	1.85	1.33	0.38	18.75	20.93	22.71
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bmp1	0.0	0.0	0.0	0.0	0.0	0.0	25.19	0.0	0.0	0.0	0.0	0.0	0.0	0.06	43.03	38.95	50.36
Bok	0.0	0.0	0.0	0.0	0.0	0.0	64.39	5.15	0.0	0.0	0.0	0.0	0.0	0.0	50.58	64.87	58.2
Casp8	0.12	0.33	0.0	0.0	0.0	0.0	0.29	0.12	0.0	0.0	0.0	0.0	0.0	0.16	2.4	1.97	2.08
Cck	0.0	0.0	0.0	14.89	0.0	0.0	140.78	0.0	11.45	3.32	97.54	0.0	2.61	16.3	571.52	643.81	606.44
Ccl27b	0.0	0.0	0.0	6.15	0.0	0.68	11.35	0.0	2.62	4.78	9.42	0.0	1.21	0.85	30.63	28.29	22.96
Celf4	26.59	0.0	32.71	0.25	11.27	40.36	123.4	22.81	15.66	98.62	28.17	18.36	24.96	0.73	266.86	243.03	269.08
Celf5	16.01	0.0	0.0	0.0	0.0	0.03	36.61	0.5	0.28	3.6	12.09	0.08	9.41	0.8	163.01	160.05	172.09
Cnga4	0.0	0.0	0.0	0.0	0.0	0.0	66.67	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.96	1.13	1.56
Csnk1e	6.55	0.0	0.0	1.04	20.75	0.72	40.52	2.42	18.94	23.78	35.3	0.0	11.67	1.32	87.5	91.6	82.59
Dtx4	0.0	0.0	0.0	0.0	0.0	0.0	46.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.89	23.19	23.61
Ehmt2	40.96	0.0	0.0	11.79	0.17	0.0	43.23	6.78	0.11	0.14	0.44	0.09	0.0	0.0	122.32	131.91	129.43
Elp4	0.0	0.0	0.0	0.0	0.0	0.0	53.09	0.0	0.0	0.0	0.0	1.02	0.0	0.0	9.41	7.65	9.61
Ets2	0.0	0.0	0.0	0.0	0.0	0.0	64.9	11.58	6.74	0.0	5.74	0.0	0.0	0.89	56.67	59.16	51.74
Fam100a	0.42	0.0	0.0	0.0	9.37	0.0	97.13	0.0	0.0	12.19	29.34	4.45	0.0	0.0	149.0	163.82	150.96
Fbxl3	8.37	79.43	1.4	14.03	1.04	1.6	66.69	14.45	1.59	23.37	40.96	10.72	20.55	0.92	57.07	55.37	56.55
Fbxo17	3.1	11.19	0.0	2.45	4.9	5.06	67.36	2.09	1.32	1.61	2.59	0.86	4.49	3.2	4.89	5.15	4.73
Fermt1	0.1	0.0	0.0	0.0	0.0	0.0	0.55	0.07	0.0	0.0	0.0	0.0	0.0	0.1	0.61	0.59	0.63
Fes	0.0	0.0	0.0	0.0	0.0	0.0	18.49	0.0	34.16	0.0	0.0	0.0	0.0	0.0	2.93	3.13	3.58
Flnc	0.0	0.0	0.0	0.0	0.0	0.0	7.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.58	0.69
Fuk	0.0	0.0	0.0	0.0	0.0	0.0	26.49	0.0	1.59	0.0	0.0	13.04	0.0	0.0	12.3	14.05	13.61
Gfra4	0.0	0.0	0.0	0.0	0.0	0.0	51.61	0.0	0.97	0.0	0.0	0.0	0.0	0.0	40.32	48.59	47.21
Gga2	0.7	1.96	0.1	3.26	1.8	0.25	42.11	0.43	19.76	7.56	0.74	0.21	9.13	0.45	18.05	18.84	18.09
Gigyf1	26.2	0.0	5.75	12.26	17.69	16.35	41.7	9.2	30.33	23.29	8.75	3.6	40.15	12.47	34.53	40.61	39.7
Gm10485	0.21	0.0	0.0	0.0	0.0	0.0	69.74	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.23	0.07	0.08
Gm11149	0.0	0.0	0.4	0.0	0.0	0.0	18.79	0.72	1.02	0.0	0.0	0.0	3.16	0.0	0.54	0.52	0.63
Gm128	0.0	0.0	0.0	0.0	0.0	0.0	19.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.06	0.28
Gm13154	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.04	0.13
Gm13306	0.0	0.0	0.0	6.15	0.0	0.68	11.35	0.0	2.62	4.78	9.42	0.0	1.21	0.85	30.63	28.29	22.96
Gm18756	0.0	0.0	0.0	52.02	0.0	0.0	30.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.3	0.81
Gm20337	4.44	2.87	0.23	3.94	3.79	3.5	190.32	5.07	3.98	5.71	10.24	0.92	6.27	7.07	3.75	2.54	4.02
Gm2506	0.0	0.0	0.0	6.15	0.0	0.68	11.35	0.0	2.62	4.78	9.42	0.0	1.21	0.85	30.63	28.29	22.96
Gm3143	1.37	0.0	0.0	0.89	1.1	0.28	6.68	0.55	3.74	3.32	3.43	1.06	3.6	3.01	7.91	5.51	8.67
Gm5088	0.18	0.0	0.23	0.15	0.2	0.0	16.21	0.69	0.25	0.0	0.25	0.31	0.0	1.72	0.38	0.7	1.37
Gmip	0.0	0.0	0.0	0.0	0.16	0.0	0.87	0.07	0.0	0.0	0.0	0.0	0.0	0.0	5.89	6.85	6.26
Gpd1	0.0	0.0	0.0	0.0	0.0	0.0	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.16	80.97	75.87	79.2
Gucy1a2	1.25	0.21	2.16	5.14	5.62	1.68	54.11	6.89	0.06	4.91	7.96	5.68	3.56	0.79	25.02	18.28	24.48
Hivep3	0.31	0.0	0.0	0.0	0.0	0.0	22.32	0.0	0.0	0.0	4.21	0.0	6.83	0.0	18.82	17.25	20.23
Hmgb4	0.0	0.0	0.0	0.0	0.0	0.0	21.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0
Homez	0.07	0.0	0.04	0.28	0.0	1.4	51.95	0.37	0.17	0.04	0.44	0.21	0.51	4.6	7.39	7.26	6.69
Idh2	1.02	0.0	0.0	0.0	0.0	0.0	79.3	0.0	0.0	0.0	6.42	0.0	7.73	0.0	38.24	42.24	38.5
Igf1r	3.96	13.84	5.7	0.0	6.78	0.04	33.74	0.11	0.44	1.4	2.83	0.0	8.92	2.94	15.7	15.06	17.48
Itgb5	0.0	41.6	0.0	0.0	0.0	0.0	23.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.46	28.45	30.72
Kctd10	0.0	0.0	0.0	0.0	0.0	0.0	77.64	0.18	0.0	45.39	39.02	0.0	33.31	1.39	45.34	45.15	41.67
Klhl14	26.23	0.0	0.0	0.0	21.99	0.0	69.29	0.0	0.0	7.91	0.0	0.0	0.0	0.0	1.96	2.26	2.37
Lasp1	0.0	0.0	0.0	0.0	4.05	3.02	88.69	0.0	0.0	1.39	0.0	0.0	4.6	0.0	103.07	106.31	102.26
Liph	0.36	0.04	0.0	0.26	0.21	0.37	0.77	0.62	0.4	0.53	0.56	0.0	0.38	0.18	0.83	0.65	0.82
Lonp1	0.0	0.0	0.0	29.44	0.21	1.34	103.39	31.14	1.1	0.0	0.0	0.0	0.65	0.23	62.8	68.36	65.25
Lonrf3	0.0	0.0	0.0	0.0	38.28	0.0	49.78	0.04	1.43	0.0	0.06	0.0	7.6	0.03	7.8	7.86	7.39
Lrguk	0.0	0.0	0.0	0.0	0.0	0.0	49.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	1.0	0.96
Lrrc41	0.0	0.0	0.0	0.0	0.0	0.0	95.67	0.29	3.13	20.8	0.0	0.0	0.0	11.97	33.22	35.06	35.47
Mc3r	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.64	0.36
Mcf2l	8.97	0.0	11.51	13.09	15.93	28.85	81.74	0.81	22.94	60.77	10.72	24.91	27.83	1.11	86.14	88.63	85.38
Med24	24.54	0.0	0.0	0.0	0.0	35.08	115.3	1.46	0.0	37.38	34.99	15.47	52.79	0.13	78.92	82.09	85.89
Mesp2	0.0	0.0	0.0	0.24	0.0	0.8	14.17	0.14	0.0	0.83	0.0	0.34	1.02	0.83	1.74	1.42	1.3
Mir3099	0.0	0.0	0.0	0.0	0.0	0.0	62.32	0.0	0.0	0.0	12.62	0.0	0.0	0.0	0.0	0.0	0.0
Mlxipl	0.0	0.0	0.0	0.0	0.17	0.14	0.19	0.0	0.0	0.29	0.0	0.0	0.0	0.13	1.95	2.21	2.11
Mrgpre	2.63	2.64	0.34	1.23	9.31	6.81	125.07	5.13	2.9	2.75	2.16	17.11	1.76	2.82	8.13	8.61	8.35
Myd88	0.0	0.22	0.0	0.0	0.0	0.0	63.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.36	5.94	6.19
Myo15	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.15	0.19	0.17
Myo7a	0.0	0.0	0.0	0.0	0.0	0.0	69.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.69	8.64	8.5
Naprt1	0.0	0.0	0.0	0.0	0.0	0.0	59.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.62	4.74	6.45
Nrg4	0.0	0.0	0.0	0.0	0.0	0.0	21.3	0.0	0.0	0.0	0.0	0.0	0.0	0.13	2.05	2.96	3.13
P4ha3	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.11	0.87	0.53	0.19	0.0	0.2	0.44	3.51	3.19	3.45
Palld	0.0	0.0	0.0	0.0	0.0	0.42	24.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.99	1.14
Pard6g	4.19	0.0	0.0	0.0	0.0	0.0	38.33	0.0	0.0	0.0	14.34	0.0	0.0	0.0	5.58	5.49	5.08
Pcbp1	18.65	0.0	37.96	0.58	50.98	0.3	136.68	38.31	15.38	9.4	53.4	57.85	37.68	5.81	185.19	202.11	179.35
Pcyt1b	27.28	0.0	8.52	13.69	8.91	17.66	49.91	2.03	0.0	12.6	0.84	1.16	6.13	0.0	29.61	28.65	27.62
Pde7a	0.0	0.0	0.0	0.6	0.0	0.0	50.23	0.0	0.0	0.17	0.0	15.25	0.15	0.0	20.14	18.27	19.69
Pemt	0.0	0.0	0.0	0.0	0.0	0.0	128.74	0.0	0.0	92.82	0.0	0.0	6.67	0.0	3.05	3.8	3.15
Pop1	0.0	0.0	0.0	0.0	0.0	7.49	59.76	0.0	0.0	0.0	0.0	0.0	0.0	0.07	5.88	6.1	6.56
Ppfia3	0.0	0.0	0.0	0.0	0.52	0.0	19.4	0.0	0.0	1.3	2.02	0.0	0.49	0.05	109.04	115.42	111.21
Prdm10	0.0	0.0	9.89	0.0	4.27	0.0	52.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.54	7.71	9.24
Psd2	0.0	0.0	0.0	0.1	0.12	0.0	53.64	0.06	0.0	0.0	13.74	0.1	0.0	0.0	27.9	27.54	32.93
Pus1	0.0	0.0	0.0	34.44	0.86	56.18	189.65	0.0	0.0	0.72	0.28	75.43	0.0	0.0	19.41	18.13	17.82
Rell2	12.65	0.0	15.74	1.37	3.28	15.8	65.13	43.12	7.39	15.35	0.0	3.9	61.4	18.14	132.63	150.46	147.42
Reln	0.0	0.0	0.0	0.0	0.0	0.0	50.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.59	26.5	29.11
Rom1	0.0	0.0	0.0	0.0	0.0	0.0	57.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.27	5.73	5.87
Rrm2b	2.96	0.0	5.8	0.0	0.0	0.0	61.9	16.42	15.17	16.88	4.1	0.0	0.0	0.25	26.34	20.33	23.84
Runx2	0.33	0.08	0.0	1.21	0.43	17.83	41.42	0.36	0.19	1.15	0.56	0.0	1.99	1.01	3.07	3.56	3.45
Samd11	6.19	3.86	1.05	0.0	6.85	0.41	71.24	0.0	0.17	0.74	3.27	0.0	0.0	0.0	1.61	1.34	1.26
Scaf1	3.41	0.0	2.66	7.15	1.06	3.54	11.2	1.45	2.69	0.0	0.0	5.82	3.54	0.0	82.36	94.79	90.63
Sgol1	0.0	0.0	0.0	0.0	0.0	0.0	2.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.13	0.14
Sgsm3	34.2	0.0	75.28	46.63	7.2	32.25	182.53	46.26	78.9	30.02	33.28	39.66	10.89	3.94	47.24	51.95	51.43
Shf	0.0	0.0	0.0	0.0	0.0	0.0	3.15	0.0	0.0	0.0	0.0	25.59	0.0	0.0	35.84	41.34	36.49
Slc16a11	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.31	0.0	0.0	0.0	0.0	17.99	23.06	21.37
Slc6a7	1.71	0.0	0.0	0.0	33.9	0.0	64.17	0.0	0.12	0.48	32.74	38.57	0.57	4.0	59.28	59.0	59.67
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Smad7	0.0	0.0	0.0	0.0	1.56	0.0	22.05	0.0	0.0	18.11	0.65	0.0	0.0	0.0	12.36	12.76	11.77
Srsf1	6.06	626.05	15.9	0.0	5.22	5.05	115.91	27.33	2.24	8.65	53.98	33.62	25.86	65.86	87.9	85.06	85.18
Sytl5	1.13	0.0	0.0	0.0	0.0	0.0	103.31	0.0	34.4	0.0	0.0	0.0	0.0	0.0	4.17	2.75	4.22
Tbc1d24	33.29	3.44	7.21	18.4	11.13	33.75	84.31	31.13	9.83	15.48	4.74	8.4	19.05	10.11	49.86	48.16	50.67
Tbk1	0.0	0.0	0.0	14.17	52.96	105.96	180.05	39.71	21.39	0.0	86.72	2.76	0.0	51.2	42.03	39.89	38.13
Tex11	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.18	0.2	0.09
Traf4	0.0	0.0	0.0	0.0	0.0	0.0	54.13	0.0	0.0	0.0	0.41	0.0	0.0	0.0	5.69	7.17	7.83
Unc45a	0.0	0.0	0.0	0.0	3.11	1.36	24.37	0.17	0.0	4.56	16.21	0.0	2.06	10.01	26.91	25.32	22.3
Vmn1r90	0.0	0.0	0.0	0.0	0.0	0.0	32.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.42	0.0
Wiz	19.06	0.0	0.0	0.0	0.0	0.38	19.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.19	27.84	28.92
Zadh2	0.0	0.0	6.87	0.0	0.0	0.0	62.33	0.0	0.0	0.0	0.0	0.0	0.58	0.0	22.79	23.39	24.11
Zc3h7b	0.0	0.0	20.83	0.0	1.48	0.0	23.25	0.0	0.07	0.0	0.0	3.73	0.0	0.08	86.81	85.92	92.81
Zfp128	0.0	0.0	0.0	0.0	0.0	0.0	78.04	0.0	0.0	0.0	0.0	0.0	0.12	0.0	4.85	5.36	4.42
Zfp213	0.0	0.0	0.0	0.0	0.0	0.0	14.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.9	8.07	7.7
Zfp534	0.0	0.0	0.0	0.0	0.0	0.0	2.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.24	0.38
Zfp773	2.18	0.0	0.0	37.68	0.84	66.01	229.54	0.0	0.0	60.01	2.05	0.0	0.0	0.0	1.6	2.06	1.68
c19_tRNA-Ala-GCY	0.0	0.0	0.0	0.0	0.0	0.0	25.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	6370.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.8	3.78	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	24.02	0.0	0.0	0.0	0.0	17.71	0.0	0.0	0.0	9032.87	8417.95	8583.15
