	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_41	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_59	Calb2_tdTpositive_cell_62	Chrna2_tdTpositive_cell_1	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_14	Gad2_tdTpositive_cell_15	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_31	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_6	Vip_tdTpositive_cell_7	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_20	Vip_tdTpositive_cell_22	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_26	Vip_tdTpositive_cell_27	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_37	Vip_tdTpositive_cell_44	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_49	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cbwd1	0.15	9.6	0.0	0.0	0.0	0.0	26.99	0.72	0.0	196.87	0.0	0.43	0.0	0.0	0.42	0.0	0.0	0.0	0.23	11.87	0.0	0.22	0.0	0.0	0.0	0.0	0.5	0.0	0.0	15.6	0.0	0.43	0.0	0.8	17.06	0.73	0.0	0.24	0.0	33.69	0.0	0.0	0.0	0.0	14.86	36.36	9.77	11.52	44.46	5.34	19.66	25.74	18.22	12.64	14.23	13.08
Ccl27b	6.84	10.98	0.0	5.41	0.0	16.36	18.57	0.0	0.0	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.27	0.0	5.27	0.0	4.03	9.38	0.0	2.47	0.0	5.02	0.0	0.0	0.0	40.26	7.77	7.33	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	0.18	114.56	132.22	177.66	74.98	103.08	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Cdc42se1	0.05	0.0	0.2	0.0	0.0	0.0	70.31	0.0	1.12	198.99	80.15	0.0	0.0	0.17	14.91	0.0	0.0	0.0	166.35	0.0	103.15	0.0	0.0	0.0	0.0	0.0	82.66	0.0	0.0	8.17	0.0	0.0	0.0	1.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.84	13.23	12.35	21.86	37.96	4.58	18.93	18.47	22.42	58.74	55.44	53.16
Chrm1	0.41	0.0	2.06	1.37	3.83	56.41	8.89	1.21	0.0	22.84	2.87	0.27	2.73	1.64	0.81	4.85	5.03	7.47	2.62	1.29	1.94	0.0	12.24	2.63	7.69	4.2	2.14	0.75	0.0	15.76	5.5	3.45	1.74	154.63	0.49	1.57	3.86	2.0	1.79	0.4	3.65	4.48	4.55	0.69	13.93	20.17	11.21	11.41	21.56	15.88	13.36	22.61	15.72	75.01	77.79	71.99
D330012F22Rik	0.23	0.49	0.46	0.24	0.26	0.26	1.15	1.6	0.0	0.68	1.15	2.44	0.13	0.51	0.52	0.67	0.42	1.0	0.5	0.0	0.55	0.0	0.75	0.0	0.83	0.67	1.63	1.31	0.0	6.56	0.89	1.29	1.24	2.08	0.37	0.14	2.15	0.31	0.53	1.34	0.0	2.07	0.61	2.09	11.03	21.32	13.38	9.39	22.35	12.61	8.44	9.07	9.23	5.35	5.2	6.08
D630037F22Rik	0.04	0.0	53.09	75.2	0.0	0.0	10.81	0.0	0.0	73.42	0.0	7.53	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	50.96	0.0	0.0	0.0	0.0	0.0	13.42	8.0	1.07	6.29	3.72	4.82	2.38	5.22	5.24	3.71	2.56	6.3	5.16	5.99
Dcps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.06	0.0	250.76	0.0	0.0	0.0	0.0	0.0	0.0	73.73	253.47	0.0	234.54	0.0	0.0	0.0	0.0	0.0	287.37	0.0	0.0	0.0	53.07	0.0	0.0	0.0	179.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.29	47.03	7.68	27.93	7.91	37.87	24.43	38.83	67.01	23.22	21.87	20.93
Dolk	98.5	0.0	0.0	0.0	0.0	171.5	0.0	0.0	0.0	139.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	25.67	0.0	0.0	0.0	0.0	0.0	111.97	0.0	0.0	0.0	9.43	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.28	29.62	9.12	28.54	17.25	22.67	13.27	24.59	15.28	19.76	21.73	22.13
E330023G01	0.0	0.0	0.81	6.29	0.0	6.02	2.53	2.58	0.0	44.39	0.41	0.0	0.0	0.29	0.0	6.84	0.76	0.0	13.94	0.18	0.0	2.46	0.0	0.0	13.65	2.4	0.33	3.68	0.0	7.15	12.78	0.11	3.19	4.06	1.05	0.0	18.09	1.25	0.0	0.0	0.94	6.06	0.0	0.0	3.79	3.03	0.63	4.14	2.55	2.39	1.65	0.95	1.45	3.96	4.43	6.64
F930015N05Rik	0.12	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.58	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.08	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.08	0.1	0.99	1.02	1.08
Fbxo32	1.51	0.81	1.9	1.03	0.72	0.54	1.5	0.81	0.0	1.45	1.02	1.31	0.21	0.83	1.23	1.27	1.49	1.87	25.86	1.42	1.02	2.06	1.31	1.26	1.66	0.55	0.95	1.45	0.0	2.3	1.54	0.65	0.69	2.75	1.05	1.54	2.33	1.57	0.22	1.27	0.84	0.61	1.08	0.32	3.69	5.49	1.57	19.16	8.4	5.24	7.34	9.31	5.19	11.67	10.29	12.21
Fgf10	0.66	0.09	0.27	1.07	0.88	0.0	0.64	0.93	0.25	0.53	0.68	0.39	0.63	0.08	0.35	0.42	0.22	0.25	0.27	0.58	0.28	0.88	0.85	0.59	0.6	0.45	0.41	0.91	0.0	15.35	0.45	0.14	0.33	0.55	0.11	0.25	1.03	0.95	0.0	0.1	0.0	0.48	0.56	1.24	13.36	25.86	22.24	6.11	1.27	18.45	28.96	21.82	23.17	5.22	4.31	4.77
Gm13306	6.84	10.98	0.0	5.41	0.0	16.36	18.57	0.0	0.0	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.27	0.0	5.27	0.0	4.03	9.38	0.0	2.47	0.0	5.02	0.0	0.0	0.0	40.26	7.77	7.33	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	0.18	114.56	132.22	177.66	74.98	103.08	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Gm14430	0.0	0.21	0.41	0.0	7.65	6.46	48.49	0.01	0.0	113.24	0.22	32.53	0.16	0.0	0.35	0.03	0.0	0.62	0.56	0.94	0.0	0.23	0.24	0.0	0.0	0.0	0.0	6.37	0.0	6.69	86.85	0.0	37.44	28.74	0.23	0.0	0.66	0.0	0.0	0.0	0.0	0.0	30.86	16.12	6.07	7.0	1.76	6.89	5.17	4.81	4.14	5.97	4.22	7.67	5.07	7.49
Gm14431	0.0	0.0	0.0	0.06	1.45	3.52	1.73	1.19	0.0	10.41	3.68	10.43	1.78	0.0	0.0	0.0	1.45	17.25	0.0	0.75	0.0	1.96	0.0	0.0	0.0	0.0	0.0	1.01	0.0	1.74	22.41	0.52	0.71	0.18	0.25	0.0	0.14	2.3	0.24	0.76	10.02	6.32	2.54	0.0	1.14	4.1	0.53	0.51	2.49	2.11	0.99	0.9	1.65	8.87	7.17	8.34
Gm14434	0.0	0.21	0.41	0.0	7.65	6.46	48.49	0.01	0.0	113.24	0.22	32.53	0.16	0.0	0.35	0.03	0.0	0.62	0.56	0.94	0.0	0.23	0.24	0.0	0.0	0.0	0.0	6.37	0.0	6.69	86.85	0.0	37.44	28.74	0.23	0.0	0.66	0.0	0.0	0.0	0.0	0.0	30.86	16.12	6.07	7.0	1.76	6.89	5.17	4.81	4.14	5.97	4.22	7.67	5.07	7.49
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.19	0.21	1.13	2.82	2.35	3.62	0.41	1.27	4.28	1.89	1.73	1.86	1.4
Gm2506	6.84	10.98	0.0	5.41	0.0	16.36	18.57	0.0	0.0	0.0	0.0	0.0	6.68	0.0	0.0	0.0	0.27	0.0	5.27	0.0	4.03	9.38	0.0	2.47	0.0	5.02	0.0	0.0	0.0	40.26	7.77	7.33	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	0.18	114.56	132.22	177.66	74.98	103.08	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Gm4724	0.0	0.21	0.41	0.0	7.65	6.46	48.49	0.01	0.0	113.24	0.22	32.53	0.16	0.0	0.35	0.03	0.0	0.62	0.56	0.94	0.0	0.23	0.24	0.0	0.0	0.0	0.0	6.37	0.0	6.69	86.85	0.0	37.44	28.74	0.23	0.0	0.66	0.0	0.0	0.0	0.0	0.0	30.86	16.12	6.07	7.0	1.76	6.89	5.17	4.81	4.14	5.97	4.22	7.67	5.07	7.49
Gm8898	0.0	0.0	0.0	0.06	1.45	3.52	1.73	1.19	0.0	10.41	3.68	10.43	1.78	0.0	0.0	0.0	1.45	17.25	0.0	0.75	0.0	1.96	0.0	0.0	0.0	0.0	0.0	1.01	0.0	1.74	22.41	0.52	0.71	0.18	0.25	0.0	0.14	2.3	0.24	0.76	10.02	6.32	2.54	0.0	1.14	4.1	0.53	0.51	2.49	2.11	0.99	0.9	1.65	8.87	7.17	8.34
Gpatch4	216.86	148.06	0.0	0.0	0.0	0.0	41.21	36.23	0.0	415.82	0.0	0.0	0.0	0.0	4.8	0.0	0.21	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.46	0.0	275.5	0.0	0.0	0.0	0.0	93.14	0.0	0.0	14.54	0.0	0.0	0.0	0.0	22.27	43.71	69.58	33.4	69.27	31.01	35.44	33.87	52.04	19.41	20.72	20.94
Hectd3	0.0	0.0	0.0	0.54	82.77	0.0	0.0	0.0	0.0	113.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.92	0.0	0.0	0.0	5.4	0.0	0.0	0.0	0.0	3.38	0.0	40.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.21	2.77	8.58	3.79	8.5	8.98	3.44	4.2	2.8	35.01	33.61	33.43
Hnrpdl	29.51	0.0	0.6	0.0	50.55	128.12	121.85	124.01	0.0	251.29	0.0	60.52	24.59	0.0	0.93	67.23	34.24	19.86	0.16	13.05	44.8	42.45	0.0	0.0	26.15	25.4	0.0	32.9	0.0	79.83	48.27	49.26	19.58	26.25	0.36	106.67	4.77	0.0	127.71	0.0	71.89	7.52	3.2	58.36	29.55	54.51	26.34	49.28	74.68	58.79	46.91	39.66	49.11	147.46	153.76	138.44
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.19	0.21	1.13	2.82	2.35	3.62	0.41	1.27	4.28	1.89	1.73	1.86	1.4
Lrrc29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.17	0.0	13.9	0.31	0.0	0.0	0.0	0.0	9.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	11.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	3.86	0.45	5.98	0.75	0.39	0.16	0.18	3.46	1.45	1.65	1.65
Me3	96.69	0.0	0.98	1.95	0.28	0.51	9.21	4.2	0.64	0.82	1.22	1.18	0.32	1.11	1.85	0.17	14.35	102.34	1.86	0.54	0.07	0.68	0.87	0.37	1.2	0.6	0.12	0.5	0.0	15.66	0.72	5.8	0.48	0.86	0.23	0.57	0.99	8.85	0.14	0.0	0.35	1.12	0.63	0.22	12.4	26.1	28.31	18.4	19.64	16.29	30.49	27.81	25.32	40.82	30.06	29.68
Mtmr10	0.0	0.0	0.0	0.0	0.0	0.0	5.07	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.25	2.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	2.42	0.22	1.94	0.33	0.05	0.28	1.11	1.98	11.13	12.35	11.92
Myst3	0.0	0.0	0.0	0.0	0.0	2.48	3.37	1.35	0.0	56.77	0.0	0.0	0.87	3.17	6.75	0.0	0.25	1.3	0.0	1.16	1.32	0.0	0.0	0.0	0.0	13.57	0.0	2.08	0.0	1.06	4.1	0.58	0.65	35.33	120.92	1.81	0.0	0.0	0.0	0.0	0.0	44.41	0.0	0.0	12.13	1.6	7.03	5.18	1.21	7.91	2.93	4.16	3.11	23.44	21.37	23.54
Neu1	0.99	0.0	0.19	0.23	0.09	0.0	0.51	0.0	0.09	75.5	4.22	0.43	0.18	1.07	0.0	0.0	1.08	1.09	0.0	1.67	1.88	61.14	0.76	0.73	0.58	0.25	0.0	1.02	0.0	4.82	0.13	0.0	3.58	0.13	1.05	0.0	0.94	0.0	0.0	1.37	3.61	5.52	0.0	0.46	8.71	17.49	4.6	6.59	16.7	14.53	9.47	8.92	11.3	33.45	35.47	32.28
Penk	11138.18	7669.37	5037.4	10714.69	21119.42	7052.5	1249.38	8723.78	0.0	1085.68	14614.46	30305.82	14273.96	24078.42	18579.64	29110.93	10693.84	7583.12	15168.53	23047.57	13973.88	19453.81	4223.01	11802.85	22944.38	23364.23	0.35	5463.18	0.0	5.24	16623.49	7740.57	6447.46	24984.25	7859.51	3893.36	8575.12	4970.72	8940.47	3699.3	5789.22	9357.5	9658.52	11865.47	0.0	0.0	0.0	0.22	0.0	0.0	1.73	1.49	3.51	368.19	372.55	337.73
Pppde2	0.0	0.14	0.0	0.0	3.9	0.38	95.21	0.0	0.0	128.27	0.0	0.0	0.0	0.0	0.0	41.15	0.0	0.0	0.0	21.68	195.89	0.0	53.9	0.31	0.0	0.0	0.0	2.04	0.0	16.26	57.83	76.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.23	8.6	14.7	0.1	5.97	1.38	8.81	4.3	9.56	11.2	103.5	101.86	107.13
Rnf208	0.0	0.0	0.0	0.0	0.0	73.62	82.24	0.0	0.0	0.49	0.0	11.38	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	16.04	0.0	0.0	0.0	0.0	23.84	0.33	6.38	1.62	0.0	0.0	0.0	28.96	0.0	0.0	0.0	0.0	0.0	0.31	0.0	17.59	15.68	8.17	11.52	28.42	29.38	19.93	24.83	31.19	124.6	138.39	125.1
Rxra	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	88.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.54	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.08	8.63	0.85	0.0	0.0	0.0	0.0	2.56	0.0	1.57	0.0	0.65	0.0	2.02	1.75	1.44	14.03	15.47	15.08
Sema3a	0.09	0.07	0.0	0.0	0.11	0.06	0.07	0.0	0.0	0.29	0.09	0.25	0.0	0.0	0.13	0.0	0.21	0.13	0.14	0.24	0.17	0.06	0.0	0.0	0.38	0.01	0.0	0.07	0.0	12.57	0.07	0.0	0.16	0.46	0.22	0.04	0.11	0.31	0.0	0.0	0.0	0.2	0.26	0.15	55.39	70.07	94.36	44.99	45.98	44.76	96.34	56.57	68.98	10.14	9.95	10.44
Sh3gl3	0.0	0.0	0.0	78.94	0.0	89.55	173.06	6.46	0.0	288.8	0.0	0.0	0.0	94.75	0.0	14.27	0.0	142.2	0.0	0.0	0.0	0.0	158.86	0.0	0.69	0.0	0.0	0.0	0.0	12.61	161.28	0.0	11.48	0.0	0.0	3.78	0.0	0.0	153.57	0.0	0.0	0.0	0.0	0.0	10.78	19.43	18.34	14.62	1.03	0.0	13.9	8.14	8.21	60.35	55.6	54.26
Slc52a2	0.1	0.0	0.0	0.16	0.0	0.0	1.37	0.26	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.17	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	1.29	0.16	0.0	0.96	0.0	0.0	0.18	0.0	0.0	0.15	0.13	0.0	0.55	0.0	0.0	5.31	11.41	2.98	8.89	11.26	0.0	4.64	5.09	5.66	10.97	11.29	11.91
Slc9a3r2	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	150.78	0.0	0.0	68.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	409.61	5.44	0.21	0.0	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	2.7	4.84	0.55	0.0	4.3	1.08	3.51	4.38	41.47	44.48	39.59
Snora81	0.0	0.0	0.0	0.0	0.0	0.0	51.12	0.0	0.0	313.79	0.0	0.0	0.0	0.0	8.02	3.67	0.0	0.0	0.0	0.0	3.31	7.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.51	11.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	12.49	8.04	19.51	5.35	9.19	19.48	6.33	9.6	13.8	8.66	15.03
Snph	0.0	0.0	7.26	0.0	0.0	4.65	2.23	0.0	0.0	108.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	57.58	0.94	0.0	19.72	155.34	0.0	37.8	85.01	0.0	0.0	0.0	21.35	0.18	0.0	0.0	0.0	0.0	0.0	26.56	0.0	0.0	0.0	0.0	0.0	3.89	0.0	28.07	42.29	28.44	19.21	16.37	16.27	14.56	16.95	24.36	167.43	174.0	180.8
Tbc1d5	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.12	0.0	205.51	35.25	0.0	0.0	0.0	0.0	0.0	0.29	55.81	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.17	0.0	0.0	0.0	2.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	5.58	7.43	2.53	4.12	6.69	6.0	4.14	5.7	5.51	20.95	18.77	20.96
Trim26	0.04	0.0	0.0	0.0	70.1	0.0	0.58	0.22	0.0	237.87	0.56	0.0	0.0	0.0	0.0	0.0	0.0	36.49	0.0	0.0	0.0	2.61	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.16	105.06	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	12.39	0.72	0.28	8.57	8.99	2.6	4.61	5.51	14.37	15.07	15.39
Ulk2	10.94	0.0	1.98	2.17	31.43	4.76	24.34	3.07	0.0	6.71	3.37	6.59	0.0	7.08	0.0	6.85	3.16	67.68	2.51	0.0	0.0	3.93	0.24	11.31	0.08	2.42	0.82	3.03	0.0	30.62	19.91	0.0	4.89	4.56	0.0	0.0	0.0	0.0	6.31	4.75	13.75	0.0	17.11	4.49	7.43	21.68	23.32	17.39	30.49	15.7	25.72	17.62	16.84	59.65	62.09	60.36
