	Ctgf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_36	Tac2_tdTpositive_cell_5
Hjurp	0.0	0.0	0.0	2.35	0.1	1.26	0.08	3.58
Hnrnpa1	0.0	0.0	0.0	63.43	223.97	287.64	222.62	1348.99
Htr2c	0.0	0.0	0.0	0.0	0.0	0.0	20.64	55.05
Kbtbd5	0.0	0.0	0.0	0.0	3.89	0.0	0.34	36.34
Kcnn2	0.0	0.0	0.0	8.77	3.52	41.8	3.03	106.62
Kpna2	0.0	0.0	0.16	0.0	40.99	134.97	83.37	411.61
Lars2	0.45	0.0	0.0	0.0	0.25	0.74	0.12	69.95
Lefty2	0.0	0.0	0.0	0.17	0.0	0.72	0.5	4.78
Lrrfip2	0.0	0.0	0.0	0.33	0.0	13.11	18.45	53.36
Lrrn4	0.0	0.0	0.0	0.03	0.0	0.14	0.0	0.14
Mcts1	1.18	0.0	0.0	17.59	219.47	166.44	125.08	391.44
Mdm4	5.92	0.0	0.0	3.55	5.44	35.59	6.09	164.66
Megf8	0.0	0.0	0.0	0.11	0.05	1.34	3.54	17.61
Mill1	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.52
Morn2	0.0	0.0	0.0	0.0	0.79	44.33	0.0	172.94
Mrpl32	0.0	0.0	0.0	0.0	30.16	136.52	262.07	163.4
Mrps24	0.37	0.0	1.34	0.74	0.49	8.18	0.42	56.57
Mthfd1	0.0	0.0	0.0	0.0	4.14	20.85	3.44	20.08
Mxi1	0.0	0.0	14.68	0.57	0.0	15.59	21.25	59.22
Myo15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
Nav2	0.0	0.0	0.0	3.59	1.19	13.88	4.24	23.53
Ndst2	0.0	0.0	0.04	0.0	0.0	0.0	0.0	38.04
Nup35	0.0	0.0	0.06	0.0	25.08	17.25	63.09	122.07
Ogfrl1	0.0	0.0	0.0	3.29	27.99	29.18	22.28	95.28
Pck1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21
Pdia4	1.33	0.0	0.06	0.0	31.96	118.3	131.79	154.2
Praf2	0.0	0.0	0.0	131.7	198.52	262.38	475.56	635.95
Rmnd5a	0.0	1.2	0.0	39.39	26.22	36.43	8.62	85.06
Rpl12	0.0	25.16	0.0	294.73	194.11	276.32	177.67	488.8
Rpp14	0.0	0.0	0.06	0.0	100.5	39.36	0.0	290.81
Rrp1b	0.04	0.0	0.4	5.96	3.83	0.63	8.65	59.41
Rtf1	0.33	0.0	0.1	0.5	19.16	4.16	4.16	39.02
Sat2	0.0	0.0	0.0	0.0	0.0	35.52	0.0	162.44
Scamp5	0.0	0.0	0.05	17.64	39.76	15.41	35.49	201.67
Sf3a3	0.0	0.0	0.0	10.55	24.75	33.66	41.65	269.93
Shd	0.0	0.0	0.0	0.0	2.53	9.35	0.0	102.97
Slc25a14	0.0	0.0	0.11	0.14	120.71	99.18	62.37	429.92
Smad9	0.38	0.0	0.09	0.19	8.7	0.05	0.0	35.22
Snora30	0.0	0.0	0.0	0.0	0.0	26.08	15.96	43.14
Soat1	3.0	0.0	0.29	0.85	6.92	13.57	7.42	14.77
Sp110	1.07	0.0	8.0	14.39	2.33	15.73	11.44	15.97
St7l	0.44	0.0	0.08	0.68	16.11	13.87	0.3	63.0
Stard3nl	0.0	0.0	1.26	0.0	55.13	82.25	186.65	347.61
Tbc1d5	0.0	0.0	0.03	0.04	0.42	5.9	23.94	57.05
Tc2n	0.0	0.0	0.0	0.09	0.0	0.0	0.17	1.15
Tcerg1	0.0	0.0	0.0	30.53	14.48	9.91	22.85	77.43
Tcf20	0.0	0.0	0.0	4.07	1.3	5.53	32.33	51.16
Tfap2b	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.26
Thap1	0.0	0.0	0.0	0.0	0.0	14.44	0.0	185.3
Tmem55b	0.0	0.0	0.0	0.17	1.7	4.78	10.9	35.09
Tmem68	0.0	0.0	0.0	0.0	0.0	139.96	57.88	339.33
Tmem70	0.18	0.0	0.83	0.12	18.69	26.45	93.46	76.39
Trim2	0.0	1.3	0.34	32.7	16.06	40.53	34.32	119.99
Trp53bp1	0.0	0.0	0.0	1.24	0.73	21.91	20.95	42.67
Ube2k	0.0	0.0	0.0	0.0	5.4	51.02	34.87	165.04
Wdr35	0.0	0.0	0.0	0.39	14.43	22.78	3.64	173.98
Wdr36	0.15	0.0	0.05	0.0	1.74	24.4	18.14	74.32
Wdr60	0.0	0.0	0.0	17.67	5.85	21.75	11.28	39.35
Xpr1	0.0	0.0	0.0	0.07	2.09	15.05	4.08	97.37
Zfp119b	0.0	0.0	0.0	0.0	1.0	8.02	0.82	133.59
Zfp277	12.71	0.0	59.2	48.11	97.68	163.68	174.12	322.65
Zfp61	0.0	0.0	0.0	0.0	0.2	30.32	12.28	136.18
Zfp931	21.21	0.0	0.0	0.33	59.71	24.59	8.69	79.48
Zmynd8	141.89	70.02	81.66	126.07	84.85	223.13	261.05	340.75
mt_GU332589	28558.05	12014.73	26493.16	28909.02	31086.28	16090.8	20242.91	6617.26
