	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_87	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Oxgr1	0.0	0.0	0.0	0.0	0.0	0.24	0.15	0.24
Palb2	0.0	0.0	0.0	0.99	0.0	1.21	0.64	1.3
Pick1	0.56	0.19	0.0	40.3	2.07	51.4	51.22	51.97
Podn	0.17	0.0	0.0	0.0	0.0	4.85	5.03	5.01
Ppp3cc	0.0	18.81	0.0	1.36	0.0	24.75	27.47	26.13
Ptgfrn	0.0	0.0	0.0	0.0	0.0	22.87	21.65	22.36
Ptprg	0.0	0.0	2.69	2.53	2.95	27.45	26.48	29.73
Rab11fip2	4.07	11.83	1.07	0.56	1.44	41.52	36.24	39.33
Reep1	123.59	44.17	3.99	35.08	9.41	107.81	106.11	104.33
Rims4	0.0	5.68	0.0	3.79	0.0	57.06	56.54	59.93
Rnf112	2.93	0.0	0.13	3.78	0.0	274.94	298.54	287.09
Sidt1	0.0	0.0	0.0	0.0	0.0	39.64	41.17	36.54
Sirt1	0.0	0.0	0.0	0.0	0.0	11.7	11.08	10.6
Six3	0.15	0.0	0.0	0.0	0.0	6.63	6.73	6.66
Slc22a8	0.0	0.0	0.33	0.11	0.0	14.22	14.6	13.72
Slc2a12	0.0	0.0	0.0	0.0	0.0	2.38	2.15	1.92
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Snai1	0.0	0.0	0.0	0.0	0.0	1.19	0.41	0.65
Snord73a	0.0	0.0	0.0	0.0	0.0	3.14	0.0	0.0
Sowaha	0.15	0.81	0.43	0.0	0.33	65.73	72.24	64.8
Srek1ip1	11.45	14.16	0.0	0.0	0.0	19.04	17.05	16.86
Sumf1	0.3	0.15	0.44	0.58	0.17	21.89	22.8	21.55
Taf2	2.68	0.0	28.87	0.0	0.0	24.63	22.12	21.96
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tex15	0.0	0.0	0.0	0.0	0.0	0.36	0.16	0.3
Tnfrsf13c	0.21	0.23	0.23	0.0	0.0	0.26	0.51	0.8
Trim43c	0.0	0.0	0.0	0.0	0.0	0.18	0.33	0.57
Trim45	0.0	0.0	0.0	0.0	0.0	5.54	6.69	6.48
Ttc30a2	0.0	0.0	0.0	0.0	0.0	0.17	0.15	0.0
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ube2s	0.0	0.0	0.0	0.0	0.0	112.79	123.41	115.9
Usp30	0.0	14.48	0.0	0.0	15.09	35.67	35.77	36.43
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vprbp	7.95	8.23	1.41	2.25	7.67	16.92	17.02	16.89
Zfp36l3	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.12
Zfp595	0.0	0.0	0.0	3.33	0.0	2.09	1.48	1.71
Zfp771	0.0	0.0	0.0	0.63	0.0	49.36	68.79	59.63
Zp3r	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Zswim4	0.0	0.0	4.0	0.0	0.0	10.77	11.62	10.93
c16_tRNA-Ala-GCY_	0.0	9.06	0.0	0.0	0.0	73.11	21.3	53.47
c8_tRNA-Gly-GGG	25.97	0.0	0.0	7.21	28.55	126.94	92.19	152.22
mt_AK131586	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	14.69	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
