	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3
Brd9	3.71	2.14	111.13	62.79	33.76	110.61	0.81	55.49	67.49	14.0	45.37	63.55	3.1	3.05	65.38	7.97	163.3	127.69	197.88	129.99	93.29	156.27	155.54
Btbd10	65.25	57.24	5.91	82.09	73.86	20.29	24.83	46.96	1.52	33.45	2.78	38.95	0.9	55.97	0.86	0.36	374.21	554.68	639.43	342.6	359.14	420.55	343.95
Btrc	46.2	2.9	0.82	25.57	19.46	0.0	21.15	10.82	3.58	35.73	55.76	35.37	2.28	31.43	21.13	22.15	73.17	50.68	59.31	58.67	48.34	57.4	46.54
C330006A16Rik	36.8	156.37	29.4	57.99	112.33	22.31	34.98	94.31	27.48	171.95	96.11	106.7	87.59	141.2	97.2	55.12	280.49	341.71	289.27	267.99	292.36	411.59	377.98
Ccl27b	0.0	0.03	0.0	1.74	0.0	0.0	0.77	0.0	1.65	1.9	0.13	4.31	0.0	4.89	0.0	7.83	164.03	114.56	132.22	74.98	62.2	61.27	71.98
Cdh18	0.0	0.0	0.0	0.0	0.0	0.0	12.93	0.0	0.0	1.17	5.28	0.0	0.0	0.0	0.0	0.0	54.97	57.01	30.61	86.78	48.21	26.96	33.41
Chchd6	0.0	146.01	30.84	178.0	49.75	0.0	72.79	70.01	193.31	64.39	152.09	55.63	172.4	60.82	97.41	225.65	181.98	321.6	193.46	242.25	179.36	102.84	170.41
Cnrip1	22.15	117.63	184.38	143.18	253.27	69.5	151.24	83.4	22.77	187.06	19.15	152.18	205.5	209.88	243.98	115.65	407.17	324.69	408.64	355.56	319.01	362.32	405.05
Cops7a	114.34	137.57	69.63	146.82	127.57	39.22	172.13	138.04	178.75	184.34	161.27	58.99	270.13	126.32	245.43	181.2	237.83	235.31	279.73	377.09	333.41	232.9	279.58
Crym	0.0	0.19	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	457.32	634.66	671.02	468.95	532.03	438.96	446.79
Ctxn1	0.0	0.2	28.78	0.28	9.46	0.0	3.52	0.91	1.63	0.24	78.11	0.0	6.25	31.44	47.22	2.29	156.78	227.39	387.59	258.53	384.67	74.32	253.46
Dkk3	0.0	0.21	0.0	0.2	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07	0.0	0.09	219.66	259.88	322.37	249.65	278.59	274.84	264.79
Dynll1	362.43	387.79	534.5	363.52	450.78	448.71	370.7	543.77	391.51	464.59	348.56	376.68	618.62	494.94	506.1	740.28	1145.81	1144.86	1071.02	1020.97	1148.44	731.94	817.25
Eif2s1	0.22	113.65	129.28	138.87	91.19	24.61	132.48	146.65	67.54	96.59	124.99	96.33	44.95	49.45	43.72	146.35	191.93	211.02	157.29	138.55	140.97	166.66	150.29
Eno1	1479.61	1484.78	1344.96	1867.65	2067.45	1091.55	1381.98	1634.2	1418.18	1461.1	1416.91	1767.41	1714.55	1725.08	2222.14	2026.46	1998.78	2020.52	2180.47	2176.35	2365.57	1648.52	2061.58
Gadd45a	3.36	0.07	0.0	0.14	2.31	0.0	1.35	0.0	0.0	3.43	0.0	2.07	0.0	0.0	2.04	6.63	158.63	88.45	73.03	61.92	48.07	49.14	53.46
Garnl3	0.0	23.84	45.08	2.4	32.25	45.23	9.2	0.25	6.7	39.86	0.0	35.62	30.66	25.29	35.81	0.0	144.11	151.03	201.89	116.85	118.28	145.51	162.75
Gm13306	0.0	0.03	0.0	1.74	0.0	0.0	0.77	0.0	1.65	1.9	0.13	4.31	0.0	4.89	0.0	7.83	164.03	114.56	132.22	74.98	62.2	61.27	71.98
Gm2002	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.61	0.21	1.13	2.35	0.41	1.27	1.89
Gm2506	0.0	0.03	0.0	1.74	0.0	0.0	0.77	0.0	1.65	1.9	0.13	4.31	0.0	4.89	0.0	7.83	164.03	114.56	132.22	74.98	62.2	61.27	71.98
Gm5506	376.89	982.14	602.05	886.24	603.62	701.48	845.4	1066.47	918.53	620.57	696.31	787.21	822.24	826.55	1134.42	1130.89	1188.99	1023.2	963.13	1103.37	1135.51	1024.71	1290.25
Gpr123	9.98	20.88	0.0	1.57	45.42	0.0	0.0	10.09	0.12	0.0	0.11	4.93	36.24	13.58	0.0	7.46	109.78	118.45	139.55	121.77	100.72	41.43	61.78
Gria2	160.22	77.1	129.75	192.73	108.55	60.21	56.65	79.41	160.37	211.79	110.31	99.06	79.16	168.65	155.48	179.68	601.22	562.48	816.31	657.88	611.07	509.61	529.24
Gria3	16.08	20.36	0.05	45.87	30.79	28.84	22.78	53.1	22.78	0.06	51.51	1.27	42.33	29.15	8.22	12.74	142.27	209.89	253.01	231.22	187.87	335.92	223.69
Grp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.44	9.58	45.62	119.0	126.15	73.35	56.14
Hs3st4	0.0	0.07	0.0	0.0	0.12	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	98.35	77.27	147.06	100.45	149.32	138.75
Igfbp4	0.0	0.0	0.0	0.08	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.78	84.47	77.82	123.85	52.59	88.72	91.06
Il11ra2	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06	0.61	0.21	1.13	2.35	0.41	1.27	1.89
Inpp4a	343.69	210.01	212.75	247.26	264.96	184.55	306.74	358.15	268.98	212.29	424.16	198.4	473.5	244.75	330.21	256.16	486.77	463.76	468.13	642.6	501.16	933.22	741.12
Ldb2	0.0	0.16	0.0	0.07	0.0	0.0	0.0	0.07	0.0	0.0	0.0	10.35	0.0	2.58	1.78	0.0	174.84	72.87	120.06	117.55	141.19	177.23	202.17
Ldha	803.91	1721.55	1317.83	1381.51	876.78	1770.12	729.96	930.14	408.44	1160.41	1025.48	1143.3	1067.89	1740.98	1602.41	1205.67	2464.62	2135.5	2266.41	1787.17	1786.45	1598.2	1862.91
Lingo1	0.0	0.02	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	2.61	6.06	20.82	14.72	20.54	28.57	18.14	11.82	12.29
Lmo3	0.0	0.23	81.24	0.0	0.13	0.0	0.15	0.0	0.13	0.0	0.0	0.0	0.0	0.22	0.0	0.44	491.55	427.61	536.59	352.13	370.82	498.07	385.76
Lpgat1	42.29	51.66	36.68	45.99	43.01	46.75	32.53	25.53	49.87	24.27	39.98	18.8	18.06	63.63	35.38	4.64	130.96	102.38	143.7	91.12	90.46	155.56	103.82
Mctp1	9.98	28.09	0.14	2.5	20.72	30.3	14.48	0.0	15.04	0.0	0.0	13.98	17.69	22.81	8.7	0.0	71.41	62.02	66.88	65.77	52.99	70.84	49.89
Med10	0.0	90.81	0.29	109.41	150.85	59.96	45.61	58.78	38.22	56.56	0.33	42.07	0.0	46.51	140.68	92.49	389.79	509.44	307.48	433.48	396.05	483.52	515.63
Mmp17	1.95	0.0	0.0	0.05	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	47.89	42.28	23.48	41.33	50.56	37.2	30.71
Morf4l1	697.83	630.72	1012.94	892.22	970.42	387.16	686.98	745.7	618.32	1071.2	962.95	1076.32	871.45	920.88	655.57	924.87	1110.81	1028.91	1041.76	1279.31	1127.3	1506.0	1280.3
Myh3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.02	2.11	6.35	6.93	4.15	2.5	2.63
Myl4	0.0	0.38	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.32	154.72	172.08	196.21	465.87	355.7	406.13
Ncald	234.83	438.72	121.3	228.5	374.23	212.68	327.0	169.1	399.28	260.85	307.53	363.03	37.72	177.81	285.58	147.8	1161.28	1026.73	1164.61	1321.55	1012.98	1262.88	1213.82
Nhp2	31.83	0.0	0.0	36.79	55.74	82.85	66.82	78.9	35.64	31.74	31.98	43.16	27.87	0.0	95.34	0.0	229.01	239.43	133.41	155.91	210.06	191.52	188.23
Nos1ap	8.17	4.94	0.0	2.35	10.42	0.25	15.93	2.87	0.0	0.0	0.0	0.0	0.0	10.06	0.0	0.0	74.32	63.28	57.63	68.18	52.47	38.74	52.04
Nptx1	10.9	0.01	0.0	0.07	9.77	0.0	0.74	0.0	0.0	0.0	0.05	0.05	0.05	0.0	0.17	0.0	84.8	140.04	103.28	155.78	104.73	76.51	78.5
Npy	173305.25	149629.49	134232.96	130357.56	122154.33	173863.58	166048.87	191162.16	153405.37	147732.76	141010.39	151963.58	145032.54	180453.32	137945.15	137580.94	0.0	0.0	0.0	0.0	0.99	0.6	0.7
Nudt3	140.74	162.8	248.91	179.28	142.48	420.5	172.79	331.22	363.09	295.47	214.75	163.89	206.92	531.49	315.44	271.59	823.4	760.83	900.94	613.16	672.4	313.83	275.85
Pdlim1	0.0	0.05	0.0	0.0	0.19	0.0	0.0	0.0	0.56	0.2	0.37	0.0	0.0	0.0	5.53	0.0	220.51	309.8	268.34	155.27	24.72	65.81	149.38
Ppa1	240.85	167.73	482.7	221.17	153.82	147.52	177.94	180.72	100.94	21.32	31.24	129.01	323.15	256.43	217.54	328.47	295.51	291.9	388.79	272.3	327.09	284.58	282.56
Prkcb	45.18	14.93	2.64	6.89	23.49	3.8	15.12	0.06	14.58	0.37	3.4	7.3	0.27	0.11	2.75	1.86	309.5	267.34	322.54	313.34	257.9	279.7	235.19
Prkcc	51.96	0.29	55.91	0.31	37.98	53.58	25.56	56.48	77.12	16.37	61.71	0.0	28.61	13.07	60.69	75.0	256.12	190.63	313.37	219.56	149.97	197.02	205.52
Psma3	269.86	536.68	751.77	269.17	363.22	62.16	430.6	274.16	487.88	331.22	239.83	467.36	324.89	542.24	495.44	360.66	827.93	687.48	713.84	722.4	813.04	695.04	590.48
Psmd14	426.65	402.93	175.25	573.02	361.97	536.23	368.53	434.71	195.0	264.77	122.23	397.93	429.92	634.51	318.86	246.54	834.35	835.94	656.66	613.92	600.98	753.78	639.86
Ptchd1	17.72	10.9	0.07	18.3	32.43	22.73	18.75	9.84	25.84	0.04	58.51	16.37	61.39	32.21	13.26	23.3	208.67	207.66	249.82	190.38	152.68	388.53	237.57
Ptk2b	0.0	0.08	0.03	2.65	39.44	0.0	5.31	0.0	0.0	36.2	0.14	5.2	2.14	11.71	4.95	27.03	66.88	82.2	89.08	95.89	125.86	69.56	69.33
Ramp3	0.0	0.13	0.1	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.44	171.8	244.32	115.42	275.17	176.1	244.29
Rap1gds1	115.78	84.24	18.27	70.34	147.77	87.65	8.02	1.03	64.52	34.07	59.64	65.02	13.7	2.53	98.98	3.01	210.7	177.76	264.42	352.98	234.82	163.34	252.04
Rbfox1	173.3	116.23	15.47	53.12	79.15	67.04	80.97	98.08	65.13	198.28	41.91	49.84	21.38	127.64	117.52	96.7	133.92	274.63	146.01	200.96	240.15	134.16	161.04
Rprm	0.0	0.06	0.0	0.23	0.19	0.0	0.0	0.15	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	211.71	202.46	245.4	287.25	579.7	40.28	206.3
Scn8a	1.62	14.51	0.62	4.45	14.66	1.37	4.46	11.53	6.99	9.25	1.12	10.7	0.0	8.24	24.0	1.44	32.51	29.28	42.49	35.51	41.09	30.62	33.92
Sema3e	13.78	12.93	0.05	0.17	14.25	0.07	0.12	21.3	0.2	20.61	12.65	0.16	0.0	0.0	0.1	1.54	18.95	32.58	51.65	22.43	17.25	44.77	34.32
Serpinb8	1.04	21.01	0.18	0.12	14.71	0.51	0.31	0.21	0.06	1.98	62.31	0.45	0.31	0.0	0.25	48.22	81.68	61.94	62.8	54.67	99.95	75.75	64.3
Set	282.22	224.34	449.57	424.4	155.16	200.99	290.4	317.47	307.82	189.47	262.92	418.05	522.24	391.63	450.6	220.13	629.83	525.06	566.08	572.35	597.42	831.73	649.06
Slc25a22	1.89	13.59	56.02	5.3	45.75	56.23	3.3	0.08	0.44	16.9	0.0	19.0	20.87	30.15	0.0	40.08	100.42	59.16	82.42	109.75	67.2	72.65	84.77
Slc8a1	0.0	0.03	0.11	0.01	7.83	4.25	0.0	2.99	0.51	0.03	5.34	2.62	0.0	4.8	1.09	8.31	60.06	29.12	46.95	35.87	34.6	33.96	30.49
Spsb3	33.26	52.07	79.02	73.5	49.24	0.78	0.0	44.76	0.0	42.62	2.77	30.7	58.79	46.38	53.17	0.0	83.64	85.78	151.42	112.26	87.39	89.34	125.66
Syt12	2.73	1.01	1.09	0.22	0.62	1.04	0.81	1.06	1.52	1.17	0.72	0.63	0.48	0.47	0.86	0.78	21.79	39.81	29.63	19.64	43.5	38.65	36.44
Syt16	3.04	32.93	77.64	0.92	0.0	78.21	0.0	43.25	34.51	0.0	1.62	0.46	17.16	44.0	18.39	2.02	56.44	47.39	59.89	57.23	57.41	44.13	49.44
Syt6	0.0	0.02	7.59	0.07	11.7	1.4	8.19	22.24	0.0	1.84	0.0	0.0	0.0	14.8	0.0	10.03	13.95	30.71	27.66	22.9	30.93	27.0	28.78
Syt7	5.31	2.57	2.74	14.13	8.68	1.22	0.71	21.74	0.08	29.51	2.28	8.52	1.34	1.37	2.6	1.13	46.77	41.81	32.85	38.43	29.87	39.12	34.42
Taf9	229.81	298.57	305.04	285.66	258.32	153.02	167.22	188.62	197.29	393.22	158.19	290.93	229.26	191.17	190.58	385.83	437.8	522.27	568.45	555.93	615.82	487.13	533.49
Tbpl1	25.45	4.34	55.24	46.59	33.61	8.98	3.48	0.52	7.24	47.92	94.5	4.2	54.55	20.59	33.64	3.17	57.96	36.19	61.05	83.39	39.11	66.45	58.52
Tcp1	277.82	370.76	335.49	245.61	404.96	185.91	394.35	351.23	251.8	168.34	118.47	198.91	328.01	179.44	350.14	300.87	488.71	385.48	441.76	561.46	401.59	412.65	397.02
Tle4	0.0	0.02	1.33	0.04	11.22	0.43	0.0	0.0	0.0	0.0	0.0	8.19	18.39	0.6	20.06	0.0	90.14	58.3	88.78	58.3	87.67	84.06	86.54
Tmem159	0.0	0.0	0.0	0.12	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.63	0.0	0.0	84.27	132.9	133.45	49.06	55.73	102.77	116.05
Tspyl5	57.83	60.13	117.84	59.32	40.62	39.46	56.37	38.75	44.61	11.51	102.15	63.77	113.7	31.22	110.07	48.16	148.06	211.22	142.0	217.25	167.59	255.24	188.49
Ube2w	117.87	17.13	130.68	127.42	246.41	30.41	55.85	78.51	0.71	93.99	52.81	108.46	105.77	162.31	67.04	173.22	244.27	294.85	385.58	317.27	308.44	334.13	274.15
Ywhae	1239.74	1293.16	1141.61	1741.75	1253.51	1307.79	1275.41	1006.42	996.89	946.9	1370.73	1188.69	1300.62	1145.5	1522.32	1299.55	2225.63	2182.15	2006.6	2333.1	2216.09	2784.86	2413.19
Zfyve28	0.0	0.0	0.02	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	16.99	0.09	3.09	4.64	9.61	7.44	6.15
mt_AK131577	729.87	1040.04	1263.81	1050.47	1034.56	1006.07	594.69	1416.58	1047.52	1585.46	1060.54	1216.13	1016.28	1141.51	885.59	850.74	1368.54	1597.12	1233.39	1596.49	1783.03	1815.08	1570.81
mt_AK132015	729.87	1040.04	1263.81	1050.47	1034.56	1006.07	594.69	1416.58	1047.52	1585.46	1060.54	1216.13	1016.28	1141.51	885.59	850.74	1368.54	1597.12	1233.39	1596.49	1783.03	1815.08	1570.81
mt_AK132098	729.87	1040.04	1263.81	1050.47	1034.56	1006.07	594.69	1416.58	1047.52	1585.46	1060.54	1216.13	1016.28	1141.51	885.59	850.74	1368.54	1597.12	1233.39	1596.49	1783.03	1815.08	1570.81
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	64.82	0.0	0.0	100.77	9.86	4.83	210.2	50.19	8.22	1.6
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	64.82	0.0	0.0	100.77	9.86	4.83	210.2	50.19	8.22	1.6
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	64.82	0.0	0.0	100.77	9.86	4.83	210.2	50.19	8.22	1.6
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	64.82	0.0	0.0	100.77	9.86	4.83	210.2	50.19	8.22	1.6
mt_AK167037	729.87	1040.04	1263.81	1050.47	1034.56	1006.07	594.69	1416.58	1047.52	1585.46	1060.54	1216.13	1016.28	1141.51	885.59	850.74	1368.54	1597.12	1233.39	1596.49	1783.03	1815.08	1570.81
