	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_5
Ggps1	0.06	0.32	1.44	0.0	1.41	0.0	134.53	0.0	48.3	116.31	57.18	88.01	76.26	94.98	87.6	93.53	92.4	52.95	155.32	96.24	90.36	80.61	80.23	181.12	88.79	109.99	135.71	82.61	133.86	105.49	66.16	62.26	195.42	97.19	1.04
Gm14430	0.0	0.0	0.0	0.0	0.0	0.0	3.32	0.0	31.03	0.0	14.72	12.3	26.14	10.3	6.05	13.46	3.07	11.03	9.95	18.55	13.57	0.0	4.08	0.32	0.54	8.34	9.58	17.65	10.45	13.81	23.53	30.75	25.3	2.38	0.0
Gm14434	0.0	0.0	0.0	0.0	0.0	0.0	3.32	0.0	31.03	0.0	14.72	12.3	26.14	10.3	6.05	13.46	3.07	11.03	9.95	18.55	13.57	0.0	4.08	0.32	0.54	8.34	9.58	17.65	10.45	13.81	23.53	30.75	25.3	2.38	0.0
Gm4724	0.0	0.0	0.0	0.0	0.0	0.0	3.32	0.0	31.03	0.0	14.72	12.3	26.14	10.3	6.05	13.46	3.07	11.03	9.95	18.55	13.57	0.0	4.08	0.32	0.54	8.34	9.58	17.65	10.45	13.81	23.53	30.75	25.3	2.38	0.0
Kctd17	0.0	0.32	0.0	0.0	0.0	0.0	106.14	0.0	55.86	2.41	26.53	3.28	5.63	142.76	187.75	28.08	9.61	53.29	1.43	23.68	67.26	0.0	3.43	15.81	10.79	8.46	31.73	247.88	23.65	22.76	5.33	45.51	106.37	0.0	0.0
Ldhb	7486.96	8970.97	4317.46	5274.92	4046.54	5600.23	8752.31	3963.33	8798.32	10118.08	10894.4	7735.26	8217.62	8583.06	9220.91	10165.1	11261.44	10004.69	7834.03	9074.03	13571.31	7371.44	12546.17	9755.78	11010.48	10182.84	7057.76	7739.08	7205.83	9082.37	7910.47	8351.44	7830.1	11746.38	5873.38
Lin7c	192.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	2.45	11.36	40.83	0.0	36.11	3.79	0.0	0.0	25.08	34.03	44.79	22.8	0.56	5.69	14.43	12.95	13.66	66.09	97.16	43.43	3.78	23.97	43.16	78.12	58.74	0.27
Mmgt1	50.93	1.25	0.42	0.12	0.78	3.54	29.34	0.25	23.34	0.24	0.46	2.14	60.29	46.98	89.13	8.79	128.42	0.82	90.88	40.73	25.82	0.57	21.81	25.23	3.62	20.26	27.74	67.69	67.86	51.85	10.32	3.13	16.32	12.0	1.87
Mtus2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.71	13.48	0.0	1.64	4.63	12.83	0.72	13.5	0.05	3.65	2.03	14.03	0.0	0.0	1.55	12.02	0.14	27.89	32.45	5.95	8.2	3.89	0.91	2.27	5.5	0.13	0.0
Myo5a	0.0	4.61	0.0	0.0	0.0	0.0	53.44	0.32	45.27	11.11	69.14	25.89	44.13	71.73	46.76	65.61	41.79	55.97	20.14	69.17	55.96	32.19	9.71	28.13	36.2	73.22	46.46	65.75	64.91	48.43	63.26	145.14	70.29	42.52	0.5
Ncl	7.91	73.39	0.26	0.39	1.64	186.45	41.53	44.65	61.42	59.98	56.77	93.0	125.83	55.65	54.26	58.19	58.59	30.79	103.31	47.75	61.29	78.69	25.77	24.21	38.51	61.65	83.61	119.0	65.05	67.6	45.17	61.1	69.44	62.26	1.85
Ndn	0.0	0.0	0.0	0.0	0.0	0.0	65.45	0.0	36.05	0.31	70.75	0.0	93.72	58.74	34.47	179.04	0.0	0.0	111.51	50.52	28.1	254.08	0.0	0.0	164.32	116.86	298.98	382.71	125.19	312.52	93.34	95.83	106.62	69.74	3.4
Nxph1	0.0	0.0	0.0	0.0	0.0	0.0	403.58	0.0	106.26	328.45	155.63	65.41	336.85	164.62	355.55	235.83	365.39	453.3	100.83	267.36	64.31	29.0	124.86	245.03	100.66	329.13	459.73	110.83	376.18	149.34	314.17	340.72	124.98	103.45	1.47
Osbpl3	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	41.26	13.09	25.94	16.49	5.88	14.4	34.05	64.01	23.52	1.26	2.61	16.19	25.2	42.9	56.35	13.66	0.25	8.6	26.88	29.58	76.41	8.1	20.14	24.43	105.8	9.73	0.0
Pcyt1b	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.0	49.14	8.52	13.69	14.85	0.0	0.0	2.9	0.0	0.23	0.0	0.0	4.36	2.03	0.0	0.0	0.97	0.0	0.0	0.0	32.71	11.95	0.0	0.0	17.52	18.16	8.2	0.0
Prkca	0.0	0.0	0.0	0.0	0.0	0.0	2.07	0.0	20.04	9.24	6.25	14.66	8.09	24.97	14.05	18.28	4.31	35.67	18.73	15.41	6.48	2.6	2.79	0.0	1.15	1.71	39.99	42.87	25.51	19.98	3.4	19.45	32.02	0.0	0.04
Rab1	105.88	42.35	0.22	352.91	74.86	5.27	85.54	0.34	101.75	6.28	58.22	16.25	73.4	126.81	141.04	156.96	50.63	150.59	15.33	85.64	140.87	120.33	119.55	20.77	64.8	107.13	130.36	68.8	130.93	83.74	34.01	168.6	179.61	27.56	18.53
Rbfox1	0.0	2.08	0.0	0.0	0.0	0.04	88.81	0.0	111.53	125.14	91.05	81.81	192.55	222.62	254.3	73.23	100.93	141.49	48.44	53.76	54.96	0.89	122.22	131.12	66.71	74.89	137.09	208.61	121.87	96.1	100.83	120.05	141.51	190.51	1.14
Rims1	0.0	13.05	0.0	0.0	0.0	0.0	15.88	0.0	40.04	9.93	28.13	15.16	27.35	47.93	30.15	54.16	7.62	1.06	0.15	23.5	84.84	0.0	43.49	14.03	51.4	33.93	36.83	57.47	35.55	70.57	6.06	43.43	127.44	63.72	0.0
Sept3	0.0	0.3	0.0	0.1	0.04	0.55	50.6	1.02	146.41	60.46	53.8	45.0	88.32	90.52	79.37	97.37	90.27	23.91	27.05	66.56	71.84	0.47	25.11	42.74	21.41	125.19	15.39	43.99	65.48	76.43	6.94	81.67	188.95	68.52	1.08
Stau2	0.0	0.0	0.0	0.0	0.0	0.0	119.03	0.0	71.95	85.55	38.48	19.43	126.36	98.89	20.61	146.04	26.0	37.23	61.67	109.47	24.01	53.05	18.06	86.62	0.0	32.77	247.18	118.99	48.65	74.36	146.02	76.85	13.66	55.33	0.53
Stxbp5l	0.0	0.85	0.02	0.34	0.68	0.07	10.49	0.06	7.62	14.34	2.2	0.48	10.09	14.62	13.15	20.34	13.09	8.33	0.07	3.33	8.73	22.06	14.63	3.55	5.35	12.41	18.04	2.3	1.35	26.33	9.32	6.82	37.24	2.55	0.22
Syt3	0.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0	4.14	25.2	0.0	19.45	17.54	6.09	19.22	21.77	41.06	0.0	19.14	19.46	4.71	13.74	25.85	3.72	15.58	28.33	48.99	60.49	30.32	5.61	6.27	34.39	12.84	0.0
Trp53bp1	0.0	0.0	0.0	0.0	0.0	0.0	19.42	0.0	23.72	9.22	15.9	1.83	0.1	48.49	7.68	16.2	0.05	13.31	7.22	10.3	13.11	8.14	11.26	2.12	0.14	2.6	33.09	21.28	38.27	24.05	36.68	14.03	33.15	21.15	0.28
