	Ctgf_tdTpositive_cell_5	Cux2_tdTnegative_cell_6	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Ntn5	0.0	0.0	0.0	9.37	9.54	9.59
Pelo	0.0	0.0	0.0	16.43	17.8	16.69
Phlda3	0.0	0.0	0.0	31.17	38.47	36.68
Plagl1	0.0	0.0	0.0	15.74	15.04	13.9
Ptger1	5.78	0.0	0.0	20.27	21.52	20.0
Rabep2	0.0	0.0	0.03	9.77	11.34	10.72
Rgs13	0.0	0.0	0.0	0.53	0.44	0.83
Rhox12	0.0	0.0	0.0	0.01	0.0	0.0
Scand1	0.0	0.0	0.0	71.11	93.56	91.44
Sco1	2.63	2.28	1.88	6.54	5.32	5.55
Serinc4	0.0	0.0	0.0	2.34	1.84	2.33
Slc25a16	0.0	0.0	20.54	38.92	36.43	35.64
Slc27a3	0.0	0.0	0.5	5.16	6.13	5.32
Stk39	0.0	0.0	1.75	52.61	49.61	50.93
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmprss11g	0.32	0.0	0.5	0.79	0.58	1.01
Tnfsf13	0.0	0.0	0.0	4.11	4.29	4.72
Tnfsf13b	0.0	0.0	0.91	1.44	0.89	1.57
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tubb2b	0.0	0.0	53.63	145.03	151.02	154.92
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Yeats2	11.57	0.0	1.6	19.59	17.68	19.4
Zfp874b	3.69	4.09	5.78	9.22	10.09	8.41
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	12.03	7.36	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
