	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
Cnn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.83	50.47	0.0	0.0	3.69	0.0	0.0	0.0	0.0	0.0
D930016D06Rik	0.0	0.0	0.0	0.0	0.0	0.0	29.36	27.81	18.55	2.41	38.46	0.0	0.0	0.0	0.85	21.93	0.14	0.94	51.36	53.47	0.0	15.27	6.2	0.0	2.84	4.69	0.0	0.0
Dedd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	5.6	0.0	0.0	0.0	13.72	0.0	0.0	41.37	0.0	0.0	20.32	0.0	0.0	0.0	0.0	0.0
Dmxl1	0.0	2.24	0.0	0.0	47.74	0.0	8.12	6.2	8.59	11.32	15.59	6.93	0.84	3.85	20.11	14.63	42.76	1.94	28.39	27.88	19.12	19.97	23.02	22.57	17.05	25.63	11.29	0.0
Epm2aip1	0.18	13.35	0.19	0.21	52.96	78.42	17.42	0.27	15.72	1.26	41.15	1.09	31.79	22.67	17.15	21.94	20.47	18.82	77.54	64.91	52.29	51.64	95.52	68.04	65.31	79.48	5.98	0.27
Fam171b	15.14	37.83	0.0	0.0	2.41	36.02	0.44	11.78	41.96	18.94	0.0	0.0	71.68	32.12	47.22	50.98	0.0	20.81	34.57	104.98	27.5	112.17	73.07	43.25	12.55	81.43	0.86	0.0
Fam199x	0.0	0.0	3.87	0.0	3.46	0.82	0.12	9.88	6.48	11.28	0.46	2.66	18.78	9.11	5.68	0.1	0.06	13.15	0.0	33.99	19.5	0.31	1.81	14.06	0.3	25.77	5.29	0.0
Fam84a	0.0	0.0	0.0	0.0	52.35	0.0	41.22	197.42	135.48	207.64	49.17	94.98	94.13	66.96	116.87	167.85	0.0	205.67	317.83	233.16	133.99	211.75	166.72	186.51	197.66	145.6	107.29	0.0
Fkbp1b	0.0	0.0	0.0	0.0	0.0	34.99	82.7	0.0	0.84	1.15	13.78	14.63	157.07	0.0	59.8	0.0	0.0	2.88	4.1	204.61	66.19	11.87	180.6	11.2	0.0	163.93	9.89	0.0
Gabrd	0.0	202.08	0.0	0.0	0.0	135.69	73.86	130.22	304.95	197.42	73.25	237.0	324.98	59.73	5.49	143.46	55.65	437.14	297.19	415.15	354.32	192.83	122.79	134.73	283.31	180.81	57.89	0.0
Glud1	5.53	0.08	0.93	0.0	0.29	0.99	6.76	0.3	8.48	106.89	0.62	68.38	48.33	67.56	34.6	0.0	24.84	0.0	107.31	147.61	54.42	86.04	0.0	71.18	63.62	64.48	108.12	0.0
Gm14430	0.0	0.0	0.0	0.0	0.0	7.02	0.0	14.72	6.05	13.5	13.46	3.07	11.03	13.57	4.08	0.32	0.54	8.34	6.2	28.79	13.98	17.65	13.81	30.75	25.3	15.88	2.38	0.0
Gm14431	0.26	1.5	0.0	0.0	0.0	19.34	0.74	0.0	3.96	2.26	5.1	1.79	1.31	2.52	4.65	1.51	1.58	0.36	3.49	24.4	6.24	9.71	1.93	4.83	0.28	0.24	1.92	0.0
Gm14434	0.0	0.0	0.0	0.0	0.0	7.02	0.0	14.72	6.05	13.5	13.46	3.07	11.03	13.57	4.08	0.32	0.54	8.34	6.2	28.79	13.98	17.65	13.81	30.75	25.3	15.88	2.38	0.0
Gm2027	0.31	3.55	0.42	0.0	19.8	0.82	2.43	1.94	2.71	1.17	3.27	0.22	8.46	1.86	2.29	2.14	2.4	3.2	0.65	10.03	3.04	3.81	4.02	0.36	3.75	10.24	5.22	0.0
Gm4724	0.0	0.0	0.0	0.0	0.0	7.02	0.0	14.72	6.05	13.5	13.46	3.07	11.03	13.57	4.08	0.32	0.54	8.34	6.2	28.79	13.98	17.65	13.81	30.75	25.3	15.88	2.38	0.0
Gm4944	1.06	1.95	1.05	0.0	1.9	17.82	6.88	3.77	51.89	3.31	13.4	31.79	3.66	15.15	5.95	0.24	6.58	13.17	32.5	45.23	1.95	2.27	40.08	5.6	18.26	3.69	4.24	0.0
Gm8898	0.26	1.5	0.0	0.0	0.0	19.34	0.74	0.0	3.96	2.26	5.1	1.79	1.31	2.52	4.65	1.51	1.58	0.36	3.49	24.4	6.24	9.71	1.93	4.83	0.28	0.24	1.92	0.0
Gosr2	0.0	21.55	35.5	0.0	0.0	0.1	17.83	40.43	45.32	118.16	71.55	0.0	127.02	53.57	0.0	0.14	153.83	1.46	52.26	136.8	53.64	56.9	30.22	28.96	143.18	1.49	0.0	0.0
Inpp5j	0.0	0.0	0.0	0.0	0.0	1.17	2.14	1.23	8.6	8.22	2.79	28.31	5.19	17.12	50.61	6.86	8.31	24.5	64.5	71.65	31.14	42.74	4.16	3.35	5.09	12.23	59.42	0.0
Kcnh5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	0.0	0.0	0.0	0.0	1.66	1.89	16.57	0.0	1.28	15.71	0.0	0.0	0.0	0.09	0.0
Kpna3	0.56	0.0	0.06	0.0	0.0	0.45	12.99	42.58	68.12	18.09	41.3	0.18	34.65	34.49	52.55	18.78	51.01	27.23	136.32	220.59	67.81	29.84	73.07	21.73	113.1	95.1	46.07	0.0
Ldhb	7486.96	6607.22	8970.97	5274.92	4239.95	8550.52	10118.08	10894.4	9220.91	9343.6	10165.1	11261.44	10004.69	13571.31	12546.17	9755.78	11010.48	10182.84	6003.71	7891.81	7750.55	7739.08	9082.37	8351.44	7830.1	8111.86	11746.38	5577.5
Lman1	0.0	0.0	0.0	0.0	0.0	0.0	15.17	0.0	0.0	0.0	10.19	0.0	3.07	0.0	0.0	3.8	0.0	0.0	47.37	45.56	0.77	0.0	4.17	0.0	5.47	16.8	11.42	0.0
Lmtk2	0.0	0.1	0.0	0.0	0.0	0.31	0.3	0.23	19.96	6.13	9.31	13.1	0.15	12.74	17.18	0.06	0.47	2.8	16.96	18.93	7.97	2.86	29.61	0.82	8.17	14.76	9.4	0.0
Lrrfip1	0.0	0.59	0.0	4.76	2.18	5.96	9.64	16.9	56.54	36.01	26.6	11.34	74.34	7.73	41.28	28.78	51.8	30.87	8.79	110.01	69.99	66.68	64.78	45.56	80.97	117.48	63.38	0.0
Ncor2	0.06	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.63	1.04	0.0	0.0	1.56	0.0	0.4	4.43	5.55	1.26	0.0	3.94	0.16	0.32	0.06	0.14	0.0	4.82	0.0	0.0
Pik3c2g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.12	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0
Pim2	0.0	0.0	0.0	93.57	0.0	0.0	0.0	6.13	1.95	0.0	0.32	0.0	5.75	40.45	0.0	7.09	0.27	28.1	108.02	92.54	64.26	0.37	22.82	0.0	0.0	2.09	0.0	0.0
Pin4	0.0	0.0	3.43	0.0	0.0	111.96	239.42	173.65	142.99	105.17	89.75	198.0	222.64	230.07	198.04	114.21	145.22	112.34	160.58	270.54	241.73	230.05	66.22	118.42	162.02	104.16	153.41	0.0
Pvalb	0.0	0.28	0.0	0.0	0.0	2914.72	1319.97	2144.98	1590.34	1199.86	1316.24	1740.57	1769.21	1408.27	1731.8	1974.07	1295.74	1914.29	1437.81	2248.99	760.46	1909.51	1681.17	1830.01	1823.48	1749.01	3516.69	0.0
Rabep1	0.0	47.48	0.0	3.76	0.0	0.0	24.88	3.49	65.29	29.79	44.43	33.0	40.06	1.88	34.51	35.99	2.36	26.87	86.4	84.63	52.7	16.32	72.53	0.28	13.49	36.16	0.21	13.81
Sae1	0.0	0.0	187.61	0.0	0.0	131.54	98.78	90.29	98.12	28.41	142.64	101.22	48.55	64.38	25.58	52.18	23.58	269.99	101.24	452.62	252.95	150.53	44.28	68.58	124.32	53.68	0.94	0.0
Sipa1l3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	3.73	0.0	3.62	0.0	0.4	0.3	3.49	0.0	0.0	0.64	0.0	1.11	0.0	0.17	0.0
Snapc2	57.8	0.0	0.0	0.0	0.0	0.0	7.03	4.18	0.0	12.4	30.54	11.78	25.38	62.93	0.0	1.17	0.0	16.1	0.26	82.54	102.94	0.0	0.0	0.0	34.56	0.0	2.61	0.0
Snx2	0.0	0.12	99.03	0.23	0.0	146.66	211.51	218.67	460.47	371.89	137.48	246.51	140.29	34.35	197.73	423.57	52.92	92.06	612.98	770.53	374.57	379.4	434.21	242.88	176.67	199.8	188.08	0.0
Spen	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.59	0.0	0.42	4.38	0.33	7.98	0.43	2.91	8.53	0.0	0.72	0.0	0.0	0.0	0.11	0.02	0.0
Taf11	0.0	0.0	120.94	0.0	0.0	0.0	51.16	22.36	7.32	0.0	26.79	81.3	88.16	18.25	0.34	46.57	2.72	106.92	42.01	380.66	33.98	0.0	47.36	4.76	48.5	104.23	92.27	0.0
Tbc1d9	0.0	1.48	0.0	0.0	0.0	0.0	0.05	12.86	20.83	9.28	5.49	2.15	4.84	25.26	19.01	3.98	0.73	12.51	9.22	23.27	31.99	12.26	27.98	0.22	6.97	16.68	0.0	0.0
Tgoln1	0.0	1.63	16.88	0.0	0.0	0.22	42.66	55.11	66.55	116.46	151.39	122.67	60.13	25.26	76.49	53.83	80.15	37.02	175.67	213.69	137.92	13.76	80.71	54.99	48.57	116.22	39.95	0.13
Tmem132c	0.0	0.0	0.0	0.0	0.0	49.62	6.85	44.51	63.02	43.38	69.53	47.21	47.48	61.27	55.45	48.4	62.46	59.93	115.83	178.3	88.94	66.17	109.46	1.39	132.89	107.09	69.7	0.0
Tmem44	0.11	0.0	0.0	0.0	0.0	4.18	34.25	18.79	61.93	38.5	2.6	36.9	31.67	0.0	27.02	23.34	0.0	7.85	26.38	175.7	9.12	4.62	99.63	37.58	60.98	48.54	78.03	0.0
Trap1	0.0	0.0	35.87	0.0	97.31	54.25	0.0	115.94	268.72	193.56	86.85	102.33	245.09	109.42	118.38	68.15	131.08	102.3	92.12	305.34	218.24	142.77	73.65	121.95	34.53	120.7	76.59	0.0
Trim46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.2	0.24	0.0	0.45	4.29	0.0	3.04	0.2	0.0	31.41	46.28	0.0	0.0	14.79	0.0	1.2	0.13	0.0	0.0
Ube2g1	0.0	0.0	0.0	0.0	0.0	0.0	0.13	22.9	33.56	34.14	41.2	7.53	47.08	5.25	26.98	19.85	54.77	26.21	77.52	71.28	50.23	41.03	90.34	36.4	39.68	1.74	34.26	0.0
Utp3	0.0	0.0	0.0	0.0	0.0	15.3	14.88	31.82	35.59	45.09	24.7	93.62	27.4	17.45	78.49	51.64	0.0	52.44	158.44	248.46	55.55	56.28	45.03	0.72	77.21	10.96	123.53	0.0
Wdr11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.92	23.58	1.54	5.8	0.0	0.13	18.58	0.0	20.69	0.0	7.78	0.0	65.12	1.0	63.27	0.0	0.0	0.24	28.59	1.99	0.0
Wdr18	0.0	0.0	73.46	0.0	0.0	0.0	0.0	0.0	67.02	2.38	30.94	33.89	14.73	15.68	54.53	45.48	24.79	0.0	33.06	102.04	26.34	35.15	67.68	29.05	46.42	41.36	79.36	0.0
Zfp385a	1.25	2.05	0.0	0.0	0.0	0.96	0.87	22.83	4.85	2.14	21.63	2.94	7.0	49.81	24.71	0.57	0.0	1.58	30.51	77.55	42.0	5.88	2.52	9.75	36.53	3.71	5.08	0.0
Zfp788	0.12	6.23	41.39	0.79	1.01	0.16	28.89	0.5	12.5	37.58	7.58	11.01	1.59	31.07	1.59	0.11	26.03	19.46	0.9	96.23	171.0	36.22	80.1	10.56	0.19	64.23	30.57	0.0
Zfp820	0.0	0.0	0.0	0.0	0.0	0.42	0.45	0.17	1.32	0.0	0.22	0.11	0.5	0.0	0.11	0.0	0.0	0.12	0.81	2.9	0.0	0.0	0.82	0.0	0.55	0.0	0.0	0.0
