	Chrna2_tdTpositive_cell_68	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_23	Cux2_tdTpositive_cell_25	Cux2_tdTpositive_cell_31	Cux2_tdTpositive_cell_43	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_60	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_77	Cux2_tdTpositive_cell_81	Cux2_tdTpositive_cell_84	Cux2_tdTpositive_cell_95	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_113	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTnegative_cell_8	Nos1_tdTpositive_cell_65	Nos1_tdTpositive_cell_72	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_15	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Rbp4_tdTpositive_cell_46	Rbp4_tdTpositive_cell_83	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_181	Rorb_tdTpositive_cell_7	Rorb_tdTpositive_cell_14	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_29	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_10	Scnn1a.Tg3_tdTpositive_cell_21	Scnn1a.Tg3_tdTpositive_cell_22	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_30	Scnn1a.Tg3_tdTpositive_cell_42	Scnn1a.Tg3_tdTpositive_cell_54	Scnn1a.Tg3_tdTpositive_cell_82	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_106	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTpositive_cell_109	Slc17a6_tdTpositive_cell_7	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_13	Slc17a6_tdTpositive_cell_17	Slc17a6_tdTpositive_cell_22	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_26	Slc17a6_tdTpositive_cell_33	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fam5b	0.27	8.92	72.07	0.17	0.0	11.88	0.0	0.0	19.98	66.84	0.0	7.11	0.0	0.0	4.07	0.0	0.0	0.02	0.0	0.0	2.17	0.0	0.0	0.0	50.11	188.51	17.0	23.11	4.11	0.08	34.35	0.29	2.34	109.63	1.95	0.0	113.95	1.06	69.15	75.41	64.95	0.0	0.0	132.06	3.31	5.49	11.97	69.54	59.59	49.29	34.84	371.15	14.68	171.54	9.31	0.0	0.4	0.34	0.46	3.78	5.41	0.0	0.0	20.4	29.76	67.67	69.72	71.26
Gabpb2	0.26	0.68	4.17	1.31	2.0	0.74	0.92	1.28	2.0	3.0	0.28	0.32	1.0	0.52	0.49	2.5	1.32	2.3	1.32	0.76	0.11	6.84	0.9	1.31	1.29	1.07	6.79	5.35	2.54	0.76	2.32	5.79	1.41	1.96	2.72	0.26	0.83	1.56	14.28	78.49	1.34	0.26	0.86	2.03	0.84	0.0	1.52	1.33	1.1	1.32	109.54	6.25	5.15	3.78	1.79	0.43	1.27	0.46	1.28	1.17	0.7	1.14	1.04	2.49	0.45	9.12	8.58	8.74
Gm2002	0.0	0.04	0.11	0.0	0.0	0.11	0.0	0.0	0.0	14.23	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.06	0.01	0.0	0.02	0.0	0.0	0.0	0.0	25.36	0.07	0.58	0.33	0.08	0.0	0.0	0.08	11.71	0.19	0.14	0.0	0.1	0.0	0.19	0.05	0.26	0.08	0.0	14.73	0.0	0.12	44.14	0.18	0.18	1.53	0.7	22.02	69.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	1.86	1.4
Gm5577	1.31	3.89	2.98	98.07	0.0	8.94	0.0	0.0	1.39	1.53	2.19	1.1	1.35	1.08	3.8	1.24	3.57	4.61	2.73	13.74	0.18	0.0	0.8	1.16	1.2	6.25	1.83	16.36	5.39	0.24	0.93	17.95	7.08	2.26	3.63	0.0	1.96	5.69	2.53	7.85	1.38	3.08	0.0	4.86	1.18	0.0	4.55	4.9	6.26	2.0	60.69	15.23	9.36	6.99	0.0	0.0	1.78	0.0	0.91	1.29	0.0	95.91	3.21	0.0	1.68	18.15	13.4	18.24
Grin2a	16.15	0.05	0.0	7.04	49.09	0.5	0.15	0.0	13.32	144.45	0.0	0.0	0.69	2.16	13.77	39.36	23.71	8.82	24.9	11.29	2.96	0.0	9.07	19.75	0.0	149.89	0.04	74.36	0.18	1.74	39.11	0.79	0.62	3.48	3.98	28.44	0.42	32.16	51.99	14.46	17.96	86.43	0.08	14.77	0.15	0.0	8.56	6.56	0.0	0.0	30.78	9.31	16.6	5.57	0.0	13.8	17.06	0.0	4.71	0.0	32.27	1.86	1.14	0.91	5.53	34.45	27.49	46.14
Il11ra2	0.0	0.04	0.11	0.0	0.0	0.11	0.0	0.0	0.0	14.23	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.06	0.01	0.0	0.02	0.0	0.0	0.0	0.0	25.36	0.07	0.58	0.33	0.08	0.0	0.0	0.08	11.71	0.19	0.14	0.0	0.1	0.0	0.19	0.05	0.26	0.08	0.0	14.73	0.0	0.12	44.14	0.18	0.18	1.53	0.7	22.02	69.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73	1.86	1.4
Kcnk6	0.51	7.15	0.67	1.96	1.69	1.53	1.03	0.39	1.71	1.28	0.73	0.47	0.84	0.86	0.45	0.6	1.27	0.77	0.79	0.8	0.17	0.7	0.88	7.84	0.36	2.22	0.97	3.12	1.91	0.9	1.66	7.17	1.59	0.91	1.08	2.21	1.2	3.22	0.83	2.94	0.91	1.13	0.68	1.71	1.04	0.0	1.28	1.55	2.46	0.83	8.03	8.92	3.05	1.21	1.34	0.89	0.4	0.0	4.79	0.3	0.61	0.5	0.53	0.74	0.46	3.52	2.75	3.76
Megf8	0.0	2.5	0.0	8.48	0.09	14.32	0.0	0.0	0.06	14.15	0.36	14.18	0.0	0.0	0.0	0.0	2.05	0.07	0.22	1.83	2.51	0.0	3.08	0.0	8.36	28.6	8.7	7.32	29.78	1.15	7.68	0.0	23.29	15.93	0.0	0.0	0.04	9.42	7.14	4.84	3.01	0.0	17.59	0.07	1.24	0.0	0.0	25.72	0.0	0.0	7.55	8.68	11.58	0.23	0.0	2.71	0.0	8.07	0.56	0.0	0.0	1.18	4.93	1.51	4.88	58.28	58.89	62.16
Nom1	1.97	3.4	13.08	3.83	4.05	4.53	1.85	2.31	6.95	7.43	5.45	2.81	4.62	36.62	12.64	3.38	2.63	4.77	2.64	5.24	0.75	3.64	2.47	3.63	4.35	275.14	11.42	24.14	7.0	11.81	4.87	40.01	8.35	13.25	1.82	1.55	5.46	10.21	36.15	7.42	62.31	1.72	1.37	15.84	1.61	0.69	2.68	59.99	7.29	5.52	10.68	291.54	125.12	23.32	9.21	4.88	2.44	1.11	4.37	7.74	4.57	2.48	1.36	2.04	2.75	20.01	21.6	20.55
Ppfia3	0.0	0.09	0.0	0.0	0.18	0.0	0.0	0.26	0.0	0.47	0.15	0.0	0.0	0.0	0.0	0.7	0.21	0.03	1.08	1.14	0.0	0.0	0.69	0.07	10.49	8.19	0.03	2.89	0.42	0.0	0.21	4.37	0.32	4.79	0.0	14.4	0.04	0.03	1.28	17.26	1.21	0.06	15.55	5.85	1.36	0.0	0.0	34.94	0.0	0.0	3.3	6.47	1.3	0.0	0.21	0.0	0.0	0.0	0.08	0.37	0.0	9.33	3.76	1.09	0.0	109.04	115.42	111.21
Ppp1r12b	5.62	21.45	28.42	29.15	16.08	28.06	27.09	20.48	30.52	37.91	18.17	4.68	33.03	17.57	33.53	19.56	73.89	19.28	14.97	25.84	2.76	11.67	17.65	18.29	27.51	31.71	18.61	45.74	54.85	30.22	46.27	182.31	32.13	143.96	22.25	21.0	23.83	28.21	19.63	67.8	33.92	18.64	8.8	26.93	16.94	5.11	21.24	21.16	26.2	23.76	64.97	237.85	40.43	68.81	15.54	11.76	16.92	1.79	11.21	5.26	19.6	15.18	30.86	11.31	13.25	52.73	42.74	52.78
Ppp1r26	0.0	0.0	88.82	42.98	0.05	0.41	0.0	0.08	0.53	0.21	0.0	0.0	0.19	37.1	0.24	0.31	0.18	0.09	0.05	0.86	0.08	0.19	0.28	0.09	0.0	65.9	0.0	14.44	0.21	0.2	0.18	0.23	0.21	0.42	0.11	1.1	0.05	4.64	0.18	8.92	44.23	0.23	0.38	35.86	0.0	0.18	0.26	0.1	0.0	0.0	1.1	174.3	141.33	0.17	0.19	0.16	0.3	0.0	0.0	0.32	0.23	15.72	0.13	0.43	0.33	14.64	14.13	14.44
Ppp6r1	0.02	0.17	0.0	0.0	0.56	0.3	0.0	0.0	0.17	1.19	0.22	2.43	0.0	29.23	0.0	3.92	1.39	0.0	0.76	0.16	0.02	0.0	0.04	0.0	2.03	11.51	0.04	63.61	9.15	0.0	0.0	18.74	0.61	0.64	0.32	0.0	0.0	1.43	3.9	3.3	2.38	0.03	0.11	1.3	0.0	0.0	0.0	5.71	0.0	11.18	65.7	70.86	6.86	5.34	0.38	0.17	0.0	0.0	0.41	0.0	0.0	3.52	0.0	0.3	0.09	112.81	110.82	118.04
Ptgdr	0.0	0.07	0.23	0.48	0.14	0.77	0.22	0.0	0.22	0.35	0.02	0.03	0.39	0.23	0.0	0.27	0.36	0.36	0.11	0.19	0.0	0.0	0.01	0.0	0.53	0.49	0.14	1.53	0.27	0.02	0.48	1.25	0.27	0.75	0.73	0.0	0.13	0.09	0.36	1.98	0.2	0.14	0.12	0.05	0.18	0.0	0.49	0.57	0.12	0.0	0.71	0.57	1.08	0.41	0.0	0.4	0.0	0.0	0.0	0.19	0.22	0.22	0.0	0.18	0.48	0.84	1.05	0.9
Rbfox3	24.76	67.75	127.6	29.48	24.82	97.44	10.62	76.53	88.47	33.46	107.64	98.42	3.12	29.34	53.31	39.75	27.79	57.4	37.9	61.66	11.36	11.66	34.14	48.68	71.34	95.47	30.74	241.44	151.81	54.89	48.83	588.08	21.57	331.44	192.35	39.42	48.54	123.79	94.09	143.99	83.88	71.48	47.79	69.09	32.11	9.32	167.36	211.37	110.96	123.79	301.05	241.2	209.7	313.22	70.29	1.67	64.65	19.19	14.24	25.1	12.52	55.12	8.45	56.12	18.68	216.71	228.38	226.62
Runx2	0.07	0.11	0.13	0.12	0.16	0.92	0.15	0.05	0.13	0.19	0.0	0.13	0.0	0.26	0.0	0.1	0.23	0.01	0.1	0.32	0.45	0.63	0.04	0.07	0.7	0.79	0.16	18.7	0.57	0.12	0.46	1.18	0.43	0.6	0.17	0.12	0.09	0.38	0.1	0.77	0.13	0.0	0.0	0.27	0.0	0.0	0.08	7.43	19.07	0.23	3.29	64.63	0.78	0.17	0.36	0.0	0.0	0.0	0.27	0.2	6.89	0.0	0.61	0.0	0.18	3.07	3.56	3.45
Sass6	0.0	0.47	0.35	1.73	2.59	0.96	64.43	0.73	1.63	2.39	0.41	1.17	0.32	1.6	2.01	23.13	0.9	1.18	0.78	23.21	0.41	0.2	0.67	0.71	1.67	4.15	1.76	4.55	83.25	1.45	1.03	94.53	1.45	1.8	1.86	0.63	1.91	2.34	11.49	47.7	0.99	2.22	1.19	1.99	36.72	0.0	1.01	2.22	1.23	0.93	17.56	6.86	2.48	3.48	2.06	0.61	0.49	0.22	2.33	1.7	0.36	0.41	1.03	0.9	1.57	3.28	3.09	3.21
Tead1	0.19	0.26	0.48	0.3	0.32	0.31	0.21	0.08	0.47	0.26	0.09	0.11	0.15	0.0	0.17	0.34	0.26	0.25	0.26	0.1	0.01	0.32	0.07	0.19	0.02	0.38	0.14	1.06	0.43	0.27	0.37	1.67	0.36	46.18	0.21	0.16	2.24	0.67	0.2	27.68	0.34	2.12	0.2	0.24	0.28	0.07	0.16	0.3	0.26	0.0	1.53	8.51	0.19	0.49	0.3	0.17	0.17	0.08	0.26	0.25	0.15	0.27	0.06	2.33	0.2	5.49	5.49	6.28
Tmem151a	8.33	35.64	142.2	12.06	84.74	101.65	15.44	0.84	4.56	5.51	42.09	0.19	0.33	12.25	0.19	2.47	4.28	8.63	3.94	10.8	9.68	9.76	74.24	17.64	55.19	261.36	10.31	232.19	45.92	2.31	41.92	0.0	9.08	32.46	36.07	124.87	1.76	42.72	27.1	68.5	89.8	6.64	0.1	32.89	14.54	0.0	40.76	127.32	14.02	46.31	65.99	195.92	133.55	119.19	32.04	0.0	7.28	0.0	16.34	5.29	40.45	28.7	0.93	1.2	27.13	140.06	152.76	151.94
Trp53rk	1.03	0.88	2.61	2.03	1.0	4.22	0.97	2.13	0.99	4.11	2.07	0.51	1.78	0.51	0.97	1.08	1.56	1.41	1.72	1.22	0.11	0.13	1.01	2.15	0.47	11.77	1.86	32.55	2.29	2.62	2.88	11.42	2.64	2.74	1.77	2.44	0.91	1.49	1.12	5.3	2.17	1.49	0.75	2.48	2.36	0.42	0.45	2.37	1.31	2.74	10.6	7.3	4.68	2.41	1.29	1.09	3.56	0.0	2.19	2.98	0.92	1.87	7.72	1.82	0.81	3.58	3.22	2.95
Ttc23	0.1	0.09	0.28	0.43	0.12	0.98	0.0	0.0	0.18	0.37	0.0	0.0	0.0	0.0	0.18	0.09	0.1	0.12	0.06	0.12	0.07	0.0	0.12	0.0	63.28	0.8	0.23	0.75	0.7	0.15	0.14	1.79	0.16	0.4	0.27	0.25	0.21	0.25	0.08	1.03	0.27	0.1	0.12	0.21	0.15	0.0	0.0	0.25	0.13	0.0	0.8	2.01	0.3	0.7	0.39	0.0	0.0	0.0	0.06	0.0	0.05	0.0	46.57	0.16	0.16	3.85	3.45	3.35
Ubr5	0.0	12.88	0.0	33.83	13.25	15.59	0.0	0.0	1.62	0.0	0.0	0.0	0.38	30.95	3.84	19.74	6.27	88.06	3.88	5.64	20.84	20.96	26.28	3.09	0.0	19.76	15.19	60.68	0.08	0.0	47.7	58.62	30.66	54.35	1.12	9.05	59.25	11.94	68.45	0.47	14.33	5.0	0.04	63.18	7.75	0.0	0.92	57.34	0.0	10.86	0.92	147.44	50.9	39.89	3.77	19.5	30.38	0.0	3.74	38.28	18.66	40.65	20.91	18.0	14.75	51.79	48.87	53.01
Usf2	0.42	0.04	26.19	0.24	2.19	0.94	0.55	0.18	37.2	21.41	1.13	0.0	0.19	0.0	0.27	0.48	5.06	28.08	8.77	11.7	0.26	0.0	0.01	0.85	0.65	99.77	0.07	154.01	80.82	0.0	10.56	9.19	0.71	54.0	0.83	0.55	0.59	63.69	10.6	54.55	0.87	2.13	0.16	36.49	0.19	0.0	0.41	59.44	0.83	0.76	89.16	122.69	2.68	8.61	0.0	0.35	0.0	0.27	0.26	0.26	30.54	0.29	0.0	0.0	0.0	85.09	90.72	88.71
Zbtb8b	0.0	0.61	1.25	0.6	0.93	1.04	1.2	0.56	2.42	2.46	1.12	0.65	1.05	0.94	0.42	1.19	0.79	0.42	0.92	0.58	0.38	0.51	2.15	0.95	1.77	1.4	0.82	5.8	0.68	1.4	1.62	8.29	1.73	1.61	1.37	1.14	0.5	1.31	1.71	2.45	1.47	1.05	0.6	2.17	0.97	0.0	1.67	2.13	0.58	1.22	8.08	9.84	4.24	2.12	2.89	1.37	1.24	0.14	0.0	0.77	0.71	0.93	1.23	0.7	0.32	4.53	5.45	5.08
Zfp446	0.27	0.65	1.29	13.79	0.96	1.79	0.3	0.93	1.16	1.26	1.54	1.26	0.75	2.79	0.57	0.5	1.4	0.55	0.59	0.85	0.19	0.25	0.5	0.38	0.29	0.77	0.61	1.93	1.35	1.15	1.9	2.45	0.88	26.38	1.38	0.29	0.52	16.47	1.06	3.68	1.6	0.69	0.38	1.73	1.35	0.19	0.87	59.91	0.99	37.35	4.6	9.39	3.96	2.43	3.77	1.12	0.93	0.31	1.25	0.54	0.02	11.96	2.24	0.88	0.77	6.42	6.43	6.43
Zfp92	0.63	1.06	1.93	1.7	1.1	2.14	0.19	0.31	1.38	1.36	0.45	1.81	0.0	0.55	0.9	0.34	1.88	1.45	0.98	0.92	0.07	0.26	0.57	1.26	1.39	1.33	1.17	6.29	7.24	0.77	1.82	2.45	2.59	2.08	2.54	1.47	1.2	2.36	0.9	5.09	6.95	1.18	0.55	2.04	0.44	0.43	2.13	1.47	0.64	0.87	15.03	2.35	4.89	5.91	1.28	0.77	0.59	0.0	0.48	0.36	0.65	0.46	0.4	1.09	1.06	1.6	1.56	1.68
Znrf1	0.0	27.21	32.95	0.66	65.18	13.81	10.72	24.28	2.99	10.93	39.19	0.0	24.41	16.88	0.0	0.47	16.96	23.43	0.01	4.93	0.52	17.1	25.88	0.0	0.0	56.01	0.0	15.23	62.82	0.0	0.0	36.61	0.05	4.31	8.78	3.08	0.46	50.47	37.96	0.0	4.62	0.0	11.6	4.68	10.43	9.31	0.96	43.12	0.0	6.78	29.71	50.03	8.99	0.0	0.0	0.0	18.8	0.26	4.98	42.2	10.47	26.56	3.4	4.04	1.12	71.69	73.05	70.91
