	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_73	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_20	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTpositive_cell_21	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_36	Vip_tdTpositive_cell_70	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
R3hdm1	5.51	20.32	143.73	61.27	14.75	125.45	37.3	32.65	116.0	6.53	44.92	8.87	150.37	0.0	31.42	98.72	65.26	203.9	66.56	36.3	21.0	24.62	0.0	260.18	100.63	110.6	38.46	4.84	17.74	0.0	53.32	61.67	0.16	184.64	162.86	152.21	147.65	181.8	152.46	190.21
Rab5a	0.0	0.0	0.0	0.0	15.21	164.3	32.24	6.31	0.0	9.26	0.0	0.0	0.0	1.06	42.59	0.0	0.0	305.54	0.0	32.35	0.15	70.52	0.0	67.69	0.0	0.0	0.0	0.11	0.0	0.0	0.34	2.04	0.0	10.33	26.07	28.19	32.57	136.28	136.51	137.41
Rchy1	7.87	27.49	2.81	9.76	157.93	336.65	102.87	3.21	4.92	3.52	182.98	2.57	11.09	10.93	147.49	153.12	6.16	191.49	46.14	104.65	3.95	40.17	0.0	11.76	10.73	9.18	2.81	0.41	76.99	25.9	11.01	8.68	8.67	34.08	24.85	25.8	26.79	35.69	36.47	35.08
Rgs19	0.0	116.62	16.89	0.0	49.87	108.39	53.48	0.0	26.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.35	0.0	0.0	0.0	80.74	0.0	67.22	0.0	0.0	0.0	0.0	69.41	0.0	0.0	0.0	0.0	32.82	57.42	46.22	53.93	20.02	22.73	21.21
Sema6d	0.09	21.02	0.35	0.26	18.1	0.61	0.33	27.31	0.6	0.16	1.02	0.06	0.0	0.12	12.92	64.59	0.07	9.0	86.64	0.11	4.53	0.44	0.0	8.57	0.0	0.1	0.17	0.13	0.01	0.0	0.0	0.0	0.0	7.6	4.47	5.92	5.08	28.79	27.47	31.61
Shf	0.0	0.0	20.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.19	0.9	0.23	35.84	41.34	36.49
Slc36a1	0.08	17.0	14.03	0.0	12.4	0.0	3.63	0.0	0.0	0.09	0.07	2.89	0.0	0.12	0.0	0.09	3.47	13.94	0.0	5.62	3.33	0.06	0.0	3.5	0.0	0.0	0.0	0.14	0.09	0.0	0.25	0.0	0.0	11.76	4.98	10.01	6.58	40.34	37.04	38.5
Slc7a10	0.0	1.16	0.0	0.0	1.65	7.9	3.33	0.0	0.0	2.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.32	0.0	0.0	2.23	2.84	0.0	1.36	0.0	0.0	0.0	0.0	3.08	0.0	0.61	0.0	0.0	0.46	0.72	1.21	0.96	40.29	38.01	40.85
Slmo2	0.0	176.24	190.14	7.33	52.41	0.0	86.22	116.0	0.0	109.74	175.76	0.26	0.0	0.0	64.91	0.0	0.0	290.36	0.0	45.37	16.47	26.15	0.0	72.31	321.89	0.0	0.0	18.62	97.62	459.77	43.88	0.0	0.0	72.16	80.33	92.61	92.43	64.0	64.79	65.77
Snph	0.0	2.1	11.91	0.08	24.87	97.04	10.7	1.11	0.0	0.84	0.0	0.0	0.0	0.0	3.23	0.0	0.52	1.83	0.0	36.49	33.82	5.33	0.0	21.35	0.0	0.0	0.0	1.9	103.07	0.0	0.0	0.0	0.0	28.07	14.56	16.95	24.36	167.43	174.0	180.8
Taf13	0.35	63.4	214.13	0.0	129.24	0.0	80.13	0.0	0.0	124.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252.96	157.8	102.19	0.0	34.7	0.0	74.48	0.0	0.0	0.0	0.0	0.0	261.57	115.22	0.0	0.0	28.19	36.07	32.55	44.17	44.24	39.03	41.95
Tep1	2.15	0.44	0.43	0.0	0.5	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.69	0.0	0.51	0.0	0.04	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	0.0	0.04	0.97	0.33	0.08	2.74	1.94	2.62
Tm6sf1	13.52	0.0	0.0	0.0	22.85	0.0	0.0	0.0	0.0	0.0	26.36	0.0	0.0	14.65	0.0	0.0	0.0	167.08	0.0	0.0	0.0	0.17	0.0	10.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	2.27	0.82	2.03	15.99	14.27	17.76
Trim23	0.0	1.05	2.92	0.34	0.0	71.11	4.81	0.0	0.0	13.28	2.18	0.0	99.85	113.11	7.62	56.79	0.0	168.06	29.59	0.0	0.08	74.73	0.0	51.39	0.0	0.0	0.0	0.0	30.74	101.51	48.09	0.12	0.0	23.69	58.36	28.63	33.99	31.89	30.34	30.7
Unc5a	0.0	0.0	1.03	0.0	0.09	0.0	0.06	0.0	0.0	0.0	4.43	0.0	0.0	0.0	0.0	0.0	0.0	52.41	0.0	0.23	0.0	0.0	0.0	4.08	0.31	0.0	0.0	10.02	11.31	0.0	7.71	0.0	0.0	1.88	2.01	2.49	5.12	66.21	71.14	67.84
Xylt2	0.0	0.0	37.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.96	3.3	0.9	0.81	18.34	21.39	18.84
Yipf6	0.09	0.0	0.07	0.0	0.07	1.56	1.17	0.04	0.0	0.0	44.68	9.26	0.0	0.0	0.06	0.0	0.0	123.32	153.42	0.0	0.08	11.72	0.0	5.77	0.0	0.0	0.0	0.0	0.0	2.68	0.0	0.0	0.0	3.41	13.64	15.95	16.41	24.09	21.59	23.75
Zbtb7a	1.91	9.47	0.03	0.0	1.63	14.91	3.44	1.67	0.0	8.22	5.0	0.0	0.0	2.44	1.01	0.57	12.17	20.76	0.0	5.4	8.04	2.08	0.0	7.06	0.0	0.0	7.71	0.28	0.74	0.0	0.82	0.0	0.0	15.56	13.46	16.78	16.34	55.37	53.85	57.0
Zfp574	0.0	0.11	2.87	0.0	0.0	42.43	0.0	1.08	0.0	0.0	30.9	0.0	0.0	0.0	0.39	0.0	0.0	26.43	0.0	0.0	0.0	6.36	0.0	0.19	0.0	0.6	0.0	0.0	2.1	1.87	0.09	0.0	0.0	0.43	0.57	0.5	2.5	20.24	21.56	19.83
Zkscan6	0.0	0.0	60.26	0.0	1.97	94.77	0.0	60.6	0.0	0.0	96.65	0.0	0.0	0.0	0.0	0.0	0.0	221.98	0.0	3.03	1.86	12.97	0.0	6.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.16	9.21	7.29	11.34	11.05	12.94	15.98	13.4
c1_tRNA-Ala-GCA	0.0	0.0	45.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.82	0.0	13.58	11.16
c2_tRNA-Ala-GCY_	0.0	0.0	61.96	0.0	15.1	0.0	0.0	49.64	0.0	0.0	0.0	0.0	0.0	12.36	14.02	0.0	18.28	136.02	78.24	69.56	0.0	0.0	0.0	20.77	0.0	0.0	6.75	0.0	0.0	0.0	0.0	0.0	26.73	53.63	0.0	0.0	0.0	75.8	61.09	57.21
