	Chrna2_tdTpositive_cell_1	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_34	Ndnf_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hsph1	0.0	0.0	0.2	0.0	10.55	238.03	226.06	225.17
Kctd19	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Lect2	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Lpcat4	0.0	0.12	0.0	0.0	0.0	125.99	137.81	128.9
Ltf	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Mdga2	0.38	0.0	0.4	0.0	0.29	12.76	9.79	12.6
Mesdc2	0.0	0.0	0.0	0.0	14.4	23.31	25.03	25.15
Muc4	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Ncr1	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Nox4	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Olfr15	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Prkab2	0.0	0.0	0.0	0.0	0.0	31.73	29.61	32.56
Prpf19	6.14	0.0	55.4	0.0	5.08	65.92	70.75	68.94
Prps1l1	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Raet1d	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Rbm19	0.0	0.0	0.0	0.0	0.0	8.29	9.73	8.3
Robo1	0.0	0.0	0.0	0.0	0.0	15.37	16.28	18.02
Sec31a	0.0	18.98	0.0	0.0	0.0	59.39	56.09	57.46
Sez6l	0.0	1.62	6.28	0.0	0.0	100.96	101.75	107.49
Sfi1	0.0	0.0	0.0	0.85	0.18	22.34	18.29	17.07
Skint7	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Slc4a1	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Slc7a13	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.07
Slfnl1	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Srrt	0.0	0.0	0.0	0.0	0.0	78.48	84.51	85.7
Tac4	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Tbc1d24	8.16	4.0	7.82	9.64	10.54	49.86	48.16	50.67
Tcstv1	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Tmem189	0.41	2.38	0.0	0.0	19.85	59.64	61.57	62.78
Tmem64	0.0	0.0	0.0	0.0	0.0	37.43	37.22	33.63
Uba6	7.03	0.05	0.0	0.0	0.0	13.22	10.13	11.9
Usp26	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Vmn1r210	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Zfp609	0.0	0.0	0.0	0.0	0.0	19.14	19.16	19.7
Zfp81	0.0	0.0	0.0	0.0	0.0	13.13	9.84	12.7
Zfyve20	15.39	0.0	0.08	0.1	27.96	30.16	30.19	28.7
Zfyve9	0.0	0.0	0.0	0.0	0.0	54.36	51.25	52.59
mt_AK131586	0.0	0.0	1150.9	3.58	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
