	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_56	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_18	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_22	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_114	Htr3a_tdTpositive_cell_116	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_77	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_54	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_142	Slc17a6_tdTpositive_cell_24	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arf6	0.34	4.0	11.73	5.11	21.78	6.49	4.93	0.88	9.13	5.91	1.23	7.86	4.89	126.84	3.33	9.37	0.0	2.16	0.09	6.49	0.0	29.22	7.38	27.02	0.0	128.74	0.16	12.96	11.66	16.61	2.68	3.69	9.06	9.17	9.62	6.79	24.72	7.38	3.13	0.24	9.27	3.32	0.06	2.66	30.71	32.07	31.03
Arr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	1.73	1.67
Atg14	10.34	0.0	4.29	0.0	8.31	4.21	38.12	17.24	0.0	0.0	1.34	98.62	0.0	0.1	0.0	0.0	40.84	0.0	0.0	4.36	0.0	0.0	0.0	0.0	0.0	106.84	0.0	11.98	7.33	11.78	13.19	6.21	13.77	10.13	10.82	0.37	0.0	0.0	7.98	5.3	0.0	0.0	0.0	3.96	16.42	17.0	16.31
B930007M17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.07
Bcl6b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.76	0.0	3.71	2.81	0.0	0.0	0.0	1.04	0.4	2.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98	1.73	1.75
C230024C17	0.0	0.0	0.39	0.15	0.0	0.0	0.12	0.65	0.0	0.0	0.0	0.19	0.28	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.0	0.1	2.4	0.15	0.06	0.18	0.0	0.12	0.29	0.0	0.0	0.0	0.0	0.0	0.82	0.0	0.15	0.65	0.81	0.87
Capns2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.82	0.0	0.0	0.0	0.0	0.0	10.72	5.8	5.98	2.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.84	1.85
Car11	1.81	0.0	0.0	4.77	15.46	81.7	14.94	2.35	0.23	2.28	2.11	0.0	0.0	0.0	0.0	0.0	5.45	12.64	6.04	117.04	0.0	36.81	0.0	0.65	0.0	54.34	32.93	39.99	19.53	4.89	16.27	59.23	8.46	15.84	7.13	0.0	22.93	0.0	0.0	2.1	0.0	0.0	0.0	34.27	214.47	236.01	224.75
Ccl21a	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47	0.0	0.0	0.0	0.0	0.0	17.02	0.0	0.0	0.0	2.26	0.0	0.0	0.0	1.66	2.52	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29
Cdk13	10.71	0.0	12.22	6.08	0.09	0.77	4.8	0.84	0.0	14.71	0.28	2.97	0.0	0.0	0.0	0.0	0.83	0.0	0.08	0.1	0.0	1.78	0.0	17.51	0.0	20.58	16.46	2.74	3.07	5.14	2.14	3.79	2.45	4.41	2.68	1.52	1.06	0.0	0.0	0.0	0.0	0.0	0.03	3.71	20.34	20.34	20.77
Cenpj	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.94	0.0	0.0	0.0	0.0	0.0	0.0	4.88	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	1.67	1.63
Cep57l1	0.0	0.0	0.0	0.0	107.73	0.0	0.0	0.0	0.0	0.42	8.04	0.0	0.0	0.0	0.0	0.0	98.94	0.16	0.0	10.24	0.19	0.0	2.81	0.0	0.0	93.88	0.0	0.33	6.77	9.58	7.71	0.28	17.16	5.57	7.63	0.32	0.0	260.86	0.0	0.15	0.0	0.0	0.36	58.08	5.29	5.04	5.36
Cxcl13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.09
D130017N08Rik	0.0	0.0	0.0	0.0	3.34	0.0	2.86	0.88	2.53	0.0	0.79	0.0	0.0	0.0	0.0	6.38	6.87	4.6	7.14	101.81	0.0	4.7	0.0	0.0	0.0	53.46	7.29	0.84	11.7	13.33	1.38	1.64	8.69	1.84	1.86	2.88	31.2	0.0	2.86	0.0	9.94	0.0	0.0	0.0	17.4	13.19	14.63
Dcst1	0.0	0.0	3.09	0.0	7.59	0.0	0.0	2.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	9.56	0.0	0.0	0.16	0.87	2.13	1.37	0.52	0.45	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.37	1.67	1.66	2.31
Dirc2	7.22	0.0	1.21	8.63	30.89	9.25	0.75	2.14	0.91	1.92	26.42	0.54	0.22	0.24	0.0	0.01	0.63	0.51	1.32	6.72	0.83	0.53	1.06	1.74	0.01	31.64	20.35	4.33	11.04	1.04	2.0	4.95	5.09	10.13	8.35	0.89	0.37	0.14	0.49	1.18	1.14	2.88	0.0	34.61	38.97	41.16	39.36
Dsc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.33	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.49	0.63	0.73
Dusp8	18.39	32.18	34.07	92.68	22.57	21.22	34.02	33.13	134.93	0.0	82.67	66.97	70.11	0.15	99.94	51.19	176.4	56.62	82.89	76.67	0.0	0.0	54.66	16.99	0.0	90.58	126.57	42.19	45.62	51.12	45.45	39.08	76.47	95.59	77.1	42.55	32.69	4.36	15.97	2.74	5.07	12.87	38.06	30.15	83.13	88.44	79.27
Elf1	0.39	0.05	0.84	0.14	0.76	0.91	0.38	1.03	0.77	0.77	1.22	0.98	0.28	0.45	0.5	0.31	0.39	0.51	21.06	0.33	0.0	0.53	0.15	1.4	0.0	1.37	2.26	0.65	0.71	0.79	0.67	0.63	2.38	1.2	0.24	0.7	0.4	0.14	0.29	0.48	0.12	0.6	0.84	1.12	5.92	4.91	5.53
Fbxl14	11.34	0.0	0.67	0.28	10.82	1.27	0.29	10.45	0.22	0.42	0.11	0.32	0.07	0.12	0.0	0.0	0.12	0.0	0.07	10.99	0.0	0.77	0.07	0.0	0.0	1.64	0.84	2.04	1.53	1.55	1.61	0.09	1.11	1.61	1.6	0.29	0.05	0.01	0.0	1.86	0.1	0.17	0.85	0.68	15.44	17.6	15.44
Foxj3	0.0	0.0	0.0	24.03	8.83	23.78	21.27	0.0	29.76	0.13	4.9	30.27	4.26	0.0	27.93	0.11	38.32	0.12	0.2	22.53	0.0	0.82	11.32	30.84	29.64	126.13	22.81	36.92	20.32	9.81	24.48	16.58	18.53	24.51	21.66	18.77	15.15	0.0	63.06	19.54	0.0	26.44	68.79	8.67	46.48	44.34	44.16
Gga3	4.99	0.05	0.0	0.9	13.65	2.39	48.0	32.18	1.51	0.32	5.54	2.13	0.0	0.0	0.0	0.0	46.67	0.41	0.0	16.48	0.0	0.0	0.1	0.79	0.0	61.08	22.77	14.97	19.64	16.61	11.85	8.33	29.9	15.51	24.1	14.26	23.0	111.71	0.07	4.62	37.25	80.7	0.0	31.62	56.8	56.2	56.57
Ggt7	79.77	64.14	78.67	29.63	41.62	0.0	33.92	26.45	59.92	119.76	9.13	62.71	0.0	0.41	0.5	0.0	31.63	0.0	91.75	0.4	0.0	53.95	23.39	84.55	0.0	223.25	36.95	29.4	44.47	43.65	16.92	77.27	32.94	38.0	39.81	42.56	28.97	15.39	0.09	21.46	0.0	41.03	0.28	80.41	112.55	122.34	119.47
Gm13051	0.62	0.0	0.36	0.0	1.21	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	15.93	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.24	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.08	0.17
Gm14431	1.11	2.9	0.7	0.4	0.68	7.21	5.42	2.88	1.23	0.99	1.1	0.0	0.17	0.0	0.0	1.02	0.0	2.71	0.0	0.26	0.19	0.0	0.47	0.96	2.0	25.0	1.11	0.11	1.14	0.53	0.71	0.72	0.99	0.9	1.65	2.13	4.76	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Gm15997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.39	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	1.0	1.2	0.48
Gm2002	0.0	0.0	0.12	0.1	3.95	0.0	0.07	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.2	0.43	5.79	0.0	21.65	0.0	0.0	0.11	0.07	0.0	0.07	2.32	0.27	0.61	0.21	2.82	0.0	0.96	1.27	4.28	1.89	2.41	0.06	27.58	0.0	0.0	0.0	0.36	0.28	0.2	1.73	1.86	1.4
Gm8898	1.11	2.9	0.7	0.4	0.68	7.21	5.42	2.88	1.23	0.99	1.1	0.0	0.17	0.0	0.0	1.02	0.0	2.71	0.0	0.26	0.19	0.0	0.47	0.96	2.0	25.0	1.11	0.11	1.14	0.53	0.71	0.72	0.99	0.9	1.65	2.13	4.76	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Got1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.49	0.61
H2-Q7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.38	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.37	0.0
Heatr7a	0.12	0.08	34.54	33.44	3.63	2.23	41.44	12.15	19.92	0.42	14.22	34.06	0.49	0.07	26.18	0.0	0.41	26.3	0.06	0.91	3.04	47.15	0.07	0.83	0.0	23.71	0.11	6.63	5.52	4.77	5.39	4.13	4.72	4.41	2.54	0.82	0.15	0.11	0.09	0.46	1.98	0.31	0.09	0.0	36.68	37.33	42.51
Hist1h2bq	0.0	0.04	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.25	0.0	0.0	0.09	0.29	0.07	0.0	0.07	0.11	0.53	0.0	0.0	0.07	0.0	0.28	0.0	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.04	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.25	0.0	0.0	0.09	0.29	0.07	0.0	0.07	0.11	0.53	0.0	0.0	0.07	0.0	0.28	0.0	0.0	0.0	0.0	0.38	0.28	0.38
Il11ra2	0.0	0.0	0.12	0.1	3.95	0.0	0.07	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.2	0.43	5.79	0.0	21.65	0.0	0.0	0.11	0.07	0.0	0.07	2.32	0.27	0.61	0.21	2.82	0.0	0.96	1.27	4.28	1.89	2.41	0.06	27.58	0.0	0.0	0.0	0.36	0.28	0.2	1.73	1.86	1.4
LOC100504608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.42	0.15
Lingo2	19.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	1.16	47.81	0.22	0.0	101.1	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	5.42	0.0	0.0	0.0	0.0	0.0	0.0	0.18	16.19	15.98	15.78
Lrp4	0.59	0.0	0.75	0.61	0.48	0.0	0.49	0.24	0.44	0.78	0.37	0.43	0.08	0.0	0.0	0.08	0.0	0.12	0.48	0.6	0.0	0.0	0.21	0.46	0.0	6.82	0.54	0.53	0.95	0.46	0.32	2.83	1.63	0.42	1.45	0.73	0.09	0.43	0.38	0.0	0.23	0.18	0.0	0.54	14.58	15.12	16.01
Lrp6	2.36	0.0	0.0	0.0	0.0	0.1	2.69	0.0	12.16	22.34	0.0	0.0	0.0	0.0	20.86	5.59	6.29	0.37	10.88	3.84	0.42	0.3	0.0	12.73	0.0	0.0	0.0	0.93	4.25	10.43	0.98	2.91	3.07	2.06	4.38	0.0	8.44	0.0	0.0	8.97	0.0	0.64	2.98	1.28	19.06	18.22	19.41
Map2k2	4.87	0.0	3.83	0.0	4.48	4.94	1.88	3.12	0.97	0.27	4.47	21.31	0.0	0.0	0.0	0.0	0.0	8.52	0.0	0.15	0.0	0.0	4.51	0.0	0.0	20.99	68.16	8.87	6.05	4.26	2.07	1.09	5.42	4.83	9.33	0.0	0.0	0.0	0.0	0.0	0.0	4.76	0.0	0.42	60.47	69.16	67.5
Mapkbp1	0.34	0.0	0.35	0.33	0.56	0.32	0.22	0.08	0.45	0.33	0.21	17.14	0.39	0.42	0.19	26.06	25.18	0.18	0.33	0.21	0.07	0.31	0.14	0.33	0.07	6.22	11.36	2.21	5.35	2.0	0.21	4.41	1.43	3.81	3.06	1.65	0.2	0.16	0.03	0.15	0.0	0.04	0.12	0.32	28.61	27.57	30.3
Mesp2	0.27	0.0	0.63	0.16	0.0	0.66	0.42	0.09	0.0	0.43	0.91	0.05	1.84	2.53	0.53	0.0	0.74	0.18	0.08	0.61	0.23	1.3	0.52	0.09	0.0	33.05	0.5	0.7	0.19	6.59	1.74	0.19	1.55	2.51	0.9	0.5	1.06	0.27	0.43	0.34	0.0	1.51	0.13	0.0	1.74	1.42	1.3
Mfn1	0.0	0.0	11.33	0.11	17.91	11.93	4.21	16.79	0.07	0.91	8.83	22.15	0.0	0.0	0.14	0.06	0.08	0.08	0.07	0.19	0.0	0.0	0.05	0.29	0.0	3.68	3.96	6.04	2.27	4.39	12.64	7.06	9.79	7.46	8.37	5.82	16.47	0.0	0.26	0.0	65.3	4.52	0.05	0.0	44.53	43.92	43.99
Mib1	3.02	0.0	1.7	1.63	19.95	31.64	0.1	0.19	1.55	3.8	0.0	5.45	0.0	0.0	0.0	0.91	0.0	0.09	0.0	2.96	0.0	4.44	0.0	17.49	0.0	44.6	24.8	0.37	3.85	4.52	0.88	2.69	2.58	2.44	3.64	1.01	0.38	0.0	0.0	8.15	0.0	0.08	0.0	0.0	49.4	40.57	49.68
Mnd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.24	0.0	0.0	7.74	0.0	0.0	0.0	0.0	2.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	1.1	1.2
Msc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.72	0.0	0.0	9.93	0.0	0.0	0.0	3.17	1.02	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43	2.51	3.05
Neurog2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	1.22	1.2
Nfkbiz	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.37	0.0	5.64	1.73	0.39	0.81	0.61	0.08	1.95	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.91	4.29	3.75
Onecut1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.36	0.11
Otoa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.1	0.06
Pabpc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.04
Pate2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.08	0.09
Pate4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.28	0.1
