	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fam120c	0.0	0.0	35.33	0.0	0.0	32.54	29.06	31.11
Fam193b	0.0	0.0	27.04	0.0	0.0	58.96	63.6	65.02
Fosl1	0.0	0.0	60.86	0.0	0.0	0.14	0.12	0.07
Frs2	0.0	0.0	35.06	0.0	0.0	27.3	27.76	28.52
Galnt9	0.0	0.0	120.71	0.0	0.0	60.54	58.78	63.63
Gm11818	0.0	0.0	155.27	0.0	0.0	19.63	17.73	17.3
Gm15408	0.0	0.0	78.13	0.0	0.76	1.21	1.37	1.0
Gm20362	0.0	0.0	9.37	0.0	0.0	8.95	7.78	8.67
Gm6086	0.0	0.08	0.6	0.0	0.0	0.45	0.33	0.59
Gm6249	0.0	0.0	0.14	0.0	0.0	0.09	0.08	0.06
Gm9962	0.0	0.0	65.15	0.5	0.0	3.1	4.43	5.0
Hacl1	0.25	0.53	52.11	0.0	0.0	5.44	6.21	5.62
Hat1	0.0	0.0	228.24	0.0	0.0	22.83	23.3	19.91
Hcn2	0.0	0.0	8.59	0.0	0.0	92.46	107.87	102.63
Hic2	0.0	0.0	32.16	0.0	0.0	4.56	4.67	4.6
Htatip2	0.0	0.0	94.29	0.0	0.0	14.94	12.51	13.65
Inadl	0.0	0.0	37.24	0.0	0.0	4.14	4.07	4.56
Kank2	0.0	0.21	12.83	0.0	0.0	5.72	7.31	6.18
Ktn1	0.0	0.0	100.28	16.4	0.0	49.98	43.44	50.89
Larp1b	0.0	0.0	34.61	0.0	0.0	18.32	17.89	16.87
Lrrc9	0.0	0.0	17.32	0.0	0.0	1.58	1.51	1.35
Mars2	0.0	0.0	48.48	0.0	0.0	11.21	10.76	12.6
Mks1	0.0	1.12	10.31	0.0	1.31	5.87	5.48	6.81
Mrps10	0.0	0.0	241.3	0.0	0.0	36.05	36.07	36.01
Naa50	0.0	0.08	63.01	0.22	0.0	42.77	40.34	40.79
Nedd9	0.0	0.0	25.74	0.0	0.0	5.83	5.66	5.47
Nfkbid	0.0	0.0	8.28	0.0	0.0	4.54	3.44	3.51
Nlrp2	0.0	0.0	6.16	0.0	0.0	0.41	0.46	0.24
Nudt8	0.0	0.0	38.2	0.0	0.0	13.39	15.67	13.82
Pappa	0.0	0.0	11.26	0.0	0.11	0.21	0.21	0.27
Pcdha12	0.0	0.0	65.17	0.0	0.0	10.93	11.99	10.53
Pcdhga8	0.0	0.0	29.76	0.0	0.0	11.54	11.05	11.71
Pcyt1a	0.0	0.0	92.56	0.0	0.0	21.4	22.79	20.27
Pgm2l1	0.04	0.0	114.54	0.0	0.0	139.14	129.14	145.3
Pms1	0.0	0.0	42.29	0.0	0.0	3.22	2.55	3.19
Pnpla8	0.0	0.0	97.3	0.0	0.0	68.69	61.52	66.05
Rab12	38.56	0.0	67.95	36.42	2.05	112.99	122.88	106.48
Ralbp1	0.0	0.0	18.38	0.0	0.0	56.83	58.25	54.72
Rbm15	0.0	0.0	11.74	0.0	0.0	8.13	8.99	9.2
Rgp1	0.0	0.0	9.81	0.0	0.0	23.67	22.17	22.59
Rilpl2	0.0	0.0	42.93	0.0	0.0	18.86	18.37	14.3
Rnasel	2.84	1.95	26.6	1.83	2.13	8.39	7.52	8.53
Rnf115	0.0	0.0	173.07	0.0	0.0	61.47	60.54	56.83
Senp8	0.0	0.0	69.2	0.0	0.0	4.71	4.2	4.13
Slc25a22	0.0	0.0	119.61	0.0	0.0	216.4	224.4	229.63
Slc25a23	0.0	17.88	42.93	0.0	0.0	290.22	282.16	298.37
Slc4a8	0.0	0.0	20.24	0.0	0.0	36.0	33.98	37.2
Smg6	0.0	0.0	20.72	0.0	0.0	21.71	21.4	24.47
Spsb2	0.0	0.0	25.22	0.0	0.0	3.41	4.58	2.9
Taf5	0.0	0.0	20.62	0.0	0.0	6.01	5.44	4.52
Tbc1d9	0.0	0.0	14.65	0.63	0.0	61.21	62.36	62.69
Tsen34	0.0	0.0	23.35	0.0	0.0	80.47	82.64	80.22
Uhrf1	0.0	0.0	3.52	0.0	0.0	1.27	1.48	1.62
Uso1	0.0	0.0	118.31	0.0	0.0	56.55	53.5	53.45
Yipf4	0.0	0.0	73.54	0.0	0.0	58.18	57.04	57.43
Yrdc	0.0	0.0	62.6	0.0	0.0	28.42	31.75	27.82
Zbtb40	0.0	0.0	11.6	0.0	0.0	4.86	4.28	3.86
Zdhhc1	0.0	0.0	63.86	0.0	0.0	37.76	39.37	38.09
Zdhhc12	0.0	0.0	30.76	0.0	0.0	8.28	9.12	7.57
Zfp677	0.0	0.0	68.26	0.0	0.0	1.22	1.08	1.78
Zfp688	0.0	0.0	54.33	0.0	0.0	12.13	14.8	13.24
Zfp775	0.0	0.0	23.98	0.0	0.0	4.38	5.09	5.44
Zscan29	1.6	4.14	51.27	0.11	0.76	5.68	4.92	6.62
Zxda	1.2	0.3	20.84	0.69	0.62	3.26	3.14	3.37
mt_AK131586	6370.03	4908.34	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_BC104337	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
