	Calb2_tdTpositive_cell_32	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_109	Gad2_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_42	Rorb_tdTpositive_cell_5	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_38	Scnn1a.Tg3_tdTnegative_cell_1	Slc17a6_tdTpositive_cell_18
Pigf	0.0	194.65	80.46	157.43	364.96	0.0	178.47	339.89	0.24	0.0	20.1	0.0	0.56	35.96	0.0	147.69	0.0	141.33	0.0	0.0
Pigy	0.0	4.29	0.0	16.85	0.16	0.23	0.04	9.72	0.0	0.09	0.0	5.75	20.35	0.07	0.17	0.0	0.0	12.5	0.0	25.24
Ptgfr	0.0	0.94	0.17	0.73	0.47	0.38	0.53	0.36	0.24	0.11	0.0	0.45	0.23	1.14	0.16	0.26	0.15	0.58	0.25	0.5
Rab35	0.0	115.38	0.0	133.37	0.2	0.26	0.0	0.0	56.78	0.21	0.0	0.0	0.0	104.56	0.0	0.0	0.0	3.02	0.0	0.0
Rabep1	0.0	57.43	18.66	36.05	0.08	0.03	92.84	25.76	4.15	1.31	0.0	2.46	7.79	23.75	1.19	1.45	0.41	55.76	0.0	23.34
Rgs4	2451.16	5481.44	4201.26	2677.09	4132.16	5873.8	5539.67	5390.4	4185.44	3806.0	4166.93	5037.98	5187.94	4495.9	3617.88	6274.8	3292.99	2617.58	0.0	6781.39
Rictor	0.0	12.41	3.19	24.1	27.04	4.83	9.23	15.04	23.44	0.0	0.0	7.98	33.22	52.61	13.69	20.86	1.78	6.69	0.0	5.36
Rmnd5b	0.0	190.6	87.98	225.59	215.6	0.0	0.1	37.75	264.22	103.13	0.0	0.0	246.49	146.51	0.0	0.17	0.0	148.26	0.0	0.0
Rpa1	0.0	204.19	65.02	77.45	145.73	296.77	176.25	107.52	169.69	0.0	0.62	0.0	119.42	193.44	109.69	0.0	0.0	118.62	0.0	3.06
Rpl31	114.71	239.23	145.02	170.11	163.84	148.54	111.48	306.14	127.64	120.93	121.57	105.83	57.46	155.15	73.81	248.58	74.2	152.66	105.4	245.91
Sec23ip	49.42	46.91	66.69	64.05	42.42	35.05	11.73	136.87	56.31	20.25	32.05	32.64	83.06	10.03	34.44	29.18	16.51	144.73	0.79	107.54
Slc52a2	0.0	0.12	0.0	118.25	1.13	1.36	0.07	0.18	0.17	0.09	0.0	0.0	0.0	95.33	1.52	0.12	0.0	0.0	0.0	0.0
Smap2	0.0	254.79	66.39	93.06	131.28	0.0	77.59	58.69	64.05	15.24	0.0	89.4	156.68	0.13	52.03	12.41	0.0	34.49	0.0	79.93
Snhg1	0.0	0.0	0.0	180.78	123.09	242.22	0.0	0.0	15.38	0.0	0.0	42.77	105.98	62.13	0.0	5.42	0.0	134.43	0.0	132.46
Tbc1d20	0.0	0.0	0.0	45.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.23	25.28	0.0	0.0	0.0	10.4	0.0	0.0
