	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_41	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_1	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_50	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_86	PvalbF.Gad2_tdTpositive_cell_87	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Baz2b	0.0	40.22	4.39	0.06	7.67	8.06	0.0	12.11	0.27	7.52	0.0	0.0	0.01	2.49	14.94	8.07	0.08	0.0	2.51	0.0	8.48	10.37	2.47	1.14	11.95	0.0	27.29	0.25	3.22	5.42	0.07	13.01	11.77
Cpt1c	0.0	337.59	0.0	0.0	24.01	0.0	0.0	48.55	43.09	0.0	11.15	53.65	0.0	0.27	122.84	184.13	59.69	72.9	52.18	0.51	29.67	61.91	0.47	1.16	0.0	2.13	111.81	17.81	9.08	0.12	31.03	82.57	87.94
Crebzf	0.0	67.94	0.09	0.0	9.0	13.79	0.0	0.0	24.37	3.96	4.95	1.41	2.82	0.0	21.72	15.02	46.91	16.19	1.39	0.66	0.25	1.28	1.05	3.03	2.9	0.0	12.37	0.0	3.39	33.28	0.0	42.35	43.37
Csmd1	0.0	32.88	0.0	0.0	6.38	0.9	0.0	4.61	0.49	0.1	1.92	0.06	0.0	0.1	0.0	4.53	4.0	0.0	0.33	0.1	5.48	4.23	4.65	0.0	2.52	0.0	0.6	0.79	0.06	0.35	0.03	21.52	19.01
D10Bwg1379e	0.0	59.51	0.0	0.0	5.23	13.02	0.78	17.66	0.13	1.7	4.6	10.35	12.63	20.71	0.25	2.01	18.65	12.53	0.36	2.94	0.2	1.95	3.71	1.1	6.13	8.18	0.0	6.88	5.79	4.95	17.05	35.07	27.29
D18Ertd653e	0.0	103.12	0.0	0.0	22.25	0.0	0.0	0.0	0.0	12.84	29.49	27.28	0.0	0.0	0.0	0.0	17.43	0.0	23.67	0.0	0.0	19.87	0.0	0.0	16.89	0.0	0.0	0.0	0.0	50.26	0.0	35.82	29.98
D6Wsu116e	57.06	196.17	0.0	435.46	24.69	33.67	0.0	25.49	63.13	7.14	61.02	9.11	0.0	46.82	35.21	0.0	71.3	20.31	6.16	0.98	0.0	13.15	21.42	29.52	1.98	51.47	62.5	0.0	5.06	0.0	29.49	69.44	67.4
Decr1	0.0	80.97	0.0	0.0	11.89	0.0	0.0	25.96	0.0	10.79	56.52	0.0	0.0	0.0	0.0	42.04	39.56	0.0	0.0	0.08	28.12	24.64	0.0	0.0	0.0	0.0	0.64	0.0	37.4	0.0	0.0	13.22	13.65
Ebag9	0.0	127.67	0.0	0.0	27.27	17.73	122.72	86.7	0.0	12.85	13.51	44.73	1.14	0.0	0.0	0.0	126.41	47.43	58.17	0.0	0.0	0.24	0.0	0.7	86.82	0.0	63.88	0.0	0.0	0.0	97.57	29.22	29.91
Fam50a	0.0	132.75	0.0	0.0	0.31	0.0	0.0	0.0	1.2	1.5	0.0	11.18	0.0	41.85	1.55	41.49	0.98	6.34	0.0	0.0	0.0	0.0	0.0	3.19	0.67	0.0	0.0	0.0	0.0	0.0	0.0	32.91	33.79
Fancl	0.0	183.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.56	0.0	0.0	8.09	0.0	8.42	9.2
Fdft1	0.0	168.75	0.0	0.0	26.8	37.96	0.0	37.4	102.01	77.85	31.27	0.34	76.16	172.09	7.71	29.63	59.81	0.0	0.1	0.08	76.35	1.72	35.86	15.86	34.21	0.0	0.0	51.8	31.25	0.0	5.57	66.74	70.72
Fkbp8	0.0	140.63	0.0	0.0	85.13	38.41	55.47	56.72	37.43	24.76	42.85	4.37	14.26	3.77	38.85	9.14	101.96	62.5	57.49	2.38	3.41	6.25	29.77	7.07	3.23	1.61	103.42	83.52	67.88	2.28	13.2	325.84	367.96
Gm5086	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.8	0.0	0.0	0.27	0.52	0.0	0.0	0.53	0.56	0.0	0.37	0.63	0.3	0.0	0.34	0.45	0.0	0.6	0.32	0.0	0.27	0.37	1.83	1.52
Gm6498	0.6	3.91	0.0	0.0	0.29	1.3	0.0	0.61	0.0	0.97	0.0	1.14	0.22	0.2	0.38	0.39	1.91	0.46	32.8	0.15	0.0	0.26	0.28	1.03	0.29	0.35	0.0	0.25	0.42	0.43	0.32	1.36	0.5
Gpr123	0.0	304.63	0.0	0.0	23.58	19.63	39.35	3.36	24.07	17.83	25.57	17.61	61.73	0.0	0.0	33.24	88.37	37.27	60.17	12.8	64.65	94.01	0.0	15.15	47.24	185.23	20.63	41.67	51.98	18.29	16.65	36.08	38.01
Hnrnpul1	0.0	20.64	0.33	0.0	0.0	4.74	0.0	2.39	2.71	2.53	6.26	5.42	0.0	0.0	1.31	0.0	6.34	3.48	3.93	0.0	3.12	5.6	0.0	0.0	7.53	0.0	1.99	0.0	10.67	0.0	1.01	68.91	75.58
Il28ra	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.82	0.0	0.1	0.0	0.0	0.13	0.0	0.13	0.0	0.09	0.0	0.0	0.0	0.22	0.16
Ip6k2	0.0	40.41	0.0	0.0	2.07	4.55	20.21	34.08	12.21	6.12	4.63	7.29	13.91	20.86	4.33	24.42	8.9	23.93	4.88	0.0	0.9	0.21	2.15	8.28	0.0	0.0	7.73	13.32	11.16	0.0	16.46	78.19	87.2
Jakmip3	0.0	104.77	0.0	0.0	22.15	0.0	0.0	12.2	0.16	0.0	1.14	0.0	0.0	0.43	0.0	0.0	67.27	0.21	6.6	0.62	0.0	1.65	0.0	0.0	14.71	0.0	0.22	14.71	0.0	0.0	0.0	24.21	24.15
Kcnj6	0.0	99.46	0.21	0.2	1.03	10.21	0.0	2.58	0.0	1.99	13.22	0.0	116.81	163.27	0.0	103.94	45.59	4.57	26.98	0.0	0.0	46.33	5.99	0.27	82.84	4.79	0.0	0.0	8.93	0.0	7.44	35.49	28.94
Ldhb	7486.96	5730.14	5274.92	5600.23	8752.31	8798.32	10118.08	10894.4	9343.6	8808.99	10165.1	9602.81	8469.38	11261.44	8285.69	10004.69	3251.95	9074.03	13571.31	5873.12	12546.17	9106.97	9755.78	11010.48	10182.84	4690.77	7441.82	8045.48	6971.5	8330.83	11746.38	737.58	774.98
Magee1	0.0	149.83	0.0	0.0	85.83	33.04	0.42	44.78	20.58	27.26	32.41	32.2	27.2	19.79	0.15	8.77	33.41	4.45	29.99	1.48	31.45	36.82	22.07	19.7	40.8	4.13	47.63	22.42	10.99	20.95	0.17	117.31	122.31
Mapre3	0.0	114.63	0.0	0.0	8.22	27.31	6.9	25.31	27.96	26.54	54.83	52.22	35.05	46.0	37.88	18.04	20.69	19.69	31.63	3.38	23.78	29.75	7.61	20.56	27.04	0.0	0.0	0.21	100.27	57.44	15.14	190.73	200.75
Med7	0.0	136.19	0.0	0.0	42.04	24.11	18.35	23.23	0.25	2.75	31.04	95.38	2.51	0.67	31.16	0.0	0.07	0.0	39.14	0.0	0.0	0.0	59.08	31.89	0.0	0.0	0.0	0.0	8.14	0.0	25.12	14.79	13.85
Mir1898	0.0	66.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.12	3.99
Mpp3	0.0	144.6	0.0	0.0	18.4	6.66	0.44	28.85	6.09	7.83	4.79	1.61	0.0	12.71	1.11	3.12	67.45	0.25	35.29	65.61	33.54	2.1	0.0	31.75	0.0	0.22	17.23	65.61	7.78	1.78	0.61	42.99	45.77
Mtmr9	0.0	153.78	0.0	0.0	0.0	8.89	0.0	0.0	7.91	0.0	0.81	0.0	0.0	0.0	19.71	0.0	2.55	0.0	6.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.04	4.94	73.44	71.47
Mttp	0.0	58.23	0.0	0.0	0.97	19.53	0.69	0.0	13.47	0.0	21.0	0.0	0.0	1.82	1.47	0.0	0.0	6.27	0.0	0.0	0.0	20.43	0.0	3.01	0.0	0.0	37.7	0.0	0.0	0.0	0.27	7.85	8.03
Ncaph2	0.0	213.82	0.0	0.0	32.21	26.16	40.18	14.44	16.55	11.28	16.74	0.0	0.0	75.28	63.72	34.68	79.36	77.1	25.64	0.0	73.9	44.92	0.39	0.0	64.22	0.16	57.65	60.62	66.86	0.15	0.06	74.69	76.35
Oaz2	0.0	142.99	0.0	0.0	0.0	38.65	4.09	0.26	122.81	76.66	76.49	4.52	124.24	136.05	94.52	82.41	102.22	31.74	57.4	0.26	0.0	70.66	0.0	112.29	69.57	0.0	45.69	99.22	93.17	13.52	2.66	205.75	212.47
P4hb	0.0	143.04	0.0	0.0	10.1	29.47	69.96	56.39	38.33	45.01	0.0	28.24	0.14	11.18	76.58	2.54	165.15	11.29	0.11	0.09	19.67	1.63	75.96	31.72	45.11	0.0	85.49	2.04	3.68	44.54	4.76	93.33	96.9
Pcnxl2	0.0	48.16	0.0	0.0	0.63	0.0	14.24	3.14	7.27	8.46	3.55	15.18	0.82	0.0	8.78	0.0	0.0	0.59	7.53	0.0	1.34	8.35	0.0	0.44	1.42	1.85	0.0	19.99	0.0	1.66	0.0	45.59	44.85
Pcyox1	0.0	38.32	0.0	0.0	20.01	15.62	0.81	65.53	10.66	15.12	19.82	27.57	7.57	8.81	0.77	63.38	69.98	7.11	8.03	0.04	34.57	24.97	37.37	1.45	0.84	0.05	0.44	0.19	8.11	0.0	0.0	73.62	75.03
Pdcd2l	0.0	147.75	0.0	0.0	0.0	21.3	29.24	0.0	0.0	0.0	16.08	0.0	5.34	0.0	0.0	15.94	65.97	0.57	0.0	24.05	12.07	0.6	0.0	0.0	28.51	0.0	0.3	0.0	0.0	73.14	7.29	19.53	21.72
Pigl	0.0	184.26	0.0	0.0	52.02	0.0	0.0	0.0	0.0	0.0	7.55	0.0	0.0	0.0	0.0	0.0	92.79	0.0	0.0	10.1	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.96	0.0	0.0	8.28	9.45
Ppp1r35	0.0	21.31	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.0	0.0	4.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.53	0.0	0.0	0.0	0.35	0.0	0.0	17.59	21.75
Prkci	0.0	74.27	0.0	0.0	0.0	23.04	0.0	0.0	0.0	0.0	0.14	0.0	0.68	2.1	0.0	0.48	2.94	10.8	6.42	1.83	0.0	0.0	1.35	60.62	0.0	0.0	0.17	0.0	1.88	0.23	0.0	43.33	41.46
Rad23b	0.0	17.53	0.0	0.0	2.52	17.47	3.38	22.31	1.7	7.01	3.39	49.07	0.0	15.84	8.23	10.46	41.18	6.34	13.69	4.69	0.0	0.49	0.91	0.42	11.9	7.62	12.51	0.73	15.19	2.56	26.78	119.39	127.11
Ranbp3	0.0	105.39	0.0	0.0	5.55	0.0	0.0	56.06	0.0	0.22	0.0	63.53	1.2	7.16	53.5	12.83	80.72	31.12	29.15	0.0	37.64	0.8	0.0	89.52	47.05	0.0	0.0	3.57	0.53	0.0	14.28	67.11	76.65
Rchy1	1.66	282.78	0.74	6.84	64.75	63.49	66.31	85.81	143.6	91.07	77.72	10.9	5.36	92.61	69.39	51.81	305.37	88.31	28.98	5.94	2.04	66.91	33.06	82.34	107.8	3.78	210.77	27.67	13.57	2.93	56.13	35.69	36.47
Rexo4	0.0	182.16	547.54	0.0	31.95	110.91	4.49	40.19	0.0	8.7	30.87	0.0	0.15	0.33	0.23	0.0	213.17	18.89	16.02	0.0	0.0	1.15	22.62	2.37	0.0	0.0	5.7	0.0	2.48	0.15	2.05	43.99	44.21
Rg9mtd3	0.0	85.9	0.0	0.0	45.54	1.77	44.52	34.28	2.43	0.0	46.24	0.0	0.0	0.0	0.0	31.95	137.41	43.45	0.0	0.23	40.48	28.54	0.0	44.05	0.0	0.0	36.04	0.0	0.0	0.0	55.59	12.69	12.3
Rnf25	0.0	163.31	0.0	0.0	0.0	0.0	0.0	4.95	57.35	0.0	0.0	0.0	0.0	0.0	0.0	98.16	74.87	26.67	49.56	0.0	45.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.16	51.39
Rnf38	0.0	61.56	0.0	0.0	0.0	0.0	0.0	0.0	4.66	0.1	0.0	0.0	0.0	0.45	0.0	0.0	56.67	1.71	18.64	0.0	5.14	0.0	0.0	17.56	0.0	0.0	0.3	0.0	37.78	2.77	0.0	36.48	34.22
Rpf1	0.0	159.17	0.0	0.0	0.0	0.0	9.69	0.0	0.0	19.72	35.26	56.14	0.0	22.67	0.0	40.32	144.77	23.19	19.6	4.77	0.33	3.95	5.65	0.0	49.09	0.0	0.0	0.0	27.44	0.0	0.0	18.61	15.75
Sdsl	0.0	2.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98	3.41	3.88
Serac1	0.0	74.85	0.08	0.17	0.22	30.12	0.0	1.79	2.94	9.16	0.0	0.0	0.06	11.72	0.0	18.74	0.0	9.83	0.0	0.04	0.0	9.3	0.16	1.58	0.0	0.0	0.0	0.0	1.68	4.51	0.0	19.35	16.98
Snx25	0.0	28.4	0.0	0.0	0.0	36.44	2.02	3.94	3.53	1.81	35.27	7.46	1.37	0.36	0.86	35.06	147.59	0.23	16.83	2.09	28.17	46.54	8.92	17.88	0.0	0.0	5.81	21.36	0.92	0.0	1.01	45.36	44.33
Spata7	0.0	167.28	0.0	0.0	0.63	4.72	0.0	2.14	0.0	44.16	2.59	0.23	0.0	65.51	58.9	44.16	0.33	11.04	0.14	0.0	0.2	87.82	0.22	1.34	1.35	0.0	0.0	30.4	0.0	0.0	1.36	22.78	24.7
Stard10	0.0	171.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.97	0.0	0.0	0.0	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.76	84.9
Sugp1	0.0	129.54	0.0	0.21	2.76	24.72	0.0	0.0	9.29	7.34	5.42	26.38	13.6	11.78	82.67	0.0	131.48	21.98	22.93	18.09	22.42	26.64	43.79	0.71	1.39	0.0	19.06	8.56	50.59	112.17	0.17	46.85	48.29
Taf11	0.0	137.38	0.0	0.0	21.55	30.94	51.16	22.36	0.0	100.31	26.79	0.0	63.75	81.3	54.93	88.16	121.66	0.0	18.25	0.0	0.34	113.86	46.57	2.72	106.92	2.73	112.23	0.34	64.59	0.0	92.27	51.09	54.18
Ube2z	0.0	34.26	0.0	0.0	0.64	37.34	5.72	1.43	12.07	4.31	0.0	1.72	0.0	1.77	0.0	0.31	49.61	7.15	33.74	0.0	3.97	0.66	0.0	0.81	0.0	0.0	20.27	0.0	0.0	9.29	28.15	57.01	57.34
Ube3c	0.0	70.61	0.0	0.28	28.96	42.1	0.0	22.57	44.4	27.53	13.67	25.09	22.37	0.51	30.77	12.32	33.09	21.24	30.83	2.09	27.73	13.19	2.06	9.34	24.27	0.0	17.52	14.33	26.25	1.13	34.72	55.48	54.31
Whsc2	0.0	155.17	0.0	0.0	24.98	0.0	0.0	0.0	41.16	32.14	0.3	102.45	156.3	80.48	1.47	1.26	99.38	27.62	30.46	0.56	49.42	42.36	0.0	12.05	47.31	22.37	0.14	86.82	0.0	0.0	0.0	20.71	23.27
Xkr4	0.0	97.74	0.0	0.97	59.69	12.33	0.0	0.0	0.0	6.84	23.99	46.57	0.0	33.67	0.0	0.0	32.4	16.68	4.79	0.11	16.1	0.62	0.95	36.48	0.0	6.77	39.6	0.0	11.08	3.24	0.0	18.96	14.85
Zfp563	0.0	60.96	0.0	0.0	16.88	25.05	0.0	27.76	28.13	0.0	10.15	0.0	0.0	28.51	0.49	0.33	102.71	16.6	32.21	0.04	22.2	0.0	0.0	14.03	0.0	0.0	5.82	0.0	7.71	0.0	29.49	8.35	7.2
Zfp57	0.0	133.22	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.12	6.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.81	11.03
Zfp740	0.0	113.41	0.0	0.0	21.77	2.52	0.33	0.0	0.0	0.81	0.0	4.52	6.75	23.42	13.86	0.98	51.21	1.9	19.52	0.0	2.83	40.18	0.12	0.0	28.98	8.5	0.0	0.0	65.52	0.0	32.61	44.66	44.73
Zfp870	0.5	99.36	0.0	0.4	24.13	15.08	0.0	71.99	0.76	1.05	0.12	0.35	0.13	0.08	0.71	63.91	53.35	14.98	0.18	0.18	0.08	5.09	0.08	0.1	17.08	0.1	0.0	0.37	0.0	0.15	0.09	5.5	5.5
Znhit2-ps	0.0	36.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	35.2	42.26
c18_tRNA-Ala-GCY_	0.0	38.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.19	0.0	0.0	20.27	0.0	41.45	52.52	0.0	0.0	0.0	20.7	0.0	46.98	29.03	0.0	0.0	34.22	0.0	0.0	0.0	17.88	12.88	24.82
