	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cybasc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.41	0.0	0.0	0.0	0.41	0.0	2.37	0.0	0.0	40.97	0.11	46.58	0.0	9.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	1.24	5.58	0.0	1.22	8.91	7.53	15.09	16.04	14.26	14.31	13.91
Dapk1	3.72	13.74	0.0	30.01	0.15	11.24	0.05	0.7	0.0	42.77	0.0	8.44	0.09	0.0	3.58	9.26	1.65	21.72	7.57	0.42	0.05	5.52	0.28	21.86	4.87	23.35	1.2	63.52	2.37	5.85	10.27	0.08	45.31	20.69	12.37	0.0	1.35	0.44	23.02	8.54	11.7	1.55	12.1	9.82	1.11	11.88	8.73	1.21	12.79	0.11	45.47	13.11	4.83	5.53	2.46	13.45	6.31	5.55	3.73	58.61	61.1	63.88
Dnajb11	0.51	0.0	0.3	32.84	11.05	0.74	0.74	0.22	2.0	9.24	70.59	4.17	24.39	54.0	0.44	5.01	73.37	0.43	0.0	39.94	62.37	4.45	0.5	47.48	0.32	211.14	84.87	192.46	56.16	0.14	0.85	0.28	0.34	0.0	68.88	47.12	2.27	1.53	0.55	0.62	27.52	45.63	34.1	0.09	124.36	23.69	94.01	0.0	0.0	46.26	0.83	40.76	65.4	37.41	33.68	22.82	12.5	21.44	35.14	58.65	55.63	56.06
Dusp11	16.81	0.0	11.74	20.08	26.64	1.63	3.53	0.55	25.24	0.0	58.78	2.42	17.47	0.0	0.0	18.27	0.01	0.57	2.91	0.02	7.49	0.0	2.41	3.97	12.28	37.91	5.7	114.63	13.07	2.23	2.06	1.51	35.83	0.0	0.0	0.58	12.84	0.49	0.0	0.23	20.95	0.04	8.29	1.27	4.71	12.01	0.0	12.33	0.4	1.72	82.58	8.66	8.06	10.86	12.28	14.66	9.52	5.28	9.01	36.65	35.04	37.2
Eif4g1	12.22	0.0	0.0	0.0	15.07	13.3	26.53	0.03	0.24	4.09	5.16	0.0	2.32	0.0	15.87	0.09	0.01	0.13	1.31	2.38	27.23	0.0	6.64	0.0	10.25	22.26	4.61	46.91	0.45	0.0	3.65	0.39	0.0	0.0	0.0	0.0	4.06	0.0	4.11	4.61	2.09	0.0	0.42	0.0	2.57	6.85	48.17	16.17	3.11	6.28	0.0	4.99	4.64	5.72	5.92	6.76	4.63	3.91	3.93	145.21	148.23	148.6
Fam195a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.63	0.0	0.0	0.0	0.0	24.69	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.31	0.0	0.0	0.0	0.0	9.35	0.0	0.0	0.0	0.0	13.69	0.0	0.0	0.0	0.0	0.0	6.88	0.0	0.0	0.37	6.06	2.31	0.0	0.9	11.87	16.48	13.16
Fbxo5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.92	0.0	0.0	0.0	0.2	1.06	1.6	2.02
Foxo1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.06	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	2.35	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	14.63	0.0	0.0	0.0	0.0	0.0	0.0	0.06	1.49	18.48	18.95	18.11
Gadd45b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	4.02	0.0	0.0	14.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	0.0	0.57	9.78	12.21	18.18	8.14	8.2	3.39	8.64	9.57	28.12	25.81	20.85
Gm13306	0.0	0.41	0.0	0.0	0.0	8.68	0.0	0.0	0.0	0.0	0.0	0.0	17.1	3.39	4.28	1.46	0.03	0.0	1.74	0.0	0.0	5.37	0.27	0.0	0.0	0.0	2.47	3.43	0.0	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	8.48	4.31	40.26	0.0	4.89	0.08	0.0	0.0	0.0	4.36	4.62	1.88	0.0	164.03	132.22	177.66	103.08	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Gm14169	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	13.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.06	0.0	0.22	0.0	0.0	0.08	0.0	4.62	0.0	0.0	2.52	0.0	2.05	2.74	0.59	2.0	0.28	6.72	7.18	7.95
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	7.91	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.64	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.61	1.13	2.82	3.62	0.41	1.27	4.28	1.89	1.73	1.86	1.4
Gm2506	0.0	0.41	0.0	0.0	0.0	8.68	0.0	0.0	0.0	0.0	0.0	0.0	17.1	3.39	4.28	1.46	0.03	0.0	1.74	0.0	0.0	5.37	0.27	0.0	0.0	0.0	2.47	3.43	0.0	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	8.48	4.31	40.26	0.0	4.89	0.08	0.0	0.0	0.0	4.36	4.62	1.88	0.0	164.03	132.22	177.66	103.08	62.2	61.27	76.52	71.98	30.63	28.29	22.96
Gpr150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.74	6.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.46	0.0	21.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	3.37	8.61	0.0	0.14	3.23	0.49	5.45	5.17	5.24
Grtp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.97	0.0	69.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.85	0.0	0.0	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.27	0.0	3.59	4.9	4.26
Ift57	0.5	0.0	9.94	0.0	0.0	0.0	3.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.95	4.8	0.05	0.0	0.0	5.32	7.51	0.24	0.22	0.0	6.31	0.0	17.43	0.0	0.0	3.22	5.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.57	23.79	0.0	0.0	12.34	0.0	11.51	9.88	0.0	0.0	0.0	0.0	20.72	19.66	13.95	18.44	25.11	24.36	18.73	20.81	40.44	36.93	39.25
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	7.91	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.64	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.61	1.13	2.82	3.62	0.41	1.27	4.28	1.89	1.73	1.86	1.4
Jmy	0.93	23.35	27.41	6.76	0.08	0.0	49.62	5.11	0.0	1.07	0.0	28.09	0.0	0.0	0.0	0.08	3.21	0.0	0.06	0.01	20.35	0.0	0.0	7.8	9.98	5.94	27.4	81.45	0.25	15.31	5.7	0.0	2.13	0.03	0.0	0.67	0.0	8.36	2.04	2.91	13.92	0.0	0.0	10.23	0.0	0.0	3.3	15.29	22.4	0.27	0.08	15.13	9.39	5.71	7.27	6.67	7.36	5.29	4.68	22.47	20.91	20.78
Lin9	0.0	0.0	0.25	0.0	0.0	0.16	0.08	0.02	0.0	0.0	0.0	0.0	16.27	22.14	0.0	0.2	35.33	0.07	0.0	0.03	0.09	0.0	0.0	32.46	0.0	0.3	0.0	86.41	37.44	0.0	0.14	0.0	0.0	0.0	0.0	2.66	0.0	0.35	0.19	0.0	0.0	19.8	0.0	0.0	0.32	0.0	0.0	0.28	0.0	0.38	1.01	0.0	9.03	2.8	10.36	0.0	6.2	2.2	1.98	3.6	3.67	3.51
Lmx1a	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.16	0.05
Lrrc51	43.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.91	0.0	109.91	0.0	0.0	0.0	3.2	41.21	33.7	0.0	0.0	6.13	46.53	0.0	0.0	16.83	0.0	0.0	0.0	381.81	0.0	68.85	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	9.81	0.0	3.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.8	0.0	0.0	22.27	6.72	54.25	1.66	4.3	8.79	7.57	8.87	7.42
Lrrc59	2.43	69.19	0.0	54.64	29.89	0.0	0.0	0.14	43.48	0.0	0.0	0.0	42.72	35.79	0.0	26.95	0.74	0.04	55.17	0.0	0.0	29.56	0.0	0.3	21.63	0.0	0.0	120.08	0.0	0.0	10.61	1.15	0.0	0.0	0.0	39.0	0.97	0.0	53.16	4.08	5.49	0.1	9.71	4.38	0.0	50.71	0.0	1.33	0.0	28.3	0.0	21.83	19.98	5.79	0.93	3.2	15.45	20.89	20.23	85.48	86.26	76.91
Lypla2	0.0	0.19	0.82	0.86	0.0	0.0	0.08	60.74	7.05	0.0	0.0	0.0	0.0	0.0	0.0	26.64	0.0	0.38	18.77	0.07	0.0	24.53	1.15	1.26	0.0	46.93	1.49	105.74	0.0	33.13	0.0	0.95	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.31	0.99	0.0	0.15	0.45	0.0	0.0	0.61	80.57	1.4	23.01	68.88	24.91	4.92	12.29	6.4	19.36	8.18	14.48	19.04	83.25	93.67	96.28
Mark1	3.34	3.44	0.28	6.24	3.21	0.0	0.03	0.0	0.71	0.0	0.0	0.0	1.82	0.0	0.0	0.0	27.79	0.0	0.04	0.0	0.0	0.09	2.03	0.0	0.0	0.0	0.0	72.63	3.53	0.0	0.16	0.16	0.0	9.2	0.06	0.0	0.0	0.0	6.6	2.04	12.28	0.0	20.62	10.38	0.59	0.34	0.0	0.0	0.0	0.8	0.15	4.01	5.3	0.75	7.72	2.03	11.4	8.82	13.95	67.25	66.74	67.46
Mas1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	150.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	60.17	124.01	50.19	19.69	31.66	29.54	34.17	22.32	20.14	20.56
Meis2	0.0	0.0	0.0	0.23	0.0	0.05	0.13	0.15	0.0	0.0	0.0	0.38	0.12	0.4	0.17	0.07	0.09	0.03	0.04	0.04	0.05	0.32	0.06	0.06	0.1	0.2	0.06	0.35	0.0	0.21	0.14	0.0	0.09	0.18	0.0	0.09	0.04	0.01	0.09	0.11	22.78	0.0	0.03	0.07	0.24	0.24	0.16	0.18	0.09	0.09	0.14	35.35	50.41	37.87	26.93	20.23	14.62	26.91	16.99	66.68	69.5	64.81
Midn	3.95	0.0	0.0	0.55	0.0	1.0	5.48	0.81	0.35	1.77	0.0	6.87	0.13	0.0	6.27	4.69	0.0	0.55	1.83	0.71	1.48	8.25	0.24	1.89	0.07	1.66	0.0	30.31	1.92	0.0	0.13	0.0	0.46	0.0	0.0	2.46	0.0	0.0	0.0	0.0	5.35	0.0	7.74	1.74	1.01	2.9	5.17	9.65	3.05	5.4	18.6	1.99	2.51	4.24	3.46	1.79	2.08	1.75	1.86	41.28	39.94	29.29
Mov10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48	0.0	0.27	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.66	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.07	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	1.63	5.0	0.33	0.08	0.35	1.72	3.76	0.7	7.3	7.37	7.81
Mrps24	14.52	0.0	17.89	0.71	0.0	0.27	0.28	0.27	1.34	0.0	0.65	1.02	0.0	9.72	0.0	0.37	0.25	1.13	0.51	0.53	0.28	0.0	0.0	0.3	1.8	0.73	0.0	52.38	0.0	3.33	0.49	0.22	0.0	0.0	0.0	0.0	13.18	0.34	0.0	0.51	5.48	0.3	0.85	2.07	5.34	0.5	0.5	0.99	0.0	5.77	1.4	5.94	4.15	0.6	8.59	3.8	4.62	3.55	5.43	34.78	40.47	33.55
Napsa	17.63	0.0	0.0	0.0	0.0	4.03	0.0	5.97	0.0	0.0	0.0	0.0	0.0	9.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.13	7.4	0.0	0.0	0.0	1.56	0.32	0.0	0.0	0.0	0.27	0.02	0.0	0.0	3.95	0.0	0.08	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	2.13	1.19	0.17	0.82	0.24	0.48	1.12	0.83	1.4
Npy	138375.8	56190.59	13918.43	173305.25	1.6	115124.65	43922.94	108594.8	68542.73	6792.77	65548.38	14635.6	125016.83	80627.8	63494.68	132042.44	149629.49	134232.96	130357.56	116117.28	122154.33	126501.28	117863.77	130527.91	173863.58	73168.9	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	101137.64	151963.58	985.16	145032.54	180453.32	48343.46	8484.11	137945.15	48908.54	32250.58	65353.97	120620.2	68416.93	0.0	0.0	0.0	0.0	0.99	0.6	0.0	0.7	214.21	196.57	200.76
Nrgn	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	2.06	0.0	13.4	0.0	21.94	14.52	0.0	0.0	0.31	0.0	0.26	0.16	0.22	0.0	0.72	0.0	0.0	4.5	0.0	52.77	0.56	0.0	0.0	0.0	42.03	0.19	13.93	0.0	0.0	0.0	0.0	0.0	434.86	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	53.14	162.68	189.8	329.97	240.27	280.46	267.46	286.83	289.37	2256.7	2403.01	2414.28
Nubpl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.97	3.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.03	0.0	0.0	60.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.5	0.21	0.0	0.0	8.38	7.33	8.17	7.56
Nup188	0.0	0.0	5.57	0.0	1.12	0.05	0.94	5.81	0.0	0.0	0.0	0.0	0.0	21.47	0.0	5.78	0.0	0.0	12.54	0.02	0.53	0.07	0.05	1.18	0.91	24.41	0.0	25.54	3.41	0.0	9.53	0.0	1.58	0.0	0.0	2.26	0.0	0.0	0.0	15.92	2.71	0.0	0.0	0.0	0.0	0.0	0.0	4.19	0.0	0.0	0.12	5.45	0.64	2.16	5.95	3.27	2.86	3.18	4.66	10.3	11.62	11.45
Odz3	0.0	0.0	0.0	0.0	0.0	0.02	0.0	1.05	0.0	0.0	0.0	0.0	8.42	1.93	9.54	0.01	0.01	0.01	0.0	0.02	1.36	0.0	0.03	0.0	13.18	0.0	0.0	39.08	5.71	0.0	0.0	7.67	0.0	0.0	0.0	0.26	0.0	0.31	0.0	0.0	14.47	0.8	1.84	0.02	0.0	8.52	20.63	0.58	0.0	0.01	0.0	27.77	29.85	12.85	9.2	9.29	8.91	9.2	9.74	34.84	35.08	33.85
Pde7b	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	45.29	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	8.05	0.14	0.21	1.48	1.65	2.24	0.75	36.52	32.28	35.06
