	Nkx2.1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_33	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm9079	0.0	0.12	0.0	1.87	2.14	2.32
Gpat2	0.0	0.16	0.0	0.3	0.25	0.27
Grm4	0.0	0.07	0.0	17.66	17.01	18.6
Gsg2	0.0	0.08	0.0	0.18	0.2	0.25
Gsta3	0.0	0.32	0.0	3.03	1.74	1.75
Hmcn1	0.0	0.01	0.0	1.43	1.22	1.26
Ifi204	0.0	0.19	0.0	0.33	0.12	0.26
Igf2as	0.0	0.04	0.0	0.06	0.21	0.19
Ikbke	0.0	0.07	0.0	1.17	0.98	1.49
Il12rb1	0.0	0.07	0.0	0.69	0.74	0.57
Il13ra1	0.0	0.06	0.0	4.94	4.1	4.6
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Insrr	0.0	0.04	0.14	0.27	0.27	0.3
Itga10	0.0	0.04	0.28	2.43	1.96	1.63
Kbtbd13	0.0	0.07	0.0	0.2	0.19	0.34
Kcnj14	0.0	0.16	0.0	1.8	1.97	2.05
Kcnk13	0.0	0.07	0.0	5.41	5.64	6.67
Kcnk5	0.0	0.06	0.0	0.44	0.69	0.33
Kif18b	0.0	0.06	0.0	0.21	0.42	0.4
Klc3	0.0	0.12	0.0	1.79	3.12	1.76
Klf17	0.0	0.06	0.0	0.11	0.08	0.17
Klf2	0.0	0.12	0.0	12.86	18.35	9.83
Kremen1	0.0	0.17	0.0	13.49	12.14	15.16
Krt26	0.0	0.08	0.0	0.27	0.21	0.27
Krt80	0.0	0.12	0.0	5.1	3.98	4.4
Lgals3	0.0	0.16	0.0	0.58	0.8	0.67
Lingo4	0.0	0.07	0.0	0.6	0.58	0.62
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Llgl2	0.0	0.06	0.0	0.78	0.58	0.46
Loxl4	0.0	0.04	0.0	0.13	0.12	0.17
Lrdd	0.0	0.07	0.0	1.43	1.7	2.14
Lrp2	0.0	0.01	0.0	0.09	0.11	0.11
Maff	0.0	0.12	0.0	0.77	1.41	0.97
Magix	0.0	0.08	0.0	0.39	0.5	0.52
March10	0.0	0.51	0.0	1.74	1.51	1.32
Mdfic	0.0	0.06	0.0	2.64	2.43	2.22
Meig1	0.0	0.32	0.0	2.76	1.78	2.1
Mfsd7c	0.0	0.06	0.0	1.98	2.27	2.45
Mmp2	0.0	0.07	0.0	2.01	2.23	2.68
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Muc19	0.0	0.02	0.0	0.44	0.28	0.41
Murc	0.0	0.32	0.0	1.02	0.96	1.0
Musk	0.0	0.06	0.0	1.04	1.4	1.04
Myh15	0.0	0.03	0.0	0.57	0.47	0.51
Myh2	0.0	0.42	0.0	0.64	0.39	0.57
Myh6	0.0	0.07	0.0	7.71	1.24	1.5
Myh8	0.0	0.03	0.0	0.22	0.33	0.19
Myom2	0.0	0.04	0.0	0.08	0.07	0.08
Nostrin	0.0	0.24	0.0	3.3	4.51	2.84
Npffr1	0.0	0.17	0.0	1.15	1.37	0.95
Nphp1	0.0	0.48	0.0	13.62	14.5	13.88
Npsr1	0.0	0.06	0.0	2.23	2.3	2.25
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Oas2	0.0	0.11	0.0	0.53	0.41	0.39
Olfml2b	0.0	0.07	0.0	5.95	7.93	5.95
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Olfr558	0.0	0.07	0.0	0.1	0.44	0.8
Olfr78	0.0	0.08	0.0	1.35	1.66	1.78
Oprk1	0.0	0.14	0.07	7.22	5.47	7.93
P2ry1	0.0	0.11	0.0	2.48	2.36	2.11
Pafah1b3	0.0	0.0	0.0	17.06	14.09	12.3
Pax2	0.0	0.07	0.0	0.2	0.18	0.03
Pcdha11	0.0	0.11	0.0	4.23	4.84	2.9
Pcdha7	0.0	0.11	0.0	4.95	6.18	4.71
Pdgfrl	0.0	0.14	0.0	1.37	1.16	0.67
Pgr15l	0.0	0.04	0.0	0.15	0.12	0.17
Phf19	0.0	0.06	0.0	0.47	0.87	0.52
Phf2	0.0	0.17	0.0	25.4	26.09	28.47
Plcb3	0.0	1.12	0.08	11.73	10.65	11.61
Plekho2	0.0	0.07	0.0	12.66	11.55	12.57
Ppp1r14a	0.0	1.33	0.0	31.7	41.58	35.39
Prom1	0.0	0.08	0.0	11.56	11.13	12.48
Prrg4	0.0	0.07	0.0	0.95	0.5	0.32
Ptger2	0.0	0.06	0.0	0.18	0.22	0.13
Ptpn13	0.0	0.12	0.84	7.45	6.34	6.4
Ptpn18	0.0	0.14	0.0	1.39	1.31	1.77
Ptprc	0.0	0.04	0.0	1.68	1.5	1.95
Ptprq	0.0	0.03	0.0	0.11	0.08	0.1
Rarres1	0.0	0.16	0.0	1.39	1.67	1.46
Rfx2	0.0	0.07	0.0	1.5	1.64	2.26
Rho	0.0	0.03	0.0	0.21	0.34	0.16
Rin3	0.0	0.06	0.0	1.63	2.16	1.51
Rorc	0.0	0.17	0.0	1.34	1.45	1.26
Sall4	0.0	0.04	0.0	0.08	0.07	0.11
Scn5a	0.0	0.03	0.0	2.41	3.01	2.36
Sfn	0.0	0.14	0.0	2.04	2.42	1.66
Sft2d2	0.0	0.04	0.0	19.91	18.91	18.73
Six1	0.0	0.08	0.0	0.14	0.26	0.11
Slc25a47	0.0	0.14	0.0	2.52	2.5	3.19
Snx21	0.0	0.14	0.0	39.99	46.0	39.1
Sod3	0.0	0.11	0.0	15.08	12.83	13.7
Sstr1	0.0	0.06	0.0	23.67	22.95	25.2
Sult1a1	0.0	0.16	0.0	8.06	8.94	7.94
Tg	0.0	0.03	0.0	0.08	0.04	0.08
Tie1	0.0	0.06	0.0	7.93	9.35	10.15
Tlr6	0.0	0.08	0.0	0.48	0.32	0.49
Tmem125	0.0	0.12	0.0	8.64	10.25	11.07
Tnfrsf11b	0.0	0.08	0.0	1.85	1.25	1.23
Tnk1	0.0	0.07	0.0	0.15	0.14	0.0
Tns1	0.0	0.02	0.03	12.3	13.19	13.04
Tnxb	0.0	0.02	0.07	2.59	2.83	2.16
Tpk1	0.0	0.08	0.0	2.47	1.96	2.42
Tram2	0.0	0.32	0.0	0.5	0.75	0.67
Trpm1	0.0	0.04	0.0	0.25	0.09	0.07
Trpv4	0.0	0.07	0.0	0.92	1.15	0.98
Twist2	0.0	0.17	0.0	2.59	2.52	2.05
Vangl1	0.0	0.06	0.0	2.56	2.17	2.53
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r87	0.0	0.08	0.0	2.25	1.72	2.06
Vrk2	0.0	0.25	0.0	2.24	2.2	2.24
Wfdc3	0.0	0.28	0.0	0.99	1.17	0.13
Wnt7b	0.0	0.06	0.0	23.94	26.39	24.84
Zan	0.0	0.01	0.0	0.13	0.17	0.19
Zfhx4	0.0	0.14	0.03	2.8	2.61	3.19
Zfp105	0.0	2.59	0.0	4.26	4.66	4.85
Zfp217	0.0	0.04	0.0	2.02	2.12	2.21
Zim1	0.0	0.06	0.0	2.05	2.14	2.2
mt_AK131586	0.03	0.31	0.0	25813.35	24091.17	24561.45
mt_AK140457	439.21	1107.16	658.51	2834.26	2375.87	3021.71
mt_AK166684	0.0	19.39	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	6.56	0.0	9032.87	8417.95	8583.15
