	Chrna2_tdTpositive_cell_62	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
A630066F11Rik	0.91	0.0	0.0	0.0	0.0	0.33	0.0	1.03	53.25	0.73	0.0	0.0	1.04	0.38	0.0	2.45	0.0	1.61	0.0	0.0	0.0	0.0	0.3	0.64	0.0	0.59	0.0	4.77	1.3	0.0	2.8	2.02	2.89
Ablim1	0.56	49.08	40.54	0.21	6.7	6.91	4.72	24.53	98.55	31.04	7.39	2.36	31.76	31.17	19.39	50.17	9.81	41.7	34.82	26.08	49.97	32.29	33.83	22.45	17.15	39.66	14.62	19.13	1.62	25.65	61.87	57.92	60.01
Adamts17	0.23	0.11	0.3	0.13	0.11	0.28	0.15	0.27	11.43	0.21	1.53	0.21	1.99	0.26	0.0	0.06	0.0	0.83	0.25	0.17	0.12	3.21	0.32	0.32	0.11	0.06	0.23	0.13	0.08	0.12	3.0	2.7	2.35
Angpt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	1.39	1.24
Arhgap30	0.18	0.13	0.11	0.06	0.0	0.0	0.1	0.0	0.81	0.08	0.3	0.33	0.23	0.45	0.09	0.11	0.16	0.44	0.36	0.42	0.34	0.0	0.33	0.17	0.58	0.12	0.16	0.18	0.6	0.0	2.4	1.67	2.31
Arsk	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7	4.66	4.25
Atp2b3	0.0	0.07	18.34	0.09	14.27	0.0	9.56	7.16	25.26	0.07	1.25	1.01	31.19	54.69	8.49	0.0	0.0	0.0	9.48	4.8	5.2	0.0	0.0	22.64	24.22	17.2	0.0	22.49	0.37	0.0	71.78	71.4	77.52
BC002230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	24.36	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	1.78	0.0	0.0	6.41	1.13	0.0	0.0	3.35	11.8	11.86	12.54
BC037032	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.46	0.67
BC060267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.58	5.28	5.35
Bace2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13	3.15	2.8
Car8	0.0	0.05	0.0	0.0	0.0	0.03	0.0	0.07	0.1	0.05	0.07	0.0	0.0	0.07	0.0	0.06	0.0	0.0	0.0	0.05	0.0	0.06	0.07	0.0	0.07	0.15	0.0	0.04	0.0	0.0	5.21	4.26	5.44
Ccdc164	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	2.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.17	16.04	16.72
Ccdc90a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.61	14.87	15.84
Chrm4	0.4	0.0	0.11	0.0	0.27	0.59	0.81	0.0	4.77	20.99	0.16	0.16	2.29	0.66	0.13	21.27	0.85	1.62	0.81	0.41	2.55	1.98	2.12	1.12	0.95	44.76	0.89	0.49	1.42	0.24	45.22	46.97	34.33
Cpne4	0.0	0.0	0.0	0.0	22.53	0.0	0.0	43.49	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.29	51.56	46.45
D16Ertd472e	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	6.74	0.02	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	6.05	4.88	5.33
D1Bwg0212e	0.0	0.29	0.0	0.0	0.23	0.0	0.0	0.0	18.26	0.19	0.0	0.0	0.0	0.14	0.34	0.0	0.21	0.0	10.0	0.12	0.73	0.64	0.23	0.0	0.07	11.19	0.0	0.13	0.0	0.0	24.79	27.22	25.46
D330012F22Rik	0.9	0.0	0.42	0.77	0.49	1.18	0.26	0.5	32.33	1.01	0.05	0.64	0.19	2.59	0.79	36.68	1.33	0.64	17.47	0.97	0.42	0.12	0.11	0.71	0.38	1.04	1.15	0.74	0.48	0.91	5.35	5.2	6.08
D730040F13Rik	1.92	0.49	17.3	0.52	3.0	0.51	0.0	0.28	15.51	0.63	0.39	0.59	9.89	0.87	0.33	0.69	0.25	0.26	0.46	3.7	0.2	1.01	0.42	0.49	0.62	0.6	10.72	0.67	11.04	0.51	22.62	16.53	21.26
Ddr2	0.03	0.05	0.11	0.11	0.55	0.21	0.09	0.0	6.82	0.03	0.09	0.32	0.13	0.16	0.05	0.17	0.28	0.06	0.09	0.0	0.0	0.11	0.0	0.0	0.0	0.13	0.21	0.04	0.54	0.0	4.64	3.87	4.57
Dhcr24	0.18	4.41	3.94	0.0	0.0	0.0	0.22	2.07	19.52	1.46	0.0	0.0	0.0	0.0	0.0	3.76	0.0	0.0	1.05	0.0	1.84	0.0	2.72	1.76	3.16	0.0	2.43	0.19	1.65	40.4	79.84	84.55	78.98
Doc2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	25.9	27.8	23.65
Dsel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.89	8.46	9.83
Dtwd2	2.49	0.4	1.79	0.48	0.67	3.51	1.96	2.22	39.38	1.73	4.8	1.74	1.65	21.43	0.0	2.14	0.63	2.09	0.79	0.0	5.46	5.86	2.68	2.46	29.89	6.33	4.87	0.44	1.25	0.87	3.71	3.24	3.98
Duox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.05	0.15
Dus4l	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	46.38	0.0	3.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.24	0.0	5.12	0.0	0.0	0.0	0.0	0.0	0.0	6.62	5.65	5.44
E130308A19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83	6.61	7.05
Eda2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.16	0.15
Ep300	3.46	0.0	18.06	0.0	4.07	0.41	2.96	8.61	14.93	0.22	0.34	0.1	2.38	3.51	0.0	6.3	0.0	0.0	8.05	0.9	0.49	0.0	0.0	1.58	22.89	0.0	7.31	0.7	0.75	0.0	26.42	24.38	26.16
Fam117a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	5.03	4.45
Fam134c	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.14	34.74	1.58	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	52.08	55.09	51.34
Gipc2	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	37.86	0.0	0.0	0.0	0.0	6.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	1.79	1.88
Git1	3.73	0.0	8.95	0.0	0.0	3.01	1.58	0.0	57.29	13.37	3.07	0.0	15.35	25.95	32.78	17.67	0.0	1.76	17.58	26.76	34.51	0.21	0.1	3.81	0.0	9.09	0.0	10.71	0.0	0.0	228.58	244.29	233.42
Gli2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	1.73	2.35
Gm10451	47.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	2.04	0.94
Gm11435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
Gm11696	0.63	0.66	1.48	2.37	0.53	1.35	0.0	0.22	28.53	0.69	0.82	1.07	0.76	1.34	0.3	0.53	0.27	0.0	0.51	0.87	1.72	1.4	0.35	0.23	1.55	0.94	1.3	0.65	0.3	0.61	1.75	2.51	2.23
Gm17365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.16
Gm6251	1.38	1.15	0.0	0.0	2.5	6.43	0.0	2.74	22.75	0.28	0.8	0.0	2.35	5.61	0.0	0.0	0.62	0.52	0.93	1.42	0.0	1.46	2.05	0.0	2.12	0.68	0.0	3.27	0.73	1.23	0.76	1.11	1.47
Gpr61	5.99	0.0	2.36	0.0	0.0	0.0	0.0	10.64	42.48	3.96	2.46	0.0	0.0	0.0	4.32	0.0	0.0	0.0	2.83	16.02	5.39	0.0	4.07	0.0	9.05	1.47	0.1	0.16	6.59	5.68	12.37	12.89	14.1
Gpr65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.05	0.15
Grin2a	0.0	0.0	17.02	0.0	5.34	0.0	3.82	25.16	115.66	0.0	2.38	17.31	8.56	3.02	6.55	38.01	0.07	0.0	14.61	4.35	6.55	4.52	18.1	0.09	1.82	34.57	0.0	17.02	0.78	0.0	34.45	27.49	46.14
Haus6	0.0	0.0	0.0	0.0	5.95	0.44	0.0	0.0	39.56	0.0	9.81	0.0	0.0	0.0	0.0	21.27	0.0	0.0	24.29	0.0	0.0	0.0	0.0	0.0	25.47	0.0	0.0	0.0	0.0	0.0	4.89	4.39	4.66
Itpr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05	5.63	7.73
Kcnk18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03
Klhdc10	50.11	0.67	16.72	0.32	1.73	0.0	0.0	2.96	51.31	0.02	23.91	0.07	3.77	0.15	0.0	9.52	29.07	0.8	0.13	0.0	13.51	0.0	29.04	0.26	3.92	11.02	32.18	20.5	0.0	31.66	59.96	58.26	59.26
Ldlrad3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.99	0.0	0.0	0.0	0.66	3.21	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.86	0.0	0.0	0.0	0.1	0.0	0.0	9.04	7.94	8.8
Lrrc6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.28	6.81	7.31
Map4k2	49.33	0.0	26.47	0.0	0.0	0.0	15.22	0.0	66.87	0.0	0.35	0.0	0.0	4.47	0.15	0.0	0.0	39.66	0.71	4.95	0.0	0.0	0.0	8.69	0.0	12.08	0.43	10.91	10.42	0.0	56.75	58.43	62.84
Masp1	0.0	0.0	5.8	0.0	0.0	0.0	0.0	2.44	24.2	0.0	0.0	0.16	0.0	0.0	0.0	7.45	0.0	0.0	5.27	0.0	0.0	0.0	9.08	0.0	12.05	7.77	6.79	0.0	0.0	0.0	5.81	6.45	6.03
Mesp2	0.33	0.16	0.49	0.52	0.0	0.55	0.0	0.0	8.89	0.12	0.73	0.45	0.22	0.0	0.0	0.21	0.58	0.39	0.52	0.0	0.22	0.11	0.69	0.35	0.8	0.97	0.0	0.45	1.36	0.14	1.74	1.42	1.3
Mir423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	1.27	0.0
Mks1	0.43	5.11	0.0	0.4	0.42	0.76	0.0	0.0	39.66	0.0	0.52	0.0	0.0	0.0	0.33	0.07	0.0	0.12	0.21	0.0	0.12	0.0	16.38	0.19	0.16	0.31	0.3	0.07	0.0	0.0	5.87	5.48	6.81
Mlc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.39	170.89	175.61	177.2
Mllt3	0.0	32.83	0.0	10.2	0.06	0.0	0.0	22.54	71.38	0.0	29.88	0.07	0.0	20.7	4.65	0.0	8.0	0.05	0.05	0.0	8.62	1.46	22.64	0.0	1.57	29.1	18.69	14.41	2.87	0.0	13.89	12.56	13.12
Mllt6	0.0	0.0	0.0	0.04	0.55	0.0	0.0	1.99	9.29	0.22	0.57	0.0	2.07	1.55	0.0	0.15	0.0	0.0	1.83	0.0	0.05	0.05	0.35	0.09	0.0	2.97	1.34	0.97	1.3	14.99	61.9	66.63	68.89
Mta2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.75	6.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26	0.0	6.33	0.0	9.15	0.0	0.0	0.0	0.0	0.31	0.0	0.0	38.84	39.23	34.76
Nhlrc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.91	18.48	17.41
Nlrc5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.48	0.26
Nnat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.11	9.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.71	0.0	2.76	0.0	0.0	15.97	0.0	0.0	263.05	306.83	281.49
Npepl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.17	14.55	13.17
Nt5dc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	2.32	2.43
Osbp	1.04	0.0	0.0	0.0	5.5	0.0	11.26	3.08	29.32	1.31	9.56	0.0	0.0	0.1	8.69	7.17	0.0	0.0	9.24	10.53	0.0	0.0	1.43	0.08	11.9	6.66	17.45	1.98	29.4	0.14	42.36	42.74	41.4
Otx1	0.0	0.34	0.13	0.0	0.26	0.13	0.0	0.0	11.45	0.0	0.0	0.0	0.0	0.14	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.24	0.0	0.0	0.07	0.0	0.0	5.06	5.76	5.71
Ovol1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.48	0.56
Pan2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.98	27.46	16.26	6.11	0.0	0.0	17.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	15.9	34.3	0.0	17.1	14.44	16.07
Paqr8	0.0	0.0	15.02	0.0	0.0	0.0	0.0	0.0	33.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.21	4.21	0.0	0.0	0.0	0.0	0.0	0.0	20.58	0.0	1.35	32.47	0.0	69.76	67.21	69.08
Pde6c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.1	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.94	0.11
Pdlim5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.21	14.9	16.72
Phospho1	0.59	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.65	34.22	30.08
Pias4	0.0	0.0	0.0	0.19	0.0	0.0	0.0	7.65	19.59	0.54	0.0	1.61	4.12	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	25.66	30.11	26.61
Plekhn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.87	6.58	7.81
Ppifos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.04	4.57	5.12
Pvalb	2658.58	2781.07	2461.61	2914.72	2576.97	2481.2	2637.39	3332.67	1769.21	1444.32	1553.08	2248.99	1915.25	1555.2	1457.87	1909.51	1763.04	1806.53	1681.17	1693.91	1839.14	2567.22	1522.72	1689.22	1830.01	1823.48	1749.01	3516.69	2759.1	3357.43	74.74	78.67	86.9
Pvr	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.29	37.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.66	0.0	0.0	0.13	0.0	0.39	11.08	6.59	0.87	0.21	0.0	7.31	7.36	6.8
Rapgefl1	2.87	15.91	0.13	0.14	15.75	5.18	0.43	0.13	43.28	6.9	0.21	0.0	0.0	13.65	0.18	10.52	0.02	16.6	5.42	0.12	7.41	0.0	0.09	0.25	0.0	31.44	0.32	0.09	0.0	0.0	101.3	104.49	107.12
Rasal2	3.1	0.66	0.19	5.13	12.78	0.07	27.99	0.0	28.98	1.89	0.14	0.09	18.84	23.33	0.0	8.07	0.0	13.45	0.74	2.05	14.95	0.13	0.3	30.46	23.1	15.06	12.99	1.63	18.14	23.58	34.89	33.03	35.51
Rbfa	2.83	0.0	0.0	0.0	0.0	8.59	0.0	0.0	12.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.9	0.0	0.0	0.0	0.86	4.98	0.0	0.0	0.0	0.0	40.14	46.2	43.45
Rhobtb2	0.0	3.21	20.48	0.0	0.0	4.88	0.0	1.51	18.23	6.62	0.0	3.16	0.0	1.73	0.07	4.93	1.08	0.74	5.25	11.16	7.2	2.81	28.8	7.06	8.49	19.96	8.07	13.03	15.67	0.0	60.65	60.9	53.86
Ryr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	8.42	7.09	8.38
