	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_45	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Atf6b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.89	0.0	1.23	27.45	4.29	0.0	0.0	0.0	0.0	0.0	130.52	0.0	0.18	0.0	0.0	7.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	3.0	3.16	57.74	62.35	62.77
BC090627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.61	0.99
Bet1	0.0	0.0	0.0	0.0	834.12	0.0	0.0	1299.17	61.83	144.46	113.79	0.0	0.0	75.76	0.0	1.34	0.24	0.0	0.0	0.0	0.0	0.51	65.34	0.0	206.08	0.0	0.0	0.0	0.0	0.0	0.0	80.71	65.54	57.69	24.25	20.98	22.64
Brd7	0.22	0.0	0.0	0.0	0.0	15.87	0.0	1025.17	39.52	22.8	1.21	0.0	0.0	0.0	0.51	0.27	0.0	0.0	1.31	0.0	0.11	0.47	29.22	0.0	861.56	0.43	0.0	0.0	0.0	0.0	0.0	43.2	33.65	40.28	37.84	41.31	36.86
Bri3bp	0.7	0.62	0.55	2.42	0.08	0.93	1.6	7.51	20.72	22.5	4.65	0.9	1.22	0.27	1.24	2.93	2.03	3.27	1.08	2.93	2.23	2.45	69.83	0.81	0.61	0.4	1.03	1.19	1.06	0.23	0.89	23.67	19.58	20.5	46.77	47.29	46.86
C030018K13Rik	0.0	0.0	0.0	0.0	0.0	0.0	1.95	1382.43	27.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.8	419.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	0.0	6.37	5.0	7.82
C330006K01Rik	0.67	3.51	0.52	6.07	1.66	0.81	2.74	635.81	1.79	0.59	0.87	2.23	6.17	0.33	0.53	1.45	1.85	3.76	2.31	0.44	2.08	0.57	33.96	0.14	0.2	0.0	0.0	0.45	1.68	0.0	2.35	1.14	1.17	1.57	15.66	17.41	15.65
C330007P06Rik	0.16	0.0	0.0	0.0	0.0	0.0	0.0	736.08	61.49	27.02	18.26	176.64	0.29	0.0	0.0	0.0	3.77	9.57	0.0	0.0	0.15	0.22	73.78	515.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.97	53.08	58.53	37.65	37.57	39.26
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	29.61	40.26	93.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.27	76.52	71.98	30.63	28.29	22.96
Cdh2	0.0	0.1	0.0	0.0	0.1	0.26	0.0	1212.53	17.57	24.98	34.16	1.89	0.07	0.0	0.0	0.28	0.15	0.0	0.04	0.0	0.05	26.3	122.87	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	29.33	34.38	32.67	71.68	72.18	72.03
Chpf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	421.97	4.12	11.44	7.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	3.0	2.46	61.67	77.14	69.66
Chst10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1872.05	10.98	9.03	0.89	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	398.25	0.35	134.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.35	15.3	11.77	53.78	51.9	52.82
Coq5	0.0	0.0	27.39	0.24	0.0	0.31	0.0	1162.72	41.7	20.34	54.67	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	91.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.16	43.86	53.35	35.38	37.21	32.49
Coq6	0.0	0.0	0.0	0.0	0.0	0.0	0.43	911.8	28.47	32.16	4.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.47	14.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.51	14.4	38.08	20.43	22.82	21.17
Creg2	0.19	0.84	0.07	1.1	0.55	0.11	0.12	1.7	6.29	7.57	16.11	0.55	0.71	0.52	0.98	0.57	0.4	0.21	0.54	1.51	0.76	1.12	15.15	0.06	0.01	0.52	0.13	0.72	0.26	0.9	0.34	18.01	10.44	13.15	76.41	67.53	74.79
Cst3	5806.98	66199.78	54799.87	54350.96	61505.62	32676.97	64380.72	22149.39	1911.04	471.62	603.87	59768.12	79037.77	54056.74	72522.19	67515.86	70378.51	61656.06	72390.07	61052.51	14121.09	28488.27	839.24	80478.24	68326.69	95318.24	426.54	42183.43	75159.39	84616.84	72517.08	353.49	361.27	348.24	1961.51	2186.93	2204.12
Cyb5b	0.0	0.0	0.0	0.11	0.0	0.0	8.03	484.94	29.55	27.4	3.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.06	0.0	31.93	0.0	0.0	0.24	0.0	0.0	0.14	135.04	0.0	31.64	32.69	34.02	103.68	103.32	101.13
D7Ertd715e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	561.61	35.13	28.13	25.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.23	0.0	3.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.16	6.5	6.21	22.53	16.54	22.31
Dbx2	0.0	0.0	0.0	0.0	0.0	0.0	0.6	1101.9	14.8	0.57	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	14.86	14.16	14.84
Dcaf15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	591.05	0.0	6.18	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	2.09	0.6	19.57	22.94	23.19
Dclk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	295.03	1.95	5.41	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.23	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	2.79	1.02	45.98	50.09	47.27
Dennd1a	0.0	0.1	0.0	0.0	0.0	0.0	0.15	536.8	1.61	3.13	1.47	0.0	0.0	0.0	0.0	0.0	0.0	0.6	3.7	0.0	0.0	0.08	6.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	1.96	0.35	36.88	35.78	35.53
Dis3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	295.65	0.0	0.0	9.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	2.85	1.02	10.13	9.6	11.02
Donson	0.0	0.0	42.61	0.0	0.0	0.0	0.0	451.46	19.98	17.9	2.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.36	0.0	0.0	0.0	0.0	10.01	0.0	0.0	0.0	7.22	2.97	4.95	20.1	20.6	18.02
E2f6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	890.22	3.09	16.35	0.94	0.0	0.0	0.0	0.0	0.0	0.0	352.61	0.0	6.12	0.0	0.15	31.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.16	6.96	4.01	31.91	32.55	28.45
Egfl6	0.17	0.03	0.0	0.67	0.0	0.0	0.12	506.87	0.0	0.0	0.26	0.18	0.25	0.23	0.0	0.0	0.0	0.47	0.27	0.46	550.73	0.5	0.12	0.0	0.0	0.45	0.0	1.16	0.0	0.0	0.0	0.44	1.41	0.04	2.35	2.46	2.51
Eif2a	0.0	119.51	0.0	350.79	0.0	0.0	11.85	2407.23	88.09	111.04	166.88	90.1	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.64	138.14	0.0	29.13	261.69	0.0	0.0	135.05	0.0	0.0	138.52	100.7	111.47	37.35	41.48	39.47
Enho	0.0	0.0	0.0	0.0	0.0	0.0	0.56	564.63	42.77	7.03	6.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.95	0.3	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.49	1.13	4.29	55.83	66.53	64.27
Ephb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.7	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	4.08	3.16
Fam100b	0.0	0.0	69.36	0.0	0.0	33.78	0.0	114.41	0.0	1.39	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	3.74	11.23	11.08	14.35
Farp1	0.0	0.0	0.0	0.0	0.0	0.0	40.29	576.39	2.16	4.01	3.1	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4	0.0	2.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	1.9	4.11	44.06	41.79	50.7
Fbxl17	1.44	2.67	2.49	3.6	11.94	7.73	0.78	219.42	9.91	7.67	5.52	0.89	12.31	6.58	4.09	7.31	10.1	38.25	69.27	14.72	3.05	4.96	15.99	3.05	1.6	1.06	3.48	22.59	4.19	1.06	2.08	5.59	7.16	4.43	19.78	19.13	19.47
Fkbp10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	457.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.85	4.86	5.23
Fntb	0.0	0.0	0.0	346.59	0.0	0.0	0.0	893.61	40.66	16.51	1.14	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.2	657.56	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	43.65	70.01	64.66	22.84	25.08	24.48
Ggh	0.0	0.0	0.0	0.0	0.0	0.0	972.88	1119.9	32.97	16.58	1.47	0.0	0.25	884.36	0.0	0.5	0.27	266.58	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23	13.55	4.82	17.29	16.43	16.06
Gm10658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	842.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17	1.25	1.26	0.55	0.9	1.36
Gm13102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.24	0.0	3.07	1.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	29.61	40.26	93.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.27	76.52	71.98	30.63	28.29	22.96
Gm15421	0.0	5.59	0.0	12.29	0.0	0.0	0.0	915.41	8.12	23.53	7.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.95	0.0	0.0	0.0	0.0	4.95	0.0	16.36	0.0	3.0	4.0	6.06	1.1	0.77	0.92
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	29.61	40.26	93.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.27	76.52	71.98	30.63	28.29	22.96
Gm7367	0.0	0.0	72.61	0.0	0.0	0.0	0.0	133.61	0.0	2.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	2.17	0.37	21.68	31.06	21.61
Gtf3c5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	876.18	6.95	1.11	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31	10.12	17.93	14.14	16.14	16.26
Haus1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	949.03	24.14	31.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	38.09	35.92	13.37	13.28	12.37
Haus2	3.44	0.72	1.02	2.58	7.89	6.83	5.44	1124.76	26.64	16.78	100.06	0.98	1.72	3.04	0.0	1.33	3.13	3.31	2.36	1.08	0.68	3.07	49.36	2.97	1.11	2.65	2.35	0.5	1.15	0.0	2.44	25.13	38.44	20.61	19.22	20.31	22.78
Hectd1	0.06	10.67	72.12	64.14	0.0	0.2	0.0	310.6	22.84	16.13	0.5	0.0	0.04	0.0	0.0	182.32	0.08	0.0	90.98	0.0	0.03	11.04	28.0	40.81	0.0	0.66	0.06	0.0	0.0	0.0	0.0	15.1	12.34	11.52	48.3	45.41	49.95
Hist1h4i	0.0	0.0	0.0	499.11	0.0	0.0	0.0	906.64	0.0	3.48	6.22	0.0	0.0	0.0	0.0	1.91	0.0	0.0	0.31	1.68	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	2.79	4.32	4.64
Hist2h3c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1030.91	0.0	0.29	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.19	5.68	5.93	6.8
Intu	10.36	9.7	10.07	7.83	6.88	9.01	6.88	601.98	10.2	22.37	25.24	43.2	16.11	3.69	34.07	13.35	0.89	7.46	3.4	106.49	9.34	48.35	41.07	22.75	0.33	2.78	1.61	52.41	0.21	11.25	1.42	8.13	7.22	7.12	10.39	9.57	10.96
Ipo11	0.0	0.0	1.39	0.0	0.0	0.0	0.0	653.92	32.45	16.26	2.14	0.0	0.0	18.07	0.0	0.0	0.08	0.0	0.0	0.0	165.68	0.26	29.08	0.0	208.05	0.0	0.0	0.0	0.0	0.0	44.28	44.31	33.89	28.49	42.05	37.04	39.86
Ipo7	0.0	0.0	0.0	0.0	0.0	0.0	0.65	639.73	25.36	46.76	29.74	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.3	0.0	0.24	39.18	0.0	0.0	347.92	0.0	0.0	0.0	0.0	63.12	24.15	21.03	13.0	89.26	83.51	90.33
Kdm3a	0.0	0.0	77.36	7.6	0.0	0.0	0.0	382.18	7.79	9.75	3.46	0.0	0.0	18.68	0.0	259.69	0.0	4.51	0.0	0.0	0.0	0.0	5.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.86	7.68	7.36	26.24	24.54	24.39
Khdrbs1	0.0	0.0	0.0	0.0	0.0	0.0	0.26	562.78	11.68	24.84	8.55	0.0	0.0	0.0	0.0	0.0	95.29	0.0	0.0	0.0	0.07	0.31	42.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.42	8.39	10.42	86.97	90.31	83.31
Lin52	543.15	0.0	0.0	0.0	0.0	1.44	0.0	1137.35	84.72	37.41	147.34	0.0	0.0	0.0	0.0	0.0	0.0	659.15	0.0	0.0	183.09	0.17	43.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.3	54.09	56.54	26.15	25.72	25.56
Lphn1	0.13	0.0	0.0	0.0	0.0	0.0	0.08	232.17	26.4	9.85	25.02	0.0	0.12	0.0	0.0	0.08	0.04	0.0	0.0	0.0	0.12	68.54	72.6	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.5	46.45	43.94	185.96	190.77	203.82
Lsg1	0.0	0.0	0.0	0.0	0.0	0.54	5.62	1184.73	22.86	10.16	76.89	0.59	0.0	0.0	0.0	0.0	0.0	789.55	0.0	0.0	0.0	0.32	0.4	0.0	0.0	0.0	300.23	0.0	0.0	0.0	0.0	23.3	23.12	26.05	13.88	14.17	14.15
Magi2	0.13	0.0	0.11	0.0	0.21	0.6	0.19	38.51	25.48	16.33	49.63	0.1	0.24	0.0	0.0	0.0	0.0	0.0	0.09	0.0	6.82	1.58	52.14	0.0	0.79	0.0	0.0	0.21	0.0	0.0	0.0	19.72	21.58	18.27	50.5	48.6	53.27
Mkrn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1286.09	53.53	22.18	0.07	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.08	0.0	0.11	0.99	127.88	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	59.55	48.47	62.77	32.46	31.43	30.16
Mrpl19	1.91	2.77	2.97	3.07	0.9	4.41	4.03	608.47	33.97	29.27	4.64	4.47	4.67	5.66	1.28	1.41	3.49	2.7	2.93	2.95	1.8	3.82	36.43	2.73	2.88	1.79	0.74	4.29	2.6	2.79	3.94	33.42	31.74	24.78	14.75	15.2	14.39
Mrpl37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1374.19	37.76	23.6	29.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.25	18.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.28	44.5	34.98	52.44	55.74	54.41
Mrpl41	0.0	0.0	0.0	0.0	0.0	0.25	0.28	1252.35	113.41	107.37	94.21	0.0	0.0	0.0	0.0	0.27	0.15	0.27	0.15	0.0	0.64	1.53	96.52	0.0	156.41	0.42	0.0	0.0	0.0	0.0	0.52	87.59	94.0	87.6	29.29	30.88	28.04
Mtap2	0.0	0.0	0.0	0.0	38.1	0.0	0.12	960.29	93.64	74.92	8.89	0.25	0.35	0.0	0.22	0.35	0.13	0.0	0.0	0.0	10.59	25.63	83.38	30.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.31	76.23	89.05	353.37	323.67	355.02
Nme6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1202.04	17.38	8.64	3.11	0.69	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.85	18.11	13.71	6.6	6.5	6.2
Nsun7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	234.67	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.68	0.82	5.6	4.81	6.03
P4ha2	1049.97	0.0	0.0	0.0	0.0	0.0	0.0	1013.23	5.63	38.41	2.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	572.37	0.33	20.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.56	22.43	16.83	10.93	11.48	10.34
Pacsin1	0.0	0.0	0.0	0.0	0.0	0.0	0.39	19.89	53.79	28.93	41.76	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.09	60.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4	14.59	16.94	282.11	283.76	304.93
Parl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1160.73	51.82	62.92	4.3	0.0	0.0	0.0	0.0	0.5	0.0	0.0	10.31	0.0	0.2	0.0	55.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.48	46.63	47.86	32.72	32.18	32.45
Pkd1l3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.16	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.86	0.74	0.89
Prpf18	1.66	1.55	4.32	0.69	14.02	0.19	5.07	990.44	28.12	55.2	75.12	4.05	9.18	5.25	5.61	3.42	14.88	1.09	210.68	3.99	5.55	9.57	78.26	4.03	2.14	4.76	1.92	6.78	0.33	5.88	8.37	55.59	55.58	42.14	37.92	36.84	33.9
Rab36	0.0	313.99	0.0	0.0	0.0	0.0	0.26	984.83	32.3	17.29	3.24	0.0	0.14	0.0	0.0	0.25	0.13	0.0	0.0	0.18	0.0	0.14	13.81	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	24.73	16.17	9.82	25.79	24.56	26.37
Rab9	733.83	0.0	0.0	0.0	0.0	580.02	0.0	1863.6	98.9	122.9	101.98	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.13	0.0	0.54	0.26	80.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.39	62.99	95.84	30.97	33.01	35.96
