	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ccnf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	71.19	7.08	16.48	3.85	4.01	4.27
Cdc37	6.25	3.91	29.72	44.64	0.0	0.0	19.03	3.2	4.48	3.58	36.32	6.07	42.95	15.52	0.0	0.09	0.0	8.85	1.14	24.23	20.14	0.0	0.0	0.0	0.0	17.07	26.8	0.0	47.18	6.03	99.19	59.54	50.0	104.43	110.99	107.23
Cenpb	0.0	0.0	0.0	4.55	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	36.31	7.95	4.79	120.4	137.75	134.34
Ckb	327.35	739.12	595.4	1559.94	233.86	0.0	756.07	416.8	437.91	454.33	573.17	716.9	554.37	470.66	395.6	344.55	642.09	707.06	928.34	444.41	745.95	24.61	2.9	0.82	427.92	1157.58	616.3	332.21	695.75	662.71	1605.53	1895.2	2551.19	1739.78	1980.9	1894.6
Cyfip2	37.94	71.29	30.96	117.63	42.94	0.0	54.29	24.81	16.92	6.91	24.39	151.67	15.01	110.76	38.08	46.51	107.71	24.06	45.37	25.55	53.35	0.0	0.27	0.0	0.0	8.8	26.48	115.8	55.53	78.26	134.44	112.93	144.01	420.97	405.91	440.68
Dnaja3	37.53	0.0	12.21	90.45	0.0	0.0	4.49	25.16	4.68	11.38	6.3	2.82	24.63	40.09	35.66	69.11	12.49	44.77	0.0	0.22	44.33	0.0	0.0	0.0	0.24	27.01	18.04	0.0	35.81	26.71	219.11	60.4	32.88	55.29	55.41	53.11
Dph2	0.0	0.0	0.0	8.66	0.0	0.0	0.0	0.06	0.0	16.59	0.0	0.0	0.0	59.93	0.0	0.0	138.28	0.11	43.57	0.11	0.0	0.0	0.0	0.0	0.0	1.36	10.49	0.0	19.99	0.0	178.47	32.52	1.86	10.25	10.5	10.98
Epb4.9	16.22	0.35	35.58	71.3	72.7	0.1	64.67	32.06	6.01	0.54	9.75	59.41	5.49	69.07	24.86	0.89	8.7	41.48	51.29	6.1	5.33	0.45	0.43	0.98	0.49	10.56	0.26	74.83	51.66	50.13	112.55	74.67	104.26	204.98	211.43	207.52
Gm11696	0.74	0.51	0.38	1.79	0.82	0.0	0.29	0.29	0.9	0.42	19.65	1.33	0.49	0.45	0.28	0.31	1.06	0.6	0.51	0.71	0.12	0.13	0.81	1.91	0.64	0.37	0.16	1.89	0.3	0.53	23.77	3.01	1.23	1.75	2.51	2.23
Gm13306	0.0	0.0	8.68	11.32	0.0	0.0	1.46	0.03	0.0	0.0	7.16	0.58	0.0	0.0	0.77	0.0	0.29	1.65	1.9	0.13	4.31	0.0	0.0	0.0	0.0	0.0	4.89	46.94	0.0	7.83	0.0	164.03	132.22	30.63	28.29	22.96
Gm14430	8.29	2.27	0.0	17.47	0.0	0.0	6.19	15.98	0.27	0.0	4.55	5.5	0.37	0.47	6.27	0.0	0.11	4.55	0.54	1.09	12.18	0.04	0.12	0.0	0.41	2.39	0.82	0.0	4.29	0.0	24.16	11.7	7.0	7.67	5.07	7.49
Gm14434	8.29	2.27	0.0	17.47	0.0	0.0	6.19	15.98	0.27	0.0	4.55	5.5	0.37	0.47	6.27	0.0	0.11	4.55	0.54	1.09	12.18	0.04	0.12	0.0	0.41	2.39	0.82	0.0	4.29	0.0	24.16	11.7	7.0	7.67	5.07	7.49
Gm2506	0.0	0.0	8.68	11.32	0.0	0.0	1.46	0.03	0.0	0.0	7.16	0.58	0.0	0.0	0.77	0.0	0.29	1.65	1.9	0.13	4.31	0.0	0.0	0.0	0.0	0.0	4.89	46.94	0.0	7.83	0.0	164.03	132.22	30.63	28.29	22.96
Gm4724	8.29	2.27	0.0	17.47	0.0	0.0	6.19	15.98	0.27	0.0	4.55	5.5	0.37	0.47	6.27	0.0	0.11	4.55	0.54	1.09	12.18	0.04	0.12	0.0	0.41	2.39	0.82	0.0	4.29	0.0	24.16	11.7	7.0	7.67	5.07	7.49
Gria2	149.89	160.22	92.69	212.74	131.98	2.78	183.88	77.1	129.75	177.24	222.55	233.96	160.17	60.21	56.65	79.41	230.58	160.37	211.79	110.31	99.06	0.0	1.32	0.19	0.0	79.16	168.65	146.19	155.48	179.68	470.85	601.22	816.31	331.31	264.18	334.8
Grin1	6.83	11.37	27.19	38.3	6.6	0.0	16.01	0.76	0.37	3.89	6.43	16.62	8.49	1.39	5.46	0.0	12.18	2.24	15.36	10.11	19.36	0.0	0.0	0.0	0.0	5.29	24.76	0.1	11.58	5.85	56.11	16.72	15.93	389.58	403.6	404.44
Hnrpdl	25.84	40.13	45.54	12.9	0.46	0.0	35.36	5.0	82.08	3.95	9.38	39.28	10.95	5.69	13.14	33.68	3.5	9.3	5.95	14.52	8.97	0.0	0.38	0.0	3.52	4.17	9.24	12.99	43.88	0.77	187.53	47.62	54.51	147.46	153.76	138.44
Iqgap1	17.17	5.51	11.44	12.59	0.0	463.84	10.21	0.03	0.0	4.05	20.88	1.16	1.88	9.99	1.08	22.98	21.32	27.61	5.21	21.94	38.15	0.0	0.0	0.0	0.0	4.61	7.42	9.73	2.02	12.74	40.37	28.59	22.79	10.07	10.39	10.48
Mrps22	0.54	51.44	0.0	48.44	0.0	0.0	2.81	0.0	0.1	7.87	123.1	56.31	3.09	0.0	0.0	0.0	0.0	2.58	0.0	51.56	0.0	0.0	0.0	0.0	0.0	1.7	3.92	0.29	0.0	40.32	295.27	21.62	31.98	29.72	27.38	28.55
Mylk	0.49	0.0	0.0	9.13	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.59	1.28	0.0	0.0	0.0	0.0	0.07	0.04	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.37	2.42	1.14	5.32	5.24	5.33
Npy	138375.8	173305.25	115124.65	96206.73	65548.38	0.0	132042.44	149629.49	134232.96	120987.76	122165.94	132052.33	130527.91	173863.58	166048.87	191162.16	154857.31	153405.37	147732.76	141010.39	151963.58	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	137945.15	137580.94	68416.93	0.0	0.0	214.21	196.57	200.76
Peli2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.57	3.24	0.0	11.75	11.59	12.14
Rabl3	0.0	6.48	52.85	1.67	0.0	0.0	0.0	0.04	0.06	0.0	42.9	54.06	49.5	0.0	62.08	0.0	0.0	0.14	0.0	0.0	35.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188.67	14.51	13.68	8.78	8.82	8.91
Rasgef1a	8.87	29.91	51.53	25.69	38.54	0.0	9.49	17.62	51.69	11.97	35.05	18.43	0.95	7.81	14.01	0.33	7.83	57.6	1.08	35.65	19.83	0.0	0.11	0.0	0.0	6.18	4.37	20.9	35.13	14.03	96.87	60.2	61.74	204.44	211.08	213.34
Rfx5	0.0	9.89	0.0	30.27	0.0	0.0	0.04	0.0	0.0	0.0	0.06	24.46	0.93	0.0	0.0	0.0	40.31	0.0	0.0	38.83	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	3.04	20.15	72.17	0.0	0.08	15.59	15.61	15.95
Ryr2	10.59	28.81	8.54	0.61	4.8	0.24	4.42	0.74	7.48	0.92	13.2	16.53	11.33	0.39	0.17	0.03	10.2	6.09	4.42	1.62	2.6	0.0	0.0	0.0	0.02	4.0	0.0	2.83	12.65	0.62	47.67	19.67	14.8	51.84	45.32	51.46
Sav1	1.27	0.0	0.0	0.0	0.25	0.0	0.0	6.38	1.56	0.09	10.15	17.6	0.0	0.0	0.0	0.17	0.0	11.37	8.01	0.0	4.6	0.0	0.0	0.0	0.0	1.82	0.0	0.0	9.65	0.0	25.53	1.41	0.0	20.32	20.62	18.92
Scrt1	0.0	0.17	0.13	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.09	0.25	78.92	87.07	87.71
Slc4a10	67.05	123.65	70.52	60.22	5.27	0.0	51.52	31.75	71.54	46.58	57.9	41.5	65.46	80.7	57.92	11.85	16.0	74.47	81.16	28.18	46.95	0.07	0.13	0.0	0.0	42.67	43.72	156.72	53.83	11.74	193.62	184.06	280.13	157.25	141.18	148.95
Tssc4	40.77	103.11	1.59	42.96	0.0	0.0	38.17	0.12	0.09	0.0	56.93	0.0	0.0	0.0	5.66	0.0	151.15	0.0	5.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	63.78	194.97	75.69	9.28	30.32	35.03	35.52
Unc13a	2.93	3.96	10.57	5.44	1.78	0.0	1.51	2.34	2.37	4.18	7.76	1.92	3.1	3.48	4.67	0.79	7.39	1.82	2.95	4.73	1.92	0.0	0.0	0.0	0.0	1.67	4.11	4.61	8.35	2.18	24.09	7.78	15.37	173.28	162.24	184.32
Unc80	4.51	29.99	11.41	19.02	4.54	0.0	12.96	4.08	0.02	0.75	7.2	16.96	0.55	10.96	21.72	0.26	0.07	9.91	0.04	0.83	0.86	0.0	0.05	0.0	0.0	6.08	1.83	31.74	10.12	15.8	101.01	38.99	39.56	84.37	69.19	87.32
Usp20	1.53	43.32	0.0	0.0	0.3	0.0	0.0	2.34	7.16	17.79	26.6	2.0	33.51	0.59	27.42	16.51	41.8	0.0	0.0	0.07	22.51	0.0	0.17	0.0	0.0	0.0	6.5	3.71	11.88	26.91	86.06	14.75	8.23	54.38	53.72	51.49
Xrcc1	0.0	0.0	0.87	11.96	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.92	0.0	0.75	0.0	0.0	10.64	0.0	0.0	80.51	0.0	0.0	0.0	0.0	0.27	36.42	0.0	0.0	8.79	151.66	9.78	8.59	24.12	26.97	26.19
