	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_71	Gad2_tdTpositive_cell_77	Nos1_tdTpositive_cell_65	Ntsr1_tdTnegative_cell_38	Pvalb_tdTpositive_cell_23	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_49	Vip_tdTpositive_cell_2
Dzip3	0.0	0.0	14.89	5.22	25.27	3.23	2.02	0.0	103.66	0.0	0.0	0.0	0.0	28.11	15.35
Ecd	0.05	95.68	8.7	49.48	80.58	0.14	74.55	788.5	1.25	0.0	159.85	83.41	207.33	86.41	147.26
Fam49a	581.99	368.85	426.93	42.95	50.97	0.0	36.22	0.0	100.08	0.06	179.84	121.87	310.24	273.5	116.5
Frat1	128.95	38.94	12.28	0.1	27.79	0.0	0.06	0.0	293.87	0.0	0.0	74.14	10.75	137.46	76.25
Gm13306	0.0	7.56	0.0	3.5	0.0	0.0	0.0	0.0	30.44	0.0	409.92	276.37	18.96	0.5	23.47
Gm2506	0.0	7.56	0.0	3.5	0.0	0.0	0.0	0.0	30.44	0.0	409.92	276.37	18.96	0.5	23.47
Gm5460	0.93	1.3	0.85	1.15	0.47	0.0	0.27	0.0	1.04	0.0	2.36	1.67	0.85	0.95	0.31
Gtf2f1	0.18	0.0	0.0	143.02	96.63	166.18	118.28	0.0	13.84	0.0	386.68	116.44	47.84	0.0	0.0
Hnrnph2	1157.88	366.48	362.91	527.21	769.25	50.16	343.2	0.0	276.29	192.61	705.85	969.83	214.43	409.94	403.02
Hspa8	22360.42	24473.49	26297.86	22558.28	23643.2	13868.94	20228.05	15476.87	20908.03	12999.96	22280.51	21295.16	21156.27	17776.42	21948.63
Jmjd8	159.71	0.0	208.21	7.48	17.99	2.49	86.83	0.0	0.0	0.0	0.0	0.17	2.13	116.59	0.0
Kif2a	81.59	294.77	327.72	68.45	117.16	90.47	140.14	0.0	86.4	2.86	58.9	5.89	90.93	147.46	129.92
Kif3a	56.73	106.69	65.94	157.07	36.69	78.05	217.55	253.72	109.59	0.24	188.11	124.18	149.79	111.38	52.19
Mapk10	174.31	267.1	230.94	321.14	242.23	0.06	242.8	0.0	132.67	0.0	348.02	314.72	263.21	290.69	105.65
Myt1l	21.32	63.66	117.85	48.14	19.86	0.0	40.43	340.45	48.06	0.0	37.61	44.28	87.28	80.11	59.47
Nmnat2	93.27	54.45	3.95	246.28	165.4	0.23	147.3	29.26	203.69	0.0	96.36	104.91	164.73	422.16	34.67
Oaz1	1855.45	1801.85	1319.4	1175.85	574.66	123.83	944.23	0.0	866.27	0.0	938.92	819.39	1155.72	812.49	1242.21
Oaz1-ps	999.59	1477.61	1055.0	935.95	656.02	199.06	1031.55	0.68	970.48	0.82	1138.04	591.39	714.98	909.53	1344.7
Paip1	231.89	327.64	380.66	51.87	262.73	32.48	79.39	0.97	225.36	0.0	170.57	116.32	112.46	268.83	250.33
Ppm1k	312.09	159.2	381.02	110.86	280.4	2.43	155.46	4.96	127.85	2.72	109.97	388.31	63.23	59.53	64.23
Prkar1a	1580.41	264.13	1061.09	1108.19	445.61	175.1	381.04	0.19	555.25	0.0	622.26	497.9	674.69	841.47	805.94
Prps1	179.89	263.59	202.74	267.87	38.39	0.0	343.86	0.0	258.4	0.0	426.09	421.04	325.02	411.91	63.1
Psmd2	600.65	212.09	288.49	451.93	99.52	364.8	121.33	1.05	381.12	0.13	489.51	146.98	214.15	132.51	172.09
Purb	189.39	33.65	53.12	100.57	110.2	1.27	56.73	0.0	57.51	0.0	60.75	158.15	147.17	103.6	47.9
Rab11b	355.62	414.35	106.78	162.88	194.3	47.43	120.87	0.58	247.12	0.17	177.92	111.58	108.76	214.19	157.68
Rdh1	40.11	26.58	23.42	42.32	21.67	18.02	19.82	157.62	19.14	13.99	55.42	48.46	35.66	33.73	32.06
Rpusd1	0.0	110.53	0.0	58.27	74.86	0.0	0.0	0.0	103.52	0.0	204.96	165.12	138.14	91.42	0.0
Slc4a10	88.86	93.02	79.84	209.03	93.3	0.0	164.28	0.11	59.25	0.0	180.95	548.97	96.95	86.24	29.86
Srsf9	0.13	21.23	113.02	155.07	3.9	56.67	116.79	87.35	7.98	0.0	191.44	188.96	15.71	168.39	127.68
Stx12	163.16	429.72	0.0	196.48	312.17	123.55	296.58	0.0	124.17	0.0	79.7	612.58	0.0	291.31	190.76
Thrb	402.29	412.94	279.11	249.78	219.64	0.14	247.89	406.01	158.25	0.0	643.86	453.48	331.36	106.02	80.77
Tmem170b	143.39	0.2	39.57	179.56	98.9	96.7	184.87	0.09	174.42	5.08	42.86	227.15	180.34	136.61	2.71
Tmem68	190.19	230.35	504.2	322.45	105.66	0.0	0.0	0.24	49.76	0.0	288.03	273.12	229.32	5.76	161.23
Txnl4a	290.99	42.97	341.24	118.15	184.36	5.57	139.65	10.05	129.3	2.62	184.83	379.36	280.03	430.72	357.83
Ube2k	70.98	94.97	74.45	66.65	94.93	60.43	80.44	0.0	89.26	0.0	72.18	0.0	5.41	79.31	70.44
Ube2n	217.74	407.94	644.06	389.24	577.69	178.7	282.66	0.0	284.86	0.2	434.68	329.02	569.31	249.67	396.04
Ubl7	0.12	189.61	291.14	166.56	36.74	0.0	0.25	0.0	171.31	0.0	150.38	387.35	89.37	200.53	412.34
Usp14	30.54	308.24	184.6	297.84	62.83	0.0	352.91	0.0	366.3	0.0	128.8	163.55	5.46	71.71	122.65
Usp33	3.82	159.32	15.32	93.11	10.52	0.0	0.08	0.0	39.02	0.0	23.23	83.34	11.82	63.39	0.39
Wbscr22	0.0	183.77	184.35	0.45	69.2	0.0	0.0	0.0	142.31	0.0	8.74	4.17	63.7	82.13	0.39
Zfp612	70.62	0.0	29.0	75.07	47.84	0.0	0.07	0.0	101.22	0.0	125.24	3.4	0.15	95.49	82.72
