	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Pvalb_tdTpositive_cell_81	Rbp4_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_19	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arid3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	7.32	0.0	0.0	0.96	0.19	3.69	4.25	3.5
Armc5	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	5.18	0.0	0.0	0.98	0.0	9.42	10.04	10.31
Aspscr1	0.1	0.0	0.0	0.0	0.0	0.0	1.76	0.0	0.0	0.0	515.6	0.0	7.59	1.51	2.18	39.68	43.11	40.47
Azi2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	167.71	0.0	380.4	0.0	0.0	38.08	27.06	51.59	46.82	53.51
BC017643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	628.3	0.0	0.0	15.42	19.55	17.11	19.46	17.49
Bach1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.8	0.0	0.0	0.41	1.06	7.59	7.06	7.22
Bche	0.0	0.0	0.0	0.0	0.0	0.0	103.57	0.0	0.04	0.0	288.13	0.0	0.0	0.0	0.39	3.06	2.87	2.75
Bglap-rs1	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.0	5.42	0.0	0.0	0.0	0.0	1.87	1.44	2.43
Bivm	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	445.13	0.0	0.09	17.26	16.45	17.32	16.38	16.43
Bmpr1a	0.0	0.0	0.0	19.6	0.0	12.78	0.0	0.0	0.0	0.0	249.89	0.06	0.0	5.34	6.89	26.12	23.76	26.09
C330011F03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.14	0.0	0.08	0.09	0.13
C4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	203.12	0.0	0.0	0.0	0.0	9.0	9.9	9.57
C87436	0.0	0.0	0.14	0.0	0.0	0.7	0.0	0.15	0.0	0.0	138.49	0.43	2.39	22.12	15.01	15.88	16.1	16.38
Cachd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.76	0.0	0.0	0.48	0.21	8.1	8.24	7.81
Cant1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31	0.0	0.0	138.11	0.0	4.45	1.58	2.21	38.78	41.27	41.8
Caskin2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.16	0.0	0.0	0.0	0.07	14.94	14.1	14.84
Casp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.83	1.04	1.21
Celf3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	1.88	4.18	122.93	132.22	134.16
Cep68	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	35.62	0.0	0.0	1.49	1.86	17.27	16.32	17.75
Chac2	0.0	0.0	0.0	22.13	0.0	0.0	0.31	0.3	0.0	0.0	331.85	0.0	0.0	63.64	59.14	16.69	17.05	15.33
Chrnb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.45	1.58	1.35	1.32
Chsy1	0.04	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	91.2	0.0	0.07	11.86	6.27	9.22	8.93	8.11
Clec4a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	1.38	0.97	1.42
Clptm1l	0.0	0.0	0.0	11.23	0.0	0.0	3.04	0.0	0.0	0.0	177.16	0.0	0.0	23.67	20.8	102.29	103.13	104.18
Cluap1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	235.11	0.0	0.0	48.43	49.75	42.05	38.9	39.98
Cnot1	3.16	0.07	0.0	0.0	0.0	0.41	0.01	0.01	0.4	0.0	160.06	0.04	0.12	13.33	19.66	45.11	42.17	44.78
Cnot3	0.0	0.0	5.5	0.0	0.0	2.0	0.0	0.0	4.26	0.0	65.77	0.0	0.0	2.96	2.15	33.4	35.15	37.79
Cntn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.06	4.85	8.5	15.73	14.9	16.69
Cntnap2	0.0	0.0	0.0	0.0	0.0	0.08	0.12	0.0	0.0	0.0	384.06	0.0	0.0	6.67	1.52	43.03	39.76	42.72
Coq5	0.0	0.0	0.32	0.0	12.35	0.0	16.76	0.19	0.0	0.0	419.14	0.0	0.0	43.86	53.35	35.38	37.21	32.49
Crat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	667.21	0.0	0.0	6.45	5.25	24.38	24.75	25.3
Csrnp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.83	0.72	12.73	12.69	6.34
Ctnna3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	328.59	0.0	0.0	3.75	2.44	1.32	0.95	1.54
Ddit4	7.77	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.62	0.0	2.08	0.41	0.21	42.7	58.14	37.5
Ddx21	3.33	24.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	394.76	0.0	0.0	1.8	2.76	14.87	15.41	15.44
Ddx41	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	224.08	0.16	8.76	26.04	44.48	35.42	38.4	37.68
Defb47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	507.27	0.0	0.0	0.0	0.0	0.0	0.28	0.0
Dnajc1	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	1.38	0.0	0.0	3.44	2.02	13.85	12.41	14.78
Dph1	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.12	0.0	575.02	0.0	0.0	19.85	11.58	16.49	22.37	22.3
Dpp8	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	7.55	0.0	0.0	3.08	4.55	130.84	120.47	130.76
Duxbl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.92	2.0	1.18
E330020D12Rik	0.0	0.0	0.0	0.0	0.0	2.93	0.85	0.27	0.0	0.0	22.81	0.0	1.23	2.82	3.47	7.78	6.31	8.98
E330033B04Rik	85.64	1.16	0.41	0.41	0.25	0.41	0.44	1.0	0.21	0.0	118.56	0.33	0.74	20.85	17.95	2.47	1.66	2.42
Ebag9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.11	0.0	0.2	26.18	17.39	29.22	29.91	30.22
Ebpl	0.0	0.0	0.0	9.87	0.0	0.0	0.0	0.0	93.62	0.0	138.52	0.0	0.0	1.67	8.25	7.87	9.71	9.56
Ehhadh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	281.21	0.0	0.0	0.8	3.22	3.21	3.05	3.45
Elmo2	4.63	5.52	0.0	14.49	4.44	3.63	11.75	2.23	7.66	0.0	403.68	0.11	7.48	61.8	55.57	102.93	103.32	108.88
Enox	1.25	1.56	0.51	0.0	0.88	1.1	2.12	2.55	0.63	0.23	8.24	0.05	0.4	2.58	2.03	5.72	4.12	4.5
Ergic1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	295.91	0.0	0.0	22.67	20.96	107.63	108.25	116.21
Faf2	12.45	0.0	0.0	96.47	0.0	30.41	0.0	10.63	0.0	0.0	746.31	0.0	0.0	32.24	30.13	30.46	30.62	31.61
Fam101b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	8.81	10.47	11.04
Fam166b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.41	0.0	0.0	0.0	0.0	1.12	1.2	0.69
Fam189b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.99	0.0	0.0	1.01	2.04	35.65	38.7	42.02
Fam71e1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.61	0.0	0.0	0.0	1.72	4.44	4.63	6.0
Fanci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	1.15	1.35	0.9
Fastk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	324.72	0.0	0.0	22.3	18.88	89.23	98.2	94.35
Fkbp14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.97	0.0	0.0	5.86	3.55	9.41	8.23	8.59
Fkbp4	332.58	197.36	0.0	26.89	0.0	2.16	14.7	0.0	0.0	0.0	495.39	0.0	21.05	44.24	40.61	105.93	109.29	114.54
Fndc3a	0.01	0.0	0.0	0.0	0.0	0.19	0.08	0.0	0.24	0.11	42.32	0.0	0.0	11.09	12.75	29.2	26.93	27.65
Foxp2	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.53	0.0	0.0	59.52	53.91	8.14	6.45	7.72
Gadd45b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	204.64	0.0	0.0	8.64	9.57	28.12	25.81	20.85
Galns	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.66	0.0	0.0	408.25	0.11	0.13	6.62	0.4	7.08	6.82	7.4
Get4	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	94.62	0.0	0.0	7.62	4.58	55.98	62.01	56.66
Gfm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	547.57	0.0	0.0	23.34	18.87	41.47	39.7	39.58
Gm13375	1.01	0.0	0.0	4.23	0.0	2.14	0.3	0.28	0.0	2.98	18.45	0.26	0.0	0.25	0.26	16.83	19.2	17.22
Gm14634	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	99.23	0.0	0.0	0.63	0.42	1.2	0.62	2.25
Gm15760	0.05	0.44	0.0	0.15	0.29	0.0	0.0	0.0	0.0	0.19	132.23	0.0	0.0	0.71	0.4	1.95	1.86	1.8
Gm16119	0.0	0.0	1.6	0.53	1.68	0.0	2.62	0.0	0.0	0.0	63.56	2.49	0.0	0.17	0.35	4.65	3.21	3.69
Gm16497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.12	0.03	0.12	0.07
Gm6592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.34	0.0	0.0	0.0	0.0	0.0	0.3	0.43
Gpatch1	181.2	0.0	0.0	0.0	0.0	0.0	115.77	1.38	0.0	0.0	328.73	0.0	0.1	19.99	16.32	20.95	21.95	20.94
Gpnmb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	1.6	1.29	1.71
Gpr64	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.24	0.0	0.0	0.0	0.0	0.99	0.8	0.98
Grwd1	229.2	160.21	0.0	0.0	0.0	0.0	0.0	0.0	321.83	0.0	508.17	0.0	0.0	33.06	19.72	17.54	17.82	16.54
H2afv	0.14	41.64	0.0	0.32	40.43	0.0	0.0	0.0	0.0	0.41	335.27	0.22	14.37	12.2	8.18	33.25	36.27	34.59
H60c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98	0.0	0.0	0.0	0.0	0.23	0.16	0.18
Hist2h2bb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.38	0.0	0.0	0.0	0.0	2.35	2.01	2.86
Hk2	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	176.6	0.0	0.0	0.0	0.06	1.4	1.88	1.76
Hmg20b	0.0	0.0	0.0	0.0	0.0	0.0	8.79	0.0	0.0	0.0	20.61	0.0	0.0	1.46	0.49	18.62	23.12	22.34
Hspb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.9	0.0	0.0	0.0	0.87	1.7	1.33	2.5
Htra3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.49	0.0	0.0	0.0	0.0	3.4	4.25	3.19
Il1f9	0.19	0.0	0.0	2.58	0.0	0.0	0.0	0.0	0.15	0.0	38.04	0.0	2.58	3.84	3.52	4.24	4.04	4.25
Inhbe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	3.08	2.13	0.32	0.09	0.34
Kctd18	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	78.25	0.0	0.0	1.31	0.99	9.98	9.88	10.67
Kdm1b	0.0	0.0	0.0	0.0	87.63	0.0	0.0	0.0	0.0	0.0	334.42	0.0	0.0	2.2	1.18	6.79	6.44	6.93
Kif3c	0.0	0.0	0.0	0.0	0.0	5.86	0.0	0.0	0.0	68.51	336.69	0.0	0.09	26.46	31.23	111.23	112.9	114.1
Larp4	64.19	0.0	0.0	0.0	0.0	80.42	0.0	0.0	0.07	0.0	218.13	0.54	0.05	24.93	29.36	24.54	21.04	21.72
Lepre1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6	0.0	0.0	0.24	0.0	7.2	6.74	6.58
Limd2	0.0	0.18	0.0	0.07	0.0	0.0	0.0	0.0	0.08	0.0	25.8	0.0	0.0	9.2	10.22	39.83	44.35	41.74
Mark1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	55.0	0.0	0.0	8.82	13.95	67.25	66.74	67.46
Med15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.87	0.0	418.37	0.0	0.0	10.3	13.37	44.79	47.43	48.92
Med18	0.37	24.92	0.0	0.63	0.0	8.08	20.31	1.17	1.5	0.57	433.72	0.0	0.76	4.72	11.55	3.22	4.5	4.11
Mettl13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.15	0.0	0.0	0.99	2.74	9.26	9.76	9.93
Mfsd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	339.59	0.0	112.14	6.06	20.44	4.8	6.55	6.71
Mier2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	303.72	0.42	0.0	0.67	2.44	27.29	28.46	27.86
Mir3473c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mkl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	4.42	5.05	33.82	40.94	38.6
Mllt4	0.0	0.0	0.0	0.0	0.0	0.16	0.11	0.0	0.0	0.0	17.43	0.0	0.0	8.0	11.69	42.53	41.5	42.39
Mocs1	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	340.14	0.0	124.45	0.4	0.0	7.35	7.24	7.88
Mrps6	15.1	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	464.76	0.0	1.71	35.91	48.48	43.06	46.16	40.7
Mthfd1l	0.03	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	7.44	0.0	0.0	0.19	0.0	11.6	11.12	8.46
Mypop	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.22	0.0	0.0	1.59	2.25	40.58	46.49	45.49
Naa15	0.0	0.0	0.0	0.0	0.18	0.09	0.06	0.0	0.0	0.11	188.36	0.0	0.0	8.6	9.8	26.29	21.24	26.15
Naa35	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	485.77	0.0	0.24	60.09	68.08	43.29	41.1	38.68
Neb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.02	0.31	0.28	0.36
Npepl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.31	0.0	0.0	1.82	0.17	12.17	14.55	13.17
Nudt6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.0	0.0	6.64	2.01	6.77	6.2	5.63
Nup85	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	480.52	0.0	0.0	38.48	51.13	32.32	32.87	28.55
Olfr536	0.04	0.35	1.07	0.23	0.0	0.3	0.1	0.0	0.66	1.05	3.57	0.0	0.56	0.42	0.29	0.55	0.08	0.46
Olfr701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.03
Orc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.31	0.0	0.0	0.34	0.23	0.52	0.18	0.54
Palb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.52	0.09	0.0	0.18	0.92	1.21	0.64	1.3
Pcdhga11	45.46	0.0	1.61	3.67	0.0	0.0	0.0	0.0	4.37	0.0	191.88	0.0	0.0	9.95	8.19	25.26	25.52	23.72
Pet2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.02	0.0	0.0
Pih1d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	423.43	0.0	0.0	38.1	46.57	36.97	39.75	33.18
Plekha8	0.02	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	290.45	0.0	53.55	1.38	3.62	8.84	8.58	8.01
Plekhn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	282.88	0.0	0.0	0.31	0.32	5.87	6.58	7.81
Plp1	38762.16	37183.63	39260.88	37184.31	36423.02	39094.25	44134.5	27253.74	33133.41	25943.45	19773.88	22995.41	36841.4	14.2	926.22	1007.22	894.47	1205.0
Prkab1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	18.59	0.0	0.0	3.72	6.31	14.64	18.44	17.01
Prrc2b	0.0	0.0	7.44	0.0	0.0	0.07	0.0	3.43	4.35	0.0	215.01	0.0	0.04	19.73	15.9	152.07	147.26	157.09
Ptgfr	0.11	0.0	0.0	0.0	0.13	0.0	0.25	0.0	0.0	0.25	2.22	0.0	0.0	0.11	0.23	0.78	0.95	1.17
Ptov1	0.08	0.0	0.0	0.0	0.0	0.31	0.65	0.21	0.0	0.0	21.1	0.0	0.0	6.09	6.52	132.19	154.59	143.07
Ptprj	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	5.6	4.88	51.0	50.87	55.26
Pus3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.32	0.0	514.16	0.0	0.0	15.69	15.83	11.38	10.01	11.29
Pusl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	440.54	0.3	0.0	14.15	10.77	20.84	26.77	23.83
Pvrl1	0.0	9.66	0.0	0.0	0.0	12.17	0.0	9.43	56.24	0.0	162.65	0.0	13.0	0.4	0.27	16.31	17.43	21.0
Rabep2	0.0	0.0	45.67	0.0	0.0	0.0	0.0	0.0	30.45	0.0	384.8	0.0	0.0	1.36	2.88	9.77	11.34	10.72
Rai2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	0.0	0.14	0.0	0.95	9.96	10.39	9.98
Rap1b	0.08	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	485.91	0.0	14.97	49.47	45.4	80.58	81.9	72.87
Rbm15b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72	0.0	0.0	0.34	1.03	30.71	31.95	32.35
Rgl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	3.21	2.88	3.44
Rnf126	0.0	0.0	0.45	0.0	0.0	0.0	0.28	0.0	0.0	0.0	1.8	0.0	0.0	0.73	1.22	70.12	80.08	77.08
Rnf170	0.0	0.0	0.0	0.0	0.0	0.29	0.1	0.0	0.0	0.34	502.72	0.0	2.13	26.29	23.53	27.99	25.56	27.41
Rnf2	0.0	0.0	0.0	0.0	0.0	211.82	0.26	0.0	0.0	0.0	821.0	0.0	95.07	29.03	24.49	24.28	25.87	23.65
Rnf24	0.03	0.0	0.0	0.0	0.0	0.21	0.07	0.0	0.0	0.0	20.19	0.0	0.0	8.9	9.5	25.62	24.48	22.78
Rnf8	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.74	0.0	57.18	6.32	3.1	36.51	35.78	33.56
Rxrb	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	85.63	0.0	0.0	3.39	6.1	56.74	63.91	61.21
Scyl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.12	0.0	0.0	2.9	1.51	27.9	25.34	24.36
Senp2	24.03	0.0	0.0	0.0	0.0	10.63	0.18	2.04	0.0	0.0	224.61	0.0	0.0	28.76	26.77	66.11	66.28	65.13
Serpina3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.55	0.24	0.78
Shkbp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	423.86	0.0	0.13	0.0	1.34	14.05	13.42	13.35
Skiv2l	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.84	0.0	0.0	29.11	0.0	3.71	5.43	4.53	44.73	49.03	48.76
Slc13a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.12	0.0	0.0	0.0	0.0	8.52	7.79	8.18
Slc20a1	2.98	0.0	0.0	0.0	0.0	0.18	0.73	0.0	0.0	0.0	381.73	0.0	0.09	51.35	54.4	138.28	132.09	138.7
Snapc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	561.54	0.0	0.0	38.32	35.34	27.14	22.99	28.4
Snip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.86	0.0	0.0	3.27	5.25	13.26	14.96	12.39
Srpr	6.27	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	508.0	0.0	18.97	60.79	63.46	59.27	57.51	52.65
Ssh1	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.11	0.22	8.39	8.3	9.42
