	Chrna2_tdTpositive_cell_31	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_39	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Evi5l	0.0	0.0	0.0	0.0	0.0	4.08	0.0	0.0	0.0	0.0	0.0	83.16	69.66	60.99	66.1
Fxyd1	20.7	0.16	0.0	34.23	0.0	0.0	0.0	0.0	7.68	26.08	8.79	45.25	50.42	54.54	44.28
Gm4340	0.0	0.0	0.25	0.2	0.27	0.0	0.0	0.16	0.0	0.0	0.0	1.14	0.28	0.19	0.49
Gm5622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.28	0.06	0.48
Gm6568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.5	0.0	0.53
Gm8898	0.5	0.0	2.91	0.6	4.19	13.21	0.4	4.88	3.18	0.3	0.89	1.62	8.87	7.17	8.34
Hist1h2bq	0.0	0.08	0.15	0.04	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.13	0.38	0.28	0.38
Hist1h2br	0.0	0.08	0.15	0.04	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.13	0.38	0.28	0.38
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Ido2	0.0	0.03	0.0	0.07	0.0	0.0	0.12	0.0	0.0	0.0	0.0	39.31	1.83	1.78	1.72
Itga11	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	1.29	1.24	1.05
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Khdrbs3	39.05	0.13	0.5	41.75	21.86	0.0	0.0	2.21	35.69	0.0	9.76	80.38	170.44	167.93	173.76
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lpgat1	42.29	51.66	26.01	46.75	32.53	25.53	17.3	49.87	24.27	18.06	63.63	86.36	138.31	127.47	133.8
Mapre3	17.03	20.65	0.16	10.66	0.85	4.95	0.22	2.65	16.09	7.59	3.27	90.29	190.73	200.75	198.18
Miat	2.01	13.46	1.99	7.93	0.0	0.46	15.25	2.86	6.24	7.77	12.78	48.92	196.73	185.46	213.96
N28178	24.72	58.01	30.93	109.66	79.82	13.4	5.2	23.52	18.61	27.49	118.36	50.93	216.35	208.94	221.69
Nanos1	0.0	1.4	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	6.77	66.94	20.06	21.81	19.83
Nell2	37.66	81.17	153.57	148.63	21.85	121.59	0.62	36.17	136.04	45.0	181.03	108.49	447.3	471.39	442.87
Nkx3-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	1.44	0.8	1.62
Nptx1	10.9	0.01	7.78	0.0	0.74	0.0	0.0	0.0	0.0	0.05	0.0	29.45	195.59	193.13	194.22
Npy	173305.25	149629.49	132052.33	173863.58	166048.87	191162.16	134158.33	153405.37	147732.76	145032.54	180453.32	23340.13	214.21	196.57	200.76
Nrcam	25.69	22.53	56.35	61.21	11.59	11.73	17.57	26.27	64.91	12.57	45.13	105.88	149.64	137.89	151.29
Nuak1	4.09	0.05	3.73	0.0	0.32	0.13	0.0	0.05	0.0	0.57	0.0	23.95	42.03	41.11	41.92
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Otud3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	19.9	17.03	16.8
Ppfibp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.42	6.87	6.28	6.68
Preb	15.31	0.0	16.53	0.0	15.01	0.0	0.49	1.5	17.81	0.0	0.54	158.83	31.97	33.28	32.16
Ptpru	3.71	0.14	1.56	5.15	15.92	20.21	7.12	1.1	14.26	15.7	0.17	99.38	23.57	24.74	26.08
Rab3il1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09	9.21	10.96	10.39
Rad9	0.0	0.08	0.0	69.07	0.34	0.55	0.0	0.43	0.15	0.0	0.0	192.78	9.89	10.94	9.68
Rapgefl1	0.09	0.58	0.19	12.79	0.08	4.13	0.0	0.0	0.0	0.14	0.49	108.58	101.3	104.49	107.12
Rgag4	0.0	0.0	0.0	2.62	0.07	0.0	2.82	1.85	1.27	4.46	1.52	35.78	14.06	13.98	12.39
Rhou	0.0	0.09	0.0	0.0	44.18	0.0	0.0	3.8	0.0	0.0	0.0	33.15	32.02	36.28	32.18
Rnpep	4.73	8.79	0.0	0.0	9.88	8.25	2.3	5.16	0.54	0.0	2.87	49.21	39.34	40.58	40.25
Rragb	8.75	0.05	0.82	0.0	0.0	0.0	61.74	0.12	0.0	5.3	7.35	96.02	79.77	77.21	71.85
Sepx1	11.31	20.18	12.08	17.35	15.65	4.8	0.0	14.78	15.89	0.0	6.76	25.24	26.14	27.44	30.65
Slc1a6	4.95	0.0	0.0	0.12	54.59	0.31	0.0	0.13	0.0	0.0	0.66	69.29	10.01	9.38	8.37
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Smtn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04	4.91	6.04	5.54
Spnb4	0.0	0.0	2.21	0.0	0.07	1.48	0.0	0.0	0.06	0.0	0.0	17.61	120.88	138.01	136.25
Srrm2	30.81	17.96	13.91	35.09	52.63	1.98	6.52	2.38	5.16	6.3	23.57	75.08	235.66	204.43	252.64
Tab3	3.93	0.0	0.0	0.04	0.0	0.0	0.0	0.0	17.23	0.0	0.0	82.43	11.96	9.75	10.57
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tbxa2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.3	0.93	1.01
Tifa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.3	5.47	7.82	6.36
Trank1	4.04	5.08	16.21	15.04	9.35	2.55	4.41	9.08	1.48	1.29	7.81	19.31	140.49	127.25	159.33
Trpm4	0.0	0.0	4.49	0.0	3.54	6.04	3.66	0.0	0.0	0.0	0.0	13.88	9.98	9.61	9.1
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vps13a	3.44	13.57	0.0	0.0	0.03	0.02	0.0	8.74	1.44	8.58	3.91	25.71	19.01	13.64	19.0
Wnt3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.91	1.8	1.97	1.5
Xdh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	3.08	3.68	2.36
Xkr7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	3.86	3.46	3.19
Zdhhc18	0.24	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.32	22.2	21.34	22.92
Zfat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.78	0.0	0.0	0.0	30.14	3.74	3.31	3.68
Zfp395	0.37	0.2	0.22	0.12	0.53	0.01	0.05	0.18	0.13	0.07	0.16	15.56	5.73	5.79	5.74
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
