	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_14	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_78	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_82	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_6
Cox19	0.0	0.0	0.0	660.43	0.0	0.0	125.78	95.09	84.89	78.84	154.27	65.7	78.89	92.24	0.57	41.17	108.74	186.76	83.32	158.96	44.63	0.0	106.01	0.0	47.3	74.84	50.75	111.44	93.57	113.21	169.86	115.4	99.84	134.28	40.09	37.78	227.9	0.0	0.51	0.0
Cript	0.0	0.0	220.56	0.0	0.33	0.0	448.05	209.64	329.86	152.8	330.38	338.27	292.15	161.79	355.8	162.29	460.76	279.66	427.21	172.57	395.87	107.88	102.58	278.98	193.67	362.7	93.09	392.31	284.61	236.01	262.5	149.47	234.52	252.5	168.26	322.1	232.14	0.62	0.32	0.0
Crls1	0.0	0.0	0.0	0.0	0.0	0.0	14.75	0.0	33.5	14.25	33.25	12.31	50.29	0.09	21.35	57.27	43.29	27.06	46.56	13.44	23.05	0.85	18.58	19.29	0.32	71.01	0.0	20.35	62.89	50.01	50.12	23.06	67.37	37.48	26.55	11.9	0.74	0.0	0.0	0.0
Csnk2a2	0.0	0.0	0.0	3.53	0.0	0.0	0.0	2.9	0.0	0.49	0.09	0.38	0.42	0.63	6.77	0.1	0.0	0.83	0.0	0.12	0.0	0.0	6.19	0.0	0.0	0.1	28.44	0.49	0.1	8.37	16.08	0.54	1.98	4.56	0.43	0.0	0.0	0.0	0.0	0.0
Cyc1	0.0	26.51	17.58	0.0	0.0	0.0	98.98	66.27	176.13	146.73	3.7	80.7	68.66	105.15	87.59	74.52	46.9	44.37	3.41	134.7	54.84	0.58	62.85	101.66	50.8	148.8	243.14	0.0	16.4	0.7	52.92	73.06	76.43	115.44	0.0	48.6	154.46	0.29	1.27	0.0
D6Wsu163e	0.0	43.89	116.8	0.0	0.0	0.0	0.22	0.0	18.97	20.08	0.14	41.09	14.59	1.6	0.0	1.85	0.0	0.0	10.47	2.26	87.16	0.15	0.0	63.43	24.58	75.56	79.2	0.53	0.0	76.14	187.73	57.35	95.97	52.71	81.45	28.02	143.09	0.16	0.33	0.0
Dgat2	0.0	0.0	2.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61	21.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dgkz	0.0	66.93	0.54	0.0	0.0	0.0	35.89	42.2	15.91	48.32	0.09	13.65	0.0	21.37	28.98	28.49	11.52	1.8	1.5	15.67	0.0	7.07	9.16	0.08	2.92	0.0	61.32	1.34	13.28	0.12	56.7	3.44	26.69	30.56	0.0	36.17	26.82	0.0	0.53	0.0
Dicer1	0.0	0.0	20.68	0.0	0.0	0.0	0.0	6.21	0.65	0.0	0.0	0.0	0.65	0.0	0.04	0.0	0.32	4.79	0.0	0.14	3.07	15.62	0.03	2.75	8.67	15.05	36.25	0.0	0.16	0.04	21.16	2.34	0.0	22.68	0.47	0.53	3.17	0.0	0.0	0.0
Dynlt3	0.0	73.2	1186.19	0.0	0.0	0.0	463.84	466.77	1072.3	683.83	1166.38	1260.49	713.89	599.23	885.21	377.77	1011.82	772.07	413.42	409.95	1000.54	294.58	1028.81	401.56	754.42	663.92	655.9	880.41	893.7	614.29	988.46	1360.55	1055.05	1064.15	778.86	1085.5	1166.97	369.4	1.9	413.31
E130307A14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.6	53.01	0.0	0.23	0.0	0.0	29.35	0.0	69.15	62.11	44.33	0.54	90.25	0.0	0.0	59.13	0.0	0.0	81.85	63.79	0.0	0.0	0.99	56.4	0.23	35.87	53.43	0.0	45.77	5.93	0.0	0.0	0.0
Ecsit	0.0	0.0	181.05	0.0	0.0	0.0	79.66	97.88	159.59	92.85	163.32	119.34	79.72	314.43	122.57	141.47	51.03	204.09	0.3	138.1	166.33	173.49	50.62	154.38	114.91	175.84	67.63	34.25	148.71	128.45	275.8	169.5	374.96	47.07	170.57	117.85	221.6	0.0	0.25	0.0
Eml3	0.0	0.0	4.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	10.1	1.36	0.0	0.0	0.0	0.29	0.0	0.0	0.18	0.0	0.0	28.76	0.0	0.0	0.0	13.74	0.0	0.0	1.7	0.0	0.0	4.94	0.0	0.0	0.0
Eny2	0.0	10.92	192.5	0.0	0.0	0.0	53.65	83.84	66.99	68.48	133.53	118.55	77.73	69.89	69.52	47.89	209.04	58.68	48.02	89.3	130.57	31.27	47.84	65.55	93.73	128.79	0.0	38.25	131.59	84.25	107.49	40.36	38.32	30.51	8.48	63.45	309.93	0.0	0.46	0.0
Exoc1	0.0	0.04	11.32	0.0	0.0	0.0	11.84	45.04	21.29	2.64	42.42	42.25	33.9	0.84	72.53	74.14	33.62	15.75	0.13	0.0	71.0	0.0	1.04	9.94	81.77	0.0	188.81	45.61	0.0	61.04	136.24	82.09	22.66	98.83	0.0	68.88	0.69	0.1	0.22	6.97
Foxp2	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.08	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Foxred2	0.0	0.0	0.06	4.55	0.0	0.0	14.41	11.84	0.0	42.7	21.25	7.54	8.95	16.77	0.0	9.21	8.47	0.09	0.0	7.58	0.0	0.83	0.0	0.0	0.0	57.63	1.7	3.15	0.08	29.76	40.72	0.0	0.54	3.52	0.0	0.0	16.61	0.0	0.0	0.0
Fzr1	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	26.04	1.33	35.16	60.23	57.33	0.07	2.0	34.55	0.0	22.35	0.0	9.4	22.85	0.0	55.44	0.0	0.0	12.15	36.17	0.0	0.17	0.0	61.23	0.0	82.61	33.27	0.0	0.0	8.49	0.0	0.0	0.0
Gabre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.21	0.0	0.0	0.0	0.14	0.0	0.0	0.0
Gm14430	0.0	0.0	7.02	0.0	0.04	0.0	0.0	14.72	13.46	3.07	11.03	18.55	13.57	23.36	4.08	11.25	0.54	8.34	28.79	13.98	26.82	0.06	10.45	7.54	13.81	18.59	20.14	40.89	23.53	11.12	13.13	30.75	8.33	25.3	0.0	15.88	2.38	0.12	0.0	0.0
Gm14434	0.0	0.0	7.02	0.0	0.04	0.0	0.0	14.72	13.46	3.07	11.03	18.55	13.57	23.36	4.08	11.25	0.54	8.34	28.79	13.98	26.82	0.06	10.45	7.54	13.81	18.59	20.14	40.89	23.53	11.12	13.13	30.75	8.33	25.3	0.0	15.88	2.38	0.12	0.0	0.0
Gm15455	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0
Gm4724	0.0	0.0	7.02	0.0	0.04	0.0	0.0	14.72	13.46	3.07	11.03	18.55	13.57	23.36	4.08	11.25	0.54	8.34	28.79	13.98	26.82	0.06	10.45	7.54	13.81	18.59	20.14	40.89	23.53	11.12	13.13	30.75	8.33	25.3	0.0	15.88	2.38	0.12	0.0	0.0
Golph3l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	37.84	3.06	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0	0.0	0.0	0.0	80.15	64.94	0.0	0.0	0.0	65.97	4.09	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0
Gpx1	156.46	28.51	74.26	0.0	0.0	0.0	189.1	69.97	0.0	215.74	35.54	70.76	15.39	99.03	104.23	48.91	55.47	190.97	61.84	148.37	137.31	91.55	135.78	111.18	109.52	393.57	347.21	110.56	101.51	128.96	184.78	213.33	0.29	139.03	57.02	36.63	154.87	0.0	0.0	0.0
Grn	0.0	0.0	60.12	0.0	0.0	0.0	0.0	41.74	0.28	0.0	0.0	0.0	0.0	5.29	50.08	4.54	46.4	34.99	0.0	0.0	0.0	0.0	0.0	6.15	40.98	48.54	34.83	0.0	0.0	0.0	0.0	1.78	0.0	30.56	0.0	28.52	1.67	61.92	0.16	0.0
Herc1	0.0	1.18	39.71	7.41	0.02	0.04	10.71	14.75	28.74	19.06	27.03	24.9	12.31	23.09	15.66	8.14	9.4	5.36	17.83	15.6	26.08	8.0	24.43	5.66	34.57	40.42	18.01	9.21	21.04	31.12	34.71	33.56	21.1	18.9	7.19	27.38	18.85	0.09	0.07	10.79
Iqck	0.0	0.0	0.0	109.71	0.0	0.0	0.12	25.19	39.94	0.6	0.64	1.43	0.0	9.87	0.0	0.0	3.13	17.17	0.0	0.0	14.57	0.0	27.46	0.0	21.72	21.27	17.92	13.8	0.0	0.0	8.55	0.99	10.63	20.72	0.0	16.81	0.0	0.0	0.0	0.0
Kbtbd4	0.0	12.2	0.0	0.0	0.0	0.0	9.81	149.64	48.17	2.66	71.53	81.52	86.52	97.67	28.42	48.98	80.25	70.83	181.72	194.09	104.59	138.05	179.85	70.49	50.72	172.89	132.62	172.34	35.34	92.23	239.81	74.11	166.18	189.56	0.13	68.59	16.87	0.0	0.15	0.0
Kif5c	0.0	53.65	20.71	0.0	0.05	0.0	21.2	29.8	160.06	73.82	40.76	68.31	83.39	150.46	87.09	120.44	81.36	50.47	0.57	82.63	60.14	62.03	34.17	50.87	59.29	86.52	101.58	172.63	271.38	100.35	104.09	74.71	56.08	158.85	36.95	82.82	94.05	0.0	0.48	0.0
Ldhb	7486.96	6607.22	8550.52	5600.23	0.6	2911.44	10118.08	10894.4	10165.1	11261.44	10004.69	9074.03	13571.31	6655.09	12546.17	9106.97	11010.48	10182.84	7891.81	7750.55	7070.46	7194.73	7205.83	6728.17	9082.37	7352.41	6343.21	7928.56	7910.47	7844.79	6796.56	8351.44	5462.15	7830.1	6907.68	8111.86	11746.38	2798.49	5873.38	0.0
Letm2	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	26.76	0.0	21.07	0.0	5.59	5.54	15.86	0.0	0.0	43.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.72	7.33	0.0	0.0	19.11	0.0	0.54	0.0	12.5	2.25	0.0	1.03	0.0	0.0	0.0
Lin54	0.0	0.0	18.15	0.0	0.0	0.0	0.0	0.0	21.21	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	15.14	0.0	0.0	0.0	1.45	0.0	0.0	0.07	10.15	0.0	0.0	0.0	0.08	0.0	0.0
Lnp	5.59	22.58	46.89	0.1	0.04	0.0	9.82	51.15	28.35	36.64	51.28	46.38	49.82	81.04	32.93	59.39	68.07	31.56	36.92	64.66	59.94	39.91	40.4	106.34	41.84	90.07	103.79	70.75	46.41	96.28	86.47	46.02	75.49	56.02	56.54	51.22	28.15	0.04	0.33	0.0
Lpl	0.56	51.6	1.44	0.53	2.88	10.95	15.81	1.27	9.88	41.01	27.93	45.01	5.11	36.79	70.41	85.32	30.09	1.24	1.52	72.68	66.21	45.66	32.61	53.63	28.54	130.38	35.98	4.66	52.04	28.53	78.36	10.04	64.84	1.46	1.6	38.84	0.42	1.09	0.66	0.68
Lrrfip1	0.0	0.59	5.96	0.0	0.13	0.0	9.64	16.9	26.6	11.34	74.34	71.87	7.73	92.95	41.28	65.86	51.8	30.87	110.01	69.99	32.01	0.0	84.78	29.2	64.78	18.67	70.99	67.47	25.75	11.84	111.6	45.56	44.47	80.97	3.49	117.48	63.38	0.0	0.88	0.0
Lynx1	0.0	20.23	23.68	0.0	0.0	0.0	35.04	62.83	78.67	7.87	52.23	127.61	63.06	85.91	75.27	91.7	26.03	111.63	18.47	56.47	45.45	0.93	42.33	105.46	71.33	98.03	142.49	141.77	70.23	136.59	92.85	144.99	175.63	162.26	124.38	66.57	70.91	0.09	0.09	0.0
Man2b1	0.0	60.86	0.0	0.0	0.0	0.0	0.0	0.0	15.79	0.0	59.77	18.85	16.76	0.0	25.49	2.92	0.0	0.0	39.07	36.07	2.73	0.0	27.57	0.0	12.76	0.0	0.0	37.48	0.09	0.0	44.15	10.64	35.87	31.59	0.0	0.0	19.32	157.94	0.34	0.12
Maoa	6.13	13.15	24.75	1.7	3.6	2.56	20.17	4.36	3.24	8.48	8.7	3.13	31.92	18.99	14.27	7.49	9.57	4.81	16.48	7.19	10.67	4.08	9.31	4.47	5.41	57.51	77.48	10.33	12.37	11.07	14.47	52.51	12.37	10.86	12.61	33.89	13.13	9.55	94.62	4.9
Max	0.0	0.0	0.0	0.0	0.0	0.0	12.44	47.66	24.15	2.66	0.15	5.1	11.61	4.46	38.1	0.0	0.0	0.23	22.66	5.61	33.14	0.0	0.16	0.0	45.75	0.0	96.57	23.47	0.39	1.24	77.87	45.56	15.52	38.97	7.19	18.16	14.77	0.0	0.0	0.0
Mboat7	0.0	13.9	66.11	0.0	0.0	0.0	0.0	14.75	18.24	0.0	12.88	3.97	11.85	0.51	4.82	17.67	42.09	19.27	4.12	0.0	4.45	0.0	0.78	0.1	7.28	99.11	13.33	0.0	3.37	0.0	0.0	24.97	14.52	0.0	0.0	2.57	18.28	0.0	0.13	0.0
Mcoln1	0.0	0.74	54.07	0.0	0.0	0.0	0.0	0.0	21.66	13.51	0.0	0.0	0.0	77.23	0.0	0.38	54.57	0.23	0.0	30.47	0.0	10.46	22.01	0.0	43.29	0.0	0.99	0.0	0.0	2.87	0.0	0.57	93.61	10.03	0.16	52.2	0.0	0.0	0.19	0.0
Med15	0.0	0.04	0.0	0.0	0.0	0.0	0.0	1.95	1.39	0.0	77.51	20.31	25.03	20.88	0.53	15.44	0.82	0.28	0.13	12.04	8.96	0.2	0.29	0.0	29.93	62.65	10.87	19.93	5.7	0.75	50.89	1.04	0.0	0.45	0.57	1.72	49.18	0.0	0.11	0.0
Mlxipl	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.09	0.0	0.07	0.1	0.2	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0
Mtpn	27.91	31.93	194.64	0.0	0.0	0.0	61.69	0.0	35.09	79.47	30.93	36.36	30.92	97.65	52.8	71.97	89.78	42.32	51.36	32.11	108.27	79.75	80.64	58.66	90.12	145.51	30.27	34.67	17.38	1.7	104.31	93.46	80.85	52.14	75.38	34.33	36.52	36.13	11.47	0.0
Nebl	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	33.28	0.0	74.25	4.31	41.5	5.16	42.14	16.81	38.12	2.72	14.45	30.71	9.35	14.48	22.39	3.76	4.86	50.95	26.0	0.0	34.1	18.26	51.58	8.46	29.62	28.28	0.1	0.0	0.0	0.0	0.12	0.0
Nme6	0.0	0.0	0.0	0.0	0.0	1202.04	75.31	0.0	73.56	7.54	51.88	5.79	124.83	71.46	111.15	46.61	0.0	52.12	74.34	61.26	47.27	0.0	51.38	0.0	0.0	0.0	0.0	0.0	64.1	3.29	4.56	46.15	129.48	49.84	0.0	0.0	37.34	0.0	0.37	0.0
Nqo2	0.27	0.0	0.0	0.0	0.06	0.64	0.0	41.27	34.48	4.94	44.77	0.0	0.15	40.38	39.78	32.49	0.08	0.0	27.64	0.0	28.62	0.0	0.08	2.14	0.16	0.0	20.55	0.0	5.39	0.85	33.15	0.0	43.27	3.5	8.22	0.0	0.0	0.0	0.0	0.27
Nudcd3	0.0	0.0	152.34	0.0	0.0	0.0	7.78	47.33	31.42	58.89	6.51	28.86	26.38	65.1	18.13	65.76	56.4	55.28	6.87	31.26	18.94	2.69	79.05	5.75	55.28	35.73	125.33	165.67	16.27	52.34	62.23	60.12	93.16	35.9	5.19	77.55	0.0	0.09	0.46	0.12
Nudt11	0.0	0.0	0.0	0.0	0.0	0.0	34.94	4.56	0.0	0.0	0.0	0.82	31.88	35.47	0.62	0.71	0.0	0.0	0.0	0.0	11.36	0.0	10.88	0.0	5.25	0.0	53.86	0.0	0.0	2.64	50.85	0.0	0.0	20.33	0.0	0.0	0.0	0.0	0.0	0.0
Nup54	0.0	0.0	0.0	0.0	0.0	0.0	82.4	110.04	87.19	46.05	68.43	53.55	20.93	39.55	11.95	35.3	51.07	57.56	0.0	45.77	0.0	0.0	43.23	0.0	0.0	92.41	26.49	0.5	0.0	0.0	101.32	25.15	24.2	43.2	0.0	37.95	0.0	0.15	0.0	0.23
Otud6b	0.0	0.0	64.52	0.0	0.12	0.0	66.05	26.3	1.79	45.46	29.65	82.21	78.64	47.88	101.01	115.94	17.81	57.61	72.4	14.72	85.11	0.0	3.14	0.94	50.22	156.99	16.94	128.71	97.19	88.3	68.62	150.03	41.9	84.29	93.52	44.75	41.04	0.0	0.11	0.0
Pgm2l1	0.0	12.17	2.43	0.0	0.04	0.0	19.34	31.92	7.72	55.35	13.37	42.64	38.06	48.08	30.64	45.78	83.05	31.42	8.25	46.51	61.8	14.79	35.19	29.56	53.2	91.57	74.61	42.19	80.72	8.18	93.44	93.66	89.25	66.97	9.42	89.37	31.75	0.16	0.67	0.0
Plcb1	0.0	0.02	54.65	0.06	0.0	0.0	24.04	37.88	2.2	14.04	23.14	44.61	19.64	21.92	14.35	52.3	31.64	2.99	18.95	27.41	14.01	11.68	19.55	1.66	13.6	103.66	46.56	34.57	55.0	58.51	115.09	11.66	1.98	66.61	37.35	38.95	46.15	0.05	0.1	0.0
