	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_50	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27
9930013L23Rik	0.0	0.0	0.0	0.14	0.0	0.0
A430110N23Rik	0.0	0.0	0.0	0.08	0.0	0.0
A730046J19Rik	0.0	0.0	0.0	0.07	0.0	0.0
A730090N16Rik	0.0	0.0	0.0	0.76	0.0	0.0
A930019D19Rik	0.0	0.0	0.0	0.37	0.0	0.0
AI115009	0.0	0.0	0.0	0.19	0.0	0.0
AI836003	0.0	0.0	0.0	6.38	0.19	0.0
Abra	0.0	0.0	0.0	0.4	0.0	0.0
Accn3	0.0	0.0	0.0	0.54	0.0	0.0
Accsl	0.0	0.0	0.0	0.64	0.0	0.0
Acr	0.0	0.0	0.0	0.23	0.0	0.0
Acvrl1	0.0	0.0	0.0	0.76	0.0	0.0
Adipoq	0.0	0.0	0.0	1.43	0.0	0.0
Aim1	0.0	0.0	0.0	0.05	0.0	0.0
Ak7	0.0	0.0	0.0	0.44	0.0	0.0
Akap14	0.0	0.0	0.0	0.97	0.0	0.0
Allc	0.0	0.0	0.0	1.44	0.0	0.0
Amhr2	0.0	0.0	0.0	0.53	0.0	0.0
Amy2a2	0.0	0.08	0.25	0.11	0.05	0.1
Amy2a3	0.0	0.08	0.25	0.11	0.05	0.1
Amy2a4	0.0	0.08	0.25	0.11	0.05	0.1
Ang	0.0	0.0	0.0	2.17	0.0	0.0
Angpt2	0.0	0.0	0.0	0.56	0.0	0.0
Ank	0.0	0.0	256.23	72.4	350.0	0.09
Anks4b	0.0	0.0	0.0	0.51	0.0	0.0
Ano8	0.0	0.0	0.0	0.09	0.0	0.0
Aox4	0.0	0.0	0.0	0.07	0.0	4.66
Apln	0.0	0.0	0.0	0.11	0.0	0.0
Aplnr	0.0	0.0	0.0	0.1	0.0	0.0
Arhgef33	0.0	0.0	0.0	0.21	0.0	0.0
Asb14	0.0	0.0	0.0	0.19	0.0	0.0
Ascl1	0.0	0.0	0.0	0.31	0.0	0.0
Atp1a3	292.26	265.5	198.24	187.8	99.51	140.6
Atp1b1	662.85	69.78	281.17	300.78	524.57	485.8
Atp6v1c2	0.0	0.0	0.0	0.22	0.0	0.0
Atrnl1	0.0	0.0	0.0	14.66	0.0	0.05
Awat2	0.0	0.0	0.0	3.29	0.0	0.0
BC051142	0.0	0.0	0.0	1.16	0.0	0.0
BC061194	0.0	0.0	0.0	1.92	0.0	0.0
Bcan	0.0	0.0	0.0	0.21	0.0	0.0
Bnc1	0.0	0.0	0.0	0.07	0.0	0.0
Brcc3	0.0	162.15	0.88	222.22	0.8	168.68
Btbd2	0.0	0.0	0.0	8.63	0.0	0.0
C030018K13Rik	0.0	0.0	0.0	2.41	0.0	0.0
C730027H18Rik	0.0	0.0	0.0	0.15	0.0	0.0
Cacna1f	0.0	0.0	0.0	0.06	0.0	0.0
Cacna1g	0.87	0.0	0.0	0.08	0.0	0.0
Cacna1s	0.0	0.0	0.0	0.33	0.0	0.0
Cacnb1	0.0	0.0	0.0	0.22	0.0	0.0
Cacng2	0.0	9.26	0.0	4.05	0.15	0.0
Cacng5	0.0	0.0	0.0	0.56	0.0	0.0
Cadps	0.0	9.89	164.53	45.15	46.23	130.79
Cbx2	0.0	0.0	0.0	0.09	0.0	0.0
Ccdc136	0.0	12.87	0.15	3.31	0.0	0.0
Ccdc141	0.0	0.0	0.0	0.05	0.0	0.0
Ccdc146	0.0	0.0	0.0	0.1	0.0	0.0
Ccdc40	0.0	0.0	0.0	0.48	0.0	0.0
Ccdc92	0.0	0.0	0.0	7.51	0.0	0.0
Ccr1l1	0.0	0.0	0.0	0.48	0.0	0.0
Cdca7l	0.0	0.0	0.0	0.53	0.0	0.0
Cdr1	0.0	1.5	0.0	61.97	0.0	9.24
Cend1	0.92	470.02	145.95	154.82	0.27	64.96
Chchd2	590.3	301.84	51.72	294.19	1.01	28.31
Chodl	0.0	0.0	0.0	0.14	0.0	0.0
Chst5	0.0	0.0	0.0	1.44	0.0	0.0
Cisd1	99.71	174.59	138.43	532.08	0.48	59.74
Cldn23	0.0	0.0	0.0	1.13	0.0	0.0
Cntnap1	0.07	0.1	0.36	6.74	0.08	0.0
Cntnap5a	0.0	0.0	0.0	0.09	0.0	0.0
Col15a1	0.0	0.0	0.0	0.06	0.0	0.0
Col6a6	0.0	0.0	0.0	0.09	0.0	0.0
Cpxm2	0.0	0.0	0.0	0.98	0.0	0.0
Crip3	0.0	0.0	0.0	0.75	0.0	105.89
Crxos1	0.0	0.0	0.0	0.64	0.0	0.0
Cs	704.06	0.0	183.47	196.14	72.33	102.82
Cyb5rl	0.0	0.0	0.0	0.44	0.0	0.0
Cyp2t4	0.0	0.0	0.0	0.23	0.0	0.0
Cyp4f15	0.0	0.0	0.0	0.32	0.0	0.0
Dbx2	0.0	0.0	0.0	0.15	0.0	0.0
Dfna5	0.0	158.24	0.46	43.02	0.0	33.99
Dlat	0.0	4.2	0.0	11.69	9.1	2.39
Dlgap3	0.68	0.13	0.0	0.36	2.06	0.0
Dyrk1b	0.0	0.0	0.0	0.27	0.0	0.0
Ect2	0.0	0.0	0.0	0.51	0.0	0.0
Ednra	0.0	0.0	0.0	0.09	0.0	0.0
Efhb	0.0	0.0	0.0	0.13	0.0	0.0
Efr3a	0.0	0.1	51.52	75.63	286.33	27.95
Egflam	0.0	0.0	0.0	0.29	0.0	0.0
Elmod1	57.98	27.61	69.57	26.64	32.98	7.01
Elovl3	0.0	0.0	0.0	0.18	0.0	0.0
Eml3	0.0	0.0	0.0	0.22	0.0	0.0
Entpd4	0.0	0.0	0.0	4.12	0.0	0.0
Epdr1	0.0	0.0	0.0	46.57	1.48	106.06
Ern1	0.0	0.0	0.0	0.26	0.0	0.0
Etv4	0.0	0.0	0.0	1.18	0.0	0.0
Fam134c	0.0	0.0	0.0	0.11	0.0	0.0
Fam150b	0.0	0.0	0.0	0.23	0.0	0.0
Fam155a	0.0	3.12	0.0	36.26	174.94	13.22
Fam164a	386.6	0.0	0.14	125.74	0.0	35.01
Fam176b	0.0	0.0	0.0	0.26	0.0	0.0
Fam186b	0.0	0.0	0.0	0.11	0.0	0.0
Fam187a	0.0	0.0	0.0	0.22	0.0	0.0
Fam187b	0.0	0.0	0.0	2.03	0.0	0.0
Fam43a	0.12	0.0	0.0	4.35	0.0	0.1
Fam73b	0.0	0.0	0.0	4.16	0.0	0.0
Fam83h	0.0	0.0	0.0	0.45	0.0	0.0
Farp2	0.0	0.0	0.0	0.45	0.0	0.0
Fasl	0.0	0.0	0.0	0.18	0.0	0.0
Fbln1	0.0	0.0	0.0	0.51	0.0	0.0
Fbxl13	0.0	0.0	0.0	2.32	0.0	0.0
Fbxo24	0.0	0.0	0.0	0.16	0.0	0.0
Fbxo44	0.0	302.13	0.0	74.49	184.1	50.89
Foxo6	0.0	0.0	0.0	0.27	0.0	0.0
Fstl3	0.0	0.0	0.0	2.31	0.0	0.0
Fxyd3	0.0	0.0	0.0	0.72	0.0	0.0
Gars	17.26	1.67	4.47	33.94	0.0	0.0
Gen1	0.0	0.0	0.0	0.31	0.0	0.0
Ggt5	0.0	0.0	0.0	0.08	0.0	0.0
Gins2	0.0	0.0	0.0	1.03	0.0	0.0
Gjb6	0.0	0.0	0.0	1.67	0.0	0.0
Glb1l3	0.0	0.0	0.0	0.14	0.0	0.0
Glrb	0.25	192.63	39.16	83.0	49.46	1.42
Gm10731	0.0	0.0	0.0	0.96	0.0	0.0
Gm10814	0.0	0.0	0.0	0.18	0.0	0.0
Gm12830	0.0	0.0	0.0	0.3	0.0	0.0
Gm13154	0.0	0.0	0.0	0.12	0.0	0.0
Gm14496	0.0	0.0	0.0	0.27	0.0	0.0
Gm14920	0.0	0.0	0.0	1.16	0.0	0.0
Gm18409	0.0	0.0	0.0	0.14	0.0	0.0
Gm2030	0.0	0.0	0.0	0.31	0.0	0.0
Gm3336	0.0	0.0	0.0	0.31	0.0	0.0
Gm5114	0.0	0.0	0.0	0.11	0.0	0.0
Gm5129	0.0	0.0	0.0	1.24	0.0	0.0
Gm684	0.0	0.0	0.0	0.56	0.0	0.0
Gm7168	0.0	0.0	0.0	0.22	0.0	0.0
Gm7444	0.0	0.0	0.0	0.09	0.0	0.0
Gm960	0.0	0.0	0.0	0.31	0.0	0.0
Gm9994	0.0	0.0	0.0	0.15	0.0	0.0
Gna14	0.0	0.0	0.0	0.3	0.0	0.0
Gnas	14.59	913.58	255.96	615.46	146.64	419.93
Gpr125	0.0	0.0	0.0	0.46	0.0	0.21
Gpr4	0.0	0.0	0.0	0.12	0.0	0.0
Gzmm	0.0	0.0	0.0	1.65	0.0	0.0
Haghl	0.0	203.02	187.96	67.12	0.0	0.0
Hcn1	0.0	59.18	1.87	11.07	0.0	4.66
Hdhd2	0.16	12.34	208.16	152.52	58.91	7.37
Hgf	0.0	0.0	0.0	0.62	0.0	0.0
Hkdc1	0.0	0.0	0.0	0.3	0.0	0.0
Hydin	0.0	0.0	0.0	0.02	0.0	0.0
I830077J02Rik	0.0	0.0	0.0	1.34	0.0	0.0
Idh3b	753.68	316.1	88.82	506.99	359.34	160.43
Ido1	0.0	0.0	0.0	0.22	0.0	0.0
Il15ra	0.0	0.0	0.0	0.48	0.0	0.0
Il17d	0.0	0.0	0.0	1.45	0.0	0.0
Il17rc	0.0	0.0	0.0	0.15	0.0	0.0
Immp2l	0.0	0.0	374.64	24.89	86.01	0.0
Immt	0.0	4.43	38.23	211.51	69.98	11.29
Insl5	0.0	0.0	0.0	2.68	0.0	0.0
Iqgap2	0.0	0.0	0.0	13.09	4.0	0.16
Itfg1	0.0	0.05	0.29	57.62	32.67	47.92
Itga6	0.0	0.0	0.0	0.24	0.0	0.0
Itgae	0.0	0.09	0.0	0.09	0.0	0.0
Itgb3	0.0	0.0	0.0	0.29	0.0	0.0
Itgb7	0.0	0.0	0.0	0.52	0.0	0.0
Jsrp1	0.0	0.0	0.0	0.95	0.0	0.0
Kcna2	28.5	0.1	0.45	6.28	47.89	1.85
Kcnab2	0.0	0.0	0.0	32.49	85.45	0.08
Kcnh2	0.0	0.0	0.0	0.32	0.0	0.0
Kcnj8	0.0	0.0	0.0	0.16	0.0	0.0
Kctd15	0.0	0.0	0.0	0.72	0.0	0.0
Kctd8	284.92	0.0	0.0	1.19	0.0	0.0
Kif20b	0.0	0.0	0.0	0.06	0.0	0.0
Kif27	0.0	0.0	0.0	0.54	0.0	0.0
Kirrel3	0.0	0.0	0.0	0.65	0.0	0.0
Klhl38	0.0	0.0	0.0	0.16	0.0	0.0
Klk1b3	0.0	0.0	0.0	0.81	0.0	0.0
Krtcap3	0.0	0.0	0.0	1.19	0.0	0.0
Lama4	0.0	0.0	0.0	0.06	0.0	0.0
Lamb2	0.0	0.0	0.0	0.12	0.0	0.0
Lipg	0.0	0.0	0.0	1.08	0.0	0.0
Lmcd1	0.0	0.0	0.0	0.2	0.0	0.0
Lrp2bp	0.0	0.0	0.0	0.1	0.0	0.0
Lrrc23	0.0	0.0	0.0	0.72	0.0	0.0
Lrrc26	0.0	0.0	0.0	0.59	0.0	0.0
Lrrn4	0.0	0.0	0.0	0.1	0.0	0.0
Luzp1	0.0	0.0	0.0	5.82	0.0	1.31
Lynx1	0.0	0.0	0.0	58.04	0.0	66.79
Lysmd2	81.46	0.0	0.0	116.18	223.45	96.19
Mab21l3	0.0	0.0	0.0	0.1	0.0	0.0
Mafk	0.0	0.0	0.0	0.49	0.0	0.0
Magea3	0.0	0.0	0.0	0.32	0.0	0.0
Mamdc4	0.0	0.0	0.0	0.09	0.11	0.0
Map3k15	0.0	0.0	0.0	0.12	0.0	0.0
Mark4	0.0	0.0	0.0	0.15	0.0	0.0
Meig1	0.0	0.0	0.0	2.08	0.0	0.0
Mmp13	0.0	0.0	0.0	0.13	0.0	0.0
Mmp15	0.0	0.0	0.0	0.08	0.0	0.0
Mmp21	0.0	0.0	0.0	0.75	0.0	0.0
Mnd1	0.0	0.0	0.0	2.06	0.0	0.0
Mocos	0.0	0.0	0.0	0.12	0.0	0.0
Mpi	0.0	355.93	0.0	91.58	313.76	0.0
Mrgprf	0.0	0.0	0.0	0.52	0.0	0.0
Mrpl10	365.75	4.59	0.52	69.89	1.61	8.8
Msl3l2	0.0	0.0	0.0	0.49	0.0	0.0
Muc5b	0.0	0.0	0.0	0.02	0.0	0.0
Mycl1	0.0	0.0	0.0	0.29	0.0	0.0
Myo1f	0.0	0.0	0.0	0.09	0.0	0.0
Myo7b	0.0	0.0	0.0	0.05	0.0	0.0
Myot	0.0	0.0	0.0	1.41	0.0	0.0
Nceh1	0.0	0.0	0.11	55.78	0.0	120.0
Ndst3	0.0	0.19	0.0	6.09	0.0	0.11
Ndufaf4	0.0	4.21	65.52	44.58	0.0	0.0
Ndufs2	1221.41	169.51	326.66	172.53	69.33	96.91
Neil2	0.0	0.0	0.0	0.54	0.0	0.0
Nek11	0.0	0.0	0.0	0.52	0.0	0.0
Nlrc3	0.0	0.0	0.0	0.08	0.0	0.0
Nlrp4c	0.0	0.0	0.0	0.09	0.0	0.0
Nlrp9b	0.0	0.0	0.0	0.1	0.0	0.0
Nmi	0.0	0.0	0.0	1.96	0.0	0.0
Npsr1	0.0	0.0	0.0	0.27	0.0	0.0
Nrg2	0.0	0.0	0.0	0.12	0.0	0.0
Nt5dc2	0.0	0.0	0.0	1.74	0.0	0.0
Nt5e	0.0	0.0	0.0	0.1	0.0	0.0
Nup210l	0.0	0.0	0.0	0.12	0.0	0.95
Nup62cl	0.0	0.0	0.0	0.31	0.0	0.0
Nxph4	0.0	0.0	0.0	0.2	0.0	0.0
Obsl1	0.0	0.0	0.0	0.53	0.0	0.0
Ocel1	0.0	0.0	0.0	0.21	0.0	0.0
Olfr31	0.0	0.0	0.0	0.38	0.0	0.0
Olfr56	0.0	0.0	0.0	0.18	0.23	0.0
Opn4	0.0	0.0	0.0	0.46	0.0	0.0
Orai1	0.0	0.0	0.0	0.19	0.0	0.0
Oxct2a	0.0	0.0	0.0	0.19	0.0	0.0
Parvb	0.0	0.0	0.0	0.18	0.0	0.0
Pate2	0.0	0.0	0.0	1.41	0.0	0.0
Pcdhgb2	0.0	0.0	0.0	0.42	0.0	0.0
Pdhb	557.83	157.0	661.98	453.14	309.57	528.13
Pdia2	0.0	0.0	0.0	0.2	0.0	0.0
Peli2	0.82	0.0	0.0	0.12	0.0	0.0
Pgk1	386.14	952.78	207.19	1203.45	943.95	451.3
Pim1	0.0	0.0	0.0	0.2	0.0	0.0
Pkdrej	0.0	0.0	0.0	0.1	0.0	0.0
Pla2g4c	0.0	0.0	0.0	0.1	0.0	0.0
Pla2g4d	0.0	0.0	0.0	0.21	0.0	0.0
Plau	0.8	0.0	0.0	0.15	0.0	0.0
Plb1	0.0	0.0	0.0	0.48	0.0	0.0
Plek2	0.0	0.0	0.0	1.13	0.0	0.0
Plekhg1	0.0	0.0	0.0	0.09	0.0	0.0
Plxna4	0.0	0.05	9.27	2.31	0.03	0.0
Pnpo	0.0	266.74	233.94	113.07	28.54	157.08
Pof1b	0.0	0.0	0.0	0.26	0.0	0.0
Poln	0.0	0.06	0.0	0.12	0.0	0.0
Pou4f3	0.0	0.0	0.0	0.31	0.0	0.0
Ppp1r2-ps3	0.0	0.0	0.0	0.88	0.0	0.0
Prima1	0.0	0.0	0.0	1.59	0.0	0.0
Prop1	0.0	0.0	0.0	0.36	0.0	0.0
Psme3	0.0	0.0	0.0	15.91	0.0	1.51
Ptgir	0.0	0.0	0.0	0.1	0.0	0.0
Ptprv	0.0	0.0	0.0	0.06	0.0	0.0
Raet1d	0.0	0.0	0.0	8.33	0.0	0.0
Raver1-fdx1l	0.0	0.0	0.0	0.15	0.0	0.0
Rbm20	0.0	0.0	0.0	0.21	0.0	0.0
Rbpjl	0.0	0.0	0.0	0.13	0.0	0.0
Rex2	0.0	0.0	0.0	0.18	0.0	0.0
Rnf148	0.0	0.0	0.0	0.28	0.0	0.0
Rorc	0.0	0.0	0.0	0.14	0.0	0.0
Rps6ka6	0.0	0.0	0.0	0.16	0.0	0.0
Rtdr1	0.0	0.0	0.0	1.49	0.0	0.0
Rtn4rl1	0.0	0.0	0.0	0.62	0.0	0.0
Ryr1	0.0	0.0	0.0	0.04	0.0	0.0
S100a13	0.0	0.0	0.0	2.56	0.0	0.0
S100a6	0.0	0.0	0.0	1.02	0.0	0.0
Scand1	0.0	0.0	0.0	0.48	0.0	0.0
Scml2	0.0	0.0	0.0	0.56	0.0	0.0
Sdr39u1	0.0	270.37	146.74	173.42	117.26	424.24
Serp2	0.0	0.0	0.0	23.11	0.0	0.0
Sim2	0.0	0.0	0.0	0.09	0.0	0.0
Sipa1	0.0	0.0	0.0	1.45	0.0	0.0
Slc25a11	0.0	7.24	1.05	150.0	158.04	80.09
Slc25a13	0.0	0.0	0.0	0.77	0.0	0.0
Slc26a4	0.0	0.0	0.0	0.11	0.0	0.0
Slc2a2	0.0	0.0	0.0	0.67	0.0	0.0
Slc2a9	0.0	0.0	0.0	0.29	0.0	0.0
Slc38a3	0.0	0.0	0.0	0.28	0.0	0.0
Slc44a3	0.0	0.0	0.0	0.13	0.0	0.0
Slc4a3	0.0	0.35	0.0	2.0	0.0	0.2
Slc6a20a	0.0	0.0	0.0	0.18	0.0	0.0
Slc9a3r1	0.0	0.0	0.0	0.54	0.0	0.0
Slco6b1	0.0	0.0	0.0	0.14	0.07	0.0
Snai3	0.0	0.0	0.0	0.88	0.0	0.0
Snord118	0.0	0.0	0.0	33.35	0.0	0.0
Socs4	0.0	0.0	1.13	0.16	0.0	0.0
Spag17	0.0	0.0	0.0	0.09	0.0	0.0
Spag8	0.0	0.0	0.0	3.97	0.0	0.0
Spata17	0.0	0.0	0.0	0.54	0.0	0.0
Spata21	0.0	0.0	0.0	1.92	0.0	0.0
Ssbp2	0.06	45.51	77.41	120.81	123.03	86.11
Ssx2ip	0.0	0.3	12.49	25.81	0.0	1.24
St8sia1	0.0	32.13	0.22	2.14	0.15	1.03
Stard6	0.0	0.0	0.0	0.75	0.0	0.0
Stk36	0.0	0.0	0.0	0.13	0.0	0.0
Sv2a	1.61	72.33	0.12	62.06	0.0	66.93
Synpo2	0.0	0.0	0.0	0.05	0.0	0.0
Taf4b	0.0	0.0	0.0	0.4	0.0	0.0
Taf7l	0.0	0.0	0.0	0.18	0.0	0.0
Tat	0.0	0.0	0.0	0.15	0.0	0.0
Tg	0.0	0.0	0.0	0.16	0.0	0.0
Tgfbr3	0.0	0.0	0.0	0.06	0.0	0.0
Tgif2	0.0	0.0	0.0	0.28	0.0	0.0
Timp4	0.0	0.0	0.0	2.73	0.0	0.0
Tmem121	0.0	0.0	0.0	0.22	0.0	0.0
Tmem182	0.0	0.0	0.0	0.32	0.0	0.0
Tmem25	0.0	0.07	0.21	53.42	0.0	2.85
Tmprss9	0.0	0.0	0.0	0.2	0.0	0.0
Tnni3k	0.0	0.0	0.0	0.11	0.0	0.0
Tonsl	0.0	0.0	0.0	0.08	0.0	0.0
Tph1	0.0	0.0	0.0	0.8	0.0	0.0
Trim7	0.0	0.0	0.0	0.27	0.0	0.0
Trpm6	0.0	0.0	0.0	0.05	0.0	0.0
Trpv3	0.0	0.0	0.0	0.14	0.0	0.0
Tshz2	0.0	0.0	0.0	0.53	0.0	0.0
Tspan9	0.0	0.0	0.0	1.65	0.0	0.0
Ttc18	0.0	0.0	0.0	1.16	0.0	0.0
Ttll7	0.0	0.15	13.11	13.84	0.57	7.07
Tubb6	0.0	0.0	0.0	0.4	0.0	0.0
Ubb	34072.44	35368.68	38561.98	27147.21	35026.92	33691.16
Uhrf1	0.0	0.0	0.0	0.1	0.0	0.0
Unc119	2.99	0.0	0.0	0.28	0.0	0.0
Uqcrc1	540.82	314.46	292.71	675.25	5.66	0.37
Vmn2r118	0.0	0.0	0.0	0.27	0.0	0.0
Vmn2r120	0.0	0.0	0.0	0.13	0.0	0.0
Vmn2r17	0.0	0.0	0.0	0.14	0.0	0.0
Vmn2r35	0.0	0.0	0.0	0.13	0.0	0.0
Vmn2r54	0.0	0.0	0.0	0.14	0.0	0.0
Vmn2r8	0.0	0.0	0.0	0.14	0.0	0.0
Vmn2r86	0.0	0.0	0.0	0.59	0.0	0.0
Wee2	0.0	0.0	0.0	0.12	0.0	0.0
Wfikkn1	0.0	0.0	0.0	0.27	0.0	0.0
Xlr3a	0.0	0.0	0.0	1.24	0.0	0.0
Xrra1	0.0	0.0	0.0	0.13	0.0	0.0
Zfp36l2	0.0	0.0	0.0	0.29	0.0	0.0
Zfp503	0.0	0.0	0.0	0.16	0.0	0.0
Zfp526	0.0	0.0	0.0	0.1	0.0	0.0
c17_LSU-rRNA_Hsa	85.6	86.22	40.58	1909.94	114.25	206.26
c1_tRNA-Gly-GGY	0.0	0.0	0.0	13.65	0.0	0.0
c7_5S	0.0	0.0	0.0	6.54	0.0	0.0
