	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Ctnnal1	0.0	0.0	0.0	0.0	47.52	37.63	0.0	0.0	0.0	4.11	14.25	65.2	0.0	0.0	2.43	0.0	0.0	0.0	0.42	0.38	0.17	0.0	0.0	110.43	0.0	0.0	12.31	12.28
Cybasc3	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	9.45	19.51	0.0	0.0	0.0	1.06	0.0	0.0	0.3	0.0	0.0	0.0	0.0	206.32	19.59	0.0	14.26	14.31
D6Wsu116e	0.0	0.0	0.0	0.0	1.2	60.99	0.0	10.73	7.72	5.38	17.64	11.25	45.7	46.04	25.55	0.0	0.37	721.42	0.54	0.0	0.89	0.0	0.0	180.56	20.42	42.03	69.44	67.4
Daam1	1.69	5.83	0.0	0.0	0.22	0.0	9.6	0.0	25.67	0.0	5.37	1.09	0.12	2.62	13.57	0.0	0.0	0.0	0.0	189.56	0.0	0.0	0.0	66.26	2.24	0.07	34.26	31.25
Ddx26b	0.0	0.0	0.0	0.0	0.34	0.0	11.18	0.0	35.56	64.3	20.35	4.87	44.2	5.65	3.09	0.0	0.67	0.38	615.01	0.0	653.2	0.0	0.0	231.55	10.4	0.11	37.71	34.58
Ddx56	0.0	0.0	0.0	0.0	0.0	68.59	55.5	55.28	51.79	42.85	18.76	47.94	3.59	67.86	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	293.31	42.49	0.0	24.22	27.61
Dek	0.0	847.67	0.0	0.0	233.26	35.27	0.0	69.09	0.0	161.31	22.58	68.33	15.55	36.06	18.51	93.89	0.0	20.59	551.35	0.0	0.0	0.0	0.0	284.75	32.83	0.38	48.02	39.41
Dnm1	0.0	0.0	0.0	0.0	11.22	65.89	75.92	46.15	11.85	37.8	36.26	33.46	69.02	133.85	64.19	0.0	0.0	0.19	0.2	0.0	0.0	0.0	0.12	80.62	33.52	0.11	785.48	840.55
Dpf1	0.0	0.0	0.0	0.0	21.7	4.76	20.12	26.29	4.34	36.01	24.66	25.38	16.89	12.73	26.55	0.0	0.14	2.9	0.0	10.05	0.0	0.0	0.0	88.99	42.82	0.18	47.74	50.08
Dync1li2	0.0	0.0	0.0	0.0	36.03	115.15	62.95	117.03	5.31	19.47	27.15	24.81	83.95	32.36	29.97	0.0	1.74	33.82	0.34	0.0	0.0	0.13	0.5	167.63	65.12	0.18	163.9	162.52
Eif1ax	0.0	0.0	0.0	0.0	1.46	125.31	60.93	331.83	83.79	1.43	166.8	125.12	206.34	1.3	191.61	0.0	0.72	0.82	0.0	0.0	1.45	0.0	0.0	543.44	29.54	0.47	137.07	128.4
Exosc7	0.0	0.0	1895.87	0.0	298.99	48.84	218.95	33.25	199.32	25.37	176.38	217.06	183.68	337.12	203.05	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	449.71	25.69	0.0	27.06	32.18
Fam164a	0.0	0.0	0.0	0.0	44.92	221.09	209.46	180.3	0.12	65.08	92.08	198.54	62.16	73.01	247.49	0.0	0.19	0.43	0.0	0.0	0.19	0.0	0.0	790.59	121.46	0.62	57.24	55.11
Fam171b	0.0	0.0	0.0	48.88	74.12	64.6	64.35	76.19	0.12	0.0	18.84	0.0	67.27	4.71	12.5	0.0	0.0	93.55	0.0	0.0	0.0	0.0	0.0	153.49	0.0	11.39	165.86	156.72
Fntb	0.0	0.0	0.0	13.95	2.03	76.61	29.45	30.24	0.0	0.0	16.51	0.0	49.06	28.89	0.79	0.0	0.0	0.0	0.3	451.68	0.0	0.0	0.0	286.19	4.29	0.81	22.84	25.08
Frmd3	3.98	0.0	0.11	1.07	0.82	0.63	1.62	14.45	2.52	0.73	12.07	2.05	1.09	1.09	4.64	0.86	0.89	375.97	1.26	4.01	0.0	0.23	1.74	135.23	0.85	2.29	5.51	4.81
G6pc3	0.33	0.0	0.0	0.0	0.85	54.46	0.0	50.94	19.71	4.18	56.63	99.97	0.0	0.73	47.47	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	222.92	71.45	0.55	55.45	53.58
Gatad2b	0.0	108.87	0.0	0.0	0.0	8.58	6.98	47.91	2.5	63.88	11.38	0.0	23.24	42.34	0.0	0.0	0.0	0.0	0.0	555.44	0.0	0.0	0.0	120.45	1.32	0.0	33.12	33.16
Gm10094	0.0	0.0	0.0	400.88	425.51	522.57	406.22	255.24	488.91	444.09	390.42	100.21	425.8	388.02	491.07	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	652.34	458.52	462.65	89.37	94.56
Gna11	31.24	0.0	0.0	0.0	161.87	0.0	13.08	149.33	0.12	38.66	33.79	24.36	0.0	23.41	0.0	0.0	0.3	0.22	24.56	0.0	0.39	0.0	0.0	197.73	49.46	0.25	93.39	96.94
Gnaq	0.0	0.0	0.0	0.0	3.19	52.54	51.43	16.26	60.2	3.09	41.11	12.43	15.91	54.69	34.13	0.49	1.11	29.65	0.27	0.0	1.48	0.0	0.25	120.65	41.41	0.71	101.65	91.77
Gnl1	0.0	0.0	0.0	0.0	0.0	1.72	0.0	0.0	0.0	1.08	6.98	0.0	2.03	54.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.85	119.14	0.24	0.0	139.48	150.8
Higd1a	0.0	0.0	0.0	0.0	149.5	516.34	386.75	454.88	617.53	371.3	533.98	662.58	256.18	357.77	111.21	0.0	0.35	3.15	3.33	0.0	0.69	0.32	0.45	1568.62	403.23	163.8	74.95	75.51
Hist2h2aa2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.16	1.08	0.0	8.09	4.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.8	0.96	0.0	0.76	17.27
Ints3	0.0	0.0	0.0	0.0	0.0	1.07	9.28	0.0	0.0	22.31	3.69	0.0	1.11	0.38	0.0	0.15	274.9	0.17	679.33	0.0	0.15	0.0	0.0	84.09	7.38	0.0	40.59	40.97
Itfg1	0.0	0.0	0.0	0.0	23.08	54.85	35.77	1.85	0.93	241.37	72.34	70.07	187.65	56.55	91.22	0.0	0.19	0.87	0.23	0.0	0.19	0.0	0.0	226.49	40.77	0.25	205.17	201.76
Kctd1	0.0	0.0	0.0	0.27	0.96	0.77	2.96	2.37	5.44	0.27	6.97	46.3	21.42	0.35	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.57	302.29	0.0	0.0	67.74	64.49
Ldb1	0.0	0.0	0.0	0.0	0.0	0.0	2.48	3.48	0.0	0.0	6.69	0.0	0.0	28.98	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	72.11	0.0	0.0	80.31	91.12
Lipi	0.35	0.0	0.47	0.0	2.62	5.67	1.65	4.6	5.18	3.07	3.58	3.6	9.01	8.58	2.92	6.81	3.45	18.33	14.79	5.83	3.49	1.22	1.34	8.4	4.28	3.66	5.24	2.66
Lta4h	13.57	0.0	0.0	0.0	0.0	134.61	75.68	55.08	92.47	86.66	14.89	0.0	1.02	25.44	5.28	0.0	0.16	0.36	0.0	0.0	0.31	0.0	0.0	295.69	120.32	0.0	41.83	42.66
Mad2l1	0.0	0.0	0.0	0.0	0.76	0.0	43.64	0.0	0.0	157.01	36.63	0.0	0.0	0.0	0.0	0.0	0.12	0.43	0.0	0.0	0.0	0.0	0.0	186.91	0.0	0.0	8.94	11.73
Map2k5	0.0	0.0	0.0	0.0	0.0	0.45	43.33	47.04	6.65	1.13	0.0	5.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.12	231.09	0.0	0.0	31.86	34.97
Map2k7	0.0	0.0	17.54	0.0	0.0	38.54	23.84	0.0	14.41	18.79	8.56	18.2	0.0	95.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.62	40.55	0.0	58.55	64.67
Mapt	0.0	0.0	0.0	0.0	178.97	123.82	36.67	48.1	47.06	31.28	27.65	29.07	35.23	32.6	18.4	0.26	0.24	7.22	0.59	0.0	0.37	0.0	0.0	194.48	169.9	1.03	238.54	239.35
Max	0.0	0.0	0.0	0.0	0.66	24.43	0.0	0.71	0.0	0.0	9.77	9.09	2.13	0.0	57.14	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	136.22	31.45	1.33	57.53	59.66
Mccc2	0.0	572.04	0.0	0.0	1.23	32.3	25.19	11.5	0.75	0.6	16.4	44.56	2.31	0.26	79.01	0.0	0.0	42.72	537.77	0.0	0.0	0.0	0.22	276.98	6.45	0.0	19.68	18.89
Mcrs1	0.0	0.0	15.03	0.0	165.13	21.67	21.56	17.18	0.0	0.0	20.85	0.0	69.82	1.25	21.52	0.0	0.0	0.41	444.02	0.8	0.36	0.0	0.0	243.58	0.0	321.41	78.31	89.12
Med23	0.0	0.0	0.0	0.0	0.26	0.41	27.62	36.38	0.4	47.64	28.06	0.98	15.27	85.63	0.0	0.0	41.77	0.0	0.0	0.0	0.0	0.0	0.0	154.88	35.23	0.08	25.82	24.94
Metrnl	0.55	2.18	0.51	1.46	123.77	0.42	0.27	0.31	9.03	30.6	8.36	4.13	52.76	1.53	2.38	1.67	0.4	481.45	1.85	1.61	1.12	3.13	0.19	108.36	33.94	0.4	6.05	5.43
Mir207	0.0	0.0	0.0	0.0	0.0	10.73	42.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.5	24.66	0.0	0.0	0.0	0.0	38.04	15.94	0.0	20.23	9.31
Mir690	18673.1	26828.41	18365.55	22720.97	30464.78	30528.33	39867.27	42000.18	28765.87	28695.45	11744.41	37370.15	37614.4	24336.09	32522.04	17241.06	27509.93	44948.68	42282.55	27759.51	24726.6	35532.88	23237.11	10997.04	48007.3	26597.61	1.35	1.29
Mllt4	3.65	0.0	60.33	0.0	3.64	7.65	3.15	25.26	0.05	21.1	7.05	25.18	4.8	3.63	70.11	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	74.61	1.91	0.06	42.53	41.5
Mmgt1	0.15	1.36	7.22	0.0	10.08	2.6	48.23	21.07	16.47	9.82	22.18	35.79	34.91	43.92	21.59	26.22	9.93	6.37	1.32	0.7	1.33	1.79	1.19	206.93	46.0	5.54	31.03	30.22
Mrpl46	0.0	0.0	0.0	0.0	558.54	161.1	252.36	210.22	9.51	5.12	174.64	29.4	198.52	215.23	190.45	0.68	0.0	0.0	10.11	0.0	0.0	0.0	0.0	499.3	399.59	0.0	38.17	38.64
Mrps9	0.0	0.0	0.0	0.0	0.93	34.92	105.2	68.75	20.09	176.89	104.22	12.82	11.52	170.41	85.11	0.49	0.0	98.63	0.56	54.28	0.46	0.0	0.0	470.74	0.0	0.0	39.58	44.17
Necab3	0.0	0.0	0.0	350.36	0.0	0.0	0.0	65.83	0.0	290.06	62.75	12.25	0.39	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	244.54	0.0	0.0	77.85	81.65
Neu1	0.0	0.22	0.0	0.32	16.39	1.89	16.41	28.55	0.88	16.36	4.82	51.34	3.77	73.6	1.66	5.19	0.67	0.0	0.0	0.55	6.64	6.56	1.9	147.67	1.37	4.09	33.45	35.47
Nfx1	15.42	0.0	0.14	0.0	30.11	51.74	41.81	40.25	8.95	18.27	40.87	21.6	40.22	81.57	6.59	0.46	4.33	0.62	5.5	60.53	0.37	0.0	0.13	247.18	76.99	0.27	43.49	42.7
Nme6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.64	0.0	0.7	0.0	10.26	0.69	0.32	0.0	0.0	0.0	0.0	0.0	0.0	207.99	81.91	0.0	6.6	6.5
Pafah1b3	0.0	0.0	0.0	0.0	0.0	47.07	172.7	0.0	0.0	49.96	76.68	0.0	0.84	0.0	0.0	0.0	0.0	1.76	0.0	1.71	0.0	1.44	149.51	265.9	0.0	1.0	17.06	14.09
Parl	0.0	0.0	0.0	0.0	0.0	138.34	57.54	56.89	13.71	64.21	62.92	6.9	38.82	0.43	65.97	0.0	0.0	0.0	0.0	1.1	0.5	0.0	0.0	211.24	104.39	0.0	32.72	32.18
Pcdhb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.31	0.0	0.0	3.62	4.36
Per2	0.0	0.0	0.0	0.0	3.73	0.0	0.0	0.06	0.87	5.95	13.56	27.76	8.85	0.75	0.0	0.0	0.0	449.53	0.0	0.0	0.0	0.0	0.0	34.2	2.42	0.0	20.12	18.62
Pole4	0.0	0.0	0.0	0.0	1.55	7.27	60.78	0.0	104.05	0.0	31.59	0.0	0.0	191.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.93	9.53	0.0	37.71	38.4
Polr2f	0.0	0.0	800.01	0.0	106.84	110.2	353.58	234.59	309.32	128.94	279.01	411.08	150.06	526.38	142.16	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	729.3	373.92	0.0	86.05	105.55
Ppat	0.0	0.0	609.93	0.0	0.0	1.17	23.39	12.2	0.1	0.21	5.2	153.2	46.28	28.77	12.69	0.0	0.08	0.36	0.0	0.0	0.0	0.0	0.0	143.53	53.14	0.1	13.04	13.23
Pxdn	0.0	0.0	0.0	0.0	46.82	0.0	0.0	0.0	0.24	32.29	9.98	0.0	0.1	0.0	0.35	0.0	0.0	0.0	0.12	0.0	0.1	0.0	0.0	34.67	0.0	0.0	38.49	35.82
Rab11fip5	0.0	0.0	0.0	0.0	0.0	12.66	0.0	3.69	0.0	0.0	1.38	0.0	0.0	16.66	0.49	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.09	90.67	0.0	0.0	47.04	50.24
Rbm42	0.0	209.83	0.0	0.0	0.0	0.0	10.37	53.06	0.0	20.67	9.1	0.48	0.0	22.82	6.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.55	34.2	0.25	60.46	68.37
Ryr2	0.0	0.0	0.02	0.04	18.13	17.42	9.72	1.72	22.21	12.75	11.62	13.76	16.42	24.47	3.33	0.0	0.03	0.18	0.13	0.07	0.04	0.0	0.0	128.17	4.47	0.02	51.84	45.32
Slitrk4	0.0	0.0	0.0	0.0	86.2	62.94	50.15	82.45	118.02	0.11	26.61	94.2	29.38	0.14	18.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343.13	43.61	0.42	20.02	17.36
Slitrk5	0.0	0.0	0.0	0.0	23.5	0.0	4.19	6.32	0.0	1.74	6.83	0.0	0.0	66.59	26.03	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	66.81	0.0	0.0	41.42	38.83
Smarca1	0.0	0.0	0.0	0.0	62.19	0.0	0.0	16.05	28.73	8.4	35.07	0.99	31.23	0.0	1.16	0.0	0.08	0.0	71.03	0.0	0.0	0.0	0.11	179.64	3.99	0.2	22.24	19.76
Smarcal1	0.0	0.0	0.0	0.0	0.0	58.38	17.24	38.13	0.0	5.29	13.48	0.0	28.36	8.01	1.29	0.0	0.05	0.11	0.23	0.0	0.28	0.0	0.0	139.23	0.0	0.06	28.41	26.9
Ssh3	0.0	0.0	0.0	0.0	111.17	41.36	0.0	16.53	13.86	43.75	11.2	18.14	0.0	173.91	26.18	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	118.51	0.0	0.0	29.63	30.64
Stx18	0.0	0.0	0.0	0.0	262.15	0.0	41.32	52.55	0.0	64.16	1.01	0.53	0.0	0.0	44.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.22	0.0	0.0	29.36	29.88
Stx3	0.0	0.0	0.0	0.0	0.53	0.0	17.97	0.0	0.0	0.0	20.65	34.64	0.0	121.14	20.92	0.0	0.0	117.47	0.0	0.0	0.0	0.0	0.0	186.8	0.0	0.0	33.96	34.94
Syt7	0.0	0.0	0.0	0.04	2.25	48.59	9.98	2.25	11.59	6.07	20.23	9.1	9.25	71.82	9.14	0.22	0.22	0.29	0.98	0.0	0.0	0.09	0.09	16.24	29.02	0.81	137.04	129.89
Tfcp2	0.0	148.67	0.2	0.0	0.0	47.57	24.11	2.06	30.74	14.15	12.38	22.55	39.8	84.26	24.52	0.0	0.0	0.0	0.45	0.47	0.0	0.0	0.59	71.78	9.59	0.13	16.65	17.53
Thy1	7.38	0.0	0.0	0.0	102.81	89.97	190.25	138.16	47.01	101.24	134.45	127.92	139.43	138.22	73.09	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	145.47	105.36	0.0	659.66	677.75
Tk2	0.0	0.0	0.0	0.0	38.01	0.0	0.0	0.45	0.0	3.29	0.65	0.0	6.01	1.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	248.71	11.03	0.36	38.39	39.25
Tm7sf3	0.0	0.0	0.0	1.22	0.0	1.83	33.14	24.09	8.64	0.13	2.73	0.0	13.21	18.88	0.1	0.2	0.29	43.64	0.23	0.0	0.78	0.0	2.35	102.63	0.0	0.25	28.74	34.41
Tmed9	0.0	0.0	0.0	0.0	582.36	138.86	87.33	2.68	79.06	8.04	36.19	76.89	0.98	0.39	179.14	0.48	0.23	713.53	0.0	118.08	0.45	0.0	0.0	513.18	69.81	0.0	133.59	139.15
Tsr1	0.0	0.0	0.0	0.0	0.0	2.71	2.52	0.0	0.0	30.94	2.5	5.16	7.01	23.06	2.87	0.0	0.0	0.0	40.83	0.0	0.0	0.0	0.0	274.64	2.41	0.33	34.46	31.44
Ube2g1	0.0	0.0	0.0	0.0	107.38	22.57	24.02	78.39	41.08	76.74	35.09	0.0	108.79	1.87	12.01	0.0	0.0	0.0	0.0	325.39	0.0	0.0	6.13	240.57	0.39	0.0	44.68	39.19
Ubxn11	0.0	0.0	0.0	0.0	0.0	76.08	0.66	4.85	0.0	1.18	10.67	0.0	0.0	84.76	30.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.54	0.0	1.45	11.38	12.23
Ubxn2a	0.9	0.09	0.81	0.41	1.25	57.16	9.19	0.33	0.24	0.43	8.28	2.03	92.75	0.51	0.53	4.05	1.07	0.49	3.24	1.16	0.0	1.01	1.57	140.97	0.95	0.0	48.43	41.2
Uchl1	0.0	0.0	0.0	0.0	87.28	471.56	384.94	359.98	218.09	369.56	325.69	156.57	467.79	86.25	751.47	0.61	0.29	0.0	0.0	543.7	0.0	0.0	0.0	719.31	412.88	1.49	895.01	1014.62
Unc79	0.0	0.0	0.0	0.0	0.14	0.11	13.13	17.95	0.39	5.73	11.8	7.23	4.26	13.27	0.75	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	83.39	1.72	0.0	25.25	22.05
Uqcc	0.0	0.0	0.0	0.0	0.49	56.22	29.1	150.14	1.03	6.67	24.18	0.0	0.24	1.87	25.38	0.0	0.48	0.55	0.0	0.0	0.24	0.0	0.27	263.34	74.15	0.0	41.14	42.41
Usp46	0.0	0.0	0.0	0.19	6.41	63.98	31.57	6.23	82.51	9.16	12.72	40.11	0.0	2.75	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	202.4	24.69	0.0	93.37	85.42
Wdr8	0.0	0.0	0.0	0.0	218.15	0.21	35.23	0.0	104.9	0.0	9.37	0.0	0.0	11.27	76.2	0.0	0.2	0.46	0.49	0.0	0.41	0.0	0.0	948.92	20.02	0.79	24.48	29.39
Zc3h15	4.17	41.15	0.0	0.0	199.18	128.14	121.41	133.46	69.59	65.26	105.66	8.76	223.09	148.68	198.59	0.0	0.33	0.38	0.0	0.0	0.0	14.75	0.0	355.07	166.46	0.21	117.71	114.71
Zfp148	0.0	0.0	0.0	0.0	29.6	17.4	36.7	18.29	18.99	8.53	25.39	11.44	1.75	53.98	68.9	0.0	0.0	0.08	150.01	0.0	0.0	0.0	0.0	133.24	71.94	0.0	32.48	30.04
Zfp352	0.0	0.0	0.0	0.0	2.3	6.29	0.97	0.0	4.2	0.0	2.07	0.0	4.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.68	0.0	0.0	1.31	1.52
Zfp57	0.0	0.0	0.0	0.0	181.83	0.0	0.0	0.0	26.76	234.3	111.17	0.0	84.35	0.66	0.51	0.0	0.0	781.94	593.98	0.0	0.0	0.0	0.0	165.18	0.0	0.15	9.81	11.03
Zfp748	0.0	0.0	0.0	0.0	173.04	3.5	31.51	0.0	42.48	0.0	16.84	0.0	176.01	0.83	0.0	0.0	0.0	0.0	0.17	11.37	0.0	7.08	0.0	234.18	0.0	0.0	7.34	6.18
Zranb2	0.0	30.55	0.0	0.0	161.1	295.03	117.85	300.15	111.9	311.89	277.69	244.39	207.55	41.56	74.31	0.26	0.12	2081.83	0.3	834.52	0.46	0.0	0.0	621.17	105.06	0.16	173.63	155.08
