	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_53	Cux2_tdTpositive_cell_56	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_37	Rbp4_tdTpositive_cell_16	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_85	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Atp6v0a1	202.7	115.56	124.31	416.99	18.62	121.97	70.55	36.11	298.61	104.17	38.14	119.91	127.45	107.45	167.88	111.58	107.84	140.35
Atxn3	0.0	0.08	0.08	58.56	0.0	0.0	38.02	0.12	0.0	0.0	171.82	0.04	0.49	0.0	0.0	10.02	10.34	7.92
Avl9	0.0	0.03	81.27	45.12	0.32	0.0	0.03	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	6.73	9.9	6.15
BC006965	4.51	1.77	1.63	197.11	6.04	1.38	2.14	0.36	41.73	2.38	4.25	0.26	51.89	1.03	0.65	3.44	3.29	1.49
BC017158	0.0	0.0	0.0	17.54	0.0	0.0	0.16	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	3.61	1.07
Bet1l	240.38	0.13	182.31	181.82	41.0	61.04	43.68	46.41	189.99	80.34	0.0	0.74	61.44	141.7	38.96	97.97	108.62	125.57
Blzf1	139.38	115.9	0.0	176.26	91.83	84.83	0.24	71.0	70.93	0.0	34.0	67.39	5.96	0.0	0.0	53.92	37.44	37.34
Bnip3	935.97	660.87	1258.31	1245.45	481.27	1069.12	617.08	1124.29	740.08	222.45	472.4	1034.7	1266.87	699.56	834.29	995.28	920.35	866.35
Cd46	0.0	0.0	4.42	54.62	0.0	65.49	0.0	0.42	0.0	0.0	0.0	0.0	0.21	0.0	55.78	1.52	1.17	1.77
Cdh6	0.0	0.15	0.0	93.24	0.0	0.0	154.05	44.93	79.06	0.0	0.0	88.77	0.0	101.48	241.1	5.33	1.31	7.66
Cdv3	371.66	8.67	19.52	143.08	3.29	64.91	29.62	7.12	31.92	307.11	0.0	118.55	120.53	162.73	79.38	94.39	104.55	101.85
Celsr3	0.0	18.24	0.0	6.28	0.0	0.0	2.89	0.01	0.1	3.48	0.0	3.01	0.33	0.04	0.0	1.42	0.44	1.66
Chd8	0.0	0.06	2.38	35.01	0.99	1.09	1.13	1.33	2.63	21.64	0.0	7.65	38.86	0.0	29.16	7.68	4.4	9.4
Chi3l1	0.0	0.0	0.0	30.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	2.27	3.13
Cmpk1	440.23	1.58	1.94	443.61	0.29	1.71	388.82	150.43	294.49	0.0	427.55	395.96	335.69	0.0	0.0	121.22	151.77	160.24
Cnpy2	0.0	0.1	107.34	145.53	0.0	72.39	0.58	28.98	0.0	0.0	346.0	187.7	94.12	1.38	149.5	74.66	61.1	57.76
Cope	505.83	692.34	376.28	1165.99	368.29	239.16	140.2	679.34	393.57	227.25	802.33	788.05	735.35	465.66	240.83	530.79	548.78	601.24
Coro2b	9.09	0.06	0.0	80.51	0.0	32.93	0.52	77.66	3.61	2.18	0.0	35.32	0.84	0.0	0.0	12.66	16.69	14.93
Crk	291.19	78.52	0.0	199.67	296.2	0.0	2.74	111.73	80.69	0.12	0.0	9.49	14.91	137.55	0.0	41.01	32.64	27.11
Ctps	0.57	0.37	0.0	220.1	6.68	0.0	5.71	9.61	47.25	0.0	87.94	243.28	64.65	15.81	61.26	21.4	30.4	27.61
Cx3cl1	236.53	34.14	254.61	330.9	35.96	18.16	20.38	18.93	135.78	19.11	100.43	159.52	48.3	6.28	4.72	89.52	102.77	95.96
D9Ertd402e	0.21	0.37	99.62	53.72	0.0	88.46	0.81	0.34	0.26	1.12	0.45	0.38	0.74	0.88	0.0	12.41	9.26	9.85
Eif2c4	0.0	0.0	0.0	20.51	0.0	0.0	1.48	53.96	3.78	0.0	0.0	0.0	0.0	0.0	0.0	0.86	1.15	0.58
Emd	208.34	181.14	0.0	100.49	0.0	0.0	0.15	0.0	1.99	20.04	0.0	0.0	7.83	80.95	0.0	2.82	10.01	4.37
Eno2	1048.15	472.18	582.74	1018.98	233.91	384.84	660.5	670.56	286.81	477.52	65.6	813.28	457.57	666.59	622.32	474.21	663.71	599.87
Epb4.1l1	0.73	4.1	0.75	35.21	4.68	1.37	0.9	11.79	9.69	3.29	0.0	4.9	18.65	0.0	0.0	13.27	14.82	12.03
Epha7	6.77	0.12	153.22	297.71	0.0	0.0	198.97	81.32	36.97	126.19	39.25	179.91	47.77	0.0	95.58	85.23	72.15	71.55
Fbxl6	0.0	49.2	0.0	65.53	0.0	80.59	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	4.76	4.68	4.72
Fdxr	0.0	0.0	0.0	79.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.75	3.56
Fgf14	364.58	290.11	354.99	261.84	0.0	187.67	524.76	106.09	144.37	470.82	254.61	113.43	141.35	30.61	23.09	304.13	191.21	201.64
Fnbp1	11.7	0.26	0.71	58.75	44.64	0.1	0.05	0.08	0.02	0.28	21.51	0.0	61.91	0.0	8.67	6.82	7.52	8.89
Gatsl2	0.16	6.91	24.13	137.06	0.0	0.0	0.12	0.0	10.82	35.89	45.72	24.53	48.9	6.03	0.89	8.66	10.78	13.06
Gm10012	0.0	23.53	9.28	35.57	0.0	5.41	26.65	19.27	1.35	7.61	61.79	2.27	19.62	0.0	0.0	1.86	5.87	1.99
Gm10421	0.0	0.0	0.0	25.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm11149	0.0	0.0	0.0	4.94	0.0	1.54	3.72	0.0	0.09	0.0	0.0	4.22	0.0	0.0	0.0	1.69	0.83	1.4
Gm14326	4.69	6.66	19.27	59.71	6.67	1.4	19.53	10.88	13.54	4.12	0.53	10.35	46.92	1.57	73.29	22.53	20.06	14.58
Gm14430	5.08	0.0	0.49	10.14	0.0	6.97	12.16	1.59	20.62	0.17	0.0	0.0	6.21	0.0	0.0	4.14	5.97	4.22
Gm14434	5.08	0.0	0.49	10.14	0.0	6.97	12.16	1.59	20.62	0.17	0.0	0.0	6.21	0.0	0.0	4.14	5.97	4.22
Gm3230	0.0	0.0	0.0	14.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.5
Gm3317	0.0	0.0	0.0	8.21	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65	0.88	0.92
Gm3494	0.0	0.0	0.0	8.21	2.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65	0.88	0.92
Gm4724	5.08	0.0	0.49	10.14	0.0	6.97	12.16	1.59	20.62	0.17	0.0	0.0	6.21	0.0	0.0	4.14	5.97	4.22
Gm9962	1.37	1.08	0.23	2.46	0.85	0.66	0.88	0.24	0.7	1.73	1.36	0.23	0.24	1.08	0.82	8.43	13.01	3.35
Gnpat	3.08	9.79	3.64	24.29	188.28	0.0	11.84	0.0	1.36	0.88	0.0	2.22	0.0	0.0	112.98	7.29	15.43	10.45
Gpr123	0.17	0.02	0.11	152.39	0.0	0.76	0.2	0.07	128.3	2.93	0.0	6.02	45.45	0.0	0.0	41.43	72.33	61.78
Gpr162	0.29	0.0	1.19	8.58	0.0	8.16	8.38	0.0	0.11	2.14	0.0	2.22	0.09	0.0	0.0	0.22	1.54	1.17
Gpr180	0.0	0.54	0.0	61.34	0.88	0.59	0.7	0.36	42.44	0.5	0.1	0.55	0.52	4.89	0.0	3.65	1.33	4.57
Harbi1	0.31	0.11	0.0	99.06	0.0	50.37	13.07	0.49	2.26	0.0	0.4	0.06	0.0	0.1	0.0	11.87	18.17	21.21
Hdac5	0.0	0.0	0.0	46.61	0.0	0.24	0.0	0.0	47.18	0.0	0.0	0.0	0.0	0.0	8.35	1.17	1.8	1.27
Hnrnpab	91.23	0.79	0.42	112.88	0.0	4.72	40.84	8.44	0.87	0.19	3.76	68.57	76.4	60.86	0.0	15.82	15.7	15.18
Hs3st5	85.87	0.0	0.0	9.3	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.35	5.77	8.92
Igsf3	0.0	0.0	1.01	26.68	1.4	2.2	0.05	0.02	24.61	47.56	0.0	0.03	0.0	0.0	0.0	5.63	4.73	2.71
Jun	0.0	0.0	0.0	15.26	0.0	3.41	0.0	3.92	0.0	0.0	0.0	1.79	0.0	0.0	0.0	1.87	0.86	2.39
Kctd6	0.0	7.29	56.69	109.27	0.0	0.0	0.0	113.11	5.37	243.79	0.0	0.0	190.06	0.0	129.42	15.8	13.34	4.92
Kctd7	21.39	0.0	0.0	40.64	0.0	0.0	0.04	59.31	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.56	2.08	4.52
LOC100642166	28.96	0.07	37.51	37.77	0.36	12.59	59.1	8.37	10.8	0.36	0.0	0.98	8.94	0.34	0.72	34.37	25.16	15.33
Leng8	5.66	4.41	0.18	21.76	0.0	11.04	19.26	22.55	15.09	49.12	11.05	33.42	7.52	0.17	6.19	4.41	4.95	3.77
Manbal	147.2	0.09	0.0	190.13	0.0	59.39	2.28	327.59	51.23	0.41	159.06	0.21	0.23	0.0	138.67	45.4	55.54	61.55
Map2k6	0.0	0.0	17.05	95.13	0.0	0.0	0.0	0.16	122.11	0.0	0.0	0.0	0.0	0.0	0.0	3.49	4.03	1.36
Mapk1ip1l	71.6	161.71	45.07	128.03	91.33	25.83	31.7	47.54	18.75	31.09	0.03	44.2	46.16	2.68	30.89	43.96	36.64	37.31
Med24	0.0	1.07	75.74	38.91	0.0	0.0	90.57	0.05	0.06	0.0	0.0	0.07	5.26	0.0	0.0	30.05	31.86	36.61
Mir703	0.0	57.21	27.57	74.32	0.0	89.98	7.12	0.0	91.48	0.81	0.0	15.13	31.11	33.73	20.37	5.85	32.72	39.8
Moap1	129.17	105.0	95.6	133.7	0.03	3.49	0.0	0.99	78.56	115.33	121.72	55.74	15.62	10.3	43.3	43.22	37.01	26.55
Mprip	30.82	30.16	32.35	64.26	46.44	9.75	1.25	10.23	1.97	0.76	41.12	12.17	9.72	1.86	0.39	20.08	14.26	19.98
Mrpl16	7.73	0.09	0.0	231.74	0.0	0.0	0.0	0.15	110.33	0.0	0.0	2.89	69.54	0.0	0.0	46.32	42.65	59.61
Nampt	1.67	123.02	0.0	58.93	0.0	134.54	79.76	0.07	7.72	77.04	0.0	1.84	6.63	0.0	174.17	53.27	40.45	37.86
Neurl4	0.0	0.73	0.0	46.74	0.0	0.0	0.65	5.69	0.02	0.0	0.0	1.05	0.69	0.0	0.0	7.32	2.49	3.37
Numa1	0.0	1.12	0.91	10.47	0.0	41.17	0.1	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	3.17	5.08	3.78
Pcdha10	0.0	0.0	0.0	97.22	0.0	0.0	5.12	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	8.53
Pde7a	0.0	0.0	0.0	34.59	37.43	0.0	2.07	0.0	4.39	0.0	0.0	0.0	0.15	0.0	0.0	4.49	4.86	4.03
Pdgfb	0.0	0.28	0.08	97.85	183.22	14.65	0.0	5.96	0.21	61.61	0.0	0.04	17.96	0.0	0.0	14.17	11.68	9.31
Pdha1	1.39	375.48	341.16	953.11	288.45	838.63	389.47	219.88	378.93	272.0	491.51	480.02	392.18	189.96	250.37	459.68	350.69	389.93
Pip5kl1	0.0	0.0	0.0	59.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.4	0.0	0.95	0.0
Pja2	507.09	419.35	146.41	553.8	462.03	321.71	525.62	591.01	171.6	68.63	603.52	210.75	207.35	153.71	255.37	434.29	304.47	297.3
Por	0.0	0.17	8.78	174.68	0.0	0.37	4.23	0.0	0.17	1.61	64.57	18.68	1.98	2.2	0.0	9.37	17.27	16.43
Ppm1e	0.0	0.05	0.04	90.96	169.49	20.96	0.52	60.96	48.43	0.0	0.59	0.21	0.46	11.27	0.0	29.49	24.98	21.89
Ppp4r4	0.0	0.0	0.0	33.76	0.0	0.0	0.0	0.05	0.0	1.31	0.0	0.0	0.0	0.0	0.0	4.51	6.23	3.28
Prosc	0.0	23.41	0.0	148.81	133.03	0.0	56.83	42.41	35.11	0.0	8.64	74.15	62.44	0.0	21.7	12.03	29.85	40.25
Prr24	0.0	46.08	0.0	40.21	2.64	0.55	0.0	0.6	0.0	0.0	0.0	0.07	0.0	19.54	0.0	0.9	2.28	5.24
Psmb4	5.89	0.11	0.0	278.49	420.46	120.43	60.77	180.87	80.49	0.0	183.06	169.18	98.35	7.9	0.0	26.24	121.31	102.98
Psph	0.0	0.07	0.0	58.56	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	68.33	0.0	124.57	10.86	13.21	17.92
Pum1	226.28	0.02	4.04	83.0	0.47	83.1	38.42	18.21	2.12	0.0	175.78	33.32	151.13	0.0	323.83	46.35	39.0	34.32
Rfx3	0.41	4.4	2.19	56.98	1.07	2.21	15.8	0.06	1.29	0.2	13.13	33.51	5.15	0.0	8.93	7.26	4.67	5.54
Rnaseh1	0.0	0.07	0.0	94.77	0.0	0.0	0.66	0.12	0.21	0.31	0.0	0.08	4.25	0.0	0.0	1.88	11.07	6.56
Scai	34.6	54.18	27.42	90.04	71.51	6.33	42.48	0.69	74.88	2.81	53.43	84.52	60.82	46.39	3.71	24.93	15.44	16.76
Scamp4	0.86	0.06	0.13	468.67	44.56	0.0	140.03	10.32	283.84	15.82	0.0	416.49	101.47	9.85	0.0	158.26	196.4	193.12
Sdha	509.78	802.59	446.47	1150.07	649.75	253.89	327.76	505.95	375.51	404.14	533.5	419.18	518.05	382.09	56.04	583.07	567.13	547.99
Sema4c	0.0	0.0	0.0	1.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sfxn3	264.97	523.46	84.87	487.18	5.76	95.16	46.66	275.98	142.53	34.08	198.41	317.85	329.64	413.91	159.09	187.7	177.18	189.87
Slc16a2	0.0	0.0	0.0	55.09	0.0	0.0	1.66	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.07	0.99	0.25
Slc2a3	146.31	8.24	98.97	377.42	229.4	0.0	27.51	0.08	99.28	123.62	0.0	79.55	59.99	86.27	69.03	97.82	79.36	104.2
Smarca4	0.0	2.59	0.0	50.76	0.17	0.28	0.76	0.83	15.52	14.26	31.09	4.92	0.0	1.19	1.48	8.7	7.58	7.65
Smg5	0.0	0.0	16.2	65.15	8.42	0.2	0.13	25.2	1.11	0.0	0.0	50.68	0.92	0.1	6.16	3.72	2.46	4.49
Smpd3	1.03	0.02	0.17	47.88	0.0	2.53	0.37	0.06	16.15	0.16	2.19	0.08	5.37	0.0	0.61	8.62	6.02	3.94
Snap25	26182.83	24880.43	23752.44	13362.04	25194.29	21262.24	24000.2	21827.11	21740.03	21096.18	25542.47	22725.47	21280.34	18219.59	20672.41	20846.74	19146.26	18964.09
Tpm3	562.06	295.69	84.06	425.28	219.79	89.81	102.51	117.83	132.83	141.31	454.68	214.35	305.79	131.79	145.64	221.8	182.55	188.08
Usp20	0.0	0.1	0.05	93.88	1.44	0.0	48.22	0.08	0.0	0.0	0.0	8.68	44.09	0.0	0.0	11.54	7.31	8.04
Wdr92	0.22	6.96	10.33	49.41	0.64	59.59	8.36	1.5	9.13	0.13	0.0	0.0	0.28	0.0	12.64	15.06	11.09	10.35
Wls	0.0	212.18	299.28	356.27	170.14	0.17	34.98	99.75	96.28	463.73	276.5	0.13	94.2	0.0	0.0	4.22	8.32	7.62
Wwp2	0.0	0.0	0.0	53.41	0.0	0.0	16.72	70.79	0.58	0.0	0.0	0.0	0.56	0.0	0.0	19.15	10.69	9.66
Zfat	0.0	0.0	0.0	19.88	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.41	0.08	1.48
Zfp385b	6.88	0.0	62.01	91.3	0.0	25.32	20.36	51.51	32.11	40.6	6.38	57.51	42.55	0.0	7.94	72.01	56.12	58.79
Zfp53	0.0	0.03	0.0	98.9	0.0	3.46	131.26	0.44	5.03	0.0	0.0	0.52	98.14	0.23	0.0	6.21	1.92	2.5
Zfp664	0.0	26.99	11.71	48.39	0.0	0.0	0.09	0.04	0.22	0.43	0.0	62.46	44.01	3.84	4.14	3.2	4.94	9.47
Zfp934	0.0	0.37	56.56	151.48	1.7	0.0	3.39	0.0	1.73	0.7	1.28	0.04	0.11	0.0	14.72	15.3	10.5	16.07
Zmym3	0.0	0.02	5.86	101.67	0.0	0.0	118.44	0.06	35.91	0.0	0.0	5.65	1.68	0.0	0.0	20.97	13.8	14.27
