	Calb2_tdTpositive_cell_50	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_8	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Cux2_tdTpositive_cell_24	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_39	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_12	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Bend4	0.08	0.0	0.05	0.0	0.04	48.55	0.0	0.0	0.0	0.39	0.09	0.24	16.33	0.12	0.11	0.1	0.0	0.0	0.0	0.07	27.72	2.61	0.0	0.0	321.09	0.0	0.0	0.22	0.0	19.95	0.0	0.11	0.0	4.68	4.2	4.27
Bzw2	0.0	0.0	0.0	0.0	91.96	309.69	0.0	0.0	0.0	2.57	0.0	0.0	37.89	82.79	137.29	59.49	86.13	0.0	2.26	127.07	47.16	80.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.44	371.5	0.0	0.0	41.77	42.85	38.9
Cacna1e	0.0	0.0	0.0	0.0	4.64	42.58	0.0	0.0	9.23	0.0	0.0	0.05	49.6	24.03	26.54	30.29	8.39	45.18	3.56	44.45	72.02	18.25	0.0	0.0	0.06	0.54	0.0	0.0	0.0	28.38	0.16	28.74	0.0	78.28	66.78	84.4
Ccl27b	0.0	0.0	0.0	0.0	113.94	95.61	0.0	0.0	10.7	0.0	0.34	0.68	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.0	49.16	0.0	30.63	28.29	22.96
Crocc	0.0	0.0	0.0	0.0	0.0	23.2	0.0	0.0	0.0	0.0	0.0	0.0	1.65	0.0	1.86	0.0	1.73	0.09	0.0	12.08	4.03	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.22	41.61	42.48
Cstf2	0.0	0.0	0.0	0.0	0.0	159.06	0.15	0.0	11.81	0.0	0.31	0.14	41.16	34.66	0.0	79.97	32.61	5.36	2.07	94.07	67.41	56.16	0.0	0.0	0.0	0.0	0.0	0.15	0.0	2.5	0.08	88.6	0.0	76.47	73.56	73.98
Cyfip2	0.0	0.0	0.0	0.0	204.9	168.44	0.0	0.0	176.88	0.0	0.11	0.65	183.11	95.86	228.93	73.97	85.24	91.62	33.51	101.87	98.5	35.96	0.1	0.0	137.19	0.24	0.0	0.1	0.0	83.94	0.22	346.97	0.0	420.97	405.91	440.68
Dazap1	0.0	43.47	0.21	12.45	21.48	22.52	0.0	0.0	1.25	0.0	3.81	6.08	6.05	0.91	15.76	3.62	1.02	0.0	16.19	4.3	1.37	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.81	0.0	39.7	40.38	40.89
Ddx55	1.18	1.38	0.17	0.0	104.24	155.79	0.8	0.22	0.67	25.65	0.0	1.0	0.91	2.2	0.66	2.64	12.04	19.96	1.24	31.82	11.75	2.78	1.57	2.64	0.15	2.42	0.41	2.46	3.9	88.39	2.0	2.72	6.05	21.72	21.72	21.82
Dlg1	28.56	0.0	0.0	0.0	178.39	572.03	147.71	0.56	137.86	0.0	0.0	12.22	177.42	62.73	107.31	55.02	59.87	54.32	94.0	113.47	103.55	26.32	0.0	0.0	124.57	3.51	0.27	0.29	0.0	153.87	0.24	115.01	0.0	109.25	98.77	107.43
Dnm1	0.0	0.0	0.0	0.0	286.55	4.98	0.18	0.0	11.22	0.0	0.18	0.0	65.89	75.92	46.15	11.85	37.8	33.46	69.02	133.85	42.49	64.19	0.0	0.0	0.19	0.2	0.0	0.0	0.0	33.52	0.0	396.56	0.0	785.48	840.55	821.55
Eef1a2	0.0	0.0	0.0	0.0	21.32	66.4	0.0	0.0	0.64	0.0	0.0	0.0	2.99	41.69	56.66	62.39	51.46	10.38	18.52	29.25	35.19	14.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.53	0.0	20.23	0.0	919.63	958.3	943.69
Eif3l	0.0	0.0	0.0	0.28	108.48	724.58	0.0	0.0	236.28	0.0	0.36	1.59	377.67	49.93	10.17	124.29	178.54	113.74	169.8	20.13	76.25	156.32	0.51	0.0	1244.01	8.24	0.0	82.46	0.0	145.26	501.49	57.24	0.0	66.03	74.05	64.64
Fbxl16	0.0	0.78	0.0	0.15	151.7	73.5	0.21	0.0	86.59	0.18	0.61	0.19	56.61	10.32	11.85	39.96	8.89	112.31	20.56	88.31	68.34	69.56	0.25	0.16	0.62	0.0	0.0	0.18	0.2	49.26	0.19	387.92	0.0	727.21	765.65	765.77
Fhad1	0.0	0.0	0.0	0.0	0.0	27.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.51	1.97	2.33
Fuz	0.0	0.0	0.0	0.0	0.18	65.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.27	0.0	0.99	0.0	0.0	0.68	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.0	0.63	2.96	0.0	0.0	15.93	17.43	16.78
Gas6	0.0	0.0	0.0	0.0	0.0	72.93	0.0	0.47	0.0	0.0	0.0	202.26	0.13	54.15	28.11	65.06	1.31	0.0	46.27	0.0	59.59	0.91	0.0	0.0	0.0	0.0	0.0	0.0	3.02	29.23	0.14	0.0	0.0	94.08	100.64	91.71
Gcnt2	0.12	0.0	0.85	0.13	4.99	268.24	0.0	0.33	0.0	0.0	0.0	0.0	3.02	0.0	0.0	0.1	0.0	16.87	0.0	0.14	17.63	24.51	0.06	0.0	0.0	0.0	0.0	0.0	0.0	16.14	0.09	94.6	0.0	24.49	23.67	23.19
Gm13306	0.0	0.0	0.0	0.0	113.94	95.61	0.0	0.0	10.7	0.0	0.34	0.68	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.0	49.16	0.0	30.63	28.29	22.96
Gm2506	0.0	0.0	0.0	0.0	113.94	95.61	0.0	0.0	10.7	0.0	0.34	0.68	54.72	30.68	0.23	50.62	21.3	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.0	49.16	0.0	30.63	28.29	22.96
Golga4	0.0	0.0	0.0	0.0	50.51	72.44	0.0	0.0	55.15	0.0	0.0	30.38	3.89	0.0	5.09	0.93	0.24	17.96	0.0	34.41	15.54	11.75	14.61	0.0	0.29	1.11	175.08	0.0	0.0	14.76	103.79	84.5	0.0	48.3	40.88	49.25
Heatr1	27.42	70.51	0.0	0.0	0.0	64.12	0.0	0.0	0.0	0.0	0.0	0.0	12.95	0.0	0.0	0.0	3.58	36.21	1.73	35.94	0.41	15.58	0.05	1.33	382.02	0.11	0.0	3.61	0.0	14.04	0.0	0.4	0.0	12.54	12.07	10.87
Hist1h2bq	0.0	0.0	0.0	0.0	0.21	0.11	0.0	0.0	0.0	0.07	0.0	0.0	0.24	0.0	0.58	0.09	0.0	0.87	0.0	0.6	0.13	0.2	0.14	0.0	0.15	0.18	0.0	0.4	0.0	0.08	0.0	0.31	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.0	0.21	0.11	0.0	0.0	0.0	0.07	0.0	0.0	0.24	0.0	0.58	0.09	0.0	0.87	0.0	0.6	0.13	0.2	0.14	0.0	0.15	0.18	0.0	0.4	0.0	0.08	0.0	0.31	0.0	0.38	0.28	0.38
Hist3h2a	0.0	489.99	0.0	0.0	90.37	152.4	0.0	0.0	232.96	0.0	0.0	0.0	5.3	38.85	0.0	0.0	0.0	29.99	34.23	72.3	44.88	0.18	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.77	44.93	43.69
Ift172	1.22	0.0	0.0	0.0	47.45	49.16	0.0	0.0	0.24	0.0	3.1	0.0	0.0	8.44	2.41	0.0	0.0	3.56	4.72	16.77	14.64	0.0	0.06	0.0	197.23	0.0	0.0	0.0	0.0	7.48	0.0	5.29	0.0	36.37	33.52	36.9
Kcnk2	0.0	104.66	0.0	0.0	105.0	455.73	0.0	0.0	2.74	4.6	0.0	0.69	1.63	0.0	0.0	0.46	5.67	8.77	20.22	82.98	1.71	3.19	0.1	0.0	0.22	0.0	0.0	0.0	0.0	86.83	0.21	19.87	0.0	49.18	51.42	47.87
Map2k2	0.0	0.0	0.18	0.0	0.0	64.8	27.53	0.0	0.0	0.0	0.0	0.0	1.57	0.0	10.85	4.03	4.98	55.19	0.0	0.64	3.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.93	11.75	0.0	60.47	69.16	67.5
Mapre2	129.7	0.0	0.0	0.13	165.03	710.33	0.0	0.0	91.31	0.0	0.51	1.19	105.29	124.49	97.65	108.49	62.67	66.93	36.41	94.25	26.02	52.69	39.19	0.0	631.1	1.56	0.0	0.81	0.15	89.92	267.61	66.98	441.63	190.4	183.42	180.76
Mir690	13250.05	26828.41	12459.42	16968.11	25738.25	8485.79	15339.94	22720.97	30464.78	15214.15	14412.59	19318.5	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	24336.09	23271.48	32522.04	27509.93	14320.25	44948.68	42282.55	11286.64	24726.6	35532.88	48007.3	17302.77	23496.94	12406.76	1.35	1.29	0.95
Morc2a	64.93	0.0	0.0	0.12	0.0	95.08	0.0	0.0	99.5	0.0	0.0	0.0	7.36	17.6	0.08	0.0	7.89	0.36	29.27	0.0	0.0	25.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.42	0.24	7.83	0.0	29.09	28.97	28.81
Mylk	0.0	0.0	0.0	0.0	0.0	5.16	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.32	5.24	5.33
Phactr1	130.1	0.0	0.0	0.0	90.99	478.64	0.0	0.0	105.94	0.0	0.18	0.83	58.57	141.23	129.64	152.7	142.46	43.93	33.58	86.9	38.13	87.99	0.28	0.0	0.28	0.15	0.0	0.83	0.16	61.34	0.45	144.88	0.18	250.29	240.7	240.9
Prmt2	0.33	0.0	0.0	0.0	0.0	839.3	0.0	27.19	1.27	0.0	0.0	0.0	0.17	100.84	99.34	139.11	2.08	0.0	13.7	25.53	4.46	106.1	0.16	0.0	938.18	1079.81	0.0	0.32	0.0	51.16	0.0	0.0	0.0	68.97	69.46	66.96
Ryr2	0.1	0.0	0.04	0.0	40.05	77.74	0.0	0.04	18.13	0.04	0.04	0.07	17.42	9.72	1.72	22.21	12.75	13.76	16.42	24.47	13.79	3.33	0.03	0.0	0.18	0.13	0.0	0.04	0.0	4.47	0.06	73.21	0.12	51.84	45.32	51.46
Sept9	0.0	0.0	0.0	3.55	20.72	204.41	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.16	0.0	0.27	0.14	0.0	0.0	55.79	0.0	13.77	0.0	0.0	0.25	0.0	0.0	0.0	0.0	11.08	0.0	14.31	0.0	47.07	49.95	49.54
Slc24a2	0.0	0.0	0.0	0.0	4.69	35.21	0.0	0.0	27.08	0.0	0.0	0.28	159.64	63.94	28.13	21.37	32.33	80.67	3.11	17.24	53.07	62.17	0.06	0.04	0.21	0.07	0.0	0.48	0.0	32.71	0.2	143.62	0.0	186.31	165.34	192.36
Snord116	0.0	0.0	0.0	0.0	8.03	0.0	0.0	0.0	35.0	0.0	0.0	0.0	5.77	12.39	3.1	0.0	19.25	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	10.89	0.0	1.22	1.15	1.9
Snord116l1	0.0	0.0	0.0	0.0	8.03	0.0	0.0	0.0	35.0	0.0	0.0	0.0	5.77	12.39	3.1	0.0	19.25	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	10.89	0.0	1.22	1.15	1.9
Snord116l2	0.0	0.0	0.0	0.0	8.03	0.0	0.0	0.0	35.0	0.0	0.0	0.0	5.77	12.39	3.1	0.0	19.25	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	10.89	0.0	1.22	1.15	1.9
Sorcs1	0.15	0.86	0.0	0.18	8.33	68.55	0.0	0.0	19.0	0.0	0.0	0.0	48.56	35.98	106.25	0.37	3.06	1.18	1.69	15.15	52.94	0.0	0.52	0.0	0.0	31.47	1.01	0.39	0.67	5.45	0.08	0.72	0.16	22.98	19.94	24.33
Sprr2a1	0.0	0.0	0.0	0.0	0.77	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.36	0.88	0.86	0.07	1.29	0.1	2.56	2.09	0.2	0.0	0.0	1.82	0.0	0.0	0.25	0.0	0.09	0.0	2.0	0.0	0.08	0.25	0.13
Sprr2a2	0.0	0.0	0.0	0.0	0.77	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.36	0.88	0.86	0.07	1.29	0.1	2.56	2.09	0.2	0.0	0.0	1.82	0.0	0.0	0.25	0.0	0.09	0.0	2.0	0.0	0.08	0.25	0.13
St6gal2	0.0	0.0	0.0	0.0	0.0	94.15	0.0	0.0	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.88	0.0	14.16	11.91	16.59
Sv2b	0.0	0.0	0.0	0.0	250.41	157.93	0.0	0.0	1.21	0.0	0.0	0.11	186.25	125.65	183.33	42.47	69.62	136.84	13.88	158.8	272.24	96.13	0.18	0.0	0.67	0.0	0.0	0.48	0.0	167.42	0.53	300.77	0.0	302.25	285.41	283.79
Syn2	0.0	0.0	0.0	0.0	320.41	286.97	0.0	0.0	68.82	0.0	0.0	0.31	40.87	21.48	41.39	61.21	77.04	43.95	43.85	141.38	90.5	56.76	0.08	0.0	0.19	0.2	0.0	0.5	0.0	82.83	0.27	476.17	0.0	385.63	397.76	386.53
Tceal1	0.0	0.0	0.0	0.0	351.36	507.46	0.0	0.0	170.17	0.0	0.0	0.0	103.35	48.2	38.11	108.51	209.79	230.35	301.02	149.95	124.17	85.07	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.87	0.0	53.8	58.73	49.16
Tnks2	0.1	0.0	0.0	34.51	0.28	75.67	0.0	0.0	2.37	0.0	0.0	22.51	9.65	0.5	3.43	13.86	11.55	49.21	0.0	52.74	10.64	3.82	0.1	0.0	125.77	4.6	0.0	0.0	0.0	27.7	0.0	6.97	0.0	72.37	67.98	67.4
Trub2	0.0	0.0	0.0	0.0	0.0	186.14	0.0	0.0	0.52	0.0	0.0	18.59	0.0	3.38	0.0	0.0	0.0	80.48	3.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	22.14	23.54	21.89
Usp25	0.0	0.0	0.0	9.8	0.0	85.89	0.0	0.0	2.04	0.0	0.0	0.0	15.1	0.0	43.95	1.5	0.0	24.06	0.0	0.0	0.12	24.11	0.0	0.0	0.0	0.35	0.0	0.14	0.0	0.0	3.3	6.56	0.0	21.94	20.91	20.23
Wbp2	0.38	0.0	0.0	0.3	714.97	1031.98	0.0	0.0	239.84	0.0	0.0	19.21	410.7	401.74	433.46	101.78	321.66	234.82	106.36	323.43	113.79	412.95	0.54	0.21	2.06	3.92	0.0	2.54	0.0	84.34	187.7	511.26	0.38	373.86	406.35	394.59
Zfp286	0.0	0.0	0.0	0.0	0.0	149.94	0.0	0.0	0.43	0.0	0.0	8.54	2.69	0.0	0.0	11.11	0.0	0.0	0.0	0.0	1.32	0.0	0.11	0.0	317.35	0.26	0.0	0.0	0.0	114.05	34.01	0.83	0.0	12.14	11.58	12.5
