	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_8	Chrna2_tdTpositive_cell_71	Chrna2_tdTpositive_cell_81	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_60	Gad2_tdTpositive_cell_79	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_41	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_50	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_75	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_80	Htr3a_tdTpositive_cell_102	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_5	Ntsr1_tdTnegative_cell_16	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_15	Vip_tdTpositive_cell_1	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
BC046404	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.68	0.0	0.0	0.0	0.0	330.45	12.28	16.0	15.51	14.91
Camk4	35.94	1.9	51.46	1.79	0.96	4.84	1.77	2.56	30.08	0.03	31.26	17.0	2.91	1.81	0.64	4.84	1.83	1.1	1.74	42.91	4.94	6.62	32.86	15.38	88.86	6.91	1.85	1.01	1.38	1.22	1.79	0.0	102.21	0.66	28.92	0.72	1.43	1.78	0.06	32.28	59.3	69.62	59.4	72.95
Ccdc75	0.69	0.56	3.1	20.14	2.86	0.59	0.96	1.68	0.99	0.0	0.0	4.77	1.1	185.39	4.11	5.45	24.57	3.45	1.97	35.02	1.74	2.3	42.34	33.56	32.08	14.96	4.58	2.18	0.52	66.13	0.13	0.0	55.16	0.0	24.0	0.49	132.06	4.43	124.05	318.62	21.51	16.92	16.98	16.92
Cd200r2	14.81	2.47	6.71	2.13	1.82	3.01	7.37	15.01	7.12	0.0	7.62	23.66	23.13	21.38	9.9	7.5	2.06	2.89	11.78	8.27	15.61	14.1	13.1	21.86	14.44	5.0	10.71	5.9	2.0	0.58	0.59	0.0	17.61	4.76	12.03	5.59	0.0	8.41	0.0	35.5	4.62	2.29	1.28	2.33
Chac1	0.2	97.97	0.0	0.0	20.06	0.0	0.0	283.87	176.45	0.0	58.07	57.23	157.94	0.0	0.0	232.37	0.0	72.58	0.0	0.0	0.0	200.57	0.0	12.38	0.0	0.0	0.0	0.0	7.09	0.0	0.0	0.0	0.0	0.0	6.7	0.0	0.0	0.0	0.0	771.59	8.5	9.97	11.84	13.31
Chd8	0.59	0.22	0.0	1.65	7.95	0.22	0.0	6.66	11.53	0.0	0.0	1.04	0.0	0.0	0.42	34.54	0.0	11.76	0.0	0.78	0.0	0.0	1.16	49.03	0.05	64.12	5.13	20.49	33.98	0.0	0.26	0.0	0.05	0.0	4.3	0.94	0.0	0.0	0.05	123.54	7.68	36.68	34.06	35.86
Chst1	120.84	0.0	5.38	116.86	0.0	79.89	0.0	108.26	4.92	0.89	0.0	36.78	0.3	0.37	0.56	24.67	98.64	41.58	1.0	53.95	0.15	0.36	118.05	0.0	14.0	0.0	4.62	0.0	56.11	0.0	0.0	0.0	6.42	0.0	37.53	0.0	0.0	0.91	0.0	328.27	15.8	206.13	226.17	215.2
Cpne9	2.54	1.73	0.84	1.58	0.0	0.36	0.0	2.31	2.98	0.0	0.47	177.06	2.15	0.69	0.82	1.7	3.32	1.24	1.35	1.44	0.17	5.08	1.88	0.19	3.52	0.48	0.34	0.55	0.84	0.37	0.55	0.0	1.19	0.0	10.0	0.0	1.12	1.35	0.0	3.9	2.78	41.51	35.51	40.38
E330033B04Rik	99.4	54.74	0.23	0.9	4.38	0.73	0.5	0.77	45.01	0.0	8.35	179.07	112.61	0.62	155.22	0.71	35.13	31.76	1.29	0.14	0.79	66.7	1.04	0.58	1.7	24.77	53.79	44.66	0.13	0.0	0.95	361.41	66.08	0.41	32.09	0.7	0.66	0.2	0.0	282.0	19.57	2.47	1.66	2.42
Eef1a2	0.22	34.33	3.47	0.16	2.97	15.53	0.0	0.0	1.92	0.0	1.2	0.75	8.75	0.0	0.0	39.09	4.92	0.48	0.13	0.18	2.08	3.01	1.52	62.33	0.19	0.32	0.19	0.0	4.71	0.0	0.0	0.0	1.67	0.0	24.47	0.0	0.0	0.25	0.18	11.86	23.21	919.63	958.3	943.69
Epha5	0.04	0.17	0.2	112.69	90.06	12.55	2.76	0.84	0.0	0.0	3.31	60.13	0.0	0.0	65.35	0.2	0.0	0.0	0.0	45.28	0.0	4.9	80.61	124.83	229.74	1.38	7.44	0.06	0.03	0.0	0.0	0.0	1.24	0.0	31.9	0.0	0.2	78.05	0.0	156.61	7.44	31.45	28.84	31.32
Fam168b	0.06	0.12	114.37	0.63	0.0	78.47	0.5	5.74	60.87	0.0	0.0	49.5	74.31	110.83	6.5	21.65	84.48	123.72	27.13	0.07	0.08	64.24	0.14	116.77	72.99	77.25	1.85	30.36	53.79	0.0	0.0	0.0	1.17	0.0	9.22	0.0	19.06	0.0	0.0	306.79	25.23	190.42	187.9	191.71
Fam3c	201.14	46.73	23.24	94.49	241.65	88.25	56.69	172.1	113.26	37.87	32.25	209.5	100.9	52.56	33.05	53.92	147.57	50.6	181.52	80.63	69.39	104.44	429.89	66.83	66.79	12.67	74.92	112.69	34.06	5.82	0.0	0.0	1.86	0.0	93.87	1.53	0.75	37.43	69.17	447.74	46.94	56.43	56.61	53.1
Fjx1	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	13.91	0.0	0.0	3.46	0.0	0.0	0.0	34.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.0	38.15	0.25	73.38	79.2	83.24
Gm9159	60.0	69.11	47.41	58.29	18.96	26.8	21.33	73.82	23.0	0.0	53.35	85.88	80.3	11.56	58.78	64.87	35.69	46.74	36.27	8.21	44.98	112.19	58.89	93.6	118.24	10.22	53.96	16.31	23.77	16.55	2.96	49.47	43.69	11.25	42.23	7.11	19.35	32.75	0.74	163.53	27.2	12.33	9.62	14.07
Grin2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.71	5.91	0.0	2.36	0.0	0.0	0.0	115.78	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	8.26	0.0	0.0	0.0	0.0	83.38	5.18	34.45	27.49	46.14
Grk1	4.39	5.89	1.56	1.45	0.44	2.17	1.93	4.24	4.74	0.0	0.52	4.6	11.79	1.15	3.65	2.0	3.22	1.14	4.84	2.72	4.16	5.28	2.87	0.54	13.7	3.87	7.57	1.9	1.86	3.78	0.25	0.0	2.96	5.91	5.63	0.41	0.52	4.54	0.19	18.05	2.86	0.89	0.76	1.05
Iah1	0.0	0.0	0.0	0.0	0.0	40.52	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	206.38	0.43	0.0	135.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.93	0.0	0.0	0.0	0.0	336.41	21.79	13.74	16.47	14.2
Igfbp4	256.3	0.0	0.0	0.0	0.0	14.3	0.0	0.0	0.0	0.0	24.55	75.89	38.55	0.0	0.0	0.0	0.0	0.0	176.02	0.0	0.0	0.85	133.5	1.33	217.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.28	0.0	0.0	4.28	0.0	199.81	88.72	73.25	85.29	82.9
Ighmbp2	1.52	1.41	0.99	0.2	0.07	0.16	0.16	1.09	0.19	0.0	0.33	1.62	2.08	0.97	44.17	0.94	0.52	0.2	0.45	0.13	0.85	1.21	0.67	2.31	2.51	0.51	0.76	0.45	0.83	0.0	0.47	0.0	3.73	0.0	0.85	0.0	0.15	0.21	0.0	2.3	1.06	6.15	6.87	6.15
Khdrbs3	148.53	0.95	0.0	3.07	0.65	114.65	0.0	2.6	2.35	0.0	38.17	3.38	2.59	0.0	0.23	206.37	1.16	14.69	13.97	155.15	204.55	135.6	109.51	8.26	74.14	1.71	1.45	0.65	1.31	0.0	0.0	0.0	4.75	0.0	156.81	0.0	4.15	280.66	6.19	543.52	156.3	170.44	167.93	173.76
Lrp4	25.49	0.0	0.38	0.53	0.0	0.53	0.0	0.0	0.17	0.0	22.66	1.36	0.77	1.29	0.18	52.63	0.4	10.92	0.13	0.11	0.0	1.37	12.74	21.41	3.59	0.33	2.28	0.0	0.45	1.17	0.14	1.56	0.0	0.73	2.8	32.25	0.05	0.16	0.0	20.59	1.63	14.58	15.12	16.01
Mid1	3.37	0.0	0.13	0.0	0.0	0.21	0.0	0.0	0.0	0.0	3.11	0.0	0.0	0.36	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	13.08	0.23	12.92	22.49	31.82
Mybpc1	289.61	0.0	0.0	0.0	186.03	272.92	0.0	0.0	0.0	0.0	68.3	235.02	1.23	0.0	0.0	51.47	302.0	0.0	351.51	261.13	0.0	588.05	296.75	301.57	543.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.11	0.0	622.84	0.0	3.12	3.04	3.48
Myo5c	0.35	0.0	0.08	0.0	0.0	0.05	0.0	0.09	0.2	0.0	0.0	0.33	0.32	0.02	0.13	0.06	0.3	0.15	0.04	0.0	0.26	0.26	0.29	0.19	0.13	0.05	0.15	0.11	0.04	0.0	0.0	0.0	0.59	0.0	2.06	0.0	0.2	0.18	0.0	0.58	0.18	3.22	2.07	2.65
Ncf1	2.85	5.24	5.1	0.35	0.35	1.51	1.33	4.43	3.16	0.0	3.12	6.48	12.1	1.82	5.38	2.36	1.58	3.94	3.66	0.76	3.87	3.67	5.33	4.04	9.44	1.48	6.65	1.46	0.4	2.54	0.0	0.0	4.03	0.91	4.66	0.53	1.57	1.91	0.0	4.62	1.74	9.87	9.09	9.17
Nol11	72.27	4.33	0.9	0.82	0.05	0.31	0.92	1.25	19.96	0.0	2.02	2.19	4.43	1.22	104.1	0.12	2.29	1.36	1.21	69.53	148.36	1.02	7.1	2.45	1.3	43.82	2.77	101.51	0.93	0.61	1.74	0.0	1.17	0.45	30.02	0.21	1.63	38.73	0.0	291.02	45.27	21.21	22.13	20.84
Nufip1	0.16	0.67	0.25	0.6	0.0	0.4	0.0	2.32	0.83	0.0	0.54	1.02	1.68	3.83	1.87	0.25	0.57	0.08	0.13	0.18	0.12	1.0	0.65	1.14	1.08	60.75	0.63	0.0	0.0	0.0	0.17	0.0	0.95	0.13	16.23	0.42	0.3	0.41	0.09	2.13	4.85	8.8	9.06	8.07
Oas1b	0.94	0.0	0.31	0.93	0.0	0.15	0.0	0.0	0.37	0.0	2.19	0.63	1.24	0.65	0.43	3.38	1.36	0.54	1.78	0.0	0.0	1.83	2.14	2.14	2.31	0.28	1.14	0.09	0.37	0.0	0.0	0.0	3.21	0.94	1.56	0.38	0.78	0.74	3.46	8.2	0.87	2.98	1.86	2.78
Pde2a	78.04	0.15	93.46	0.0	8.6	35.41	0.0	0.0	0.24	0.0	0.09	134.75	39.03	0.0	138.1	106.88	266.48	96.58	154.17	89.74	0.0	98.26	205.2	216.77	0.19	0.0	118.78	37.02	149.51	0.0	0.0	0.0	4.47	0.0	39.21	0.0	11.15	0.76	0.0	318.33	81.1	301.14	298.57	313.65
Pip5k1a	0.12	0.0	183.28	0.0	0.0	69.43	22.91	59.61	102.89	0.0	0.0	305.92	0.0	0.0	0.0	0.0	0.0	23.12	0.0	0.0	12.85	145.71	4.06	71.59	0.15	0.0	22.18	34.3	0.0	0.0	0.0	0.0	36.19	8.93	11.25	1.75	0.0	0.0	0.0	235.95	26.29	49.38	49.47	46.82
Ppfibp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07	0.0	0.0	0.0	0.0	0.1	0.92	22.21	22.49	23.71
Ppox	0.68	0.0	0.0	0.0	0.0	136.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.69	0.24	0.0	157.09	0.0	0.0	0.0	2.58	0.38	0.0	0.0	0.0	109.14	0.0	218.62	169.38	0.0	0.0	0.0	0.24	0.0	16.22	0.0	0.0	0.0	0.0	435.45	12.59	20.65	23.95	22.68
Prkcb	178.39	24.55	0.35	21.24	54.11	79.08	37.78	116.23	39.35	0.0	32.52	182.47	185.65	22.23	2.48	52.61	44.17	45.08	52.95	232.71	40.2	29.1	55.92	128.93	33.71	91.5	16.49	36.45	0.12	0.21	1.11	0.0	196.93	0.0	117.39	0.0	0.18	175.32	0.13	62.29	279.7	360.87	341.57	387.59
Prpf8	0.0	0.55	80.9	39.14	0.0	3.82	0.13	61.79	19.84	0.0	0.0	19.92	87.38	0.0	25.32	28.88	0.0	89.55	89.53	40.11	0.0	42.7	1.49	0.0	1.85	57.86	85.22	0.0	28.93	0.0	0.0	0.0	0.56	0.0	27.45	0.0	3.95	106.55	0.35	346.86	15.24	85.01	87.82	87.55
Prrc2b	8.46	0.0	0.95	46.27	0.0	58.59	44.89	0.07	4.17	0.0	0.2	83.86	0.0	0.71	0.24	1.06	11.23	0.0	0.0	0.0	0.44	43.93	0.24	17.55	2.2	29.71	59.83	0.0	30.82	0.0	0.0	0.0	63.91	0.0	9.91	0.0	0.05	21.6	0.0	78.99	16.39	152.07	147.26	157.09
Rap2c	0.0	100.95	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	141.96	0.0	0.0	0.0	25.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.05	0.0	0.0	0.0	0.0	184.22	5.7	28.98	27.75	28.6
Rhbdd2	3.38	3.42	2.39	2.14	1.67	0.6	0.0	5.25	1.17	0.0	15.08	6.09	4.64	6.54	0.1	4.62	0.96	1.48	0.34	1.62	0.07	3.36	4.9	2.33	7.22	0.08	3.54	0.13	1.74	0.09	0.0	0.0	3.38	0.0	25.39	0.26	0.0	0.55	0.0	21.73	10.51	41.7	42.13	41.64
Rnasel	2.06	2.12	2.15	3.58	0.09	92.07	2.51	4.88	4.37	0.0	0.91	7.48	5.19	3.17	4.07	1.2	2.83	2.82	2.46	1.87	2.67	6.03	6.79	3.31	7.92	2.68	85.13	0.63	3.16	1.95	5.21	0.0	25.6	1.55	3.13	0.29	0.43	3.76	0.22	7.69	8.26	8.39	7.52	8.53
Sae1	148.57	0.0	1.66	0.0	314.12	5.89	1.78	1.31	0.0	9.27	260.48	249.86	0.0	4.81	3.56	0.0	196.63	178.41	0.0	0.0	4.56	24.49	3.79	0.0	0.21	0.17	254.99	0.44	165.15	0.0	0.0	0.0	243.1	0.0	58.69	0.0	0.22	20.88	0.0	622.97	149.82	108.8	108.19	100.58
Serpinb8	0.17	0.0	0.17	0.0	0.0	0.12	0.0	1.85	0.21	0.0	0.0	1.89	0.0	1.26	1.69	0.39	0.16	0.91	0.31	0.11	0.13	0.39	1.21	3.18	1.54	0.65	0.65	0.24	0.18	0.11	0.0	0.0	0.15	0.2	0.35	0.0	0.0	0.17	0.0	2.42	75.75	8.17	7.96	8.75
Sfxn3	2.89	149.72	118.09	73.35	194.06	215.7	50.75	10.69	33.68	0.0	11.56	752.47	11.08	3.34	184.4	152.69	196.4	117.83	5.37	0.13	248.25	265.13	147.33	97.11	1.34	110.42	44.38	1.62	2.62	7.7	9.9	0.0	13.17	0.2	59.27	1.29	180.04	0.24	22.37	638.44	187.7	106.95	108.33	106.28
Slc22a15	0.11	0.39	0.37	0.59	0.26	0.98	0.0	0.18	0.22	0.21	0.16	51.45	0.44	0.2	0.36	0.38	0.2	0.58	0.0	0.21	0.58	22.65	0.26	0.0	0.28	0.2	0.7	0.08	0.13	0.0	0.09	0.0	0.25	0.1	1.49	0.32	0.12	0.58	0.06	36.2	1.85	3.35	3.81	3.78
Slc35c2	0.0	0.32	0.0	4.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.34	0.0	0.0	0.0	0.0	0.0	189.77	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	19.48	0.0	0.0	0.0	0.0	317.85	15.16	49.75	54.02	49.06
Snora17	0.0	0.0	33.91	0.0	0.0	4.82	0.0	16.01	0.0	0.0	0.0	84.83	0.0	0.0	0.0	14.76	0.0	60.74	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.79	4.0	4.06	1.93	11.68
Snrnp70	20.62	16.6	10.49	23.15	0.0	25.82	3.12	18.83	13.91	0.0	39.72	42.89	16.37	16.02	74.64	5.7	15.89	13.36	16.22	12.67	10.46	12.65	15.28	39.46	13.35	2.38	0.0	9.37	15.41	0.0	0.0	0.0	216.28	1.62	29.0	0.0	16.73	19.15	0.23	210.89	20.14	247.69	260.7	259.94
Stac2	3.99	0.0	0.0	0.0	0.0	91.95	0.0	128.05	85.69	0.0	0.0	0.17	28.28	0.0	154.0	102.68	3.98	2.78	135.07	0.0	168.22	56.47	186.67	204.83	415.37	95.89	2.6	0.0	81.84	0.0	0.0	0.0	0.0	0.0	25.0	0.0	9.28	6.27	0.0	431.27	14.84	75.0	77.02	85.87
Tab3	0.0	41.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.78	0.0	0.0	0.0	0.0	84.84	5.74	11.96	9.75	10.57
Tmprss11g	0.94	1.65	0.45	0.95	2.27	0.41	0.19	1.04	0.84	0.0	1.96	3.78	1.29	3.41	3.22	1.46	2.25	1.89	2.13	0.76	1.29	2.02	2.56	2.9	3.32	1.15	1.9	0.97	0.2	0.0	2.27	0.0	3.32	0.57	2.36	0.0	0.3	1.34	0.0	6.79	0.24	0.79	0.58	1.01
Trmu	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	235.79	0.0	0.0	0.0	165.36	0.0	90.6	0.0	0.0	0.0	2.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.89	0.0	0.0	27.26	0.0	307.97	21.58	16.82	17.41	17.76
Uhrf1bp1l	0.07	14.73	0.0	0.13	0.0	2.87	0.0	13.75	0.0	0.05	0.05	0.04	111.79	0.89	0.0	82.41	13.38	0.05	0.0	24.05	0.06	43.14	0.1	0.56	0.11	0.0	0.0	0.0	0.48	0.0	0.0	0.0	94.05	0.0	28.07	0.0	0.19	0.0	0.0	164.27	20.14	44.11	41.55	45.06
Vip	20048.18	24688.7	27223.39	32658.1	48402.26	35690.76	22508.45	26835.38	17526.53	0.0	42738.55	20043.81	13833.32	25538.7	39789.49	34420.5	53179.5	32676.37	22309.91	46837.05	32241.62	12608.74	20217.1	26385.26	23865.54	19135.39	22500.8	20201.33	19815.22	0.0	0.36	0.0	24233.05	0.0	364.43	0.0	19024.52	17206.39	6881.82	14881.0	0.4	44.81	42.4	44.71
Vps37c	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.82	0.0	107.82	0.0	0.0	177.22	108.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.47	0.0	0.0	0.0	0.0	304.22	8.55	23.78	24.48	25.18
Zfp385c	1.98	0.0	0.23	0.53	0.0	0.44	0.64	0.31	0.99	0.0	0.42	1.83	1.64	1.8	1.97	0.14	0.78	0.38	0.37	0.28	0.23	0.72	0.7	1.95	1.0	0.27	1.84	0.16	0.31	1.5	0.0	0.0	0.0	0.3	0.96	0.44	0.45	0.36	0.0	2.92	0.8	0.35	0.4	0.47
Zfp454	32.74	0.0	0.0	0.0	0.0	0.0	227.71	0.0	0.0	0.0	0.0	318.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.89	0.0	0.0	0.0	0.0	293.47	2.63	4.34	4.2	5.07
