	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_10	Ndnf_tdTpositive_cell_10	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_17	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Paqr5	0.53	1290.96	573.63	0.52	0.08	0.0	0.17	0.0	1.39	1.03	0.0	0.63	0.05	0.3	0.9	2.22	2.86	1.73
Pfn1	0.98	223.71	373.58	40.2	129.09	0.0	55.34	41.94	0.0	0.0	0.0	0.0	42.72	0.0	0.0	226.7	228.79	213.61
Plekhf2	2.86	51.83	26.68	0.0	0.0	0.0	19.06	0.23	0.25	0.0	0.0	0.0	0.0	0.0	0.0	7.22	6.12	6.48
Pltp	6255.14	7646.71	7978.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	66.55	71.32	70.09
Ptbp1	0.0	161.98	154.72	0.0	0.0	57.36	1.46	0.0	0.0	0.0	0.0	94.98	0.0	0.0	0.0	30.04	28.42	26.56
Ptprr	0.0	1787.43	793.2	0.0	3.98	25.02	0.0	97.45	0.21	0.0	0.0	0.0	0.0	8.39	0.0	16.46	19.07	16.63
Ptrf	0.0	1271.3	423.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.06	14.09	11.56
Slc19a3	0.0	319.66	140.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65	2.22	2.67
Slc30a1	0.0	131.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.51	25.28	23.17
Slc6a6	0.0	508.85	161.17	7.79	44.3	34.86	2.83	0.13	0.23	0.68	0.23	54.6	11.02	0.0	0.37	71.84	70.52	75.99
Slco1a4	0.11	2154.04	3131.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.23	36.41	41.91
Sox17	0.0	21.29	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.15	4.85	5.2
Spock2	0.0	101.92	249.55	4.56	1.26	0.77	0.24	2.38	1.8	0.59	0.0	2.13	2.79	0.25	0.59	393.08	392.03	397.52
Thbd	0.0	565.39	594.15	1.01	26.89	0.0	5.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.85	11.46	10.75
Tpm3	0.0	1123.85	209.42	100.32	115.54	82.56	112.93	9.52	2.61	2.42	0.64	881.57	276.67	0.0	0.0	168.51	173.67	164.24
Utp11l	69.64	695.74	742.92	9.25	8.71	46.95	14.46	96.44	2.39	0.0	0.0	0.0	4.53	0.0	0.0	24.33	26.33	28.86
Zfp160	0.0	229.89	0.0	3.21	38.96	6.59	3.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.07	8.22	10.29
