	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_77	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_109	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_11	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_46	Scnn1a.Tg3_tdTpositive_cell_49	Slc17a6_tdTpositive_cell_18
Fam84a	0.0	0.0	136.36	226.38	226.09	214.0	232.91	359.08	210.6	20.06	113.92	0.0	0.0	0.12	0.0	79.69	70.69	19.14	62.67	0.0	30.81	6.83	0.0	133.9
Flna	0.0	0.23	0.0	14.19	0.0	20.84	15.69	0.55	0.01	0.25	0.25	0.96	0.0	3.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ggh	0.0	1.17	0.0	69.33	0.0	65.64	0.09	74.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5088	0.0	0.0	0.0	1.8	0.0	2.08	0.55	0.22	0.45	0.41	0.71	0.0	0.0	0.33	0.05	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0
Gpr171	0.0	0.0	0.0	0.53	28.14	30.48	0.2	12.64	0.0	32.79	0.0	133.14	0.0	0.19	0.0	0.08	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0
Gsg1l	0.0	0.0	16.25	61.24	3.81	9.73	13.66	56.46	7.69	0.1	0.0	0.0	0.0	0.07	0.03	0.06	0.12	0.21	0.0	0.47	0.0	0.0	0.0	0.0
Hnrnpul1	0.0	0.0	0.0	30.55	18.16	24.14	24.96	1.58	5.17	0.0	0.52	0.0	0.0	1.21	0.0	0.55	0.0	0.28	0.0	0.0	0.0	1.97	0.0	0.0
Hsf2	20.02	0.43	139.01	57.44	74.68	38.36	37.77	29.25	26.79	9.76	26.37	7.38	0.41	31.69	10.77	20.59	11.76	14.8	5.16	3.0	13.87	11.28	6.43	5.85
Igsf11	0.4	0.42	4.48	26.67	50.46	15.71	0.56	32.19	2.81	0.58	0.56	0.56	0.0	0.44	0.31	0.61	0.56	0.43	0.04	0.43	0.0	0.66	0.0	0.0
Lrrtm4	0.0	0.0	1503.67	675.37	480.27	1065.57	423.09	733.73	326.42	0.0	38.42	133.7	0.16	31.33	0.0	68.48	67.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ly6h	0.0	3.96	4.0	13.53	4.77	2.45	7.17	5.2	1.15	0.0	2.68	3.5	0.0	0.0	0.25	0.0	0.0	3.85	0.0	0.0	0.0	0.0	0.0	0.0
Lypd1	0.0	0.0	54.2	88.52	53.73	159.83	0.11	112.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mapk3	0.0	0.0	0.0	37.26	127.76	197.5	169.22	199.13	85.47	0.11	0.11	34.6	0.0	1.14	0.12	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.64
Nfia	0.0	0.0	0.0	6.38	1.43	7.99	6.18	0.0	0.01	0.0	0.0	11.32	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pak6	0.79	0.96	101.42	60.46	47.41	74.48	111.85	48.61	44.85	0.43	0.31	8.56	0.0	0.49	0.16	4.2	10.02	0.19	63.25	1.18	0.0	0.59	0.0	0.91
Ppp1r12a	100.19	2.21	149.84	232.51	119.69	266.17	18.0	188.87	148.59	18.93	52.5	146.73	17.45	75.0	0.06	144.55	50.6	78.37	47.57	0.0	0.0	5.63	8.34	4.29
Rap2b	19.22	48.49	73.14	68.14	57.45	193.52	104.72	158.35	76.91	44.87	16.32	13.52	57.81	24.47	53.56	41.58	12.66	18.26	40.55	64.72	30.95	11.37	22.99	92.03
Rasgef1c	0.0	0.0	0.0	40.79	0.0	67.68	51.85	0.07	0.02	0.0	0.0	23.86	0.0	0.0	0.09	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0
Rasgrf2	0.1	0.06	20.35	62.52	8.17	89.94	179.18	39.12	30.57	0.0	106.2	80.27	0.0	56.37	0.7	1.89	0.13	9.87	0.0	9.68	0.0	0.0	0.0	0.0
Rgs4	4969.56	5481.44	3868.4	1419.73	4201.26	2677.09	2128.91	2227.32	1902.02	5873.8	5539.67	4332.71	3662.03	5399.11	5219.32	5187.94	4495.9	6274.8	5381.62	3292.99	3732.04	3589.98	5420.33	6781.39
Rgs8	0.0	0.0	559.05	77.27	3.45	111.16	60.62	55.48	12.31	0.06	0.0	0.0	0.09	19.5	0.0	0.0	0.0	0.06	0.0	0.03	0.0	0.0	0.0	0.0
Stard8	0.0	0.0	51.68	62.57	32.14	16.15	0.95	88.87	54.54	0.11	0.0	0.34	0.22	0.23	0.02	0.18	0.4	0.0	0.0	0.11	0.0	0.11	0.23	0.13
