	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_57	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_20	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_87	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Igf2r	5.35	0.57	2.63	8.93	7.27	0.14	0.0	0.9	4.68	0.67	6.37	6.88	3.72	1.57	6.88	3.89	6.88	3.89	2.23	10.08	1.68	15.17	7.89	1.99	8.43	9.22	18.76	5.99	10.54	8.55	1.15	11.24	8.62	8.03	14.09	13.23	16.0
Kif3b	0.05	41.54	4.26	23.56	37.72	0.0	3.41	0.0	57.38	12.85	9.09	19.73	13.95	12.21	15.82	0.1	13.75	2.33	0.0	39.39	7.94	47.7	8.16	13.27	0.0	28.49	41.15	9.88	3.13	37.17	31.66	67.02	28.45	2.26	47.95	45.71	48.37
Klf5	0.0	0.0	0.0	28.0	38.66	0.0	0.0	1.68	0.45	11.45	0.0	2.44	0.75	4.18	0.0	31.22	0.0	0.0	0.22	0.0	0.0	39.99	0.0	27.24	0.0	0.22	42.36	35.62	0.0	0.64	0.0	46.15	0.0	0.0	10.09	8.75	9.41
Ldhb	6819.53	7692.96	5768.08	6832.63	8752.31	4622.23	10118.08	10894.4	8892.3	7234.97	8217.62	8583.06	8517.89	9220.91	9343.6	8574.79	7785.08	7061.15	7167.6	11261.44	8285.69	6682.6	9074.03	13571.31	12546.17	9106.97	8904.1	7659.83	11010.48	7724.63	10182.84	6251.75	9082.37	11746.38	737.58	774.98	752.92
Lmna	14.35	0.0	0.0	0.0	0.13	0.0	0.0	2.42	11.94	0.0	7.64	23.41	1.28	0.0	0.17	9.64	0.17	0.0	1.92	0.0	11.64	17.31	12.67	8.52	0.0	2.75	16.27	0.0	37.71	11.66	0.0	36.75	1.34	10.96	41.87	47.61	40.73
Mical3	0.0	0.0	0.0	1.7	2.46	0.0	1.63	0.0	30.04	7.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.0	0.0	26.69	0.0	0.0	0.0	19.74	0.65	0.0	0.0	0.0	0.56	0.0	45.71	23.9	0.0	31.45	29.99	36.22
Ndufb2	69.14	83.82	54.97	161.48	249.04	117.89	70.53	9.41	105.18	13.52	171.77	102.36	96.35	148.25	89.75	98.58	87.51	5.11	25.28	44.98	55.75	289.39	37.02	27.38	118.31	83.93	183.88	87.53	103.44	264.53	230.42	402.24	363.64	149.37	161.25	181.94	168.51
Nfyb	0.0	110.45	39.37	81.21	61.95	0.0	0.1	23.82	37.79	0.0	0.0	0.0	30.18	13.02	3.83	0.0	0.0	58.95	0.0	6.88	0.0	42.72	0.0	2.4	0.0	24.84	16.44	0.0	1.69	6.85	0.0	95.05	0.0	0.0	51.56	49.39	47.08
Pcsk1n	0.42	1.05	0.0	4.24	4.61	0.0	0.12	0.88	4.96	0.28	0.25	0.0	0.29	1.45	1.49	2.19	5.62	1.14	2.09	0.17	1.69	9.26	2.29	3.97	1.12	1.37	9.69	1.25	0.0	7.25	2.49	17.29	3.95	4.9	383.89	483.91	457.22
Plekhb1	0.0	0.0	0.0	36.19	53.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.49	0.0	0.0	0.0	0.0	0.0	0.0	62.66	57.57	0.0	93.61	0.0	0.0	297.36	295.72	317.45
Ppwd1	2.75	1.71	4.98	3.68	2.85	0.0	0.0	0.0	7.84	0.52	2.77	1.76	0.0	1.68	12.19	5.32	0.0	0.0	0.0	0.95	1.34	74.32	7.58	3.06	6.24	0.32	2.64	0.0	0.91	1.16	2.68	74.51	20.35	4.54	6.44	6.14	6.69
Sass6	0.08	0.88	0.27	18.71	24.33	2.91	12.51	7.08	0.85	0.74	1.7	2.13	1.41	0.75	0.34	18.34	11.0	0.26	1.95	0.75	0.0	48.58	6.09	12.85	0.27	0.76	40.97	1.31	13.89	1.44	9.17	73.16	0.06	14.87	3.28	3.09	3.21
Setd5	0.0	1.67	0.0	23.18	19.97	0.58	0.8	0.0	0.94	0.0	0.42	1.33	0.0	0.36	0.75	0.36	12.28	42.1	0.12	0.0	0.0	0.41	0.22	8.65	0.06	9.89	26.4	30.12	1.15	32.98	0.34	22.08	1.49	0.0	60.53	54.49	54.81
Snapin	0.0	22.86	0.0	46.81	78.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.82	50.56	0.0	1.57	0.0	0.0	0.0	0.0	189.84	21.37	0.31	4.95	39.87	0.0	0.0	0.0	64.65	0.0	132.72	8.71	0.21	53.74	55.18	51.6
Spr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.81	0.0	0.0	0.0	0.0	23.84	0.0	20.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.46	0.0	41.1	2.3	0.0	43.14	49.12	46.56
Tbc1d10a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.66	0.0	0.0	35.68	0.0	40.64	0.4	4.1	28.59	34.21	29.19
Tprn	0.0	0.0	0.0	6.38	8.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.73	11.25	24.72	0.0	0.09	0.0	0.0	0.0	0.0	16.13	1.53	13.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.93	29.63	16.48	12.4	15.45	14.14
Zfp651	0.0	0.0	0.06	13.17	18.98	0.0	0.12	0.44	0.96	0.0	0.0	7.24	0.0	0.0	2.45	0.0	0.04	0.0	0.0	0.0	0.0	12.5	0.89	8.38	0.25	0.0	0.0	0.0	0.08	5.68	0.0	0.74	7.39	6.75	37.72	38.58	36.99
