	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_24	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Il11ra2	0.0	0.0	0.0	0.0	0.83	0.13	0.0	0.17	0.0	0.0	1.73	1.86	1.4
Il21r	0.0	0.2	0.0	0.88	0.0	0.23	0.0	0.17	0.0	0.95	1.58	1.55	1.59
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Ino80e	0.0	0.0	0.0	0.0	8.89	12.0	0.0	0.0	0.0	2.26	33.1	34.43	33.74
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Mbd5	0.0	0.0	3.2	0.0	5.39	0.0	0.0	0.0	0.29	4.54	25.74	23.59	24.39
Mrpl32	0.0	0.0	110.99	0.0	149.18	0.0	0.0	0.0	0.0	30.16	28.5	35.76	30.24
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Mtf2	0.0	0.44	34.04	0.0	59.41	62.37	0.0	0.0	0.0	20.87	30.62	28.82	30.95
Mtx3	1.23	0.0	0.09	0.0	0.72	0.03	0.0	0.19	0.0	0.0	28.24	27.21	27.6
Ndufs3	0.0	84.47	343.51	0.87	69.08	101.44	0.0	897.51	3.5	188.01	195.06	208.46	192.5
Nell2	0.0	0.0	0.0	0.0	9.5	57.39	0.0	0.0	0.62	67.55	447.3	471.39	442.87
Nron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Nup85	0.0	0.92	0.0	0.07	0.23	0.1	0.0	0.0	0.49	35.52	32.32	32.87	28.55
Oat	0.0	0.46	247.37	0.15	167.15	85.27	0.0	0.0	15.7	14.68	93.62	96.9	94.56
Osbp	0.0	0.0	2.49	0.0	0.43	0.51	0.0	0.0	0.0	6.7	42.36	42.74	41.4
Pcnt	0.0	0.0	0.0	1.42	2.55	0.42	0.0	0.0	0.11	0.05	11.47	12.09	11.23
Psmg2	0.0	0.0	169.38	0.0	0.0	0.21	0.0	0.0	1383.85	44.22	30.76	30.95	29.99
Ptprt	0.0	0.0	4.77	0.0	0.0	0.0	0.0	0.0	0.0	3.94	40.62	33.95	42.1
Rd3	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.03	0.15	0.17
Rft1	0.86	2.43	1.63	0.18	3.53	0.86	0.62	0.96	7.55	0.0	13.89	11.62	14.7
Rhbdl3	0.0	0.0	0.0	0.04	0.0	0.0	0.0	27.1	0.0	0.38	14.12	14.55	14.45
Serpina3g	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.57	0.31
Siah3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.65	4.26	4.96	3.7
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Smarcc2	0.0	0.0	40.39	17.67	30.03	9.07	0.0	71.14	28.35	10.6	153.2	155.7	159.08
Snhg1	361.66	104.42	0.0	0.37	87.98	0.0	0.0	0.0	0.0	33.34	18.41	21.1	20.36
Srebf2	0.0	0.0	0.0	0.0	0.0	12.44	0.0	0.0	92.04	0.0	117.15	120.52	122.1
Stk25	1.27	1.05	3.35	4.01	11.5	5.85	0.0	2.72	998.97	41.32	166.8	172.07	175.88
Stxbp1	0.0	0.0	52.2	0.12	80.43	125.37	0.0	0.23	4.32	193.46	685.86	704.66	673.08
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tmem216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	10.85	11.0	8.06
Ttc39c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.89	24.29	23.64
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Usp13	0.0	0.0	0.12	0.0	23.19	2.45	0.0	0.0	0.0	0.0	16.56	14.56	16.81
Vmn1r45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Vmn1r65	0.17	0.0	2.14	5.38	2.07	2.11	0.0	36.1	22.76	0.58	4.15	3.54	5.2
Vps13d	0.03	0.0	0.13	0.02	13.47	4.03	0.0	4.21	0.95	1.0	28.71	24.75	31.22
Wbscr22	0.0	0.0	0.0	1.93	133.64	1.5	38.88	0.0	0.0	5.44	32.24	30.76	28.29
Zbtb43	0.0	0.0	0.0	0.0	0.1	0.09	0.0	0.18	497.3	0.76	17.43	18.92	17.01
Zfp3	0.0	0.0	0.0	0.0	176.68	0.12	0.0	0.0	1.75	0.0	15.59	15.28	14.35
Zfp738	0.0	0.0	0.0	3.41	12.75	2.11	0.0	0.0	0.0	0.33	12.49	8.02	11.6
Zfp871	1.21	0.14	37.17	0.0	14.38	0.02	1.34	6.79	0.57	0.0	39.08	32.97	39.89
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	7.36	0.0	0.03	0.0	0.0	0.31	0.0	6.05	0.0	0.0	25813.35	24091.17	24561.45
mt_AK162500	10812.53	8999.69	18017.62	16972.65	15862.29	31266.91	4995.54	14108.84	20312.88	18115.72	16158.33	15507.36	15898.39
mt_BC104337	0.0	0.0	0.0	0.0	0.0	6.56	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
