	Chrna2_tdTpositive_cell_62	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_55	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hist1h2br	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.13	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.18	0.19	0.0	0.15	0.0	0.38	0.28	0.38
Ipo13	0.0	0.0	20.86	0.0	0.0	23.02	3.37	0.0	0.35	26.47	20.91	0.0	11.27	7.75	0.0	10.03	14.56	0.0	1.09	46.06	0.11	0.0	36.38	0.2	24.92	1.44	0.0	0.73	0.0	61.91	67.32	63.81
Jakmip3	0.0	0.0	28.14	0.0	0.0	0.0	14.93	32.67	22.15	0.0	35.74	0.0	0.0	40.25	0.0	0.0	39.68	0.22	0.0	0.0	0.0	0.0	7.85	0.0	0.0	1.37	2.89	0.0	0.0	24.21	24.15	24.07
Jund	0.9	0.75	0.2	1.96	0.0	1.42	0.6	0.77	0.0	0.21	3.89	3.21	2.35	2.98	0.11	0.1	0.78	0.0	1.77	2.44	0.0	2.13	0.79	2.39	6.41	4.4	0.68	2.51	0.0	119.0	154.46	141.52
Mageb18	0.0	0.0	0.0	0.14	0.0	0.19	11.59	0.0	0.0	0.0	0.48	0.2	0.0	0.3	0.0	0.0	0.32	0.0	0.0	0.18	0.18	0.0	0.18	0.0	0.0	0.38	0.0	0.0	0.0	0.19	0.13	0.21
Nr2f6	0.84	0.0	0.26	0.0	0.0	0.0	0.13	2.02	0.19	0.0	0.18	1.56	0.0	13.68	0.0	1.27	1.7	0.0	0.0	0.0	0.0	0.0	0.34	1.31	0.08	3.28	0.0	0.0	0.0	29.59	34.98	32.94
Oas1b	0.91	1.35	0.93	1.23	0.0	1.38	0.37	0.1	0.42	0.57	2.86	0.0	0.31	1.67	0.41	0.72	1.64	0.81	0.12	0.65	0.34	0.0	0.67	1.21	0.5	1.56	1.33	1.7	0.19	2.98	1.86	2.78
Phactr3	0.16	0.0	2.46	2.48	0.0	1.92	13.73	18.43	16.76	2.48	26.66	13.59	0.0	26.72	0.0	0.1	42.62	0.0	0.0	23.26	2.94	0.0	1.5	34.13	8.93	8.85	0.0	44.97	2.83	66.7	67.73	71.18
Pkd2l2	4.85	59.42	5.14	10.42	0.0	0.0	1.12	0.0	2.64	0.87	28.76	4.59	10.08	4.88	0.69	0.0	13.09	0.9	0.0	0.0	0.0	4.25	4.73	0.0	4.07	4.69	0.0	23.51	0.0	8.19	7.0	6.9
Ppp1r14b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.3	0.0	0.0	39.99	17.01	3.85	0.0	0.0	0.0	11.08	0.0	6.28	10.21	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	31.01	36.7	38.39
Ppp2r2a	14.02	36.59	18.49	0.0	0.0	21.63	20.41	21.26	27.96	23.69	107.51	2.0	7.19	32.28	9.55	12.42	39.97	17.04	2.7	20.63	14.34	0.91	0.56	14.8	2.13	35.42	55.48	66.05	0.77	64.94	65.65	61.43
Psmd3	0.0	0.0	0.0	0.0	0.0	16.12	2.03	0.0	2.36	0.0	4.89	0.0	0.0	33.36	0.0	0.0	0.47	0.0	0.0	0.0	1.09	0.0	0.0	0.0	0.0	0.12	0.0	0.62	0.0	128.29	138.98	132.76
Pvalb	2658.58	2781.07	1946.93	2914.72	0.0	2481.2	2258.23	2637.39	3332.67	1769.21	1437.81	2248.99	1915.25	1909.51	1332.22	1806.53	1681.17	1693.91	1839.14	2567.22	1689.22	1182.99	1830.01	1823.48	3516.69	0.0	2759.1	3357.43	755.81	74.74	78.67	86.9
Rnf165	0.07	0.04	0.39	0.0	0.02	0.19	3.87	0.06	4.08	0.18	0.29	0.22	0.53	0.3	0.04	0.51	4.35	0.03	0.05	8.7	0.18	0.0	0.22	11.13	0.06	11.55	10.44	0.0	0.0	24.71	25.79	25.0
Sbf1	0.06	0.05	0.0	0.0	0.0	0.0	2.01	0.0	3.08	0.05	21.54	0.0	0.0	9.7	0.0	0.0	14.81	0.0	0.0	0.0	3.47	0.0	0.18	0.0	0.0	3.6	0.0	0.11	0.0	87.42	87.58	93.92
Scml4	0.08	0.91	0.72	0.0	0.07	0.18	0.06	0.06	0.11	0.27	1.27	0.09	0.26	0.3	0.14	0.28	0.15	0.08	0.08	0.36	0.17	0.31	0.16	0.35	0.24	0.76	0.08	0.14	0.05	2.28	2.19	2.28
Sdc3	0.07	0.0	11.44	1.13	0.0	0.08	0.12	0.0	0.17	10.33	14.25	45.94	0.0	4.6	0.0	0.0	13.25	0.0	0.0	14.56	0.15	0.0	15.62	1.16	0.86	1.39	0.0	3.41	0.0	108.9	116.76	111.8
Smad3	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	1.63	0.0	61.07	0.0	0.0	46.91	0.0	0.0	0.0	21.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.06	0.0	0.0	0.0	34.88	36.49	36.75
Thada	0.05	0.77	1.15	0.11	0.0	2.04	0.35	0.0	0.37	0.88	29.17	0.0	0.0	21.41	0.0	0.0	0.03	0.14	0.78	2.05	0.0	0.0	5.65	0.59	1.68	0.26	0.05	0.82	0.0	6.06	5.04	5.89
Tll1	0.62	0.41	0.0	0.22	0.12	21.24	0.64	0.47	0.66	0.28	4.81	0.28	0.06	21.48	0.0	0.24	4.53	1.06	0.4	0.94	0.24	0.32	0.85	0.55	0.26	1.01	0.23	0.38	0.07	1.69	1.4	1.57
Tlr13	0.18	0.07	0.14	0.0	0.0	0.3	0.28	1.1	0.1	0.3	0.86	0.33	0.1	0.09	0.07	0.21	0.24	0.28	0.29	0.19	0.58	0.4	0.37	0.36	0.28	0.67	0.1	0.0	0.69	1.77	1.39	1.9
Tmem200a	0.0	0.0	0.0	0.08	0.0	0.0	0.14	0.11	0.0	0.0	36.67	0.0	0.0	41.91	0.0	0.05	0.06	0.0	0.0	5.09	0.08	0.0	0.0	0.08	0.14	15.77	0.0	0.0	0.0	12.37	12.34	12.3
Tnrc18	0.0	0.03	0.0	0.03	0.0	0.04	0.5	0.0	0.0	0.0	3.57	0.13	0.1	0.04	0.03	0.19	0.0	0.0	0.0	0.15	0.07	0.0	0.04	0.03	0.02	0.23	0.0	0.0	0.03	31.29	32.2	36.11
Wdtc1	0.0	0.0	4.91	0.0	0.0	0.0	0.0	0.0	0.1	0.0	5.61	0.0	0.0	0.18	0.0	0.13	20.84	0.0	0.0	5.54	4.34	0.0	0.0	6.81	0.0	3.26	0.0	0.0	0.0	38.86	41.97	41.45
Wnk2	0.55	2.95	3.69	0.61	0.0	2.26	0.78	0.07	1.5	5.5	4.1	0.0	8.35	9.74	4.69	6.49	9.82	2.33	0.0	8.11	3.71	0.0	10.3	6.55	3.95	6.27	0.94	2.26	0.0	49.56	48.86	56.38
