	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Cux2_tdTpositive_cell_98	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_40	Htr3a_tdTpositive_cell_1	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_13	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
A430071A18Rik	34.77	75.57	0.0	0.0	0.0	0.0	0.0	6.45	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13	0.26	0.16	0.18
AA987161	0.0	41.59	0.0	0.0	0.0	0.0	0.0	0.37	0.53	0.0	0.0	65.68	0.19	0.16	0.03	1.29	0.0	0.0	0.1	0.07	23.77	0.0	0.0	0.19	0.0	0.63	0.54	0.0	0.06	0.0	10.31	0.0	0.07	0.0	0.0	0.81	0.0	5.95	7.34	5.21	4.46	5.89
Actr1a	140.55	453.34	65.89	58.0	0.0	0.0	0.0	153.23	208.58	252.61	110.97	82.19	37.53	0.91	122.96	97.67	46.91	0.62	20.3	27.65	77.04	106.71	93.37	0.46	33.09	44.18	40.09	125.12	2.81	28.08	28.14	11.91	69.27	14.77	96.95	90.87	98.37	85.84	74.97	168.62	172.26	171.05
Akt3	24.39	58.96	24.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.39	2.15	0.63	0.0	45.54	31.46	15.05	0.0	0.0	0.07	0.21	0.36	13.1	0.0	0.0	31.64	0.73	0.0	0.0	0.0	7.91	0.0	0.06	18.24	22.98	0.0	0.0	8.86	14.9	103.0	96.58	98.7
Aldh8a1	0.0	38.67	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.13	0.29	0.09
Amdhd1	0.0	60.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.57	1.01	0.53	0.23	0.63
Arhgap26	40.13	93.33	55.13	12.08	17.83	49.62	0.0	95.7	2.86	11.38	8.61	17.6	30.96	12.4	53.19	11.84	43.85	48.64	33.6	21.07	61.53	48.22	50.73	28.43	12.55	8.71	43.22	40.44	40.49	13.46	49.83	0.0	24.78	36.25	32.66	16.14	18.08	130.44	137.55	42.56	39.64	44.6
Armc6	53.88	131.29	0.0	86.52	0.0	0.0	0.0	73.01	0.0	0.0	0.0	5.37	27.2	0.0	0.0	0.0	0.0	66.53	0.68	7.83	54.24	0.0	0.0	0.12	18.82	0.0	81.52	0.0	0.0	0.0	7.93	0.0	1.18	23.96	26.43	1.27	0.0	7.08	20.01	26.94	31.22	30.24
Asap2	13.83	40.7	5.17	2.52	0.0	0.0	0.0	1.67	2.69	0.0	0.03	12.01	12.72	0.03	0.0	14.19	0.0	22.11	0.0	4.6	25.2	0.09	8.01	0.0	0.0	15.68	40.58	0.0	5.73	25.25	9.4	0.15	0.0	0.04	0.0	0.23	1.64	9.39	5.72	25.96	25.73	27.77
Asb1	1.65	45.89	21.11	0.0	0.06	0.0	0.0	0.03	0.0	0.6	0.1	0.12	28.87	41.42	0.0	0.02	4.32	0.1	0.0	0.06	0.0	0.22	22.23	0.22	0.07	0.0	0.0	0.05	0.0	0.0	0.15	0.0	0.0	0.04	35.82	0.1	0.02	3.3	4.82	26.5	26.8	25.67
Atad2b	0.39	20.76	0.25	0.0	0.0	0.05	0.0	0.32	0.35	0.0	0.0	1.3	1.52	0.01	0.0	0.05	0.0	0.07	0.0	0.39	0.0	0.0	1.2	0.0	0.1	0.0	1.01	7.26	0.0	0.42	3.09	0.0	0.0	0.11	0.61	12.3	1.13	1.76	1.14	8.16	6.96	8.2
Atp6v1b1	0.0	3.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.1	0.0
Aven	2.44	25.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	0.0	0.0	0.0	0.0	0.0	0.0	1.97	2.32	9.74	10.05	9.97
BC024978	0.0	21.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	8.36	8.35	8.81
Banp	1.4	101.18	0.0	0.0	7.44	0.0	0.0	5.68	0.52	0.0	0.0	0.07	0.19	0.0	0.03	14.03	0.0	14.44	0.05	1.06	3.09	0.12	0.0	0.19	0.04	11.74	34.02	56.4	12.86	0.0	5.5	0.0	53.41	0.14	15.41	0.0	56.52	4.0	9.82	10.07	11.46	9.82
C730002L08Rik	0.0	27.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.53	0.0	0.0	0.0	0.0	0.0	0.0	8.13	10.58	8.42	6.69	9.73
Cacna1b	3.62	33.36	26.53	0.0	4.33	1.94	0.0	3.5	8.07	0.2	0.0	2.18	0.75	0.0	7.1	0.02	0.13	0.12	0.11	0.0	0.76	0.0	0.0	4.0	0.83	0.04	0.67	0.0	9.25	0.1	1.19	0.0	0.0	5.75	0.0	0.0	0.01	0.63	0.05	49.92	43.71	54.19
Ccdc111	0.0	39.02	6.45	0.0	0.0	0.0	0.0	26.57	0.0	0.0	1.26	0.0	26.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09	0.0	26.77	0.0	5.64	0.0	7.87	0.0	0.0	0.0	0.0	0.0	0.0	0.71	3.09	3.57	3.19	3.43
Ccdc116	0.0	32.54	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	20.18	0.0	0.0	0.0	21.35	0.0	17.1	0.04	0.04	0.0	4.78	0.0	0.0	0.0	0.1	0.25	0.02	2.04	0.45	1.85	1.64	1.41
Ccdc151	0.0	62.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.22	0.0	0.0	0.0	1.73	2.38	6.8	6.96	6.37
Ccdc18	0.0	6.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.89	0.57	0.44	0.52
Ccdc48	2.74	38.99	1.09	6.45	3.36	3.46	0.38	2.85	2.11	0.32	0.35	0.83	2.53	2.04	1.55	0.47	0.65	1.56	0.83	3.18	21.02	1.48	2.5	0.83	5.77	2.53	1.5	0.5	3.22	2.02	4.71	0.42	0.43	5.4	1.12	7.57	0.68	4.16	10.28	8.33	7.33	8.4
Ccdc81	0.0	54.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.77	0.7	0.83	0.91
Ccl27b	0.0	0.14	0.0	0.0	28.87	0.83	0.0	11.67	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.58	0.0	0.0	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	40.26	0.0	0.0	4.89	1.61	4.36	1.88	76.52	71.98	30.63	28.29	22.96
Clec4a3	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.97	1.42
Clec9a	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.19	0.03
Cnksr2	0.0	36.47	4.5	0.0	0.0	0.1	0.0	0.11	0.65	0.04	0.0	0.0	0.0	0.0	0.03	0.02	0.0	0.0	0.09	0.0	0.0	0.0	0.05	0.0	0.04	3.86	0.05	29.89	10.42	0.02	23.98	0.0	0.0	0.0	0.0	0.08	0.02	22.99	19.76	114.68	103.4	116.88
Col4a1	0.0	36.46	9.51	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.22	0.32	0.13	0.0	0.0	5.37	0.0	0.35	10.04	0.0	0.0	0.0	0.67	0.0	0.0	1.08	0.0	0.0	0.0	1.75	0.0	0.12	0.98	2.95	17.89	19.77	25.58
Crebl2	5.82	81.26	0.0	0.0	0.0	5.19	0.0	0.0	0.0	8.59	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.19	38.36	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	30.43	0.0	0.0	0.0	19.69	0.0	36.27	6.01	14.97	3.67	8.09	28.82	29.5	26.62
Crygs	0.0	111.64	0.0	0.0	0.0	0.0	0.0	56.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.14	0.0
Dlk1	0.0	240.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73	6.24	6.19
Dmrtc1a	0.0	52.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.29	0.0	0.0	0.0	0.0	0.0	0.0	1.68	3.05	9.81	10.98	7.64
Dock8	0.08	9.31	0.0	0.0	0.0	0.0	0.0	0.25	0.31	0.04	0.0	0.09	0.02	0.05	0.15	0.2	0.08	0.04	0.09	0.15	0.05	0.21	0.12	0.1	0.08	0.14	0.04	0.21	0.07	0.14	0.26	0.0	0.19	0.09	0.11	0.28	0.0	0.17	0.09	2.6	1.85	2.05
Dus4l	0.0	83.38	1.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	0.0	0.14	0.0	0.0	0.0	0.0	0.0	47.63	1.75	0.0	0.0	40.54	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	1.77	5.17	6.62	5.65	5.44
Dusp18	0.0	35.57	0.15	0.0	0.19	0.0	0.0	0.0	0.15	0.0	0.11	0.05	0.03	0.05	0.0	0.06	0.2	0.07	0.05	0.0	0.05	0.0	0.05	0.17	0.08	5.36	0.0	0.0	10.04	0.42	5.47	0.0	0.07	0.0	0.0	0.1	0.0	3.47	4.02	21.49	19.46	19.77
Echdc2	0.0	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.76	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	15.98	15.15	14.23
Eif4h	106.35	112.39	74.94	32.12	0.0	16.17	0.0	108.72	51.26	0.0	0.21	12.83	49.24	28.87	6.3	73.14	9.42	0.0	49.14	40.54	44.13	55.99	7.05	0.0	51.32	15.5	10.58	34.85	37.96	11.2	46.12	0.0	0.72	71.36	29.81	3.27	70.64	56.63	66.62	333.37	353.14	351.38
Elp4	0.0	28.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	0.0	2.03	0.06	19.18	0.0	23.48	0.0	7.7	0.0	0.0	0.0	0.0	0.0	0.0	10.8	0.04	0.0	1.91	0.0	0.0	0.0	0.0	0.0	0.0	6.05	2.83	9.41	7.65	9.61
Ergic1	10.07	57.59	14.53	0.0	0.0	0.0	0.0	66.08	0.0	0.0	6.21	6.37	8.22	5.72	1.95	1.54	6.24	19.28	0.0	102.59	27.64	0.0	7.52	6.06	38.57	5.8	0.86	0.0	32.1	0.27	18.46	0.0	0.0	12.56	0.0	68.61	85.45	22.67	20.96	107.63	108.25	116.21
Esm1	0.0	255.22	0.0	0.0	0.0	0.0	0.0	60.82	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	46.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.66	0.52	0.55
Fam13b	6.16	48.85	0.41	0.0	1.55	5.27	0.0	0.44	0.0	0.0	0.0	41.61	0.02	0.0	26.02	5.87	4.41	11.23	14.14	7.21	21.17	0.0	0.07	1.9	10.96	6.45	0.0	0.0	11.93	0.0	4.15	0.0	9.86	6.95	27.27	1.79	13.04	7.76	9.35	55.64	52.75	57.12
Fcer2a	0.18	42.75	0.34	0.0	0.0	0.3	0.0	0.18	9.02	0.31	0.0	0.03	0.42	0.09	0.0	0.79	0.5	0.39	0.0	0.32	0.0	0.03	0.01	0.15	0.21	0.43	6.18	1.23	0.24	0.0	0.37	0.0	0.0	0.0	0.17	1.27	0.09	0.17	0.0	1.19	1.04	1.56
Fitm2	0.0	65.86	0.42	0.0	0.0	0.0	0.0	0.18	0.0	0.16	0.0	0.17	0.93	2.88	0.0	0.14	0.17	1.04	0.0	0.46	15.15	0.0	0.0	0.0	0.13	0.26	0.18	0.51	0.0	1.29	0.18	0.0	53.4	0.0	0.0	0.85	3.78	3.36	6.04	23.58	19.8	20.63
Fpr2	0.0	70.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72	0.0	0.62	0.15	0.32
Galntl1	0.0	25.49	0.0	0.0	0.0	0.0	0.0	44.13	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.07	0.0	28.69	21.64	5.51	0.0	0.0	0.0	0.0	0.0	0.0	4.8	17.87	87.06	97.14	96.04
Glb1	0.0	147.9	0.0	33.23	0.0	0.0	0.0	83.56	0.0	0.0	0.0	35.21	6.1	0.05	72.98	1.14	0.0	0.0	0.85	0.0	0.0	36.23	152.31	72.97	0.0	111.21	0.87	0.12	0.0	0.0	21.07	0.0	44.84	0.0	60.11	95.43	0.0	26.7	24.98	20.44	21.73	18.48
Glt25d2	0.0	26.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.69	0.0	0.0	0.0	0.0	0.0	0.02	0.34	0.0	5.16	5.27	5.3
Gm10516	0.32	35.87	0.53	0.0	0.36	0.24	0.0	0.58	0.35	0.08	11.11	0.14	0.29	0.5	0.47	44.38	0.24	0.25	0.5	0.48	0.24	0.56	0.98	0.52	0.16	0.52	0.1	0.19	0.24	0.35	0.98	0.27	12.42	0.49	1.47	0.37	0.07	2.09	3.98	4.72	5.54	5.89
Gm13306	0.0	0.14	0.0	0.0	28.87	0.83	0.0	11.67	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.58	0.0	0.0	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	40.26	0.0	0.0	4.89	1.61	4.36	1.88	76.52	71.98	30.63	28.29	22.96
Gm15910	0.45	3.36	0.0	0.08	0.15	0.0	0.0	0.57	0.79	0.0	0.14	0.44	0.22	0.14	0.03	0.19	0.29	0.1	0.0	0.64	0.0	0.0	0.28	0.17	0.0	0.12	0.74	0.33	0.05	0.08	0.45	0.0	0.23	0.18	0.17	0.0	0.0	1.25	1.06	0.6	0.54	0.41
Gm16982	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	1.24	1.36
Gm2506	0.0	0.14	0.0	0.0	28.87	0.83	0.0	11.67	0.0	0.0	1.46	0.3	0.03	0.0	1.74	0.0	0.58	0.0	0.0	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	40.26	0.0	0.0	4.89	1.61	4.36	1.88	76.52	71.98	30.63	28.29	22.96
Gm5595	4.07	81.78	0.43	0.0	0.0	0.0	0.0	0.1	0.08	0.0	68.44	39.85	0.0	0.15	0.05	0.05	0.19	0.27	4.81	0.0	27.3	0.0	0.0	0.09	0.0	0.1	0.09	0.79	33.37	0.0	1.13	0.0	36.13	0.0	64.61	0.66	0.14	28.62	12.74	2.64	2.27	2.85
Gne	14.36	70.42	0.0	0.0	0.0	0.0	0.0	76.4	0.0	0.0	0.03	0.0	0.0	0.0	0.06	37.86	0.0	0.0	0.0	0.69	0.0	33.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86	0.0	42.67	2.35	0.1	0.0	31.43	9.15	5.42	25.93	28.24	25.77
Gtpbp6	2.41	62.26	0.86	0.0	0.0	0.0	0.0	21.64	0.0	0.0	3.15	24.45	1.94	0.0	23.52	1.81	20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32	0.0	0.0	0.0	0.0	10.58	0.0	0.0	0.0	8.42	5.51	34.71	0.25	2.39	31.93	39.83	35.33
H2-Q8	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	1.32	1.79
Hdac1	45.85	189.07	146.69	0.0	177.72	0.0	0.0	157.65	0.0	0.0	48.64	49.93	69.69	173.39	0.09	42.24	54.71	174.33	5.21	55.64	0.0	56.8	0.0	95.7	47.17	0.0	62.19	2.8	10.7	51.77	22.12	0.0	48.96	21.89	0.0	0.0	0.0	35.04	27.36	32.01	35.32	30.19
Hp1bp3	23.38	214.78	35.99	55.79	42.41	6.77	0.0	115.72	63.99	144.01	4.7	50.2	60.36	18.46	79.15	10.98	42.92	40.83	26.23	18.19	5.38	18.05	0.0	30.78	40.56	38.76	23.29	56.8	52.16	98.39	43.5	10.04	47.84	98.57	40.19	162.53	38.11	77.04	78.81	192.47	198.49	176.78
Ier5l	0.0	1.9	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	26.98	29.64	21.13
Igfbp6	0.0	47.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.38	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.46	0.65	0.12	0.0	108.77	0.0	0.0	0.36	0.0	0.0	0.0	137.59	152.39	44.31	43.51	50.32
Il18bp	3.26	77.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	2.45	0.0	0.0	0.0	0.0	0.0	0.0	1.25	5.31	7.49	7.59	7.26
