	Calb2_tdTpositive_cell_5	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Calb2_tdTpositive_cell_55	Calb2_tdTpositive_cell_60	Chrna2_tdTpositive_cell_8	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_50	Htr3a_tdTpositive_cell_62	Htr3a_tdTpositive_cell_67	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_22	Vip_tdTpositive_cell_9	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_20	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ephb3	0.1	0.0	0.0	6.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.09	0.62	0.0	0.09	0.15	3.18	0.0	12.37	0.0	6.08	0.0	0.0	0.0	0.0	17.06	16.35	13.95
Etl4	16.91	0.0	0.0	1.53	0.0	0.0	0.0	4.24	0.0	0.0	0.0	3.44	95.79	0.0	0.8	108.98	221.34	0.0	50.06	122.96	0.0	179.98	48.76	13.64	0.0	1.61	0.0	0.0	53.16	50.4	51.31
Fam60a	25.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.62	68.97	182.32	0.0	176.69	0.0	282.8	281.78	19.03	0.0	202.52	0.0	222.0	2.66	2.65	2.32
Frmd4a	0.02	0.0	0.0	0.0	0.0	1.84	0.0	0.78	0.0	2.0	0.0	11.78	0.0	54.36	0.0	0.0	0.0	0.0	0.0	0.22	0.18	153.46	0.0	3.92	0.0	98.26	0.0	0.0	21.54	21.52	20.93
Gm13544	0.08	0.52	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.1	0.0	0.0	0.15	0.0	0.24	0.31	0.0	0.88	0.34	0.35	0.0	0.86	0.0	0.18	0.25	0.28	0.18
Gm14430	41.76	14.4	7.86	0.0	0.21	7.65	0.04	0.62	1.19	0.0	0.31	0.16	74.02	1.16	0.21	0.56	19.2	0.0	0.24	51.27	0.0	17.81	37.15	6.69	0.0	28.74	0.04	0.23	7.67	5.07	7.49
Gm14434	41.76	14.4	7.86	0.0	0.21	7.65	0.04	0.62	1.19	0.0	0.31	0.16	74.02	1.16	0.21	0.56	19.2	0.0	0.24	51.27	0.0	17.81	37.15	6.69	0.0	28.74	0.04	0.23	7.67	5.07	7.49
Gm4724	41.76	14.4	7.86	0.0	0.21	7.65	0.04	0.62	1.19	0.0	0.31	0.16	74.02	1.16	0.21	0.56	19.2	0.0	0.24	51.27	0.0	17.81	37.15	6.69	0.0	28.74	0.04	0.23	7.67	5.07	7.49
Gria4	71.35	2.56	0.0	155.82	0.0	0.0	0.19	0.0	181.12	0.0	84.32	0.0	0.11	61.48	135.62	0.0	12.49	62.28	25.38	46.97	49.66	613.88	187.21	10.45	0.0	249.08	0.0	264.1	74.65	71.26	73.91
Inpp5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.43	0.0	0.0	0.0	89.85	152.26	0.0	1.26	3.25	0.0	0.0	10.83	0.0	212.76	1.74	12.87	0.0	0.0	0.0	0.0	28.65	26.45	27.5
Lrrn4	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.33	0.0	0.14	0.0	0.0	0.0	0.0	0.57	0.4	0.64
Mfsd4	17.67	29.85	30.4	22.7	8.01	10.31	28.68	99.44	15.19	0.47	0.0	15.64	20.52	26.05	22.28	13.88	13.85	3.83	12.08	12.66	24.23	176.95	181.25	35.62	2.35	18.78	0.67	17.53	56.06	58.28	54.29
Ncf1	3.13	5.24	5.1	0.35	0.35	1.51	1.41	5.61	1.33	0.0	0.39	3.12	6.48	5.38	2.36	1.58	3.94	0.76	3.87	3.67	4.44	9.44	10.86	4.66	0.13	1.91	0.0	4.62	9.87	9.09	9.17
Odf2	0.36	191.9	6.92	127.43	78.97	25.8	0.0	0.0	0.23	0.0	129.19	36.51	7.82	192.92	0.0	0.0	0.29	0.0	3.02	6.5	0.1	181.48	58.0	37.14	0.0	145.04	0.1	0.45	70.41	66.17	69.7
Padi2	13.23	15.47	7.46	23.3	11.67	5.56	9.24	6.68	11.12	0.9	4.86	3.97	17.51	16.69	9.56	10.61	6.59	8.45	11.25	13.52	13.42	22.25	31.93	14.61	2.15	9.11	0.44	4.15	19.35	19.34	21.61
Ppp1r12c	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.56	0.0	11.95	0.0	52.9	0.0	0.0	0.12	0.0	0.0	0.06	61.11	65.8	6.15	0.0	61.3	0.0	0.0	87.06	89.41	88.48
Prss35	2.95	2.33	2.1	4.86	9.6	9.17	11.31	0.25	3.92	0.0	0.0	0.0	5.67	10.33	7.27	5.19	0.0	0.0	2.73	23.96	3.18	39.22	21.64	12.48	0.14	3.89	0.0	1.51	4.72	4.89	4.08
Rdh9	1.24	18.1	15.79	17.98	0.0	18.32	0.0	7.88	3.18	0.0	0.0	0.0	10.61	16.62	6.26	9.67	0.17	8.25	4.86	20.53	7.09	60.38	8.86	6.47	0.0	15.81	0.0	0.0	3.16	2.45	3.27
Sav1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	49.45	59.28	2.98	0.0	0.0	0.0	0.0	20.32	20.62	18.92
Setx	0.0	0.0	18.7	0.0	0.0	1.35	0.04	5.78	2.35	0.0	0.0	0.0	0.54	0.0	41.43	1.09	0.0	0.0	57.06	79.08	0.0	51.55	2.3	4.11	22.65	0.0	0.03	0.0	22.16	18.26	22.55
Sprr2a1	0.0	0.0	0.0	0.0	0.11	0.57	0.0	0.09	0.0	0.0	0.0	0.0	0.49	0.06	0.0	0.12	0.0	0.0	0.3	0.44	0.03	1.6	1.67	0.46	0.0	0.27	0.0	0.0	0.08	0.25	0.13
Sprr2a2	0.0	0.0	0.0	0.0	0.11	0.57	0.0	0.09	0.0	0.0	0.0	0.0	0.49	0.06	0.0	0.12	0.0	0.0	0.3	0.44	0.03	1.6	1.67	0.46	0.0	0.27	0.0	0.0	0.08	0.25	0.13
Srgap2	0.0	14.64	0.0	0.0	0.0	0.31	0.04	0.08	46.5	30.86	0.0	0.27	0.0	14.39	0.0	0.0	0.0	31.88	56.82	51.17	58.63	91.28	0.12	7.66	0.0	122.76	0.05	39.87	32.14	28.78	32.63
Ssrp1	138.33	0.0	71.52	0.0	83.05	97.07	0.0	74.01	0.0	0.0	0.0	0.0	0.09	151.42	0.0	59.75	0.0	0.0	0.0	149.11	0.0	278.12	71.9	20.56	0.0	97.96	0.14	58.03	79.15	79.33	82.64
Sult4a1	2.15	328.69	148.27	299.96	0.17	351.39	56.45	103.99	306.28	0.0	182.45	2.35	285.29	229.19	137.42	271.16	269.3	160.85	374.64	487.74	237.72	514.32	491.06	48.29	0.0	330.22	6.93	5.49	438.7	457.81	456.98
Tgm3	2.18	1.57	1.34	0.87	0.21	0.03	1.66	0.9	0.42	0.0	0.0	0.54	7.75	1.79	1.61	0.53	0.39	0.26	0.57	1.17	3.44	7.88	1.07	5.45	0.0	5.15	0.0	1.03	3.24	2.81	3.68
Thap6	0.6	1.04	1.02	0.22	0.96	0.41	0.41	1.43	0.67	0.0	0.07	0.3	0.64	0.65	1.39	0.71	0.19	0.78	2.05	0.96	0.94	2.78	2.78	0.66	0.04	1.44	0.1	0.72	2.34	2.42	2.02
Tll1	1.04	0.6	1.09	0.76	0.0	0.21	0.28	0.93	0.05	0.0	0.0	0.5	1.19	0.78	0.22	0.36	0.07	0.14	8.28	0.45	0.82	1.72	2.49	1.01	0.0	2.77	0.0	0.0	1.69	1.4	1.57
Tmem151b	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	73.93	0.09	0.0	0.0	102.56	0.22	0.47	131.19	13.6	0.0	0.0	0.38	0.0	0.0	73.63	72.91	73.42
Trp53rk	0.67	0.82	0.7	0.86	0.74	1.38	0.27	0.36	0.67	0.06	0.08	0.33	0.44	1.69	0.45	0.36	0.58	0.98	1.04	1.72	1.14	7.69	32.55	1.25	0.45	1.7	0.06	0.11	3.58	3.22	2.95
Uba6	0.06	0.0	0.0	5.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	128.11	2.61	0.93	72.2	16.41	116.41	0.0	0.0	253.06	0.0	12.1	0.0	2.81	0.0	0.0	13.22	10.13	11.9
Ulk3	2.04	5.71	4.59	2.82	1.56	3.6	1.76	3.45	4.0	0.0	0.0	5.57	3.9	4.62	1.77	2.49	3.24	3.43	4.49	3.37	7.43	7.7	15.35	16.9	0.0	22.41	1.46	1.71	22.58	23.52	24.84
Vip	17051.42	24688.7	27223.39	32658.1	48402.26	35690.76	17169.75	21970.5	22508.45	0.0	24307.74	42738.55	20043.81	39789.49	34420.5	53179.5	32676.37	46837.05	32241.62	12608.74	23582.35	23865.54	0.63	364.43	0.0	17206.39	6881.82	14881.0	44.81	42.4	44.71
Wars2	5.32	4.72	3.77	2.24	3.07	0.84	4.8	3.36	3.21	0.0	0.43	2.28	11.25	2.69	4.1	0.82	2.75	3.07	104.58	5.4	5.47	12.14	9.63	10.22	0.36	3.22	0.34	1.06	5.34	6.17	5.87
Xrcc6	0.08	0.0	0.0	187.19	0.0	0.0	75.8	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.69	0.0	324.39	0.0	29.1	0.0	311.07	0.0	0.0	17.21	17.23	17.43
