	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_19	Ntsr1_tdTpos_10cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
D3Bwg0562e	0.4	0.4	0.61	0.03	2.03	2.34	1.03	1.95	84.8	73.91	88.56	0.61	0.74	1.95	0.0	0.42	0.55	0.62	0.0	1.35	109.51	121.62	116.8	128.52
Dnase2a	0.5	0.0	0.0	0.34	3.99	2.95	0.35	2.05	0.47	0.67	0.74	0.67	0.31	0.31	0.48	0.74	0.0	1.27	0.0	0.0	1.28	4.82	5.11	5.28
Dok5	0.24	0.3	0.0	0.0	1.64	4.33	0.39	6.82	114.55	77.53	7.57	1.2	0.0	0.26	0.0	0.38	0.0	0.32	0.34	0.99	171.99	38.48	37.51	34.42
Fbln2	0.0	0.0	0.0	0.0	0.23	0.14	0.0	0.0	0.36	0.87	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	5.63	4.86	5.69
Fry	16.55	0.2	0.29	0.7	24.84	27.49	0.34	0.88	90.6	88.73	54.43	0.04	0.09	0.26	0.39	0.11	0.0	0.18	0.2	0.4	36.15	46.99	45.26	49.38
Gm5465	0.0	0.0	0.0	0.0	4.93	3.31	0.0	0.0	0.26	0.76	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.1	1.1	0.99	1.0
Grk1	2.07	0.27	2.5	0.1	7.54	1.71	0.7	2.72	5.63	4.23	2.93	0.25	1.06	0.0	0.09	0.41	0.39	0.0	0.0	1.63	2.0	0.89	0.76	1.05
Ikbkap	0.0	0.0	0.0	0.0	42.02	0.19	0.06	12.13	31.33	9.91	12.53	0.02	0.0	0.07	0.0	0.0	3.12	0.0	0.0	17.77	36.21	36.64	38.77	35.93
Lrrc1	0.0	0.0	0.0	0.0	371.98	183.96	0.0	0.0	4.42	6.39	0.05	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.46	8.64	8.24	8.7
Msx2	0.0	0.54	0.0	0.0	1.98	0.81	0.0	1.5	1.37	0.33	1.63	0.22	0.0	0.2	0.0	0.52	0.0	0.0	0.0	0.0	0.6	0.35	0.26	0.45
Myt1l	0.02	0.0	0.0	0.0	0.14	0.97	0.11	19.67	46.94	37.72	62.53	0.03	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.04	105.73	108.73	92.4	106.64
Nap1l2	0.0	0.0	0.0	0.21	0.76	0.67	0.15	0.0	117.46	67.67	155.65	0.36	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.12	172.27	114.72	111.14	103.49
Nsd1	0.0	0.75	0.0	0.0	140.62	151.53	0.18	80.58	26.48	24.28	15.67	4.8	124.44	0.36	0.0	5.94	0.04	0.03	0.03	69.1	47.87	34.19	32.27	36.03
Pclo	0.06	0.03	0.02	0.0	0.2	5.59	0.14	0.65	19.57	29.45	13.16	0.07	0.02	0.0	0.0	0.03	0.34	0.0	0.0	0.18	28.59	60.14	52.02	64.43
Pfdn1	0.15	165.26	0.0	0.0	303.08	372.77	2.7	0.0	387.72	265.69	228.26	0.68	0.0	0.0	0.0	11.46	0.0	0.0	0.0	307.93	266.36	59.43	62.75	65.41
Plp1	38762.16	37183.63	39260.88	36423.02	20586.09	39094.25	44134.5	27253.74	0.75	0.77	0.93	24374.43	33133.41	22827.52	25943.45	25719.92	19773.88	18879.57	22995.41	36841.4	0.25	1007.22	894.47	1205.0
Praf2	0.0	0.0	0.0	0.0	525.06	393.31	0.34	0.0	272.91	176.91	297.42	0.2	112.46	1.1	0.0	557.5	0.0	0.0	0.0	351.19	307.62	109.86	110.89	114.32
Ptchd1	0.0	0.0	0.0	0.08	0.23	0.35	0.06	0.0	127.61	85.57	55.34	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	161.91	9.86	8.36	8.11
Rfwd3	0.0	0.0	0.0	0.0	175.95	141.0	0.0	0.0	1.39	0.51	0.36	0.05	0.0	0.0	12.66	0.0	0.0	0.0	0.0	0.0	12.55	19.01	18.56	18.54
Rnf113a2	0.0	0.0	0.0	0.0	441.35	272.08	0.0	397.23	32.79	18.91	28.29	19.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.77	12.77	13.53	15.27
Setdb1	0.2	0.0	9.34	0.0	86.06	131.82	0.0	0.91	15.78	8.25	47.39	7.24	0.0	0.0	0.0	0.13	0.11	0.0	0.23	0.07	11.87	29.16	26.78	27.13
Smek1	27.17	33.49	0.0	29.34	93.46	100.33	3.14	0.0	30.93	36.5	21.34	0.72	0.05	0.28	0.0	0.65	0.0	0.0	0.23	23.16	18.98	26.23	22.18	25.24
Tgm3	0.04	0.15	0.15	0.71	2.14	5.87	0.35	2.26	5.45	1.78	4.27	1.44	0.0	0.0	0.0	0.14	0.32	0.13	0.0	2.94	0.97	3.24	2.81	3.68
Wdpcp	0.0	0.0	0.0	0.0	471.82	269.48	0.0	0.0	5.42	0.0	109.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.78	7.97	7.58	7.64
Zfp664	0.0	0.0	0.0	0.0	149.91	101.45	0.0	0.0	15.7	19.21	6.09	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	9.74	2.37	74.37	72.05	69.74
c7_LSU-rRNA_Hsa	8.69	5.71	5.93	16.4	96.96	58.1	12.01	50.85	15.03	23.94	98.43	21.12	7.85	41.49	6.33	12.02	30.96	16.1	5.04	24.57	52.27	94.71	85.64	91.89
