	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_74	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Atpbd4	0.0	0.09	0.0	0.34	4.97	0.37	35.15	0.43	11.18	0.26	0.08	0.41	0.29	0.28	1.67	10.85	16.71	40.22	0.0	47.69	341.59	0.0	0.17	15.18	38.43	0.39	26.66	22.52	37.07	40.02	0.41	0.19	0.37	1.08	44.46	0.66	47.09	40.21	107.82	0.13	19.08	18.76	16.64
B230206F22Rik	5.5	1.36	0.16	1.22	0.68	0.23	38.3	10.09	5.45	6.98	0.0	7.32	1.96	30.25	2.61	2.77	26.99	7.49	0.56	26.44	137.75	24.25	4.74	8.99	24.74	10.67	38.82	0.0	19.84	14.43	2.71	13.66	1.94	1.77	21.39	1.37	0.11	2.38	1.42	0.08	30.92	22.27	27.01
BC029722	0.0	0.0	0.0	0.0	3.38	0.0	3.08	0.0	36.14	1.54	0.47	0.0	14.48	13.01	0.0	0.58	25.67	0.81	9.22	19.08	59.52	8.0	1.01	12.81	4.24	38.61	0.68	9.74	13.08	3.3	3.58	22.78	15.36	6.4	2.95	1.98	4.95	1.99	0.29	0.0	81.51	86.83	77.47
BC053393	1.4	0.0	0.0	0.23	0.28	4.26	0.4	0.0	0.35	0.0	0.0	2.83	1.01	2.65	0.63	0.0	0.27	0.0	0.0	0.0	5.71	2.39	0.0	0.18	0.77	4.66	0.0	0.19	0.68	2.01	3.51	1.39	0.38	1.32	3.53	2.66	0.24	0.89	0.0	0.0	1.1	0.58	0.66
Bzrap1	0.0	0.0	0.0	0.0	0.0	0.99	1.09	0.23	0.26	28.41	0.0	0.06	0.0	1.6	8.72	0.1	0.28	9.38	7.36	6.31	27.87	0.05	14.79	0.87	0.03	0.63	0.68	5.83	0.0	1.75	0.1	0.0	2.26	0.86	16.25	4.33	2.86	2.09	2.37	0.0	137.24	134.23	146.03
C130071C03Rik	0.0	0.0	0.0	0.0	0.86	0.0	35.09	0.0	38.04	23.04	0.0	0.0	0.0	23.59	9.5	5.31	3.65	0.0	0.0	0.48	105.48	109.15	1.37	0.0	0.0	96.34	15.59	2.67	0.0	3.97	0.0	0.0	5.85	8.05	44.32	0.0	0.0	3.71	0.0	0.0	3.29	3.79	4.6
C130074G19Rik	0.17	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.39	0.0	0.41	0.0	0.0	0.13	49.03	50.81	49.79
Cacna1b	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	10.32	7.26	0.0	0.0	6.52	23.15	0.0	0.0	0.0	1.11	0.0	0.0	3.44	0.94	0.0	8.67	0.0	0.49	0.0	2.25	0.08	2.64	0.0	0.0	0.0	49.92	43.71	54.19
Cd2ap	0.26	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	2.26	0.0	7.53	0.0	0.0	0.0	0.83	39.59	0.0	0.0	0.0	17.32	0.89	5.06	0.13	10.18	0.86	0.0	0.0	0.0	0.0	0.15	0.4	0.0	0.0	0.07	0.0	16.43	12.39	15.98
Chd2	56.63	3.96	0.0	1.37	0.0	0.17	0.0	0.13	3.4	8.06	0.03	7.63	4.04	39.75	17.28	11.94	7.86	14.6	3.7	3.41	46.49	0.13	0.0	0.0	16.98	3.17	6.53	13.83	0.42	0.62	3.48	19.58	5.3	11.3	7.56	22.38	12.76	3.12	3.97	0.0	18.62	17.08	20.11
Clec16a	0.0	0.0	0.0	0.0	3.0	0.0	0.6	0.0	18.12	9.32	0.87	43.03	34.97	1.59	11.68	24.75	19.5	22.58	0.57	10.08	100.31	0.1	0.0	6.28	32.41	0.35	21.14	16.18	12.45	0.71	28.27	23.76	14.76	33.98	64.4	21.96	34.88	78.79	0.8	5.17	41.91	40.8	43.19
Cog7	0.0	0.18	0.0	0.63	2.09	1.56	29.73	0.76	3.51	30.62	13.28	12.62	45.8	75.12	46.47	36.93	4.54	39.89	30.91	28.04	86.66	1.19	4.49	1.73	27.55	76.71	36.05	55.28	5.26	8.74	84.22	10.88	160.78	0.53	30.16	1.45	0.27	42.95	11.24	0.0	43.41	44.44	41.13
D630045J12Rik	0.0	0.03	0.0	0.08	0.92	0.23	0.04	0.21	6.55	6.69	0.02	26.14	0.0	14.75	0.91	31.79	12.02	12.21	0.0	9.14	23.9	21.83	12.88	27.59	0.13	0.0	24.66	10.06	0.1	4.53	0.06	13.11	0.03	26.12	29.12	9.96	0.04	0.0	12.11	0.23	17.42	15.92	19.69
Eml4	0.0	0.05	0.0	0.36	0.45	37.3	10.9	0.0	16.55	6.69	0.1	10.28	0.26	21.51	25.99	0.46	0.84	8.61	0.87	18.76	95.56	1.18	11.2	0.73	1.21	0.22	0.17	0.55	2.26	29.46	3.2	18.81	1.1	0.8	19.84	3.66	0.84	19.36	0.68	0.0	21.41	19.76	22.34
Fbxl2	0.0	120.71	0.0	0.0	0.54	0.0	0.87	0.37	34.21	0.0	75.93	16.21	38.77	35.31	39.97	119.01	78.12	0.0	33.29	38.6	152.47	0.45	50.61	0.0	0.19	4.0	0.0	23.37	0.0	39.67	75.65	16.89	0.0	29.42	23.42	0.0	23.34	0.0	0.0	0.0	44.79	44.85	44.49
Fhl1	121.03	0.0	51.26	0.0	0.0	171.21	7.97	0.29	67.81	10.9	53.62	53.06	5.6	47.58	40.63	69.33	31.12	40.09	0.52	0.0	158.86	3.41	88.86	5.66	51.62	122.11	122.17	9.14	76.91	85.58	35.04	5.62	0.1	36.0	47.15	0.0	40.13	24.78	19.4	0.0	89.26	89.86	89.95
Flii	0.0	0.0	0.0	0.0	0.14	0.0	37.06	0.0	14.38	3.64	15.41	7.45	10.22	36.24	17.78	0.0	21.49	20.93	7.1	49.67	45.26	0.9	2.95	0.0	5.69	0.0	12.31	14.51	1.03	43.48	14.56	17.58	1.62	31.1	26.42	0.0	2.62	0.0	0.05	0.0	36.29	36.47	35.66
Fnip2	0.0	0.28	0.0	2.75	0.77	0.22	1.28	0.59	1.92	0.0	0.0	1.23	6.36	13.11	0.4	0.47	0.78	0.55	0.45	1.72	26.4	0.66	12.53	0.13	0.95	0.15	0.49	0.37	1.3	0.07	0.16	2.5	5.72	1.33	12.7	16.79	1.01	0.91	15.18	0.0	8.12	8.72	8.24
Fyco1	6.88	5.42	0.0	4.22	8.69	21.62	1.81	22.12	6.82	11.33	0.16	2.53	3.95	28.99	10.27	14.79	15.99	18.37	7.13	11.89	24.98	12.87	10.95	17.23	8.79	18.63	5.91	7.5	6.46	20.27	9.76	8.2	15.82	18.62	16.91	9.19	7.06	12.18	5.1	0.14	23.38	18.49	24.79
Gabpb2	2.47	0.52	0.0	3.43	0.98	1.28	0.46	1.67	0.66	1.84	0.0	1.08	0.29	18.97	1.69	5.64	1.14	0.64	0.17	0.19	10.02	4.33	0.62	1.57	0.63	0.88	1.11	0.58	0.53	14.07	9.48	1.19	10.89	2.08	1.31	0.7	0.48	1.87	0.67	0.21	9.12	8.58	8.74
Gdap1	0.0	9.72	0.0	0.0	30.14	36.51	50.27	0.15	51.9	95.68	76.49	32.92	20.35	174.18	33.81	70.93	83.64	102.77	36.94	48.83	162.34	0.0	1.96	34.95	42.35	0.0	91.43	55.21	154.35	35.62	28.83	36.21	49.58	187.92	206.25	36.34	48.41	71.94	61.75	29.45	82.99	75.68	78.99
Git2	0.28	26.46	0.0	0.1	3.35	2.18	1.54	1.46	9.63	17.77	0.0	0.0	4.0	55.18	0.14	26.45	4.98	7.3	8.71	9.83	40.55	37.82	0.46	0.25	2.31	0.27	6.03	6.05	13.38	7.64	7.06	17.2	22.29	12.71	0.0	51.73	13.69	2.23	17.92	0.0	17.24	17.61	15.95
Glis2	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.85	0.0	0.0	0.0	0.15	4.25	0.0	5.35	48.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	8.5	10.19	9.06
Gm14124	0.0	0.08	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.18	0.0	0.21	0.0	10.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.25	0.28	0.12
Gm14137	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.12	0.0	0.69	0.0	0.0	0.0	0.0	0.0	40.89	0.0	0.11	0.0	0.0	0.0	0.0	0.93	0.17	0.0	21.42	0.0	0.0	0.0	0.0	0.0	8.16	0.15	0.12	0.0	2.8	2.66	2.95
Gm5069	0.0	0.07	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.17	0.0	0.0	1.4	0.0	0.0	51.56	0.0	0.14	0.09	0.0	0.0	0.0	0.21	0.0	0.0	0.12	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.11	2.71	2.69	2.62
Gpld1	0.0	7.51	0.0	0.0	0.0	0.0	0.0	304.44	0.0	0.0	0.64	0.0	0.0	0.82	7.71	1.34	7.04	0.0	0.0	0.0	48.9	0.0	1.07	0.99	4.89	1.03	26.12	1.52	0.0	0.0	0.8	0.11	15.66	3.97	0.0	0.0	0.0	0.0	0.0	0.0	39.21	37.07	39.52
H2-D1	0.0	0.28	0.0	0.78	1.02	0.31	0.6	0.18	23.76	0.82	0.0	0.66	5.48	1.4	22.82	3.07	4.27	7.16	18.61	0.93	114.97	0.0	0.43	0.97	0.63	0.59	25.77	0.46	0.89	0.35	0.78	31.26	2.08	1.07	0.0	32.03	52.58	0.0	0.91	0.0	45.01	53.6	49.28
Ighmbp2	0.17	1.29	0.0	0.89	0.0	0.52	0.22	0.85	0.29	0.0	0.0	0.74	1.65	0.51	0.12	0.0	0.1	0.51	0.17	0.46	9.65	0.0	0.08	0.12	0.55	0.22	0.19	0.13	0.05	0.29	0.07	0.09	0.13	0.48	0.75	0.08	0.17	5.26	0.3	0.0	6.15	6.87	6.15
Itpkb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	13.2	13.02	15.21
Kdm2a	0.0	2.1	0.0	0.0	0.0	0.14	15.61	0.0	1.93	15.8	7.34	1.62	0.56	0.84	9.32	6.88	19.38	3.09	13.07	0.0	22.84	3.05	0.81	0.04	4.61	0.0	0.0	10.49	0.0	6.52	17.3	7.27	4.4	18.21	13.63	1.69	4.83	7.98	12.61	0.0	34.15	34.03	33.11
Kidins220	4.67	0.03	0.0	0.0	167.11	30.63	6.65	28.53	95.44	46.05	63.72	60.79	60.15	80.1	39.55	65.96	30.8	25.19	15.29	94.17	103.95	11.88	40.84	2.33	30.78	1.99	9.42	58.7	25.91	20.47	78.53	77.11	66.49	32.06	79.4	21.49	45.1	11.32	32.76	0.82	146.05	137.39	144.07
LOC100861572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.89	0.0	0.0	2.86	10.78	2.96
Ldhb	7486.96	8970.97	2593.67	5274.92	7692.96	8204.16	8752.31	6399.01	8798.32	8750.45	10118.08	10894.4	8525.9	8892.3	8517.89	9220.91	9343.6	8223.21	8574.79	10165.1	9166.61	7814.88	9602.81	7343.35	7785.08	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8904.1	8390.99	11010.48	8275.76	10182.84	11746.38	4283.85	737.58	774.98	752.92
Leo1	0.0	0.0	0.0	0.0	0.0	0.0	36.16	0.0	21.2	72.0	208.96	35.73	20.04	165.68	0.0	70.67	115.22	27.88	16.44	0.0	196.73	147.97	144.92	0.0	10.77	0.0	35.05	74.77	16.81	37.47	66.99	55.04	53.32	140.92	77.43	21.77	68.13	71.49	14.18	0.0	24.8	22.89	26.02
Lpcat4	0.0	0.13	0.0	0.0	0.0	0.0	3.56	0.0	8.81	0.0	0.26	0.0	5.8	74.81	0.34	31.45	14.4	14.95	30.45	52.72	63.47	0.0	8.0	21.34	31.86	0.0	39.91	36.05	27.28	0.22	4.77	33.17	5.94	9.23	34.23	20.04	54.86	0.0	70.38	0.0	125.99	137.81	128.9
Man2c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	4.22	6.29	4.93	3.7	0.0	11.44	25.57	0.0	0.0	0.0	28.85	0.0	77.34	0.0	0.0	0.0	13.0	0.0	37.13	0.0	1.47	21.11	0.12	0.0	36.25	0.26	3.2	0.17	0.0	0.0	0.0	0.0	45.18	46.88	47.37
Me3	1.54	51.97	0.64	0.06	8.26	0.36	21.12	1.7	22.03	11.59	0.0	8.02	29.04	49.81	31.34	7.0	10.23	0.4	46.19	0.74	192.01	114.28	68.69	38.37	7.04	28.88	9.35	44.08	11.85	24.85	33.88	22.81	50.11	26.01	33.43	15.01	27.57	6.93	27.04	0.0	40.82	30.06	29.68
Megf9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	34.72	7.45	0.0	16.57	4.89	20.33	48.97	9.54	6.89	96.02	0.0	0.0	0.0	0.85	0.0	0.0	4.66	0.0	0.0	1.34	5.87	13.48	14.59	32.05	0.0	0.0	0.0	0.0	0.0	69.98	62.26	73.19
Metap1d	0.0	0.0	0.0	0.0	4.68	175.35	192.75	636.98	53.11	41.12	27.73	125.09	39.21	108.54	19.15	70.85	7.96	0.9	2.43	57.65	272.22	1.48	9.34	32.54	38.26	53.15	42.09	11.65	46.86	48.58	68.97	34.22	100.4	85.48	109.48	0.0	9.79	43.07	59.84	0.0	21.98	21.76	22.78
Mff	0.0	0.13	0.0	0.0	37.96	5.5	25.9	0.65	3.21	123.37	8.63	74.25	75.02	85.52	64.39	42.8	62.9	20.05	4.53	46.41	233.15	0.33	87.68	174.46	18.8	2.44	69.66	62.75	91.83	57.3	98.38	13.01	64.86	193.82	102.65	37.15	46.35	168.6	36.43	0.2	208.49	208.02	203.49
Nceh1	0.0	84.38	0.0	0.0	47.96	0.11	81.33	0.13	198.98	141.6	155.9	175.42	285.55	296.48	167.56	112.52	155.03	198.35	63.27	156.69	322.33	38.06	200.95	83.12	214.75	28.28	157.38	144.62	75.83	92.41	140.11	154.46	236.98	129.93	77.3	54.19	85.09	83.43	165.58	0.4	91.84	88.81	88.21
Nfe2l1	0.0	30.93	0.0	0.0	7.45	4.48	28.89	0.17	31.42	67.84	3.22	14.78	28.84	76.25	5.97	20.06	91.87	41.13	12.59	15.75	62.2	60.26	8.1	14.43	15.06	2.66	9.95	28.9	38.8	17.67	31.19	4.1	3.59	51.31	17.74	31.48	5.74	41.52	3.76	0.93	227.17	223.7	221.14
Orc2	0.0	0.92	0.0	0.0	0.51	0.0	2.97	0.0	0.53	0.42	0.0	0.0	8.78	50.76	5.82	8.87	4.86	0.0	40.54	7.87	161.47	56.62	5.28	0.0	0.0	4.06	39.99	8.24	2.17	35.84	19.48	0.0	0.0	11.78	3.53	2.71	4.12	15.91	7.93	0.0	27.76	24.56	27.26
Pdcd6ip	0.0	0.0	0.0	0.0	0.0	0.0	20.97	0.1	2.17	2.44	0.95	0.71	0.57	13.31	19.84	1.31	18.92	4.77	2.88	0.32	69.19	0.1	0.0	22.06	8.37	0.0	1.02	8.91	0.18	1.83	18.35	6.56	27.05	20.11	6.48	8.15	12.3	15.23	17.59	0.0	42.01	39.34	42.87
Pex14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	1.02	0.0	0.0	2.8	0.0	20.11	15.5	0.0	0.0	13.49	90.17	4.73	0.48	0.0	2.85	0.0	5.9	5.94	1.01	12.08	9.92	4.94	0.0	25.2	38.47	0.0	3.0	12.2	35.05	0.0	48.28	53.86	50.16
Phc1	0.0	0.07	0.0	0.0	0.0	124.59	0.23	0.16	0.16	0.0	0.0	0.0	0.35	12.9	0.0	0.0	0.0	0.0	0.0	0.0	78.53	0.0	0.0	5.05	0.0	0.0	7.62	9.27	0.0	1.59	0.0	0.0	0.12	0.0	29.03	0.0	5.71	0.24	0.0	0.0	34.46	37.13	36.5
Plekha6	0.0	8.54	0.0	0.0	0.0	0.0	13.2	0.0	0.63	0.29	0.0	0.0	0.1	8.59	0.71	0.11	5.06	2.58	0.0	5.61	20.31	0.0	0.0	8.28	0.95	0.0	0.0	10.46	6.08	1.08	1.98	9.61	0.38	2.19	7.1	0.45	0.4	0.06	18.74	0.0	47.56	44.89	49.5
Plin3	1.63	0.36	0.0	1.71	2.67	0.0	2.36	1.15	3.59	1.72	0.23	1.74	13.31	3.73	1.18	1.67	17.98	1.56	0.84	2.42	7.51	0.54	2.38	1.03	1.67	3.51	2.81	2.09	1.79	1.5	3.06	3.18	2.8	3.55	12.97	2.99	2.04	3.42	3.39	0.0	13.57	14.59	15.22
Polr3e	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	4.35	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.26	104.29	0.0	0.0	0.2	7.73	0.09	0.0	0.19	0.0	0.0	0.09	0.0	0.0	3.76	0.0	0.0	0.0	0.0	0.0	0.0	23.61	27.48	23.53
Polrmt	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.16	0.0	0.0	0.38	0.99	0.41	0.0	0.0	0.0	0.0	6.0	1.77	28.01	0.0	0.0	0.0	0.0	0.0	0.16	26.83	0.0	0.0	3.46	2.51	0.0	0.44	11.26	0.29	0.0	0.0	0.0	0.0	18.4	21.44	20.42
Ppp1r15b	0.94	0.49	4.72	0.0	4.59	0.0	0.0	0.14	16.7	5.84	0.43	0.34	9.55	20.74	0.67	0.23	0.66	1.52	0.12	0.64	48.13	0.38	0.08	0.05	3.04	0.0	0.06	0.12	0.19	0.33	0.28	0.83	0.27	25.01	0.49	1.07	13.07	0.0	0.22	0.13	33.88	32.71	26.96
Prkg1	1.72	0.22	0.0	0.0	0.22	0.15	0.06	0.0	0.16	0.16	0.0	0.27	0.36	0.89	0.55	0.11	0.25	0.34	0.0	0.27	14.45	0.29	0.0	0.0	9.56	0.16	0.28	0.4	3.45	0.16	0.6	0.35	0.62	0.18	0.36	0.28	0.08	0.34	0.06	0.0	5.98	5.38	6.26
Ptms	8.45	65.28	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0	2.22	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	3.47	70.89	0.0	0.0	0.0	1.16	0.0	0.0	0.64	3.22	1.09	0.0	0.0	0.0	1.48	2.79	0.96	24.44	0.0	28.81	0.0	736.58	799.51	735.86
Rad21	0.0	0.0	0.0	0.0	2.69	0.0	9.72	0.0	53.98	3.29	0.14	2.11	0.85	4.05	0.53	10.03	0.0	0.76	16.82	0.0	135.6	0.33	0.0	25.0	0.36	0.0	0.08	0.59	0.08	9.24	21.81	0.69	2.04	15.91	21.22	5.96	26.14	3.37	0.0	56.02	90.38	90.58	87.08
Rasgrf2	0.0	0.0	0.0	0.0	23.89	0.0	37.82	0.0	18.84	14.82	59.44	0.0	32.29	38.25	33.12	12.03	24.14	2.43	0.1	0.0	41.24	33.74	0.0	0.99	6.05	26.62	11.68	13.55	22.89	34.22	27.47	5.84	2.8	27.01	44.6	8.49	0.24	0.46	15.64	0.0	69.67	65.09	66.74
Rfxap	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.71	0.0	0.12	0.0	2.38	3.94	0.0	0.0	45.18	0.0	0.0	3.02	98.9	0.0	18.35	0.0	0.0	0.0	24.27	0.0	0.0	11.97	0.0	4.65	7.09	0.0	1.11	9.78	0.0	0.0	0.0	0.0	27.62	31.63	26.29
Rgs7bp	0.74	1.11	0.0	3.47	5.62	13.84	52.49	2.17	89.87	34.57	23.82	30.7	38.16	80.03	66.56	41.33	21.77	50.75	46.53	75.33	91.72	9.41	8.08	61.98	110.95	28.57	51.6	56.56	36.19	27.38	36.07	38.49	52.8	60.96	73.45	61.33	57.6	10.56	9.01	31.6	124.57	101.66	124.47
