	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_6	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_19	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_85	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Sst_tdTpositive_cell_66
Atxn7l3	0.0	28.9	0.0	0.0	0.0	0.0	0.76	0.24	0.52	0.42	11.98	0.18	0.34	0.0	3.72	1.24	0.0	0.1	1.22	0.89	0.15	6.07	13.84	16.69	0.49	0.62	0.32	0.84	0.11	16.69	2.68	1.32	14.86	0.0	0.0	0.0	19.17
Cand1	0.0	55.2	0.03	2.06	0.0	0.03	34.84	4.25	21.06	65.98	20.68	48.27	32.94	13.91	15.04	25.28	27.65	0.0	39.93	36.7	22.96	33.21	13.72	5.96	45.36	74.98	21.92	33.13	37.66	21.98	45.1	61.56	26.2	0.05	0.0	0.0	71.16
Ccdc109a	0.0	0.0	0.09	0.0	0.0	0.0	90.93	0.92	18.95	63.23	50.29	57.14	61.73	4.04	78.57	49.53	74.61	0.0	45.32	20.89	23.09	30.96	12.57	44.65	41.96	21.18	23.38	8.79	16.27	48.53	41.7	39.17	0.0	0.14	0.0	0.0	88.79
Clip4	0.0	90.1	51.94	0.0	0.0	46.03	76.38	25.22	49.27	15.09	16.25	84.74	26.24	11.49	27.3	17.6	58.31	21.48	31.5	29.67	35.15	21.19	0.0	31.97	57.34	25.79	25.95	47.96	66.23	24.76	4.49	35.86	5.86	0.0	0.0	0.0	76.22
Cryz	0.0	125.67	0.0	0.0	0.0	0.0	20.13	22.98	32.7	17.55	61.26	54.44	0.0	0.0	0.0	87.39	23.02	0.0	0.0	41.63	0.0	12.98	0.0	0.0	0.0	30.74	0.0	84.76	55.59	17.38	0.0	0.0	0.0	9.25	0.0	0.0	0.0
Cxxc5	0.0	60.42	0.0	0.0	0.0	0.0	19.83	33.02	32.49	0.0	3.14	26.98	0.0	0.0	0.0	0.14	0.0	0.31	3.93	0.0	18.81	0.0	0.19	0.0	18.37	49.99	0.0	10.48	0.0	11.05	0.47	8.09	1.79	0.18	0.0	0.0	0.0
Dek	0.0	108.55	0.0	0.0	0.0	0.0	33.17	6.9	12.14	45.34	6.69	1.5	38.82	0.0	0.0	4.01	18.71	0.0	10.3	33.32	23.14	20.78	5.36	32.78	12.86	9.58	3.61	0.0	104.21	39.18	16.82	67.52	5.01	0.38	0.0	0.0	68.85
Dusp8	0.0	98.93	138.92	0.0	0.19	0.0	90.49	42.12	21.13	5.07	10.72	32.97	36.96	28.59	39.01	43.41	22.49	65.02	30.67	0.0	27.65	7.09	80.94	78.52	29.82	96.38	34.15	20.21	0.0	12.52	117.31	47.62	0.0	0.0	0.0	0.0	42.62
Efhd2	0.0	189.95	114.24	0.14	0.0	46.28	10.94	17.41	0.0	41.54	23.64	75.77	17.0	92.4	0.0	63.11	84.96	19.36	48.73	19.83	29.64	14.12	40.73	137.53	38.07	6.94	0.33	48.13	88.59	50.38	23.33	10.9	5.41	0.53	0.0	0.0	21.06
Fam173a	0.0	527.73	46.58	0.0	0.0	0.0	274.67	184.33	171.53	142.71	282.9	193.72	133.25	145.4	238.2	157.88	196.59	190.7	182.33	395.98	178.2	244.75	281.66	109.14	217.52	317.32	384.49	148.72	140.67	128.55	55.17	108.2	239.15	0.55	0.89	0.0	426.46
Fyco1	6.88	33.46	5.42	0.0	4.22	1.17	11.33	0.16	2.53	28.99	14.79	11.89	10.95	15.2	18.63	5.91	7.5	15.16	6.46	20.27	20.35	8.2	15.82	9.19	12.18	4.87	12.13	43.67	5.85	14.38	13.4	26.15	5.1	1.44	0.4	1.66	18.85
Gm14430	0.0	1.3	0.0	0.0	0.0	0.0	36.04	0.0	14.72	1.87	6.05	13.46	12.83	34.77	3.07	11.03	18.55	24.34	13.57	4.08	18.47	0.0	0.32	0.54	8.34	26.82	40.89	23.53	11.12	25.3	15.88	25.21	2.38	0.24	0.0	0.41	33.17
Gm14434	0.0	1.3	0.0	0.0	0.0	0.0	36.04	0.0	14.72	1.87	6.05	13.46	12.83	34.77	3.07	11.03	18.55	24.34	13.57	4.08	18.47	0.0	0.32	0.54	8.34	26.82	40.89	23.53	11.12	25.3	15.88	25.21	2.38	0.24	0.0	0.41	33.17
Gm14435	0.0	487.32	90.93	0.0	0.27	118.0	430.89	301.94	135.34	234.14	386.53	191.32	194.46	114.81	99.81	217.07	364.65	282.75	175.35	414.73	160.24	251.99	103.06	168.51	175.51	330.48	175.12	207.27	102.87	156.26	208.84	349.12	203.78	80.55	0.0	0.0	81.68
Gm3286	0.0	1.92	0.0	0.0	0.34	0.0	1.38	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.39	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	2.12
Gm4724	0.0	1.3	0.0	0.0	0.0	0.0	36.04	0.0	14.72	1.87	6.05	13.46	12.83	34.77	3.07	11.03	18.55	24.34	13.57	4.08	18.47	0.0	0.32	0.54	8.34	26.82	40.89	23.53	11.12	25.3	15.88	25.21	2.38	0.24	0.0	0.41	33.17
Kazn	0.0	74.16	0.0	0.0	0.0	0.0	70.23	0.68	38.31	6.27	32.12	23.76	30.77	5.42	39.33	28.35	42.37	0.1	22.51	49.25	68.54	64.92	35.16	168.45	23.49	51.04	44.72	39.05	6.62	83.16	52.75	14.71	54.02	0.0	0.0	0.0	50.26
Kcnma1	0.0	82.81	17.94	0.0	0.0	0.12	66.86	17.09	26.89	24.56	35.95	58.24	14.14	0.29	104.51	28.73	39.18	24.53	24.55	34.15	38.16	59.77	108.52	37.68	19.61	74.2	22.3	20.44	44.08	62.22	51.91	106.74	57.88	0.79	0.0	6.97	67.34
Kpna3	0.56	163.29	0.06	0.0	0.0	0.0	44.08	12.99	42.58	72.49	68.12	41.3	60.52	0.0	0.18	34.65	73.58	0.0	34.49	52.55	15.14	55.74	18.78	51.01	27.23	59.64	83.33	53.09	136.88	113.1	95.1	54.33	46.07	0.1	0.0	0.0	65.84
Ldhb	7486.96	8138.08	8970.97	2593.67	5274.92	5876.73	8750.45	10118.08	10894.4	8892.3	9220.91	10165.1	9602.81	8469.38	11261.44	10004.69	9074.03	6837.62	13571.31	12546.17	7218.63	8513.41	9755.78	11010.48	10182.84	7070.46	7928.56	7910.47	7844.79	7830.1	8111.86	8045.48	11746.38	5217.81	5577.5	2070.08	6038.57
Mrpl11	0.88	106.68	0.34	0.12	0.16	0.9	34.34	25.11	1.0	58.36	40.53	49.18	27.78	0.37	55.04	18.52	69.47	27.01	59.36	34.36	32.62	35.18	22.08	56.36	49.49	15.56	75.94	49.56	38.14	41.4	38.3	22.35	12.48	1.67	0.31	0.0	68.38
Mrps11	0.0	235.34	291.5	0.0	0.0	0.0	126.72	213.94	154.27	163.34	124.88	170.87	81.99	98.29	127.37	179.03	219.54	99.43	255.63	114.39	344.87	137.09	215.39	296.14	172.36	242.03	152.92	384.51	167.96	170.89	253.95	181.41	129.45	1.65	0.0	0.0	291.1
Mul1	0.13	170.66	60.45	0.0	0.0	0.07	0.0	33.16	57.42	61.22	17.05	41.34	50.95	63.96	32.47	56.66	62.86	76.58	82.15	63.88	46.78	51.42	2.58	78.49	43.09	53.54	67.58	56.24	30.13	54.26	60.68	38.28	0.1	0.23	0.0	0.0	153.05
Myo18a	13.11	31.69	0.0	0.0	0.0	0.0	5.1	7.57	3.03	16.65	0.11	0.96	13.01	0.05	0.15	14.2	0.19	0.0	0.0	1.21	0.0	0.0	0.0	0.0	0.73	0.37	16.74	0.36	0.0	1.96	0.52	0.27	0.87	0.0	0.0	0.0	28.72
Nfe2l1	0.0	72.96	30.93	0.0	0.0	0.0	67.84	3.22	14.78	76.25	20.06	15.75	8.1	6.09	2.66	9.95	28.9	2.5	38.8	17.67	23.42	4.1	3.59	31.48	41.52	17.71	38.77	19.02	19.19	39.2	30.08	8.5	3.76	0.0	0.0	0.0	51.13
Os9	0.0	64.52	0.0	0.0	0.0	25.83	0.0	9.62	3.06	4.34	48.63	15.42	0.0	41.79	16.69	19.23	8.6	0.0	17.13	12.54	18.29	33.19	27.41	22.49	10.4	0.0	33.8	12.33	30.69	42.65	14.7	18.58	0.0	0.21	0.0	0.0	8.42
Pak3	0.0	1.29	14.42	0.0	0.0	0.03	27.41	52.32	3.33	43.39	35.07	33.8	14.92	0.04	25.96	18.44	9.65	9.16	57.47	25.15	23.53	20.87	21.18	3.69	34.26	42.94	55.76	62.52	54.95	45.1	16.67	39.47	50.07	0.2	0.0	0.0	63.08
Pgm3	0.0	69.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.48	25.37	0.0	37.91	0.0	14.15	0.0	26.43	0.0	18.09	29.01	14.92	1.99	0.0	0.0	2.41	0.0	0.17	27.48	6.46	6.98	43.97	67.44	0.0	0.0	0.0	0.0	121.12
Ppip5k2	0.0	50.59	0.0	0.0	0.0	0.0	37.37	12.04	29.39	58.34	58.69	72.94	40.52	20.4	15.37	32.62	60.62	7.98	82.09	24.18	28.34	23.06	52.64	59.83	19.43	20.59	6.18	65.79	62.24	73.61	33.83	2.8	54.33	0.0	0.0	0.0	55.17
Pvalb	0.0	1440.49	0.0	0.0	0.0	0.0	1559.12	1319.97	2144.98	1711.38	1590.34	1316.24	1724.33	928.19	1740.57	1769.21	1815.89	107.26	1408.27	1731.8	1644.5	1628.71	1974.07	1295.74	1914.29	1555.2	2567.22	1689.22	1415.72	1823.48	1749.01	1192.47	3516.69	0.0	0.0	0.0	3357.43
Pvrl1	0.0	37.05	0.1	0.0	0.0	0.0	1.37	0.0	0.09	0.0	0.15	0.89	0.27	0.0	0.0	0.0	8.11	0.28	4.31	6.0	1.33	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	3.09	0.0	0.0	0.0	26.01
Rfc1	0.0	100.89	0.0	0.0	0.0	0.0	40.03	36.17	10.64	20.54	23.88	10.36	40.54	0.89	57.57	14.11	18.92	0.07	13.59	44.11	12.87	0.21	38.04	20.95	20.87	39.79	44.48	17.21	0.09	8.52	27.54	3.26	31.13	29.67	0.0	0.0	93.69
Ric3	0.0	29.22	0.0	0.0	0.0	0.0	14.37	0.0	4.02	110.82	4.15	50.85	43.61	0.07	53.57	49.01	29.43	0.2	55.93	27.1	23.74	28.84	33.23	0.11	34.89	34.67	10.08	75.06	7.11	47.37	46.57	4.26	54.75	0.55	0.0	0.0	71.57
Sel1l3	0.0	102.25	0.05	0.0	0.0	0.0	84.56	1.2	14.6	50.79	65.28	28.4	6.03	38.53	0.0	0.0	15.4	0.0	0.0	5.84	1.0	30.11	19.91	21.34	24.92	6.34	5.67	0.0	10.81	0.08	1.32	1.4	26.29	0.09	0.0	0.0	34.41
Sf3a1	0.0	81.27	0.0	0.0	0.0	0.0	9.74	0.0	24.07	20.96	0.0	12.17	1.02	1.13	21.86	0.06	1.73	78.08	27.32	16.87	12.0	11.18	0.0	0.0	0.0	16.6	40.87	21.45	3.61	67.28	33.97	1.98	0.04	0.17	0.0	0.0	3.05
Sgce	155.2	312.24	0.15	0.0	0.0	0.0	60.5	0.0	37.79	18.37	70.12	91.87	16.36	0.0	12.58	6.64	4.27	0.0	43.78	50.27	35.16	84.62	60.84	0.0	46.47	15.52	0.0	63.54	0.0	0.0	101.48	68.14	0.12	0.0	0.0	0.0	307.71
Shisa4	0.0	81.37	0.0	0.0	0.0	0.0	23.02	0.0	5.37	3.99	0.0	1.68	0.0	0.0	0.0	39.28	20.37	0.0	13.95	57.89	32.86	12.54	0.0	18.18	11.33	57.41	45.6	18.48	26.02	10.96	89.62	20.66	37.62	0.0	0.0	0.0	51.7
Slc45a1	0.0	81.23	0.1	0.0	0.0	0.0	8.49	0.0	29.5	35.82	87.98	36.02	11.82	0.0	5.68	2.76	5.31	0.0	18.67	18.83	52.76	28.85	12.25	40.67	4.59	45.62	17.41	14.27	2.07	95.43	80.05	79.14	5.02	0.16	0.0	0.0	74.8
Srsf1	0.0	140.1	8.0	0.0	0.0	0.0	12.6	15.9	0.0	61.14	29.64	3.93	20.44	0.0	0.36	1.02	20.26	8.77	27.33	2.24	24.18	9.68	27.66	4.95	12.1	10.38	80.14	34.18	21.95	53.34	11.58	94.7	19.93	430.33	0.0	0.12	40.01
Tcea2	0.0	355.87	89.25	0.0	0.0	0.0	0.0	0.0	0.0	61.37	0.0	21.27	85.68	0.0	30.04	0.54	1.27	0.0	67.17	22.78	9.04	11.96	60.54	6.68	0.4	33.66	92.73	2.75	70.24	58.21	59.64	39.82	0.0	0.0	1.21	0.0	0.0
Tfg	0.0	309.17	0.13	0.0	0.0	0.0	181.85	240.44	126.45	150.36	263.13	146.91	229.64	154.27	326.02	247.31	211.06	0.2	113.94	182.09	133.94	82.86	233.6	204.14	129.85	127.56	134.58	20.32	34.03	226.66	163.26	184.02	238.6	0.0	139.26	325.74	278.59
Tmem205	49.66	146.97	362.25	0.0	0.0	0.0	2.07	30.45	0.0	39.77	30.3	54.5	35.13	7.78	99.4	77.36	55.86	0.0	0.0	27.77	0.0	0.74	62.87	0.0	62.85	1.35	9.21	17.18	0.0	70.4	18.11	84.39	0.0	0.0	0.0	0.0	78.33
Txnl1	0.0	153.99	0.67	0.0	0.0	0.0	73.26	5.75	17.47	93.79	158.07	35.84	6.1	8.54	35.17	23.91	35.27	0.0	26.17	20.79	28.43	93.18	81.32	99.66	28.3	73.49	44.99	21.3	11.74	85.84	26.23	42.38	83.9	0.0	0.0	0.0	56.15
Ube2z	0.0	72.25	0.0	0.0	0.0	0.0	1.23	5.72	1.43	0.39	2.76	0.0	1.72	0.0	1.77	0.31	7.15	0.0	33.74	3.97	33.05	1.0	0.0	0.81	0.0	36.62	0.0	0.0	22.67	1.45	1.06	0.0	28.15	0.0	0.0	0.0	88.83
Zcchc11	0.0	60.58	0.04	0.0	7.8	0.0	14.42	0.0	9.64	15.6	0.0	0.21	0.07	1.36	0.0	1.45	0.0	7.15	6.08	0.92	2.78	0.0	3.91	31.35	0.0	0.0	11.36	0.06	3.19	13.43	8.06	0.0	5.4	11.26	0.0	0.0	13.54
Zfp87	0.0	164.75	16.33	14.52	0.0	0.0	47.06	45.52	0.25	35.88	0.0	46.03	0.0	0.0	0.14	107.4	27.72	0.79	1.61	0.3	1.68	0.0	0.0	0.0	3.55	14.66	46.17	1.31	85.12	60.01	77.73	0.0	37.8	0.15	0.0	0.0	57.08
Znf512b	162.68	207.34	209.22	0.0	0.09	0.15	77.07	2.98	107.75	177.4	51.48	80.02	24.75	80.27	191.33	133.24	43.46	0.07	22.06	72.09	37.52	67.42	30.96	93.4	89.54	79.68	128.01	123.25	78.27	205.05	104.37	66.13	34.16	0.54	0.13	0.11	203.43
