	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_20	Ctgf_tdTpositive_cell_21	Ctgf_tdTpositive_cell_23	Cux2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_93	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_98	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Htr3a_tdTpositive_cell_117	Htr3a_tdTpositive_cell_121	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_51	Nos1_tdTpositive_cell_65	Ntsr1_tdTpositive_cell_3	Ntsr1_tdTpositive_cell_7	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_23	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_29	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_71	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_80	Rbp4_tdTpositive_cell_82	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_139	Rbp4_tdTpositive_cell_172	Rbp4_tdTpositive_cell_173	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930431P03Rik	0.0	0.0	0.0	0.28	0.0	0.0	0.25	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.11	0.09	0.0	0.0	0.0	0.14	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.04	0.09
4930453H23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.05	0.0
Acad11	0.0	0.0	0.0	1.64	0.0	0.0	0.0	123.61	0.0	0.0	24.15	54.86	72.14	0.0	0.0	0.0	36.69	0.0	0.0	0.0	60.47	0.0	0.0	16.65	0.0	0.0	0.2	0.0	1.65	0.0	0.0	0.05	26.99	0.0	0.58	0.0	29.73	0.77	0.0	65.53	0.0	0.0	0.0	0.84	40.14	0.0	0.0	3.5	29.76	0.11	0.03	0.17	0.0	0.0	0.0	8.04	0.0	0.0	0.0	13.83	0.32	13.17	7.14	17.28	13.31	21.26	19.97	24.28	7.1	12.8	7.44	0.0	0.1	0.0	0.0	87.84	0.0	0.0	8.32	63.93	0.0	19.58	19.18	19.36
Acot11	0.35	0.01	0.52	0.15	0.14	0.29	0.96	30.2	0.08	0.57	10.31	0.13	0.58	0.18	0.09	0.54	1.3	0.24	0.28	0.0	0.07	0.27	0.13	0.41	0.38	0.5	0.28	0.16	0.34	0.26	0.17	0.0	0.08	0.09	0.13	0.06	1.07	0.58	0.58	0.13	0.48	0.13	0.18	0.15	0.28	0.06	1.12	0.0	0.14	0.0	0.22	0.3	0.26	0.16	0.09	0.32	0.36	0.0	0.14	0.0	0.07	0.11	0.0	0.64	0.06	0.0	0.16	0.0	0.09	0.67	0.97	0.41	0.52	0.24	0.08	0.13	0.05	0.0	0.0	0.02	0.14	18.55	16.97	18.44
Adam32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	3.23	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.3	0.42
Adcy5	0.95	8.79	3.21	25.82	0.0	15.15	12.25	23.02	0.0	0.0	0.36	8.37	0.0	0.07	9.35	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.03	0.0	6.14	0.0	0.0	0.0	20.67	0.0	1.03	0.0	0.0	0.0	30.57	0.0	0.03	0.58	0.97	0.0	0.0	4.15	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	4.55	1.58	0.93	1.88	10.38	0.56	3.57	3.29	2.68	2.76	4.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.15	139.88	145.98	149.99
Amfr	39.21	20.53	11.64	7.1	49.36	0.15	34.29	87.88	127.47	3.69	27.23	31.25	60.77	44.15	89.53	0.43	0.53	2.2	2.67	111.87	5.58	25.89	0.09	0.49	36.94	47.97	51.04	8.52	10.4	64.14	1.74	56.14	2.49	7.36	4.24	1.43	16.73	0.14	2.91	3.37	4.28	0.09	5.52	69.76	6.1	13.21	54.52	3.01	1.81	0.0	26.97	4.84	4.36	64.05	39.64	17.31	42.76	0.79	172.05	25.14	22.84	14.16	23.75	11.19	32.99	33.06	17.62	17.58	29.69	23.91	24.32	1.75	8.0	0.0	0.08	0.91	2.0	2.02	2.88	26.3	16.99	115.45	125.98	115.58
Ap1m2	31.48	3.08	0.0	0.0	0.0	0.0	0.0	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	7.72	0.0	0.0	0.0	3.7	5.39	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	1.3	1.65
Arhgef1	0.0	0.0	0.72	0.42	0.0	10.83	0.0	28.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76	0.0	4.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.57	0.0	0.2	0.86	0.0	0.0	0.0	0.0	0.04	0.0	33.86	0.0	0.0	0.0	0.0	0.0	2.26	0.0	0.0	0.0	0.0	0.0	4.99	2.95	0.35	0.0	0.0	0.44	3.15	0.15	0.06	1.28	1.89	0.64	4.83	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	3.28	45.39	45.58	47.1
Arhgef40	0.0	8.51	0.0	0.0	0.0	0.1	0.0	6.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.76	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.87	0.0	0.0	6.46	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	1.66	0.0	2.32	0.43	0.46	1.75	0.53	1.28	0.43	0.68	0.37	0.7	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	9.71	10.13	10.21
Arl5c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.88	0.0	1.12	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	2.05	2.24
Asb18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	1.82	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.65	0.0	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	43.66	0.0	0.57	0.4	0.74
Ass1	0.0	0.0	0.0	0.0	32.09	27.03	0.0	61.37	0.0	0.0	41.14	0.0	0.0	0.0	30.47	0.0	0.0	0.0	0.0	0.0	7.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.07	0.0	0.0	5.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	3.56	0.0	0.0	14.21	18.51	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.78	10.45	10.18
Atg2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.09	0.0	0.0	0.1	0.05	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	7.6	0.0	42.84	0.0	0.0	0.19	0.0	0.0	0.11	2.9	0.18	0.32	1.64	5.05	0.28	0.04	0.28	2.37	1.18	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.55	25.17	24.88
Atp8b1	0.0	0.0	0.0	0.0	0.29	0.0	0.26	20.41	0.0	0.89	2.49	0.0	10.4	0.16	0.36	11.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.51	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.05	0.13	1.5	0.0	2.02	0.2	0.0	0.09	0.0	0.11	0.0	0.0	0.0	17.16	0.0	0.04	0.0	0.0	0.0	0.0	0.41	2.55	2.52	2.42
BC061237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.25	0.12
Bmpr1b	0.0	0.0	0.0	0.0	0.0	0.0	9.33	61.31	1.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09	0.0	2.4	2.82	1.17	0.0	2.25	0.0	0.81	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	47.75	0.04	0.0	12.18	11.4	12.31
C2cd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.07	2.1	27.53	2.38	0.0	0.04	0.0	0.0	0.0	0.04	0.0	0.0	0.0	15.24	2.43	0.0	53.26	9.06	0.0	0.0	0.0	0.0	16.97	0.0	0.0	0.55	0.0	11.29	0.0	13.04	0.0	0.0	0.0	0.0	0.0	0.11	0.0	22.54	0.0	0.0	0.0	0.0	0.0	0.0	11.26	2.74	0.25	3.89	0.0	5.82	0.0	0.0	9.09	0.0	3.08	5.58	3.86	2.9	1.6	0.03	4.26	1.09	2.39	3.29	18.5	0.0	0.0	0.0	0.3	0.0	0.0	6.45	0.0	0.03	12.03	11.2	11.76
Capn2	0.0	0.0	0.0	0.0	1.62	0.17	0.0	66.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.14	0.0	0.0	0.0	0.0	0.0	0.2	1.47	0.0	0.09	26.03	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	21.45	0.0	2.46	0.0	48.45	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.56	4.93	9.81	6.03	4.6	4.04	10.18	5.79	6.49	2.9	3.66	5.0	0.0	0.0	0.09	0.0	0.15	0.0	0.0	0.0	0.0	36.69	61.25	63.62	61.62
Casp8	0.29	0.0	0.33	0.0	0.14	0.0	0.0	0.42	0.0	0.0	0.15	0.0	0.14	0.0	0.13	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.15	0.12	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.06	0.0	0.0	0.92	0.0	0.19	0.05	0.0	0.13	0.14	0.0	0.0	0.22	0.07	0.0	0.0	0.0	0.11	0.26	0.13	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	2.4	1.97	2.08
Cdkl1	0.0	79.41	0.0	38.97	0.0	29.44	2.35	154.16	19.14	23.38	44.06	0.0	98.52	0.0	0.0	0.0	2.35	0.0	0.0	0.0	2.63	74.65	0.0	0.0	0.0	0.0	0.0	0.0	28.93	0.0	88.49	0.0	0.0	0.0	0.0	0.0	0.0	0.31	16.81	2.36	0.0	0.0	0.0	0.0	0.0	58.34	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	138.05	0.0	0.0	0.0	11.93	12.25	0.35	9.94	0.36	11.71	23.38	19.1	0.71	7.16	9.71	2.5	0.0	96.13	61.27	0.0	0.0	0.0	0.0	13.14	0.0	61.85	19.97	19.26	16.47
