	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_79	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_tdTpositive_cell_51
Fdxacb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.86	0.0	0.0	0.0	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.61	85.89	0.21	72.71	0.0	54.9	0.0	0.0	0.0	35.32	0.0	2.66	50.9	0.0	0.0	0.0	50.73	0.0	0.0	0.0	0.0	0.0
Garnl3	0.0	0.0	0.0	0.0	0.0	0.0	20.72	0.0	0.0	0.0	13.78	29.82	0.0	0.0	0.0	12.12	2.11	0.0	0.0	0.0	0.0	88.93	51.73	0.0	13.43	18.95	50.82	8.2	10.7	0.0	1.54	13.97	43.28	4.04	6.71	29.62	0.0	0.0	67.93	0.0	1.62	26.78	0.0
Gm17821	52.23	74.97	0.1	160.63	113.76	157.06	7.38	130.69	98.61	176.09	150.45	162.92	165.02	124.93	147.81	98.73	114.83	134.52	175.98	119.55	68.91	250.38	201.28	157.05	263.59	175.45	274.15	90.35	102.89	159.33	169.64	141.05	208.64	202.18	171.82	213.28	205.46	118.04	231.88	157.67	138.22	248.83	177.04
Gm6300	18.02	18.06	0.58	38.63	41.56	55.55	0.56	41.98	32.57	64.74	44.56	57.53	56.76	40.96	55.16	35.34	42.83	45.33	43.73	34.98	22.75	99.69	75.22	46.03	96.58	62.52	92.86	32.97	38.14	52.3	60.82	43.31	63.9	66.76	64.44	85.99	69.62	27.45	90.69	54.51	35.2	106.69	64.82
Gm6634	2.17	0.13	0.0	1.41	3.99	2.73	0.3	4.29	2.49	7.35	5.8	3.26	2.49	3.54	3.04	2.27	1.96	2.18	2.15	3.53	0.01	9.14	11.67	2.05	6.33	7.37	8.57	0.4	2.8	6.63	4.53	2.67	3.68	7.35	7.99	4.23	3.32	1.08	5.94	4.18	1.59	2.31	2.36
H2-Q4	6.83	30.98	0.0	48.1	51.3	59.82	12.74	51.53	58.95	83.37	73.29	56.74	70.05	44.46	68.35	59.92	76.28	48.57	63.87	55.38	55.54	83.61	75.93	34.24	94.77	53.17	98.5	37.18	34.38	41.03	61.1	73.03	70.94	93.46	65.9	88.67	73.23	35.63	109.91	56.3	55.1	84.51	63.83
Ifi203	0.39	0.86	0.0	1.69	0.77	0.22	0.21	0.99	1.39	1.77	1.47	0.39	0.87	1.09	1.94	0.97	0.83	0.73	1.48	1.32	0.47	5.04	2.19	2.4	2.91	1.27	1.69	0.85	0.54	1.88	2.01	1.94	1.67	2.48	2.79	2.18	3.3	1.17	3.49	2.04	1.27	2.36	1.55
Itga4	1.8	6.63	0.0	4.28	3.86	5.95	0.28	2.83	3.26	4.32	6.45	3.6	4.71	3.54	4.18	3.61	3.58	5.17	4.75	4.32	3.07	7.4	5.11	4.21	6.36	3.45	6.37	3.0	2.18	4.22	3.96	3.13	4.71	7.01	6.79	4.63	2.45	1.79	6.38	3.45	4.27	5.13	4.47
Kcnq1ot1	14.32	11.64	0.45	40.11	33.61	42.89	0.7	31.83	26.61	53.88	39.72	47.72	34.64	36.28	38.44	24.68	33.41	31.35	48.53	30.11	20.29	65.95	57.25	49.83	59.45	49.69	79.32	27.65	26.28	36.97	44.37	36.77	54.43	48.61	47.71	49.95	58.98	30.5	61.88	38.91	35.75	72.21	50.28
Ldhb	6607.22	8970.97	2593.67	8752.31	8798.32	8750.45	10118.08	10894.4	8525.9	7735.26	8217.62	8583.06	8517.89	9220.91	9343.6	8808.99	8574.79	10165.1	9166.61	9602.81	7461.8	7167.6	11261.44	7829.53	6159.05	10004.69	6263.78	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8013.75	8904.1	8390.99	11010.48	8275.76	8671.45	10182.84	9082.37	7928.56	11746.38
Lrrc8e	0.37	0.06	0.09	0.23	0.63	0.0	0.06	0.27	0.74	1.0	0.8	1.08	0.9	0.67	0.6	0.45	0.12	0.34	1.66	1.23	0.0	0.8	1.68	0.28	1.9	1.43	1.19	0.41	0.48	0.35	0.38	0.28	0.68	0.41	0.74	0.56	0.95	0.3	1.7	0.31	0.66	0.65	0.5
Nedd4	1.62	33.29	0.0	95.23	104.39	166.59	107.11	40.27	103.5	43.89	119.03	214.39	133.18	153.33	99.34	122.85	143.63	122.07	130.85	38.4	205.31	254.6	259.64	95.9	114.72	164.06	290.08	88.71	109.3	145.14	159.44	66.09	46.27	144.06	87.06	158.96	51.87	93.96	147.41	123.25	56.45	145.8	71.35
Nsl1	0.64	2.46	0.0	2.95	3.32	4.58	0.46	4.76	3.8	6.66	4.28	6.8	7.26	2.41	1.76	4.71	3.6	3.73	5.67	1.13	2.73	10.0	8.18	5.21	9.68	8.63	7.75	4.5	4.74	6.45	4.22	4.56	5.57	8.64	5.71	6.94	5.65	4.04	15.98	5.17	3.66	6.32	3.91
Olfr613	26.26	12.31	0.03	47.37	45.18	75.27	2.28	30.6	44.91	63.51	48.49	59.32	80.41	37.57	60.37	49.02	56.54	52.52	54.15	44.48	32.16	88.34	77.59	40.09	113.38	72.69	92.34	39.08	37.29	47.57	78.19	37.99	52.61	67.8	66.54	59.24	56.41	20.52	127.63	52.79	31.32	72.71	62.68
Peg13	15.25	70.49	0.0	90.86	72.23	41.18	89.84	72.79	83.05	105.72	96.44	137.56	70.91	90.29	98.75	55.07	80.22	115.76	83.0	52.42	75.09	70.75	130.57	55.52	195.26	40.04	167.08	95.82	51.63	52.35	139.81	43.94	75.92	134.55	36.0	62.98	37.79	46.88	78.18	54.67	106.31	145.38	89.18
Pfkm	203.13	188.25	57.89	326.08	277.66	331.06	265.71	238.48	367.32	203.39	323.28	324.73	207.29	394.51	529.86	279.35	351.2	410.38	166.45	401.38	302.35	662.59	634.86	354.15	918.81	542.73	613.99	372.0	520.24	553.76	562.6	397.49	427.62	106.09	144.36	157.84	409.91	256.95	437.74	254.13	332.3	412.5	598.02
Pi15	6.45	11.29	0.1	6.1	9.64	12.03	0.58	14.15	13.18	20.47	13.56	14.29	16.02	15.13	14.26	10.67	10.19	9.32	21.85	9.08	6.87	27.91	19.41	8.02	25.72	16.91	38.67	7.79	7.96	9.4	18.98	9.59	10.49	17.09	19.52	19.7	14.22	11.53	22.34	10.51	11.79	22.07	9.93
Pik3r5	0.67	1.52	0.0	1.63	1.37	2.11	0.06	0.9	1.76	4.28	1.88	0.95	4.29	1.03	2.58	2.03	0.89	1.1	2.73	2.36	1.02	14.92	7.54	3.73	4.25	1.24	9.5	2.55	2.22	2.27	2.54	1.17	5.33	4.5	1.25	2.53	2.35	1.81	8.02	1.68	1.53	5.42	1.78
Rdh1	11.05	19.93	3.52	10.81	17.5	24.52	1.36	21.7	22.9	33.33	20.36	24.04	22.64	21.43	23.86	19.87	22.42	15.88	29.67	15.17	13.07	40.32	37.47	14.74	35.41	25.31	29.59	11.42	13.66	20.18	22.97	17.74	19.66	28.52	32.83	26.81	26.16	15.04	34.08	13.52	19.96	25.84	16.83
Slc15a1	0.16	0.74	0.0	0.62	1.56	0.52	0.0	0.0	0.25	0.37	0.72	0.82	0.4	0.0	0.42	0.49	0.2	1.8	1.38	0.15	0.08	1.88	0.68	0.68	1.3	0.89	1.51	0.93	0.44	1.46	0.46	0.61	1.21	0.44	0.81	0.59	0.83	0.61	1.39	0.4	0.74	1.21	0.85
Strbp	17.39	28.58	0.0	96.86	125.4	158.06	43.8	72.63	114.89	234.9	180.8	205.27	221.93	264.65	254.63	144.0	176.49	232.74	264.02	158.91	170.08	288.33	280.47	126.36	237.92	224.49	290.42	104.84	104.21	103.23	193.37	175.87	175.9	143.74	166.7	199.36	235.54	99.66	200.86	160.8	91.13	259.22	192.03
Tia1	6.61	37.6	0.0	7.52	47.96	3.17	11.8	13.64	2.76	40.32	18.03	10.89	41.86	2.07	38.19	0.12	31.9	18.17	26.82	20.52	46.93	133.93	20.4	5.7	53.71	73.2	152.33	6.29	3.12	11.86	19.43	15.38	30.54	2.49	26.43	48.01	14.31	6.81	47.88	0.0	32.8	60.72	0.18
Tnfrsf11a	0.05	1.51	0.0	1.09	1.55	1.87	0.13	2.15	1.89	4.04	3.72	2.72	2.14	1.1	1.61	2.77	1.9	0.67	5.46	0.98	0.67	14.35	5.58	1.65	2.64	0.97	7.53	0.57	1.48	1.26	2.0	1.69	3.23	3.37	2.24	2.46	1.62	2.79	4.6	2.11	0.94	5.53	2.4
Trim36	0.9	1.12	0.68	3.05	4.52	3.58	0.08	3.26	2.93	5.54	7.04	3.3	3.53	2.44	5.47	3.0	3.53	4.0	4.52	4.97	1.45	6.49	5.68	3.49	7.97	4.49	6.26	2.81	3.16	5.07	4.75	4.33	6.25	5.6	5.58	4.2	3.88	3.66	7.97	4.27	4.21	6.0	2.86
Tyms	8.66	21.28	0.22	17.9	32.63	60.58	9.3	35.71	28.16	39.77	47.29	43.2	50.0	29.27	42.49	28.11	38.08	30.27	58.83	34.61	25.47	55.53	52.06	30.25	62.38	45.44	55.27	31.13	28.86	40.24	57.49	40.76	63.83	41.99	47.42	39.48	58.92	32.21	71.37	27.2	35.76	64.05	90.14
Ube3a	64.92	18.3	0.0	56.89	94.87	91.66	37.57	39.79	75.6	65.87	90.83	62.01	131.45	38.67	81.03	80.91	62.2	56.68	62.66	34.14	43.16	179.57	111.02	65.74	184.4	124.46	188.07	28.0	98.21	25.18	167.34	62.75	87.85	225.75	82.62	65.39	62.99	26.06	98.63	52.68	99.21	91.84	107.67
Vmn1r58	34.26	37.86	0.0	40.16	78.24	79.09	0.3	60.82	50.29	90.06	84.81	95.09	119.98	72.57	81.36	77.55	76.49	72.88	68.43	84.21	35.44	144.6	109.04	78.21	151.74	98.24	95.15	37.9	44.41	72.97	76.66	64.75	149.46	107.53	97.81	105.56	77.37	62.99	189.18	90.79	56.44	115.83	98.29
Vps33a	0.06	0.0	0.0	26.03	5.87	21.5	45.51	4.16	42.45	0.0	21.84	15.06	25.48	0.0	52.93	31.95	13.86	30.58	71.91	2.66	0.0	82.3	59.24	18.33	6.33	63.58	141.89	24.87	41.86	19.14	55.81	24.88	42.07	33.46	0.4	60.49	7.03	4.06	0.0	0.0	30.61	0.0	116.51
Zfp488	75.69	30.19	0.0	106.78	144.68	197.53	7.05	97.66	124.75	168.41	143.65	170.27	215.8	144.07	133.56	128.77	141.04	133.83	137.6	124.53	86.33	239.91	223.33	123.5	257.13	217.94	216.78	114.26	86.37	126.71	179.13	136.2	188.74	180.64	182.53	213.02	148.8	106.08	318.52	160.38	103.19	204.59	162.66
Zfp92	0.02	0.4	0.0	0.0	0.1	0.27	0.0	0.23	0.43	0.65	0.38	0.58	0.52	0.34	0.29	0.26	0.0	0.42	0.82	0.29	0.07	1.03	0.54	0.71	0.93	0.43	0.95	0.12	0.62	0.12	1.0	0.27	0.55	0.74	0.57	1.35	0.57	0.13	1.14	0.32	0.3	0.71	0.72
