	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_4	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_85	Slc17a6_tdTpositive_cell_13	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Ndufaf4	0.0	1.56	161.68	0.0	103.04	0.05	0.0	20.06	62.82	0.0	78.41	8.69	0.0	153.95	71.87	48.36	44.58	48.12
Ndufb9	5.06	707.63	609.54	698.65	1407.79	515.03	961.68	772.7	509.93	605.98	536.6	572.13	803.74	1533.36	933.53	892.1	1140.2	1005.57
Nppc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.39	59.76	22.27	19.16	14.8
Nr3c2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.99	0.0	1.52	1.92	1.18
Oaz1	278.82	1026.37	1551.64	565.75	360.4	648.31	730.71	553.52	936.89	734.33	850.87	980.71	506.13	1247.32	958.37	994.92	1055.18	1067.73
Pcgf1	0.0	185.82	260.38	222.27	0.0	230.46	68.06	158.86	0.19	199.87	116.04	0.0	0.0	343.78	37.45	82.74	83.76	64.13
Phb	195.96	0.11	0.0	0.0	95.73	35.57	81.49	113.89	108.29	234.0	0.24	0.0	48.95	285.45	136.46	125.49	147.22	145.04
Pigb	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	5.33	0.05	0.99	0.0	52.16	9.14	9.02	9.09	7.28
Ppp2r4	0.0	0.04	0.0	57.33	30.42	6.28	0.0	4.3	0.0	53.39	0.0	0.0	0.0	71.08	20.51	20.52	14.98	19.16
Prph	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.54	0.0	0.0	0.0	0.0
Psmb1	111.89	614.8	945.7	356.22	437.86	681.36	864.85	596.09	835.58	511.77	679.82	502.83	621.47	1233.62	702.64	840.21	796.04	859.45
Rpl31	86.2	94.75	120.7	50.01	97.66	107.88	116.54	170.68	106.18	121.57	77.27	36.43	102.94	267.22	203.33	118.81	146.39	157.68
Rplp0	389.82	584.58	265.64	0.5	174.52	272.87	92.06	117.82	219.9	321.86	256.39	296.55	0.0	801.8	260.56	214.5	297.97	283.21
Rps14	1326.84	754.81	405.54	691.59	477.34	937.41	924.02	505.68	644.75	1498.05	1038.77	728.85	479.63	1682.53	1070.21	956.88	1007.23	915.48
Sdhd	226.67	573.84	0.36	188.22	535.93	349.51	138.44	539.36	429.83	508.5	460.28	0.0	10.16	763.94	439.76	391.2	450.39	410.07
Sertad4	0.0	142.43	12.23	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	121.85	15.97	15.02	11.77	6.84
Setd8	0.0	34.2	1.24	0.0	8.6	0.0	0.0	0.02	0.0	0.0	0.0	0.0	3.1	28.34	11.48	4.25	2.01	6.09
Sf3a1	99.43	88.78	0.0	0.0	0.0	0.11	0.69	0.0	0.86	0.0	0.0	0.0	0.21	95.42	9.31	18.93	18.45	18.33
Snap25	26182.83	24880.43	23752.44	21540.55	25194.29	24000.2	22891.51	21740.03	20760.73	25542.47	21954.45	19363.42	20672.41	10690.14	17485.78	20846.74	19146.26	18964.09
Sp3	21.79	1.06	1.16	0.0	0.13	1.14	29.52	49.27	0.0	0.0	0.0	0.0	16.52	30.52	31.79	17.62	11.49	16.45
Srp14	337.8	157.33	319.45	609.64	0.0	676.95	1.14	436.67	283.25	694.87	438.73	485.72	350.46	1126.94	508.07	483.62	476.98	436.36
Srp9	1.13	162.59	278.37	257.52	236.13	0.83	14.44	31.67	4.21	82.96	76.82	0.0	0.0	321.36	185.5	161.0	188.39	185.0
Stau2	217.47	0.92	0.25	0.0	8.05	1.37	0.0	42.29	44.74	37.09	7.34	34.14	0.0	197.46	62.41	56.17	71.21	74.67
Strap	0.0	4.75	0.09	0.0	0.0	0.29	0.0	3.53	8.03	0.0	8.42	0.0	0.0	147.54	15.21	22.47	24.36	28.22
Taf9b	0.0	397.85	55.0	528.68	552.87	248.63	0.17	0.04	133.1	28.62	13.98	0.0	0.42	783.66	81.78	138.36	93.54	101.7
Tmed3	0.59	0.16	162.51	0.0	0.0	268.25	0.0	86.55	0.0	252.65	0.49	0.0	195.36	614.35	104.4	64.15	71.02	89.12
Tmem219	0.0	0.34	0.0	0.0	0.0	0.21	0.47	0.0	0.0	0.0	0.0	0.0	38.83	99.03	20.92	12.86	16.4	22.32
Trim26	0.0	28.26	0.0	0.0	0.0	12.95	49.74	0.0	0.0	0.0	0.0	0.0	0.0	187.59	0.28	2.6	4.61	5.51
Trmt12	0.0	0.02	0.05	0.0	0.0	0.0	62.24	0.0	47.63	16.62	1.6	0.0	0.0	65.08	12.32	13.11	22.32	16.01
Tufm	0.46	165.37	1.36	3.2	147.53	0.79	1.02	98.72	1.34	245.05	149.48	3.46	0.0	436.95	66.26	85.96	102.48	107.94
Ube2l3	0.59	329.06	159.11	255.99	229.61	94.44	102.35	198.93	24.85	82.54	50.19	146.62	79.5	282.68	187.25	116.48	125.57	138.03
Vps72	0.0	0.07	0.0	0.0	0.0	4.01	0.31	0.73	1.07	1.33	0.08	0.0	0.0	115.86	11.38	10.45	5.44	12.69
Zfp131	106.45	0.03	13.29	0.0	0.0	48.45	8.47	9.02	0.0	80.09	0.0	181.6	0.0	137.71	17.17	32.65	33.72	30.17
Zpbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0
mt_AK136262	12.47	0.0	0.0	0.0	0.94	0.0	0.0	1.1	0.0	0.0	0.2	0.0	0.0	0.47	210.2	8.22	0.19	1.6
mt_AK142003	12.47	0.0	0.0	0.0	0.94	0.0	0.0	1.1	0.0	0.0	0.2	0.0	0.0	0.47	210.2	8.22	0.19	1.6
mt_AK166798	12.47	0.0	0.0	0.0	0.94	0.0	0.0	1.1	0.0	0.0	0.2	0.0	0.0	0.47	210.2	8.22	0.19	1.6
mt_AK166978	12.47	0.0	0.0	0.0	0.94	0.0	0.0	1.1	0.0	0.0	0.2	0.0	0.0	0.47	210.2	8.22	0.19	1.6
