	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_50	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_30	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_39	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Itgb1bp1	0.14	0.0	31.19	3.59	0.0	40.97	0.0	0.0	0.0	0.0	38.07	0.0	0.0	9.45	0.0	0.0	0.0	0.0	42.98	0.42	15.08	0.08	83.22	0.07	0.0	0.0	20.88	25.56	29.17	61.04	0.0	45.34	107.2	0.0	30.66	1.74	0.0	46.54	90.17	35.17	0.6	20.64	41.75	30.69	70.21	0.0	1.33	1.9	79.95	22.77	50.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.93	0.17	0.0	26.3	30.22	48.54	0.0
Kcnip4	0.0	0.34	5.34	6.57	0.0	42.82	0.0	0.0	0.0	0.0	164.43	0.21	0.0	0.0	163.39	0.0	0.0	0.0	62.11	108.9	90.13	0.06	74.72	0.13	68.57	70.98	2.82	0.0	0.0	138.61	180.89	191.33	289.5	61.41	10.8	0.0	104.54	6.59	27.04	46.25	109.21	95.25	0.26	229.2	163.28	16.71	27.86	216.86	234.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88	59.48	31.25	180.94	199.69	28.38	0.0	0.09
Maged1	0.0	615.47	659.68	815.19	204.65	1212.58	0.0	304.23	0.0	0.0	864.79	1.01	871.54	797.1	811.89	0.0	0.0	520.8	743.43	1304.03	1097.15	1359.58	718.81	1347.95	681.92	723.55	1173.66	1447.54	1489.89	1256.65	1525.89	940.37	1609.83	1401.36	1002.02	939.13	1372.06	769.94	937.81	770.67	708.87	457.53	902.97	1322.91	751.23	718.7	970.61	1009.32	1580.24	1157.95	1.05	0.24	0.55	0.0	0.0	1.54	1065.74	697.62	389.87	489.91	1373.91	1087.28	897.81	676.77	1046.07
Mtap1b	0.1	0.22	622.93	640.71	181.82	705.39	0.03	0.0	0.0	0.0	256.01	0.15	68.27	136.34	166.17	0.0	108.85	76.72	642.04	693.42	515.84	338.1	581.32	436.82	317.03	532.07	853.28	789.82	918.41	856.16	1015.81	620.09	585.71	622.21	828.88	497.91	143.55	565.21	422.07	627.12	653.61	281.51	498.79	775.94	714.96	511.06	620.64	649.18	779.66	530.59	0.08	0.23	0.19	0.1	0.1	1.29	714.61	313.45	683.52	201.63	873.28	599.0	669.52	668.23	530.24
Nap1l4	0.27	1.47	5.35	75.53	46.73	37.65	0.0	0.0	0.0	0.0	7.95	0.0	72.11	3.03	156.78	0.24	0.0	0.0	102.03	186.07	48.64	6.2	0.3	0.18	1.37	38.76	112.97	101.56	146.07	54.25	131.11	78.32	245.89	1.52	41.96	138.7	0.13	82.46	70.97	39.56	29.39	151.0	3.36	91.57	0.12	55.02	157.91	164.83	124.49	42.55	0.0	0.0	0.0	0.0	0.26	0.47	97.29	57.61	22.04	0.0	41.04	29.17	69.1	46.78	7.7
Npy	0.0	0.0	138375.8	173305.25	1.46	115124.65	0.0	0.0	0.0	0.0	96206.73	10.18	82245.2	65548.38	125016.83	0.0	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	98464.67	102118.34	130527.91	173863.58	101365.79	126989.03	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	28240.98	180453.32	92572.95	128781.07	137945.15	95298.15	137580.94	120620.2
Nsg1	0.0	0.0	456.25	384.76	187.98	606.25	0.0	0.0	0.0	0.0	311.53	0.0	97.59	179.71	198.99	0.0	0.17	0.0	421.43	487.56	795.35	479.99	658.74	428.74	294.99	429.88	547.5	504.44	588.32	740.43	631.31	382.47	798.83	532.2	290.06	406.66	131.72	367.48	419.76	383.66	308.42	56.54	361.44	497.0	461.33	699.2	403.22	518.05	663.93	689.08	394.39	0.0	0.0	0.0	0.0	0.83	338.06	279.13	542.31	193.19	669.97	472.93	249.79	402.95	664.76
Pcsk2	0.0	0.0	180.69	221.77	9.31	128.1	0.0	0.07	0.0	0.0	48.56	0.0	53.84	1.02	23.88	0.0	0.0	0.0	158.34	166.47	100.0	57.13	132.07	130.52	136.25	204.8	130.88	137.42	234.47	48.61	290.57	224.27	306.38	110.52	102.44	48.65	18.98	188.94	162.06	211.69	89.7	37.92	117.88	312.5	258.93	222.54	150.35	189.76	361.76	139.03	0.0	0.0	308.06	0.0	0.0	0.45	107.49	41.04	128.49	1.2	220.11	234.2	179.01	136.13	94.17
Pde1a	1.35	1.63	1056.47	1042.27	78.15	950.26	0.0	0.0	0.0	0.0	0.14	0.05	1.02	0.43	0.23	0.12	0.09	0.0	1102.9	1125.21	1321.56	484.6	925.75	1069.64	799.63	564.5	1137.63	918.17	1297.96	1258.85	1191.38	798.18	975.98	1444.23	1333.84	544.61	0.62	1131.66	932.64	817.01	562.01	458.1	666.67	670.07	978.64	820.3	965.51	956.64	1201.44	653.65	0.0	0.85	0.0	0.0	1.07	1.93	667.13	59.21	704.18	34.5	1202.55	1140.82	1108.75	711.88	1090.81
Pfkp	0.15	8.01	189.45	333.63	46.56	291.21	0.0	0.0	0.0	0.12	13.09	0.6	90.16	46.85	94.46	0.07	0.0	0.0	468.05	205.17	420.65	364.13	444.44	370.77	321.18	225.13	404.3	327.5	325.35	362.96	252.39	273.33	273.69	405.36	235.43	155.56	98.51	225.78	139.19	331.16	254.73	252.1	238.32	176.03	401.31	222.74	171.81	260.69	342.57	334.99	0.0	0.68	0.1	0.0	0.19	3.67	173.53	206.6	210.59	132.56	319.22	295.93	300.45	421.83	324.62
Pkm2	0.75	443.17	1627.82	2254.98	1860.3	1835.35	0.0	0.27	667.44	0.0	2895.42	1.14	1830.1	2601.58	2728.05	0.0	424.35	3.09	2778.89	2288.97	2909.23	1943.36	2245.0	2050.69	2081.79	2036.91	2615.74	2301.88	2521.09	2214.96	3015.6	3677.99	4017.79	2325.78	2497.26	1921.6	2332.23	1943.27	2191.11	2071.16	1794.35	629.5	1636.47	2950.65	1713.8	2432.94	2330.79	3100.06	2302.82	2196.59	424.62	604.07	4.7	0.0	0.25	451.13	2100.36	1720.13	1943.13	1845.7	2271.54	2451.71	2714.77	3165.9	2790.51
Plekhb2	5.49	7.05	85.66	334.43	93.89	290.69	5.98	8.53	0.27	3.74	104.96	8.7	130.74	506.13	92.72	22.58	2.16	2.91	276.74	493.65	125.13	190.4	359.81	222.62	472.67	253.99	357.53	450.55	342.53	480.8	299.72	373.44	356.09	187.4	276.97	218.46	476.08	298.62	367.22	429.83	258.02	100.91	399.74	372.43	485.41	365.89	360.36	278.98	738.0	252.9	15.98	4.84	3.77	3.3	24.32	5.18	139.28	122.0	181.51	96.06	340.24	285.51	256.48	312.38	425.01
Pnma2	0.0	0.0	43.0	0.0	0.0	48.24	0.0	0.0	0.0	0.0	90.23	0.1	12.88	0.0	29.72	0.0	0.0	0.0	45.37	0.0	39.12	0.03	4.35	20.78	11.91	21.82	46.07	31.09	66.23	43.25	80.53	1.06	130.86	68.09	21.98	0.0	9.71	0.13	52.0	41.51	37.42	19.24	69.13	15.38	8.17	22.7	36.45	45.2	146.7	4.44	0.0	0.15	0.0	0.0	0.0	0.08	29.74	0.0	20.29	4.59	32.47	5.0	0.0	11.13	22.58
Ranbp6	0.0	0.0	35.19	1.39	0.0	51.39	0.0	0.0	0.0	0.0	8.93	0.0	0.0	1.02	40.06	0.0	0.0	0.0	135.57	12.7	0.66	0.0	42.11	15.82	15.13	13.29	126.53	28.52	21.93	62.78	71.8	3.38	217.89	14.51	44.55	57.36	1.04	70.28	72.42	17.23	118.52	63.22	61.57	31.29	42.65	38.06	97.91	89.5	76.65	92.1	0.0	0.0	0.0	0.0	0.12	0.0	50.96	0.03	39.17	0.0	119.11	15.88	5.38	63.43	33.91
Sema3a	0.19	0.33	37.0	0.72	0.06	0.04	0.0	0.0	0.0	0.07	0.02	0.0	0.11	0.11	0.13	0.07	0.13	0.0	67.54	0.17	0.25	7.08	28.89	72.29	82.54	93.74	0.65	69.21	118.56	78.5	23.86	113.93	411.93	9.55	23.85	60.73	0.14	0.22	15.14	18.75	31.2	0.0	47.97	3.89	75.37	46.79	57.29	16.75	100.94	0.26	0.45	0.11	0.0	2.04	1.31	0.15	62.34	52.95	0.38	28.78	0.28	41.82	0.0	46.57	0.0
Shisa6	0.0	0.0	35.33	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.38	0.0	16.22	0.0	15.94	0.02	5.52	12.06	1.37	1.1	12.86	18.76	1.6	2.74	92.77	0.0	0.0	5.3	0.0	0.0	9.86	19.27	0.11	1.41	0.0	7.39	9.34	14.8	26.14	20.92	0.24	2.31	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	29.64	0.04	0.23	9.06	0.04	3.0	0.06
Snord116	0.0	0.0	0.0	6.02	0.0	14.63	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.96	0.0	0.0	7.66	12.13	1.71	14.21	5.74
Snord116l1	0.0	0.0	0.0	6.02	0.0	14.63	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.96	0.0	0.0	7.66	12.13	1.71	14.21	5.74
Snord116l2	0.0	0.0	0.0	6.02	0.0	14.63	0.0	0.0	0.0	0.0	0.0	0.0	6.5	0.0	0.0	0.0	0.0	0.0	3.94	3.3	1.42	3.17	8.88	14.34	12.85	2.97	4.45	14.05	2.5	7.02	3.68	2.82	2.94	11.3	0.0	7.38	5.66	0.0	6.1	0.0	4.03	6.45	11.58	11.77	2.54	2.69	9.96	4.31	2.13	2.3	0.0	0.0	0.0	0.0	0.0	0.0	9.0	5.96	0.0	0.0	7.66	12.13	1.71	14.21	5.74
Sprr2a1	0.0	0.0	0.53	0.19	0.05	0.68	0.0	0.0	0.0	0.0	0.26	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.57	0.26	0.71	0.77	0.54	0.87	0.0	6.91	11.74	0.27	4.25	0.05	0.23	1.74	0.13	0.28	0.06	0.03	0.41	0.49	6.02	0.0	0.21	0.23	0.16	0.15	0.0	0.45	6.48	0.65	0.15	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.66	0.06	0.65	0.25	0.12	0.39	0.16	0.09
Sprr2a2	0.0	0.0	0.53	0.19	0.05	0.68	0.0	0.0	0.0	0.0	0.26	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.57	0.26	0.71	0.77	0.54	0.87	0.0	6.91	11.74	0.27	4.25	0.05	0.23	1.74	0.13	0.28	0.06	0.03	0.41	0.49	6.02	0.0	0.21	0.23	0.16	0.15	0.0	0.45	6.48	0.65	0.15	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.66	0.06	0.65	0.25	0.12	0.39	0.16	0.09
Syngr3	0.31	0.0	319.38	875.81	356.81	785.77	0.0	0.0	0.0	0.0	327.55	0.24	467.6	336.75	539.1	0.0	0.0	0.0	665.46	899.76	454.54	535.53	784.57	371.39	567.19	908.96	624.48	407.77	761.86	707.29	775.19	1005.13	1712.68	306.41	445.45	923.96	232.13	838.93	502.65	245.24	568.05	456.19	576.26	450.16	741.26	539.99	831.79	1336.23	842.15	586.01	0.0	0.0	0.2	0.0	0.0	0.55	346.03	927.58	455.67	576.71	388.88	642.5	659.59	859.87	269.08
Tbcb	0.0	0.0	152.24	168.67	150.1	158.64	0.0	0.0	0.0	0.0	513.57	0.4	75.41	12.09	282.33	0.0	2.16	0.0	293.47	243.05	153.67	313.58	91.82	178.85	85.95	190.71	153.67	226.56	308.96	253.55	357.15	316.85	360.63	149.5	135.12	285.52	218.0	229.65	164.09	153.54	84.08	0.0	335.76	162.02	231.7	150.56	145.27	111.5	188.07	237.28	0.85	0.0	0.0	0.0	0.0	0.62	315.14	132.92	260.1	57.17	89.01	370.21	482.4	327.8	367.22
Tmem130	0.44	0.24	323.74	309.18	58.9	794.17	0.0	0.0	0.0	0.0	292.57	0.34	112.7	242.99	52.71	0.0	0.0	0.0	938.96	404.63	709.37	553.83	632.71	629.49	552.18	720.98	475.03	912.21	965.84	857.63	940.47	1047.55	997.71	1019.52	658.59	933.67	326.07	655.5	546.77	1679.24	932.12	300.62	838.25	1058.53	771.81	1127.08	1074.2	1031.61	1370.27	763.83	0.0	0.25	0.0	0.0	0.0	0.39	788.22	753.89	837.3	331.73	555.92	665.87	486.33	660.17	792.51
Trpc4	0.0	0.0	65.78	12.07	0.0	60.12	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.05	62.46	22.2	4.94	30.08	31.11	19.83	7.24	28.5	83.94	11.51	19.33	35.14	86.74	136.2	46.51	42.4	16.0	0.0	99.17	19.54	105.08	0.07	89.34	66.4	52.75	33.8	103.62	109.31	49.03	96.42	1.76	0.0	0.0	0.0	0.0	0.0	0.0	51.25	0.0	16.06	0.0	62.55	0.0	0.0	82.31	0.03
Zcchc12	0.0	0.0	1646.48	2102.73	902.28	2477.7	0.0	0.0	0.0	0.0	279.42	0.64	373.96	409.97	77.69	0.0	0.0	0.0	2916.48	2797.77	2311.07	2066.1	4396.19	2990.54	3900.77	2222.32	2355.68	3454.91	2669.74	1972.86	2515.67	1781.48	2260.88	2080.17	2451.84	2256.89	300.38	2061.17	2338.22	2640.94	2611.39	1314.22	3393.42	1903.86	2478.34	1983.81	2357.23	2414.78	2553.06	2768.98	0.0	0.0	0.0	0.0	0.55	0.0	1867.04	1551.29	1748.1	3308.01	2840.11	2061.79	1797.12	2861.02	1563.93
Zwint	0.23	0.0	1166.01	1576.31	1647.56	1573.22	0.0	0.0	0.0	0.0	976.39	0.69	820.3	786.58	789.72	0.0	0.0	2.81	1702.15	1562.69	1997.78	1359.21	1473.22	1651.24	1714.0	1311.56	1586.44	1490.88	1728.81	1458.66	1490.95	1597.26	1799.68	1469.66	1429.37	1114.09	887.73	1492.59	1270.0	1669.44	1374.41	803.89	1208.5	1439.62	1384.66	1292.34	1597.65	1454.38	1678.63	1548.3	151.43	0.25	0.0	0.0	0.0	2.24	1518.07	1338.76	1618.0	1614.75	1853.1	1669.2	1924.76	1757.28	1541.1
