	Calb2_tdTpositive_cell_27	Rbp4_tdTpositive_cell_161	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm826	0.0	0.0	0.0	0.09	0.09	0.19
Gpr162	0.0	0.0	0.0	148.73	153.94	159.75
Gtpbp8	0.0	0.0	0.0	19.93	20.59	23.03
H13	0.0	0.0	5.84	43.22	46.94	44.58
Hebp2	308.38	0.0	0.0	3.01	2.64	2.25
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hist2h2aa2	0.0	0.0	0.0	0.76	17.27	0.0
Hoga1	0.0	0.26	0.0	2.52	1.96	2.21
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpd	0.0	0.0	0.0	0.07	0.07	0.15
Htr1a	0.0	0.17	0.0	14.68	13.16	13.87
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Inppl1	0.0	0.0	0.0	22.3	22.21	22.15
Insrr	0.0	0.0	0.0	0.27	0.27	0.3
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khdrbs2	0.0	0.86	0.23	9.72	8.25	9.35
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lman1	0.0	0.11	0.18	30.49	29.44	31.49
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Lrrc23	0.0	0.0	0.0	1.29	2.56	3.09
Lrrc8b	0.0	0.0	0.0	65.49	59.15	66.4
Man1a	0.0	0.0	0.0	22.69	20.68	22.67
Mon1b	0.13	38.57	0.06	21.42	20.31	20.94
Ms4a8a	0.0	0.0	0.0	0.09	0.09	0.1
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Npr3	0.0	0.0	0.0	6.38	5.5	6.24
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Nubp1	0.0	0.0	14.37	17.71	16.92	16.56
Nup205	0.0	0.0	0.0	15.31	13.61	14.92
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Osta	0.0	0.0	0.0	0.0	0.06	0.0
Pax8	0.0	0.0	0.0	0.08	0.0	0.04
Phf15	0.0	0.0	0.0	29.31	31.64	28.04
Pkhd1l1	0.0	0.0	0.0	0.12	0.09	0.1
Plin4	0.0	0.0	0.0	1.28	1.2	0.84
Pmp2	0.0	0.0	0.0	0.07	0.07	0.15
Pogk	0.09	0.05	0.0	26.74	26.23	27.02
Polr3b	0.0	0.0	0.0	9.22	10.33	8.91
Prdm15	0.0	1.01	0.0	9.38	8.23	8.97
Prkd2	0.0	0.0	0.0	3.78	4.48	2.31
Prmt6	0.0	0.0	0.0	12.67	15.92	14.83
Prokr1	0.0	0.0	0.0	0.1	0.11	0.05
Pros1	0.0	0.0	0.0	9.03	8.91	9.69
Prrc2a	0.0	0.0	0.0	151.78	159.49	169.12
Ptdss2	0.0	0.0	76.16	44.73	48.57	45.04
Rad21l	0.0	0.0	0.0	0.66	0.68	0.87
Rgs22	0.0	0.0	0.0	0.49	0.55	0.48
Rnf123	0.0	106.62	0.0	37.52	40.09	37.13
Scn1a	0.0	5.81	22.93	66.09	58.46	67.89
Sh3bgrl2	0.0	0.11	0.0	24.74	24.46	23.82
Shf	0.0	0.0	0.0	35.84	41.34	36.49
Six5	0.0	0.0	0.0	2.14	2.64	2.82
Slc25a43	0.0	0.0	0.0	0.45	0.77	0.75
Smpdl3a	0.0	0.0	0.0	33.85	35.81	35.4
Spag17	0.0	0.0	0.0	0.24	0.38	0.31
Spats1	0.0	0.0	0.0	3.64	4.0	3.16
Spna2	114.88	6.43	25.02	422.57	425.73	438.26
Sumf1	0.0	0.35	49.5	21.89	22.8	21.55
Tarsl2	0.0	0.0	0.0	38.79	39.36	35.69
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tgfbrap1	58.62	0.0	0.0	29.36	31.15	30.6
Thop1	0.0	0.0	0.0	36.1	39.69	37.66
Tnfrsf18	0.0	0.0	3.99	8.53	7.37	7.89
Trerf1	0.0	6.31	0.0	22.57	21.09	25.93
Ttc19	0.0	18.57	3.12	78.3	70.23	74.16
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Unc45a	0.0	0.0	0.0	26.91	25.32	22.3
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Wt1	0.0	0.0	0.0	0.25	0.09	0.07
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zfp324	0.0	0.0	0.0	6.41	6.19	5.86
Zfp526	0.0	0.0	0.0	7.22	6.28	6.61
Zfp572	0.0	0.0	0.0	0.09	0.09	0.19
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	1075.62	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	26.24	9032.87	8417.95	8583.15
