	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_56	Nos1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_41	Rorb_tdTpositive_cell_7	Rorb_tdTpositive_cell_31	Sst_tdTpositive_cell_83	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27
Ndufa7	716.63	2663.64	804.52	597.3	1124.79	566.29	1063.37	1158.79	1279.93	1309.77	794.1
Ndufb4	831.85	1717.44	1332.45	927.69	2560.66	778.47	1427.44	2036.59	1207.99	1408.46	1455.36
Ndufs6	1368.61	1305.14	1213.95	615.9	634.13	388.07	638.02	1385.51	461.1	437.72	1419.87
Nedd8	574.02	1293.94	582.66	676.07	688.7	166.23	1184.27	1202.53	1516.05	801.15	1018.98
Nme2	602.53	846.25	259.22	166.56	559.96	180.26	238.85	635.21	492.65	314.15	143.98
Npm1	359.3	1209.28	1189.43	632.14	1297.61	391.53	691.35	871.88	937.85	261.74	800.61
Nrip3	99.66	339.14	0.1	0.12	37.28	39.61	0.04	237.84	0.14	156.56	207.1
Park7	1341.43	1380.66	422.31	434.7	1254.73	565.72	760.46	917.81	977.49	1583.47	1711.82
Polr2h	103.4	249.5	0.0	0.0	276.28	0.0	119.44	319.7	0.38	0.0	0.0
Ppia	14175.58	10252.21	11667.67	9150.17	11573.52	7569.91	11375.52	8585.7	10636.33	9560.93	12503.46
Ppp1r11	315.16	322.53	349.16	145.86	711.43	53.24	272.65	436.77	174.92	229.95	243.66
Prdx5	696.89	1753.63	584.2	203.36	878.34	913.02	281.67	1742.44	382.93	360.96	387.16
Psmb1	1283.25	1075.13	634.89	940.33	1215.12	476.96	538.57	1003.59	1759.48	1364.24	1371.8
Psmb3	1033.09	1581.33	685.81	466.41	685.25	689.45	1377.72	845.55	1845.72	731.78	1148.63
Rapgef2	123.93	214.71	162.84	88.17	53.33	160.02	24.96	292.89	213.64	60.29	2.8
Rbx1	259.68	669.9	361.12	331.71	407.75	405.59	229.29	717.44	624.91	267.61	538.88
Rnasek	975.46	3514.5	458.91	643.31	1003.61	188.52	590.04	1020.62	592.3	1391.94	1565.88
Romo1	419.66	482.48	392.09	112.68	110.11	278.4	418.34	623.68	389.58	159.82	183.45
Rpl22l1	834.68	1037.75	398.32	241.65	362.38	162.71	195.02	649.43	370.77	816.23	805.8
Rpp21	483.06	397.0	6.14	130.3	313.7	89.73	0.0	187.05	495.63	685.05	112.57
Rwdd1	46.3	104.27	0.0	20.94	0.0	1.29	59.66	13.21	140.66	13.57	69.77
Scg5	1875.51	3607.21	1946.22	1406.33	2002.58	2027.77	1514.11	2934.81	1275.6	1656.32	2325.53
Sec61g	93.49	457.7	351.9	138.25	366.79	337.32	399.88	570.62	434.27	610.97	194.52
Shb	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0
Shfm1	330.7	907.64	563.72	457.28	287.9	554.59	721.98	831.26	358.35	449.26	677.8
Sipa1l3	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.49	0.0	0.0	0.0
Snap23	10.55	61.16	0.0	0.0	0.0	0.0	5.14	4.98	0.0	0.0	27.38
Snrpd2	908.36	863.96	150.47	427.25	247.28	119.88	282.41	1023.43	473.19	811.03	206.27
Srp14	583.72	1225.08	640.62	406.09	871.27	483.3	442.28	712.26	356.15	889.98	953.99
Stmn1	10587.49	4872.28	6655.02	5635.7	9467.14	6875.22	10665.83	7791.07	10789.21	12161.23	11287.74
Stx7	79.46	124.18	0.0	0.2	27.73	0.0	0.16	267.98	92.09	0.29	107.97
Swi5	925.24	1678.15	124.42	227.44	817.59	73.37	370.69	1292.71	581.48	761.55	1007.0
Tceb2	1146.28	1378.76	1003.06	810.25	2290.45	225.25	638.02	1050.05	1273.99	1334.06	993.15
Timm23	85.53	583.73	251.03	256.79	552.99	108.92	263.54	776.3	501.89	156.37	160.44
Trappc2l	287.34	1757.14	0.0	18.98	457.72	0.0	354.38	646.47	1137.2	1094.93	477.01
Txn1	457.12	586.3	105.6	82.54	475.05	167.81	211.17	979.38	98.99	514.24	801.39
Ubl5	149.56	215.86	82.63	109.42	196.67	119.83	251.45	280.56	138.07	197.94	233.37
Ubxn10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0
Ufsp2	257.02	540.57	0.0	0.32	354.14	24.34	0.5	245.32	0.0	182.68	290.97
Uqcr11	2778.13	4415.09	1440.88	994.43	1851.39	745.43	1320.84	2289.48	793.33	1253.81	1697.46
Vps28	484.04	985.01	791.07	554.21	1342.66	93.49	184.12	689.09	831.11	751.01	874.47
Vps29	716.65	742.7	383.31	426.61	668.18	202.4	801.0	787.78	861.57	1358.32	485.7
Zcchc17	225.46	470.5	211.92	94.41	291.11	98.13	238.78	388.64	217.08	319.7	271.26
Zkscan6	42.86	68.7	0.0	2.76	0.0	0.0	0.24	0.14	0.0	0.0	31.56
Zmynd19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0
