	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Nr5a1_tdTpositive_cell_51	PvalbD.Slc32a1_tdTpositive_cell_41	PvalbF.Gad2_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_186	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTpositive_cell_106	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.6	9.17	344.85	411.12	20.98	7.38	0.0	0.0	11.59	1.18	0.0	0.45	93.01	34.54	14.7	274.48	171.5	289.98	17.69	2.83	25.62	34.21	4.38	27.11
Gm1968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32	5.24	0.42	0.0	1.28	0.15	0.43	2.24	0.0	0.0	0.17	1.83	6.98	4.17	1.37	1.61	0.63	2.32	0.15	0.77	0.0	2.98
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.58	0.33	0.13	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.04	0.0	1.53	0.7	0.03	22.02	0.0	0.0	0.1	0.13	0.04	0.0
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.6	9.17	344.85	411.12	20.98	7.38	0.0	0.0	11.59	1.18	0.0	0.45	93.01	34.54	14.7	274.48	171.5	289.98	17.69	2.83	25.62	34.21	4.38	27.11
Gm3317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73	1.63	0.0	0.83	0.0	1.05	1.18	0.0	1.09	0.0	0.04	4.1	2.23	22.39	14.15	7.6	1.39	4.48	0.0	4.25	1.71	0.0
Gm3494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73	1.63	0.0	0.83	0.0	1.05	1.18	0.0	1.09	0.0	0.04	4.1	2.23	22.39	14.15	7.6	1.39	4.48	0.0	4.25	1.71	0.0
Gm5108	0.0	0.0	0.0	0.0	0.0	0.0	1.8	1.16	13.31	34.24	4.32	4.91	3.63	8.11	0.0	0.0	2.72	4.22	10.02	9.73	42.43	42.58	15.97	68.49	2.59	7.74	8.73	5.91	4.77	2.14
Hrh1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.96	0.21	0.0	0.0	0.0	25.95	0.28	0.26	0.0	0.17	0.04	14.12	76.73	13.5	9.21	0.0	0.0	0.01	0.0	0.0	0.0	0.0
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.58	0.33	0.13	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.04	0.0	1.53	0.7	0.03	22.02	0.0	0.0	0.1	0.13	0.04	0.0
Itga4	2.64	2.2	1.29	0.46	1.45	0.0	1.69	6.64	63.96	24.74	2.01	8.71	2.43	3.39	2.3	4.0	5.47	3.61	12.98	41.23	25.67	44.0	22.7	27.74	5.88	3.98	6.59	2.8	3.96	4.07
Jtb	0.0	0.0	0.0	0.0	0.0	0.0	43.37	0.0	11.5	0.0	8.44	0.0	0.0	44.58	0.0	1.33	24.62	25.19	51.64	129.45	615.12	361.72	133.62	0.0	12.83	125.18	50.52	0.0	72.47	59.2
Kcnb1	0.0	0.0	0.0	0.0	0.0	0.0	7.31	0.42	92.12	77.56	2.56	28.92	0.0	0.0	2.43	0.18	0.06	14.77	9.26	15.71	174.81	117.28	23.25	141.77	42.21	33.94	32.02	8.14	0.96	6.57
Kcnq2	0.0	0.0	0.0	0.0	0.17	0.0	20.87	4.63	193.06	110.77	47.45	0.82	0.0	0.0	12.76	69.41	0.28	55.11	39.77	26.41	775.39	427.41	242.08	334.13	13.64	22.39	55.4	79.04	34.25	25.84
LOC432958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	2.43	3.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mir1195	0.0	12.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.03	13.49	0.0	0.0	0.0	3.9	4.74	0.0	12.17	9.42	38.79	20.16	5.41	45.48	0.0	0.0	0.0	3.67	0.0	0.0
Myh7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.29	20.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N4bp2l1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.46	0.13	169.05	74.62	0.0	63.1	45.98	66.52	0.46	0.3	11.85	22.95
Ncf1	2.04	0.11	1.63	0.86	0.85	0.0	1.03	1.52	10.86	7.92	0.32	1.5	0.59	0.64	0.65	1.48	3.12	1.77	4.85	2.78	32.43	18.29	4.64	9.91	2.07	1.03	1.69	1.88	1.25	1.16
Negr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	132.06	311.2	14.46	37.9	13.39	0.0	9.53	62.17	28.24	8.92	78.7	118.66	252.14	362.74	343.42	37.01	67.36	46.35	83.75	7.74	17.58	24.4
Npat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	2.47	33.05	0.0	11.12	6.69	0.0	0.07	0.0	11.22	4.99	128.97	102.59	0.0	0.0	23.72	0.01	19.89	15.34	7.21	0.0
Nptx1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	102.93	58.82	0.12	43.7	0.0	0.0	0.04	0.29	0.06	0.08	30.29	6.66	104.02	72.58	94.49	57.57	54.78	1.34	45.6	0.6	15.98	55.6
Nxnl1	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.08	0.17	0.0	0.0	0.0	0.05	0.11	0.0	0.06	0.09	1.67	1.23	0.11	0.0	0.0	0.0	0.0	0.05	0.02	0.0
Odz3	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.05	22.51	45.35	0.06	6.22	0.37	0.0	0.51	0.12	0.0	0.08	37.56	26.47	45.31	21.28	10.72	52.7	4.93	15.85	2.55	15.06	0.93	19.16
Olfm1	0.0	0.0	0.0	0.0	0.0	0.0	188.59	59.62	3489.43	2056.33	108.99	43.33	123.56	80.24	159.26	291.18	69.42	240.47	580.92	634.78	2977.46	2494.9	1189.46	1378.48	249.41	186.5	268.05	391.78	225.31	228.9
Pdlim7	1.16	58.37	0.0	0.0	1.18	0.0	0.0	0.0	0.0	51.5	22.31	0.0	126.79	0.0	0.0	104.3	46.82	139.46	140.29	91.1	786.03	536.21	77.97	389.78	38.63	149.36	101.55	1.94	164.96	89.59
Pdpk1	0.0	0.0	0.0	0.0	0.0	0.0	29.73	0.79	0.16	42.16	11.22	13.87	14.6	8.97	1.01	0.33	2.28	0.36	53.54	20.53	206.27	152.62	0.59	18.62	29.36	14.24	136.17	55.25	19.73	50.22
Pdpr	0.0	0.0	12.82	0.0	0.0	0.0	29.26	0.0	63.7	18.65	0.0	0.0	0.0	0.0	0.0	0.06	0.58	0.0	0.0	0.0	121.96	104.48	0.0	0.0	5.58	0.0	1.19	2.7	0.0	4.99
Plbd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.41	22.31	0.0	18.83	0.12	0.0	2.15	0.32	0.0	1.63	54.08	0.0	318.4	68.93	9.56	80.68	3.43	3.86	0.0	7.72	6.43	0.05
Plekha6	0.0	0.0	0.0	0.0	0.0	0.0	23.27	0.0	27.78	1.73	0.66	102.88	0.0	0.23	0.49	0.02	0.0	0.0	16.21	0.14	107.63	14.16	0.04	68.05	0.16	0.23	15.13	0.02	0.09	0.79
Polq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.42	12.22	10.39	0.0	0.0	0.0	0.41	0.99	0.0	0.32	0.0
Prf1	0.25	0.0	0.24	0.0	0.0	0.0	0.0	0.49	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.38	0.13	1.67	0.83	0.18	1.88	0.0	0.0	0.06	0.07	0.07	0.0
Prpsap1	0.0	0.0	5.78	0.0	0.0	0.0	2.41	12.77	13.28	47.0	8.59	0.0	0.49	0.0	0.38	0.54	1.49	90.37	0.55	45.11	324.66	213.83	0.63	0.0	0.08	9.09	0.55	0.08	73.71	1.72
Ptcra	14.56	6.97	35.88	25.53	8.09	0.0	7.1	7.78	21.01	25.15	5.0	3.21	7.54	2.6	0.66	21.05	13.84	9.57	29.09	15.14	100.28	63.09	23.73	26.55	4.49	6.33	3.42	4.41	4.7	11.25
Pxdn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	133.36	33.0	0.51	0.0	0.0	0.0	0.21	0.02	0.0	0.24	20.32	4.1	107.98	141.81	0.07	7.39	0.02	3.12	0.0	0.27	10.25	3.36
Rasl11b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.17	87.76	0.0	58.11	0.24	41.07	0.0	0.81	0.29	72.25	139.17	33.04	492.95	152.64	65.12	332.42	23.32	76.76	0.0	58.38	31.22	101.39
Rbmx	0.0	0.0	0.0	0.19	0.0	0.0	85.03	83.43	26.73	386.37	2.48	3.38	52.36	19.11	85.41	515.57	2.23	0.44	72.08	42.09	725.47	7.99	3.21	123.88	115.56	34.34	125.0	66.99	169.43	75.99
Ryr2	0.0	0.0	0.0	0.0	0.02	0.0	0.29	2.65	130.89	35.13	11.38	1.7	0.0	0.27	0.9	0.25	3.29	0.98	25.68	21.1	22.11	13.75	52.16	58.55	15.04	12.92	7.74	8.78	10.12	9.28
Sfi1	5.44	0.0	0.0	0.85	0.0	0.0	23.86	0.43	7.0	2.78	0.32	78.88	1.8	0.17	0.44	13.63	2.7	0.26	13.36	1.89	58.36	0.0	0.07	0.79	0.29	0.62	23.6	0.0	0.38	1.35
Sfmbt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	2.79	4.1
Slc43a2	0.46	0.0	0.0	0.28	0.0	0.0	0.07	0.47	91.08	42.85	2.82	19.05	0.0	6.93	0.01	24.89	0.38	0.03	0.26	0.1	129.44	10.94	0.58	27.07	3.02	16.43	1.37	2.85	0.08	0.07
Slc5a12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	2.51	0.0	0.64	0.79	0.12	0.92	2.23	0.79	1.01	0.62	0.62	2.55	2.34	1.33	0.0	0.09	0.0	0.18	0.11	0.08	0.09
Smpd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.28	2.91	0.08	1.97	18.11	0.0	27.31	0.04	0.0	17.18	1.47	111.28	0.0	0.19	2.34	0.0	32.89	0.35	37.84	15.41	44.32
Spast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.62	15.17	0.01	0.14	0.0	0.0	0.14	4.88	0.24	0.04	33.64	0.99	26.65	239.56	204.84	0.25	1.35	3.7	39.36	0.0	0.0	0.03	0.11
Spib	0.72	0.7	0.84	0.0	0.21	0.0	0.16	0.97	0.35	0.9	0.56	0.4	0.14	0.0	0.0	0.7	0.37	0.27	0.67	0.43	2.87	1.92	0.45	0.38	0.0	0.0	0.08	0.22	0.11	0.03
Stxbp2	37.78	23.62	23.9	19.86	19.29	14.58	13.82	31.62	58.72	56.42	23.63	78.9	26.97	10.61	8.9	21.8	20.86	20.79	156.46	72.15	432.44	176.15	86.72	37.62	78.75	95.44	10.37	43.91	11.62	20.11
Tbl2	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	2.04	0.03	0.06	50.85	0.0	0.27	0.0	0.0	0.53	0.0	0.0	0.0	0.0
Tmod1	11.12	44.73	4.49	7.37	5.79	0.0	2.87	10.25	87.25	257.07	8.49	1.91	1.3	62.07	23.62	8.47	4.55	12.21	91.08	195.97	1096.21	35.86	83.82	6.8	75.29	107.39	55.41	49.09	39.68	75.36
Trim43b	15.02	2.15	4.5	0.48	3.06	0.0	2.17	4.05	11.26	15.37	1.2	8.32	2.07	2.65	0.53	8.12	5.88	8.75	8.99	7.19	39.27	19.79	9.62	9.74	5.42	3.62	2.48	2.41	2.32	2.9
Trim46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	15.61	0.0	7.89	0.0	0.0	0.12	0.23	0.52	0.74	0.31	49.13	9.05	364.89	277.13	6.47	0.0	8.64	0.15	58.61	4.12	66.65	0.0
Trpm3	0.0	0.56	0.36	0.0	0.33	0.0	0.14	1.03	7.84	1.27	1.71	1.2	0.59	0.09	0.69	0.29	0.48	0.49	1.54	5.62	156.62	6.76	3.65	8.71	6.4	0.52	0.1	1.05	8.0	5.11
Ttc7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	256.63	147.71	0.75	17.34	4.7	12.41	0.0	3.34	2.63	0.18	17.73	47.89	394.38	460.39	18.89	136.63	55.34	101.59	150.66	124.48	29.04	12.45
Uhrf2	0.0	0.0	0.0	66.89	0.0	0.0	0.0	0.0	35.62	0.0	0.0	22.94	0.0	0.0	0.0	0.0	0.05	0.0	43.18	9.0	167.52	116.76	0.0	6.29	20.6	21.27	0.0	6.74	1.98	0.0
Wipf2	8.29	1.33	1.6	1.23	5.08	4.08	1.15	24.28	47.44	23.14	6.02	16.1	1.82	23.74	4.69	55.53	4.66	5.15	16.23	7.95	101.65	56.22	3.7	7.46	15.93	2.5	9.05	17.04	1.67	11.14
Wnk2	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.09	55.19	3.58	1.22	4.26	0.27	0.0	0.05	4.64	0.76	0.0	4.96	0.49	18.03	42.75	21.07	27.67	7.73	7.9	8.82	5.72	8.02	1.27
Ylpm1	0.0	0.0	0.0	0.0	0.0	0.0	40.31	6.02	3.29	24.97	42.11	1.9	33.17	0.0	1.34	7.37	0.19	42.45	11.67	29.82	86.9	35.4	1.67	30.17	4.03	20.89	20.68	7.2	0.0	0.05
c12_LSU-rRNA_Hsa	16.53	52.86	48.99	40.18	64.62	121.84	56.95	214.21	1464.79	847.1	278.21	304.17	207.82	354.08	202.28	298.05	226.38	392.02	568.61	419.36	3931.6	1724.9	881.95	292.56	449.72	617.22	388.5	418.83	545.86	501.0
c16_LSU-rRNA_Hsa	215.29	487.45	459.84	190.23	165.93	199.0	138.25	497.56	1717.14	1600.78	542.26	453.4	1167.51	1118.78	613.59	864.52	486.09	872.5	1186.16	1024.25	7390.0	2018.32	1718.37	610.28	910.07	1323.25	756.22	755.75	1166.98	999.25
c17_SSU-rRNA_Hsa	1718.16	1529.0	1008.78	994.75	981.07	518.53	1532.32	3496.63	32310.68	18100.4	5293.24	7684.91	8611.9	1831.07	3915.29	14819.64	11739.97	13242.68	15042.54	15720.15	62935.79	39573.42	23420.99	10466.98	22437.39	28697.02	17823.66	15731.79	28103.63	31264.04
c4_SSU-rRNA_Hsa	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	1.91	0.84	0.0	2.04	0.0	0.68	0.0	0.35	2.41	1.72	0.91	0.54	9.7	0.0	1.81	0.0	1.25	0.68	1.49	0.0	1.46	1.07
c6_LSU-rRNA_Hsa	94.82	71.39	179.95	102.83	110.34	399.94	94.73	525.8	2084.66	1630.18	669.74	541.7	526.06	719.95	465.59	707.46	578.15	945.21	1327.88	1140.37	8616.25	3095.58	1927.24	534.65	839.18	1288.77	908.78	1236.89	1674.85	1345.3
c6_SSU-rRNA_Hsa	382.12	288.47	187.32	153.65	240.94	86.73	280.61	615.1	5460.12	3371.89	911.65	1432.13	1916.7	241.8	542.02	2034.85	1694.77	1736.09	2144.99	2063.48	12576.8	5449.99	3667.82	1934.52	3702.62	4717.69	2868.02	2747.87	5006.45	5876.33
c7_LSU-rRNA_Hsa	9.05	9.15	6.74	9.8	0.0	11.78	21.23	21.85	195.36	162.06	25.46	62.69	33.79	79.53	23.77	62.42	38.17	92.25	98.43	92.26	823.92	432.95	233.09	80.83	126.78	199.68	111.84	118.61	189.98	142.46
c9_LSU-rRNA_Hsa	143.43	280.09	156.68	112.75	353.35	221.9	101.69	462.77	1698.69	1358.65	515.06	596.08	794.31	769.63	469.13	832.19	552.09	960.13	1148.1	1021.19	5576.72	2603.36	1662.92	510.25	1009.39	1394.23	958.74	865.59	1063.43	898.03
