	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_12	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_28	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
Dzip1l	0.0	0.24	1.09	0.16	37.37	0.16	0.0	0.08	0.0	0.1	13.35	0.23	0.01	0.06	0.26
Elp3	4.34	0.0	24.08	102.7	160.73	82.33	10.91	198.81	40.65	153.41	80.76	107.5	38.71	0.21	0.0
Fndc4	0.0	0.0	0.0	112.77	98.37	0.0	0.0	0.0	0.0	8.86	2.31	40.33	39.18	4.56	0.0
Gabrd	0.0	0.0	130.22	261.34	417.97	73.25	237.0	324.98	59.73	5.49	143.46	55.65	437.14	57.89	0.0
Gdap1l1	0.0	0.0	5.75	96.89	123.81	32.25	0.14	118.75	89.39	68.64	22.98	42.07	54.35	23.34	0.0
Gm14430	0.0	0.0	14.72	21.18	15.46	13.46	3.07	11.03	13.57	4.08	0.32	0.54	8.34	2.38	0.0
Gm14434	0.0	0.0	14.72	21.18	15.46	13.46	3.07	11.03	13.57	4.08	0.32	0.54	8.34	2.38	0.0
Gm1604b	0.0	0.0	80.82	77.61	86.53	34.25	9.08	56.51	42.49	18.78	14.73	13.86	31.18	22.06	0.0
Gm4724	0.0	0.0	14.72	21.18	15.46	13.46	3.07	11.03	13.57	4.08	0.32	0.54	8.34	2.38	0.0
Gmcl1	0.0	23.48	27.39	21.67	60.17	0.0	16.19	42.36	30.8	22.72	0.44	56.16	13.33	0.33	3.52
H2-T9	0.0	0.0	23.71	221.77	119.86	0.0	0.0	0.0	0.0	72.56	28.74	66.03	137.69	0.0	0.0
Isy1	0.0	0.0	0.0	122.6	153.71	36.63	0.0	29.25	76.29	31.74	0.0	0.0	1.42	82.99	0.0
Ldhb	7486.96	5274.92	10894.4	8302.41	5214.84	10165.1	11261.44	10004.69	13571.31	12546.17	9755.78	11010.48	10182.84	11746.38	5577.5
Lmbrd2	0.0	0.0	0.0	130.47	83.31	17.65	34.19	1.61	0.09	51.78	42.21	0.0	0.0	0.0	0.0
Lrrc41	0.0	0.0	0.0	64.23	87.25	0.0	0.0	18.91	0.29	3.13	0.3	49.02	37.44	2.78	0.0
Lsm12	0.0	0.0	0.0	106.67	118.21	3.27	0.0	20.1	5.13	32.56	58.83	47.51	15.55	39.62	0.0
Lsm3	0.0	0.0	130.5	260.32	102.67	39.88	97.35	54.53	123.81	0.0	58.71	128.76	62.48	50.31	0.0
Mapk1ip1l	0.13	0.14	20.8	62.7	69.34	46.09	4.5	54.52	27.08	40.31	9.48	35.13	49.36	17.96	0.2
Mapk8ip3	0.0	0.0	12.11	67.3	85.32	29.25	4.2	21.84	50.47	8.13	19.3	4.2	47.33	16.65	0.0
Mrpl23	0.0	0.0	395.08	311.5	423.45	242.21	256.01	228.2	173.26	227.8	61.75	109.78	156.63	250.07	0.0
Mrps25	0.0	0.0	34.51	111.41	88.15	74.68	0.0	9.05	12.39	59.0	45.93	47.3	58.82	5.17	0.0
Nfe2l1	0.0	0.0	14.78	118.17	97.48	15.75	2.66	9.95	38.8	17.67	3.59	31.48	41.52	3.76	0.0
Nlgn2	0.0	0.0	19.59	65.05	41.31	11.96	0.0	6.32	25.8	5.55	2.24	2.78	0.09	16.29	0.0
Pcdhga7	0.0	0.0	0.0	32.71	43.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.72	0.0
Ppp2r5e	0.0	0.0	29.63	74.39	67.13	16.72	0.0	22.76	44.58	45.52	4.4	58.0	28.2	1.48	0.0
Rab8b	0.55	0.72	19.51	70.76	49.65	0.87	20.26	1.29	6.87	56.65	40.46	1.1	39.72	3.75	54.82
Rad54l	0.0	0.0	0.0	0.0	19.29	0.0	0.0	12.85	0.0	0.0	0.0	0.0	0.0	0.64	0.0
Rnf7	0.0	0.0	238.15	562.97	566.74	229.47	258.78	442.48	361.81	296.53	486.75	666.05	442.55	490.23	0.62
Rtn3	0.19	90.98	135.95	307.43	203.25	150.9	352.8	121.32	196.88	112.5	161.9	60.7	81.83	114.05	0.0
Scai	0.0	0.0	6.94	41.18	14.98	1.61	0.89	1.35	8.82	4.58	5.38	0.9	6.77	0.05	0.0
Sept5	0.0	0.0	0.23	41.93	29.53	4.91	0.0	0.0	0.0	0.0	24.51	0.0	28.21	33.57	0.0
Sirt5	0.36	0.0	36.22	281.27	86.28	12.18	49.79	0.0	127.81	18.72	0.0	9.31	8.48	43.89	0.0
Snapc5	0.0	0.65	410.27	197.72	226.72	111.98	110.48	345.3	264.88	169.31	107.84	0.0	161.61	314.05	0.0
Srrm3	0.0	0.0	0.36	0.0	5.58	0.0	0.0	3.57	0.0	0.1	2.31	1.34	0.11	1.43	0.0
Ssh2	0.0	0.0	0.0	26.28	44.16	0.0	19.65	14.19	7.69	0.0	0.0	19.82	6.31	0.76	0.22
Tacr2	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tagap1	0.0	0.0	146.6	225.07	482.98	204.8	408.68	114.97	270.5	308.67	310.66	145.96	276.81	159.93	95.44
Timm13	172.31	0.0	184.32	197.44	331.98	127.37	302.39	94.07	112.05	208.21	136.18	212.92	251.96	152.16	0.0
Tiprl	0.54	0.33	63.4	93.94	122.83	13.06	48.12	96.18	69.19	64.3	40.22	38.26	80.26	22.99	1.55
Tmem179b	0.0	0.0	0.0	160.62	104.66	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0
Trmu	0.0	0.0	21.75	75.05	136.08	34.76	0.0	51.78	51.52	0.0	0.0	0.0	90.43	0.0	0.0
Trnt1	0.0	152.84	37.22	230.87	441.82	128.23	157.92	163.41	87.09	44.11	55.23	217.21	44.55	53.55	0.0
Ube2e1	0.0	0.0	39.45	0.0	291.17	42.66	0.0	123.56	19.98	37.61	35.17	7.5	106.13	61.18	0.0
Ufc1	186.06	0.0	490.25	322.38	439.07	271.38	358.66	319.57	201.74	281.79	263.76	207.24	160.55	323.78	0.0
Wif1	0.0	0.0	0.0	136.13	156.04	0.0	0.0	0.0	0.0	0.0	90.35	0.0	0.0	0.0	0.0
Zfp260	0.0	0.0	60.61	241.81	310.71	130.65	225.23	134.51	136.63	149.89	151.02	216.5	33.85	198.45	0.18
Zfp644	0.0	0.0	8.39	42.6	36.13	31.26	0.65	40.0	21.6	15.91	35.12	2.25	54.1	9.1	0.0
Zfp800	0.0	0.0	0.0	47.56	39.61	13.58	0.0	0.86	0.21	0.0	8.89	0.0	0.0	0.0	0.0
