	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_55	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Clip2	0.0	0.91	0.0	3.31	0.0	0.0	0.0	2.37	0.0	2.0	0.0	0.29	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.35	6.49	15.7	0.73	1.6	1.9
Clk3	44.02	8.61	27.52	125.59	0.0	0.0	0.0	99.44	0.0	0.16	0.0	0.95	124.43	1.04	0.0	114.53	138.21	80.51	0.0	67.36	74.37	190.94	46.45	113.38	105.17	75.18	139.33	0.1	270.95	69.05	69.0	58.18
Cnpy3	0.0	50.22	0.16	0.0	0.87	0.0	0.0	101.75	0.0	0.0	0.23	70.56	25.81	2.04	0.17	0.2	0.2	27.59	0.87	0.0	10.78	206.61	0.0	119.44	0.06	0.39	0.08	26.67	254.86	29.21	39.54	50.8
Cnst	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.08	0.0	0.09	0.84	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.17	0.0	60.6	0.4	134.55	5.99	8.93	6.97
Copa	171.63	57.05	37.28	17.68	65.76	0.0	0.0	11.5	1.42	198.68	0.18	119.11	12.54	36.28	148.41	248.23	89.02	112.17	74.66	15.42	142.25	0.0	0.0	56.86	0.07	234.84	182.41	109.66	395.25	74.33	74.59	68.83
Cops7a	156.7	365.16	0.24	143.86	303.02	0.0	0.0	401.26	459.79	176.24	584.6	550.74	373.03	287.07	427.92	137.67	384.7	208.37	299.39	228.19	333.47	368.92	143.12	524.3	6.65	273.63	272.63	560.65	1062.65	232.9	234.13	279.58
Coro1a	3.9	200.14	0.19	13.56	656.06	0.0	0.0	196.47	194.99	186.09	580.29	93.98	506.53	426.45	153.14	289.82	226.24	187.97	118.65	0.0	171.75	322.75	1283.29	448.59	771.71	299.78	297.91	79.78	532.82	77.44	103.07	125.87
Cyb561	0.0	178.07	0.0	0.0	0.0	0.0	0.0	0.0	384.8	0.0	0.17	18.05	0.0	0.0	0.67	134.86	101.79	252.83	542.21	272.37	0.86	499.32	0.38	157.25	46.79	173.15	284.42	234.05	168.55	124.26	122.13	134.49
Dgkd	0.0	33.03	0.33	39.74	0.0	0.0	0.0	2.75	75.07	0.0	0.59	0.0	0.11	1.12	67.35	0.0	0.0	27.39	0.11	0.0	7.49	70.08	0.0	0.48	0.14	1.56	0.05	22.04	162.47	5.7	3.89	6.03
Dnajb4	0.0	44.0	11.88	0.0	10.25	0.0	0.0	96.16	0.0	12.89	0.0	5.91	54.5	110.52	42.86	120.23	351.56	60.19	139.26	17.64	59.74	0.11	0.07	143.06	67.6	290.68	0.12	0.15	277.92	70.0	69.33	51.23
Dnalc1	70.21	0.22	0.88	77.12	0.2	0.06	0.0	12.96	0.84	101.13	0.58	19.7	69.22	0.22	0.11	2.45	42.18	3.4	0.17	1.64	2.78	0.67	1.63	49.95	0.29	0.22	46.02	0.47	90.59	11.19	9.94	11.16
Dpagt1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.74	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	24.64	0.0	6.53	0.0	0.0	0.0	0.61	0.07	202.93	13.12	9.66	10.67
Dtwd1	3.22	115.55	0.0	180.53	0.0	0.0	0.0	0.0	0.0	0.0	90.62	0.0	0.0	26.5	0.0	130.14	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	67.4	87.49	166.1	612.26	84.35	75.22	85.95
Dusp11	4.12	1.63	21.49	20.43	0.0	0.0	0.0	0.0	18.29	18.05	0.0	0.25	0.02	1.48	0.0	0.12	0.11	8.07	37.52	23.66	4.42	0.0	3.64	45.55	0.34	0.0	0.58	0.06	66.17	9.52	5.28	9.01
Dync1h1	39.96	52.31	9.7	34.37	17.56	0.28	0.0	32.61	12.5	2.89	21.52	60.29	10.99	13.8	55.79	0.91	29.53	19.96	31.84	0.0	60.56	27.4	20.45	5.25	17.07	5.51	41.4	34.48	116.52	18.71	19.73	22.35
Dynlt1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	148.9	0.0	25.67	0.0	2.77	0.0	0.0	61.31	0.0	10.47	0.0	0.0	184.9	0.0	0.0	1.85	0.0	5.26	83.3	268.41	24.27	18.86	29.87
E2f1	2.41	18.08	3.17	16.22	9.01	0.0	0.0	11.86	6.7	11.2	15.73	35.7	13.82	9.03	4.59	2.74	6.34	25.09	13.17	17.07	4.8	7.44	5.54	6.11	5.98	5.75	2.77	8.29	18.42	13.13	14.51	15.31
Eif5b	5.43	37.53	115.13	0.09	1.59	0.0	40.86	24.92	13.66	12.6	29.67	18.73	20.51	4.23	15.46	13.57	0.26	25.35	11.11	12.03	30.46	13.94	3.2	3.54	43.61	10.12	58.38	20.68	130.3	26.58	20.71	23.97
Emg1	373.63	65.86	138.49	0.0	187.88	0.0	0.0	97.06	0.0	100.19	423.4	71.26	0.16	89.78	116.47	0.0	0.0	159.52	51.02	259.69	0.84	0.0	0.0	303.02	348.71	173.01	0.0	110.57	465.15	127.55	122.19	117.58
Erc2	0.0	66.88	0.23	0.04	78.27	0.0	0.0	57.19	67.01	54.8	72.14	56.71	55.3	20.4	0.0	26.25	66.68	99.27	45.98	22.21	23.43	66.85	68.99	1.9	51.89	20.99	182.78	52.82	344.12	22.5	23.48	20.08
Fam120c	0.0	9.33	0.0	0.0	0.07	0.0	0.0	0.05	0.0	0.0	0.0	38.08	4.19	0.7	0.08	0.0	8.77	0.0	0.08	0.07	0.11	0.0	75.45	0.01	18.61	1.03	0.07	4.34	86.31	5.53	5.95	6.31
Fam123a	79.28	25.12	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	2.82	0.2	2.18	0.0	28.08	0.0	1.23	0.05	30.03	3.24	0.58	73.09	1.41	1.03	0.15
Fam177a	7.62	3.11	3.24	4.07	1.14	2.15	0.0	26.37	4.1	7.45	1.69	4.87	2.98	5.97	12.26	1.07	4.86	62.57	38.9	2.52	0.81	2.88	4.29	4.87	18.88	12.52	0.97	14.66	10.42	13.41	14.19	19.02
Fbxo3	74.64	0.14	174.6	0.05	303.8	0.0	0.0	125.37	198.81	190.09	123.41	229.26	27.23	241.02	153.58	111.14	149.46	74.02	93.87	320.33	148.83	28.49	732.23	144.45	215.8	94.68	133.89	0.45	340.53	123.82	82.42	98.51
Fnbp1l	0.44	16.03	16.02	0.0	31.22	0.0	0.0	10.74	0.0	5.47	13.75	12.63	0.03	12.86	0.0	0.6	87.88	24.6	79.88	72.7	2.03	14.15	0.0	1.95	0.0	33.96	49.6	36.18	179.61	27.24	22.8	21.81
Gm12253	2.36	2.69	5.79	15.65	3.9	0.0	0.0	2.77	1.95	3.64	2.07	1.96	2.25	0.03	4.75	4.61	3.27	4.96	4.74	6.26	2.89	2.84	5.7	0.9	4.39	0.21	0.27	2.36	19.4	2.88	2.04	1.61
Gm13306	0.0	88.08	2.22	7.78	39.72	0.0	0.0	98.78	170.68	32.42	70.05	177.4	128.86	52.23	5.88	54.51	1.96	23.53	2.86	8.68	8.55	94.11	0.0	106.16	180.86	5.22	0.0	199.04	47.08	61.27	76.52	71.98
Gm2506	0.0	88.08	2.22	7.78	39.72	0.0	0.0	98.78	170.68	32.42	70.05	177.4	128.86	52.23	5.88	54.51	1.96	23.53	2.86	8.68	8.55	94.11	0.0	106.16	180.86	5.22	0.0	199.04	47.08	61.27	76.52	71.98
Gnptg	215.05	9.83	0.17	241.24	0.0	514.49	0.0	195.75	8.57	174.59	8.53	300.94	234.39	94.72	88.81	137.72	0.0	57.44	0.0	324.57	122.06	7.15	0.0	197.56	236.25	5.5	351.26	0.1	518.17	103.44	110.3	114.08
Gtpbp8	0.0	118.72	0.09	0.0	0.0	0.0	0.0	4.18	0.0	27.43	0.0	5.32	10.06	46.47	0.0	0.0	0.0	79.96	80.57	180.74	0.0	170.25	67.71	2.47	0.0	27.76	0.0	53.09	241.32	26.56	10.0	9.27
H2-D1	256.34	2.0	3.59	3.67	4.54	0.0	4.37	182.12	144.42	115.1	31.68	3.46	2.67	1.21	0.0	11.61	8.68	65.06	173.96	2.36	8.3	149.64	95.78	131.53	16.05	2.06	106.33	178.05	288.8	5.62	7.07	8.51
Havcr2	0.0	0.16	0.2	0.08	0.2	0.0	0.0	0.0	0.54	0.62	0.0	0.18	0.17	0.0	0.21	0.0	0.0	0.0	0.36	0.27	0.0	0.0	0.0	0.26	0.08	0.0	0.0	0.0	0.77	0.0	0.0	0.0
Hdac6	0.0	0.8	0.02	5.26	2.94	0.0	0.0	0.0	0.0	0.0	1.04	0.25	66.29	0.0	18.79	0.0	0.0	4.81	0.0	0.0	16.01	0.0	0.0	5.17	94.95	0.0	0.0	0.03	266.52	10.63	9.83	14.07
Hmgcl	215.23	0.14	102.76	0.0	261.04	0.0	0.0	254.04	1.06	172.28	171.26	0.0	0.12	48.39	0.0	160.5	107.98	35.58	102.94	0.0	0.0	141.91	705.54	63.86	0.0	156.86	438.13	0.0	610.69	89.47	124.77	121.14
Hnrnpul2	0.0	19.18	46.36	0.0	1.46	0.0	0.0	12.5	4.95	0.07	0.15	2.45	7.0	0.0	0.06	0.14	0.8	34.61	0.66	5.93	0.59	0.63	7.37	0.53	5.9	46.22	0.45	1.63	97.17	14.73	7.79	13.19
Hrh1	0.0	0.02	0.41	45.51	70.8	0.0	0.0	0.0	0.0	89.08	0.11	1.31	21.61	0.17	0.0	0.0	0.0	50.94	30.99	0.15	100.91	138.62	0.0	106.08	1.53	0.07	30.6	11.32	240.91	2.2	2.62	3.92
Igf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.19	0.0	0.0	0.0	0.11	0.17	0.0	0.16	0.06	0.0	0.08	0.0	0.25	0.0	0.0	0.0
Ing3	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	84.48	10.78	0.0	0.7	0.04	134.6	0.09	0.0	0.0	53.05	66.23	53.92	35.28	0.0	0.0	142.14	0.0	0.0	0.08	0.03	282.97	32.54	38.82	36.5
Inpp5b	0.0	10.67	0.0	61.48	0.0	0.0	0.0	51.06	0.0	2.91	0.0	0.0	0.0	39.19	2.25	108.05	97.18	32.82	0.0	0.0	0.0	0.0	0.0	92.88	0.0	5.95	59.7	0.06	73.88	9.1	4.89	5.66
Itgb1bp3	12.29	7.85	7.34	5.16	9.24	1.32	0.0	12.35	9.54	12.46	5.23	4.29	6.44	12.79	4.59	3.33	5.73	5.49	4.15	15.41	5.59	11.93	9.96	8.49	6.15	6.09	5.49	7.71	16.81	7.51	6.59	5.71
Katnb1	0.0	55.28	79.4	0.07	0.0	0.0	0.0	2.63	0.0	0.0	0.0	29.18	47.41	0.0	0.0	0.0	0.0	44.88	70.4	0.0	35.04	0.08	0.0	0.12	1.63	0.0	15.19	0.29	228.34	19.08	33.61	25.24
Kctd3	0.0	98.53	0.0	0.0	0.92	0.0	0.0	92.44	0.0	155.47	96.25	1.29	3.06	0.35	0.0	0.31	0.0	0.0	0.43	0.0	2.84	80.98	0.0	7.14	76.97	48.07	0.08	0.03	220.11	20.35	21.99	20.89
Kif3c	0.0	0.03	0.28	49.42	0.45	0.0	0.0	27.17	3.65	0.0	0.47	0.0	165.29	0.0	0.52	0.0	11.84	1.71	32.06	0.0	5.77	0.0	0.0	48.44	89.16	6.85	18.75	23.48	135.94	20.85	26.46	31.23
Klhl20	0.73	2.48	138.16	0.1	0.14	0.0	0.0	0.1	0.42	0.11	0.53	0.1	14.28	0.0	0.08	0.0	0.17	0.81	0.03	2.23	36.31	0.06	0.23	13.27	0.08	18.98	67.59	4.73	274.56	11.46	6.93	8.54
Klhl22	255.74	108.7	0.04	0.09	324.05	0.0	0.0	173.75	0.0	0.0	0.0	113.15	36.41	0.0	138.59	156.51	118.29	91.68	102.25	0.0	73.24	0.0	0.0	4.8	0.09	2.32	0.0	83.42	388.75	100.04	99.6	79.79
Klk14	2.88	1.1	1.13	0.74	2.13	0.0	0.0	2.04	1.53	2.02	2.97	0.86	3.07	1.96	0.16	0.0	0.0	2.65	2.06	2.22	0.42	0.21	0.74	0.71	1.13	3.14	0.0	1.38	8.59	2.06	1.3	1.17
Lhfpl4	1.62	25.53	94.74	2.31	76.9	0.0	0.0	19.09	2.12	90.75	17.19	48.25	21.77	5.68	6.1	1.4	1.18	27.38	68.74	44.45	8.1	55.98	1.41	48.93	45.33	2.89	36.63	0.53	124.82	9.54	6.24	7.49
Lsm6	8.01	15.16	121.67	2.64	134.58	0.09	0.0	6.05	11.59	85.92	104.34	26.16	128.06	104.85	22.65	136.6	18.43	22.66	57.52	100.58	5.37	2.88	2.85	27.97	4.75	3.32	3.86	86.03	60.27	47.07	43.59	39.84
Maged2	399.92	49.62	0.44	30.06	244.63	0.0	0.0	0.0	0.0	180.19	0.0	0.05	9.66	0.0	1.73	17.26	0.0	207.5	0.0	0.0	15.18	0.0	0.0	0.15	103.68	1.05	1.25	0.65	276.85	28.22	31.4	32.21
March6	4.73	111.41	3.69	9.95	0.35	0.0	0.0	59.54	95.41	13.72	41.59	136.65	115.82	91.51	0.05	64.32	0.0	149.39	76.03	115.97	104.19	51.59	1.95	139.53	47.33	83.5	1.01	40.09	167.91	52.5	39.1	49.08
Mrpl51	16.51	76.17	151.77	18.18	140.3	2.27	0.0	11.88	280.69	86.05	63.2	112.96	64.96	66.7	141.87	159.95	135.85	92.33	91.06	210.28	46.72	21.24	23.45	6.32	154.31	99.42	6.46	143.17	296.17	72.51	89.28	92.42
Mrps12	0.0	211.41	0.16	107.28	0.0	0.0	0.0	81.47	304.3	0.0	284.95	234.52	0.0	180.42	0.0	0.0	138.45	133.38	117.41	263.88	87.04	396.5	0.0	82.08	92.84	165.55	128.15	43.42	429.79	134.99	77.43	98.79
Mta1	0.0	0.27	0.0	0.08	0.0	0.0	0.0	6.38	0.0	89.04	0.0	0.0	0.0	0.0	0.0	2.83	0.0	0.0	4.37	2.34	1.07	0.0	2.73	37.87	0.0	0.0	0.0	0.04	208.94	3.87	2.73	5.0
Mtdh	0.0	83.22	16.85	0.0	1.92	0.0	0.0	37.34	15.39	0.0	49.08	13.74	1.1	4.61	26.27	0.21	0.19	31.07	6.22	0.0	33.38	32.58	93.74	55.28	0.03	9.86	37.19	0.03	132.71	17.01	17.65	19.42
Mtif2	3.31	14.48	25.0	56.74	10.57	0.0	0.0	8.23	129.26	5.03	8.38	10.96	8.25	6.16	76.92	1.51	113.82	64.33	4.2	79.81	3.78	53.59	246.57	11.02	57.83	67.26	1.95	6.9	300.22	41.8	28.19	32.79
Mtmr12	0.0	12.12	0.13	0.0	0.12	0.0	0.0	2.11	0.16	0.95	0.1	2.68	0.04	0.07	0.52	17.98	0.0	57.68	0.0	92.47	10.96	0.1	0.0	81.07	0.17	0.05	0.0	0.36	65.81	11.98	24.09	12.27
Mtmr14	0.0	12.08	0.0	2.46	0.0	0.0	0.0	0.24	0.0	0.0	7.17	1.75	0.0	1.08	0.0	0.15	0.0	40.53	0.0	0.0	0.32	0.0	0.0	91.43	0.0	1.09	0.0	0.05	97.17	8.59	7.46	3.25
Nfs1	0.0	0.14	0.0	0.11	330.95	0.0	0.0	0.0	0.0	234.29	39.53	0.05	0.08	18.8	0.0	0.58	0.0	82.18	56.26	191.82	0.0	0.0	312.86	0.0	0.0	49.25	0.0	0.0	336.62	32.5	28.7	24.53
Nmt1	84.67	15.02	191.04	14.59	8.73	0.0	24.57	11.65	23.85	176.36	17.34	186.93	2.86	254.83	136.56	1.94	164.02	104.74	108.05	194.9	77.4	57.25	194.85	154.76	79.18	129.76	70.84	359.98	669.28	137.18	160.65	162.3
Nprl3	0.0	3.7	5.27	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	93.9	0.0	2.77	148.69	116.11	0.0	0.0	0.0	106.93	25.67	0.0	0.0	224.07	21.88	26.33	29.48
Nr2f2	0.0	0.0	0.03	0.25	0.38	0.0	0.0	0.17	0.0	0.44	0.11	0.1	0.08	0.08	0.0	0.22	0.17	0.67	0.25	0.77	0.26	0.19	0.0	0.11	0.21	0.06	0.0	0.33	0.89	0.0	0.0	0.53
Paxip1	0.66	0.89	0.95	0.86	1.09	0.28	0.0	1.31	0.85	19.4	1.84	11.41	0.79	42.47	20.34	0.81	2.09	0.64	1.57	4.39	2.11	1.91	2.09	1.18	1.29	9.18	0.63	81.13	72.68	4.76	3.64	4.17
Poc1a	0.0	0.0	0.0	0.13	0.0	0.0	0.0	34.05	0.0	0.0	0.0	12.65	30.83	0.0	39.25	88.25	34.92	0.0	0.0	42.74	20.32	0.0	0.0	0.13	38.44	31.44	47.88	0.15	238.09	18.03	9.4	8.45
Polr2k	257.4	666.3	138.26	297.56	299.63	0.0	0.0	66.82	124.39	476.48	465.5	72.72	358.84	242.71	351.9	90.43	114.94	152.51	265.85	238.51	230.38	532.74	547.63	259.64	94.78	426.89	326.09	186.1	727.57	241.44	258.64	241.95
Ppp2r4	0.0	2.26	0.04	0.0	30.42	0.0	0.0	6.28	0.0	0.0	0.0	4.3	12.08	0.25	2.94	0.0	61.52	42.12	51.03	0.0	0.16	0.0	53.39	0.0	30.53	2.74	1.69	0.1	234.56	20.52	14.98	19.16
