	Chrna2_tdTpositive_cell_14	Pvalb_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_40	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Pax1	0.19	0.13	0.0	0.15	0.14	0.04
Pdcd4	5.95	40.4	69.19	79.25	77.46	78.71
Pdzrn3	0.0	0.0	0.0	20.95	20.98	24.18
Pou3f4	0.0	0.0	0.0	7.52	8.39	8.91
Pou6f1	34.39	0.0	13.95	75.93	74.16	76.43
Ppp4c	0.0	0.0	1.68	38.48	40.58	40.35
Pramel4	0.0	0.0	1.3	0.21	0.28	0.49
Prosapip1	41.64	3.67	0.51	163.03	169.8	159.81
Prpf19	5.99	0.07	8.31	65.92	70.75	68.94
Ptprn2	20.48	0.0	41.05	221.75	226.44	219.46
Rad51c	0.0	0.0	0.0	2.82	2.31	2.93
Rbm6	0.0	0.1	0.44	31.42	29.86	31.78
Reps1	0.0	0.0	24.12	32.66	33.14	33.52
Rnf144a	0.0	0.15	0.0	20.01	19.24	19.9
Scaf11	0.09	0.67	14.68	23.43	21.48	23.93
Serpine1	0.0	0.0	0.0	0.82	0.98	0.58
Shkbp1	1.1	0.33	0.0	14.05	13.42	13.35
Six2	0.33	0.0	0.53	0.89	1.01	0.32
Slc20a2	0.0	0.0	0.0	35.29	39.15	40.21
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smap1	0.0	0.0	2.18	96.05	100.46	92.41
Smurf1	0.0	0.0	0.0	31.89	32.54	32.87
Snord8	0.0	0.0	0.0	0.0	0.0	1.62
Spag17	0.0	0.0	0.0	0.24	0.38	0.31
Speer5-ps1	0.0	0.0	0.0	0.21	0.52	0.09
Ssxb2	0.0	0.0	0.0	0.11	0.0	0.28
Stab2	0.0	0.0	0.0	0.41	0.33	0.35
Stard4	0.0	0.0	0.0	16.9	17.27	18.41
Stk32c	0.2	0.0	0.0	169.36	171.66	158.34
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d8b	0.04	0.37	0.18	4.47	3.64	4.53
Tbkbp1	0.0	0.0	0.0	34.8	38.98	38.2
Tmem121	0.0	0.0	0.0	21.36	26.4	26.49
Tmem180	0.0	0.0	11.53	23.52	25.51	26.07
Tmem183a	0.0	0.0	38.1	49.67	47.14	47.05
Trdmt1	0.0	0.0	0.0	4.27	4.27	6.28
Trim65	0.0	0.13	0.0	2.67	3.44	2.86
Trp53inp1	0.0	0.0	0.0	7.66	7.36	8.49
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ubtd1	0.0	0.0	0.0	11.82	12.31	14.9
Usp32	1.98	0.0	14.23	69.08	61.44	68.37
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Wipf3	0.11	0.0	2.51	86.45	99.02	90.36
Ypel3	28.03	0.0	5.96	295.93	344.58	318.07
Zfp28	0.0	0.0	0.0	5.99	6.63	6.11
Zfp455	0.0	0.0	1.21	3.73	3.41	3.94
Zfp473	0.0	0.0	0.0	0.7	0.85	0.63
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c10_tRNA-Ala-GCY_	0.0	0.0	0.0	29.3	60.81	43.36
c13_tRNA-Tyr-TAC	0.0	0.0	0.0	0.0	1.76	0.0
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	10.9	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
