	Cux2_tdTpositive_cell_107	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_71	Ndnf_tdTpositive_cell_9	PvalbF.Gad2_tdTpositive_cell_29	Rbp4_tdTpositive_cell_61	Rbp4_tdTnegative_cell_10	Rorb_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTpositive_cell_78	Scnn1a.Tg3_tdTpositive_cell_92	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Pcdhga12	0.0	0.0	0.0	0.0	2.3	0.0	0.0	37.82	0.0	0.0	2.65	0.0	0.0	5.57	5.19	5.23	4.67	8.42	10.27	2.57	7.25	7.53	9.53	17.38	18.09	18.21
Pink1	6.21	0.0	76.0	0.0	5.66	6.78	0.0	0.13	0.0	8.71	0.14	4.59	186.45	23.66	11.46	28.24	10.71	29.11	6.7	23.55	22.78	18.39	18.55	335.12	372.71	355.19
Ppp1r13b	72.08	0.0	0.0	0.11	0.0	1.9	0.0	0.12	1.92	0.0	0.79	24.79	0.0	14.15	8.43	0.69	12.94	5.32	8.42	6.7	7.72	6.3	6.92	46.63	47.78	45.5
Ppp1r15b	0.65	0.18	0.81	0.0	4.13	0.73	0.33	0.29	2.12	1.46	0.25	3.61	2.35	6.93	3.01	5.32	6.84	4.35	2.93	4.94	8.66	7.02	4.49	33.88	32.71	26.96
Rprd2	0.0	0.0	0.1	0.0	0.28	0.07	0.0	0.0	0.0	0.0	0.08	2.13	0.62	5.55	6.01	8.0	6.38	4.41	11.09	2.2	8.95	5.32	4.92	15.22	15.23	16.63
Scaf11	14.3	2.01	1.18	2.06	7.38	1.21	0.25	0.4	4.87	5.19	1.12	8.43	19.92	12.14	8.25	8.15	11.67	3.73	11.53	17.32	6.05	7.3	9.25	23.43	21.48	23.93
Scamp5	4.57	0.0	1.05	0.0	39.76	0.22	73.16	28.78	20.91	190.55	9.45	14.65	34.29	35.93	39.58	15.95	19.83	19.67	43.26	64.25	35.23	38.38	39.81	323.92	334.22	327.86
Sec14l4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.32	0.17
Serpina3h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.06	0.05	0.05
Sh3bp5l	0.0	0.0	0.0	0.0	5.69	0.08	0.0	0.0	0.0	0.0	0.0	5.16	225.32	11.53	4.37	3.08	11.6	6.16	7.44	2.68	6.33	3.65	10.7	37.93	42.11	39.34
Sh3rf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	10.4	0.77	0.0	0.0	0.0	0.06	0.11	0.0	0.0	0.06	0.0	0.0	4.57	4.36	3.67
Sned1	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.35	4.09	5.84
Sstr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	117.82	0.16	38.52	0.0	13.92	17.3	20.39	0.0	0.72	29.39	0.0	11.39	8.32	18.74	28.88	26.29	20.77
Tmem160	0.0	0.0	0.0	0.0	4.31	0.0	0.0	0.0	0.0	0.0	0.42	0.0	2.28	1.86	0.0	0.39	2.97	3.0	0.0	0.0	4.63	1.33	1.35	41.54	54.71	48.69
Ube2s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	0.0	0.0	0.3	0.0	5.37	0.3	0.0	2.08	0.0	8.48	5.79	6.21	112.79	123.41	115.9
c16_LSU-rRNA_Hsa	923.39	89.64	301.23	280.77	736.51	2870.74	272.94	875.86	2010.78	2335.81	494.07	7390.0	2018.32	959.18	917.22	978.16	905.57	903.45	898.56	887.21	4078.37	3436.41	3239.78	922.7	980.77	1029.35
c9_LSU-rRNA_Hsa	4504.91	48.7	280.65	358.45	663.34	1481.55	2864.29	790.67	534.17	1023.22	443.42	5576.72	2603.36	807.04	753.53	800.05	735.22	722.26	738.95	767.48	3836.05	3013.32	3066.88	591.27	523.27	614.46
