	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_6	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_56	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_168	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_41	Rorb_tdTpositive_cell_42	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_49	Rorb_tdTpositive_cell_51	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_11
Cox6a1	0.0	899.65	441.79	875.86	413.74	0.0	325.57	726.1	0.0	0.0	423.69	0.0	513.31	379.56	13.0	919.01	824.44	608.67	1138.76	1116.57	1535.43	1308.53	963.4	1202.93	1585.69	1008.1	1472.04	1563.48	3.38	0.61	921.54	11.09	0.0	1470.38	44.84	768.83	0.0	101.05	1151.06	899.0	607.23	1418.02	1239.43	4.26	1290.3	1111.26	408.47	844.5
Ctxn1	0.0	0.0	0.0	270.16	0.0	0.0	0.0	0.0	0.0	0.0	166.02	0.0	0.56	3.51	1.76	308.34	19.49	116.22	311.86	94.6	223.6	179.93	41.14	273.66	261.35	181.78	248.33	204.95	0.0	156.7	0.61	0.0	0.0	0.0	0.54	0.0	0.0	0.0	12.49	81.52	0.59	104.16	424.04	0.35	225.1	163.74	294.64	0.0
Fam195b	0.0	0.0	0.0	0.26	0.0	0.0	0.0	757.8	1.05	0.0	0.0	940.57	0.0	0.0	1.79	0.56	16.97	125.96	0.3	0.0	44.4	56.11	0.0	0.0	0.59	0.0	13.55	1.15	0.0	23.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.96	0.3	87.0	40.79	13.1	93.12	134.07	187.23	0.0
Gm13306	0.0	0.0	0.0	113.94	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.0	0.0	0.68	0.81	0.18	54.72	30.68	0.23	50.62	21.3	21.44	110.35	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	167.16	0.0	3.32	44.3	0.46	1.79	0.49	49.16	0.0
Gm14430	0.0	0.0	0.0	11.58	0.0	0.25	0.12	0.03	0.0	0.0	1.33	0.0	0.0	0.0	0.06	7.55	4.76	8.15	0.0	6.89	0.0	26.3	57.22	0.0	12.82	18.78	0.2	0.0	0.04	0.72	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	13.33	0.44	0.07	12.27	6.18	0.24	0.14	21.12	13.93	0.0
Gm14434	0.0	0.0	0.0	11.58	0.0	0.25	0.12	0.03	0.0	0.0	1.33	0.0	0.0	0.0	0.06	7.55	4.76	8.15	0.0	6.89	0.0	26.3	57.22	0.0	12.82	18.78	0.2	0.0	0.04	0.72	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	13.33	0.44	0.07	12.27	6.18	0.24	0.14	21.12	13.93	0.0
Gm2506	0.0	0.0	0.0	113.94	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.0	0.0	0.68	0.81	0.18	54.72	30.68	0.23	50.62	21.3	21.44	110.35	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	167.16	0.0	3.32	44.3	0.46	1.79	0.49	49.16	0.0
Gm4724	0.0	0.0	0.0	11.58	0.0	0.25	0.12	0.03	0.0	0.0	1.33	0.0	0.0	0.0	0.06	7.55	4.76	8.15	0.0	6.89	0.0	26.3	57.22	0.0	12.82	18.78	0.2	0.0	0.04	0.72	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	13.33	0.44	0.07	12.27	6.18	0.24	0.14	21.12	13.93	0.0
Gopc	0.0	0.0	0.0	130.21	0.0	3.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.35	0.0	41.51	0.09	0.0	65.94	0.0	22.67	21.91	0.13	42.11	7.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	24.1	49.34	0.19	0.07	54.46	0.0	0.0
Hsp90aa1	0.0	856.71	0.0	1196.91	0.0	0.0	0.0	0.0	0.86	0.0	603.81	0.0	738.42	3.14	22.1	1384.48	1321.6	1374.98	1151.2	732.51	1451.26	1371.26	3.31	1024.3	1033.68	1748.74	825.07	942.55	0.91	404.98	1.28	0.81	0.0	247.39	0.45	59.25	0.0	0.49	1090.08	801.31	248.39	865.1	1322.38	3.64	1325.37	914.38	1100.3	169.14
Kcnip3	0.0	0.0	0.0	167.24	0.0	0.31	0.0	0.0	0.11	0.0	22.73	0.0	0.73	1.96	7.61	541.69	55.02	211.92	202.7	61.67	1.08	482.65	125.72	104.08	87.83	152.05	1.28	0.77	0.75	200.65	413.97	2448.21	0.58	267.68	0.0	0.24	0.0	0.34	60.83	183.7	0.49	379.22	487.67	1.81	476.62	588.46	184.04	900.21
Mboat7	0.0	0.0	0.0	46.48	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	43.58	0.21	0.0	4.93	0.0	19.75	5.77	0.14	17.85	19.75	0.66	0.0	12.57	0.58	1.77	43.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	14.11	0.39	0.0	1.41	11.23	0.0	40.4	0.0	147.48	0.0
Mcart1	0.67	1.14	2.1	3.53	5.49	2.99	0.38	0.77	10.78	4.67	19.41	3.5	1.78	3.53	2.51	14.35	8.43	51.22	5.37	2.92	26.21	191.28	170.56	63.69	13.77	5.09	1.25	55.67	33.92	2.2	4.21	4.42	1.08	3.93	6.16	3.31	10.17	14.96	33.45	55.59	0.93	88.05	111.69	3.83	35.69	63.45	81.47	4.57
Mgrn1	0.0	0.0	56.65	142.97	0.0	0.0	0.0	0.0	0.0	0.0	20.4	0.0	19.73	51.97	0.95	0.15	95.63	48.46	82.73	17.41	0.0	302.75	13.16	1.97	0.63	25.23	1.27	13.01	1.1	23.48	0.66	0.0	0.0	0.0	0.78	0.2	1.29	0.14	38.88	18.35	0.53	74.84	220.93	0.13	171.77	67.55	127.56	0.0
Micu1	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	10.86	0.0	7.36	0.0	1.06	0.93	0.15	90.21	108.48	97.07	18.78	59.25	20.07	2.5	0.0	77.24	100.05	57.14	1.2	173.02	33.16	0.65	58.03	0.0	873.13	0.0	0.0	0.0	0.0	9.61	0.25	2.49	141.73	1.91	0.18	376.77	232.28	0.0	0.0
Mir690	18673.1	26828.41	12459.42	25738.25	18854.32	18365.55	8538.99	19376.41	14062.21	22720.97	30464.78	15214.15	14494.18	19318.5	13213.5	14235.98	30528.33	39867.27	42000.18	28765.87	28695.45	13369.66	18858.35	37370.15	37614.4	24336.09	23271.48	32522.04	27509.93	22371.82	44948.68	42282.55	11286.64	27759.51	24726.6	12934.69	35532.88	23237.11	48007.3	20787.5	17302.77	11897.22	16172.66	26597.61	13652.88	16254.06	23496.94	26521.64
Mtap1b	0.0	0.03	0.08	271.73	0.1	0.0	0.0	22.33	0.0	0.0	490.27	0.0	0.22	1.79	6.54	666.36	1062.18	674.31	645.11	123.79	84.19	618.63	146.2	28.91	88.35	90.2	217.95	79.96	0.19	51.86	0.73	217.37	0.1	0.0	0.59	0.11	0.1	0.27	509.6	717.63	1.29	761.29	756.69	2.0	604.74	657.44	22.14	0.09
Mtpn	0.0	0.0	0.0	363.54	0.0	0.0	0.0	0.08	0.0	14.05	178.59	0.0	0.0	1.78	1.59	62.57	102.63	173.99	244.71	96.53	65.2	168.12	215.12	119.91	105.18	47.44	153.82	70.92	0.08	0.94	42.32	0.0	0.0	0.0	0.16	0.0	0.0	0.0	184.35	131.97	0.43	161.79	292.48	2.86	323.73	379.79	128.18	0.31
Myl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07	0.0	0.0	0.0	0.0	814.93	0.4	0.0	0.0	845.84	523.36	1358.48	2.24	0.0	0.0	2.63	0.67	8.0	0.38	0.35	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	1332.68	989.71	4.43	1898.52	2714.75	0.0	0.0
Nap1l2	0.0	0.0	0.0	45.09	0.0	0.0	0.0	0.0	0.0	0.0	180.64	0.0	0.0	1.84	4.44	469.41	194.3	149.19	71.75	17.69	153.64	215.91	0.73	138.16	127.14	62.93	67.67	58.56	0.25	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.96	191.74	0.41	206.27	152.46	1.12	512.96	286.9	0.0	0.0
Nap1l5	0.0	0.22	0.0	665.69	0.0	0.0	0.0	0.0	0.0	0.0	113.24	0.0	0.0	1.91	707.08	321.7	224.9	281.6	37.79	137.83	19.4	310.0	7.05	0.0	191.99	344.96	104.63	73.47	0.0	0.32	84.28	114.91	0.0	757.0	0.34	0.0	0.64	0.49	338.83	285.42	0.38	246.86	238.29	2.51	397.74	353.85	132.92	0.0
Pcsk2	0.0	0.0	0.0	155.34	0.25	0.0	0.0	0.02	0.0	0.0	132.5	0.0	0.28	1.25	2.85	196.3	65.78	48.41	95.25	95.04	168.55	386.91	210.83	120.04	65.38	137.4	66.98	126.99	0.07	3.83	16.79	0.0	0.0	0.0	0.13	0.0	0.0	0.0	143.26	190.52	0.45	151.56	160.03	0.7	175.08	106.74	27.34	0.0
Phactr1	0.0	0.0	0.0	90.99	0.02	0.13	0.0	0.1	0.0	0.0	105.94	0.0	2.93	0.83	3.42	113.04	58.57	141.23	129.64	152.7	142.46	187.92	161.21	43.93	33.58	86.9	38.13	87.99	0.28	0.0	0.28	0.15	0.0	0.37	0.83	0.27	0.16	0.29	61.34	114.24	0.45	187.27	109.84	0.49	176.11	124.33	144.88	0.0
Prepl	0.0	0.0	0.0	202.27	0.0	0.0	0.0	0.0	0.0	0.0	62.91	0.0	0.0	0.16	2.65	104.04	591.36	359.45	371.14	8.57	59.9	485.24	154.43	17.17	66.85	21.72	49.95	60.5	0.0	0.09	0.69	0.0	0.0	0.0	0.0	0.0	0.19	0.15	95.6	47.3	0.56	336.34	528.72	2.62	340.61	97.3	338.05	0.0
Prkacb	0.0	0.0	41.23	510.17	0.0	0.0	0.0	0.0	0.0	0.0	161.16	0.0	0.47	0.99	1.99	554.26	333.99	417.2	287.28	36.51	158.78	666.51	454.59	145.77	70.36	378.02	159.1	86.37	0.23	0.28	0.69	0.18	0.29	0.0	0.46	0.0	0.0	0.0	267.86	423.15	1.09	315.09	431.07	1.38	461.05	207.87	604.54	0.0
Prkce	36.49	0.0	0.0	99.7	0.0	0.0	0.0	0.0	0.19	0.89	0.48	0.0	0.0	0.38	1.1	64.76	46.49	79.07	99.42	39.09	73.56	66.21	0.42	13.21	8.84	19.83	20.77	18.46	6.57	0.3	0.12	9.06	0.19	0.0	0.2	0.0	0.16	0.07	42.77	4.7	0.06	89.15	39.0	0.29	29.01	59.37	120.35	0.0
Rnf114	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	274.21	0.7	141.99	69.07	46.96	0.0	51.71	4.22	0.0	25.14	0.0	25.26	0.0	0.57	0.0	0.0	0.3	0.24	0.0	0.0	0.47	0.21	0.0	0.0	0.0	53.38	164.51	0.0	0.0	112.43	0.0	153.32	48.31	0.0	0.0
Rrp7a	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	218.45	0.0	0.0	0.62	2.17	89.78	136.18	12.66	52.9	0.0	0.0	97.53	316.63	0.0	0.0	0.29	6.16	0.35	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.65	0.23	92.58	129.54	0.57	181.08	64.45	0.0	0.0
Rtn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	91.57	0.0	52.22	0.69	11.0	54.52	0.0	0.0	0.15	0.72	205.82	0.0	0.0	0.64	0.0	0.0	0.0	0.0	7.79	0.18	0.19	66.34	0.0	75.51	0.0	0.0	0.0
Sh3bgrl3	568.16	0.62	1277.01	834.29	0.0	1.04	0.0	747.89	0.0	0.0	1014.74	0.0	1090.11	510.49	6.34	332.36	500.07	708.14	688.77	646.45	774.16	637.39	2.85	716.51	281.0	738.45	690.84	410.37	0.48	1.33	1050.2	6.97	0.0	0.0	1300.08	0.0	0.0	0.7	531.19	453.49	3.18	618.99	697.47	3.12	679.41	304.37	97.13	1.57
Slc17a7	0.0	0.0	0.0	229.73	0.0	0.0	0.0	0.0	0.0	0.0	45.32	0.0	0.0	0.2	1.43	76.24	29.13	14.67	5.77	32.48	6.64	47.81	3.85	20.66	10.47	97.96	13.52	28.96	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3	13.92	0.0	55.28	30.02	0.0	92.88	69.85	306.35	0.0
Slc24a2	0.0	0.0	0.0	4.69	0.0	0.0	0.0	0.0	0.0	0.0	27.08	0.0	0.06	0.28	3.05	149.45	159.64	63.94	28.13	21.37	32.33	215.18	51.19	80.67	3.11	17.24	53.07	62.17	0.06	0.17	0.21	0.07	0.0	0.0	0.48	0.0	0.0	0.0	32.71	56.84	0.2	144.43	176.98	0.31	138.13	94.8	143.62	0.0
Snord116	0.0	0.0	0.0	8.03	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	8.64	1.49	5.77	12.39	3.1	0.0	19.25	9.2	16.83	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0	4.98	5.91	0.0	0.0	17.39	10.89	0.0
Snord116l1	0.0	0.0	0.0	8.03	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	8.64	1.49	5.77	12.39	3.1	0.0	19.25	9.2	16.83	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0	4.98	5.91	0.0	0.0	17.39	10.89	0.0
Snord116l2	0.0	0.0	0.0	8.03	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	8.64	1.49	5.77	12.39	3.1	0.0	19.25	9.2	16.83	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	0.0	0.0	4.98	5.91	0.0	0.0	17.39	10.89	0.0
Ywhag	0.0	0.0	0.36	642.58	0.32	0.1	0.0	0.0	14.47	0.0	345.84	0.1	24.85	0.84	2.37	144.34	137.97	117.21	227.55	51.0	75.69	260.16	2.71	93.42	133.93	161.28	43.05	34.18	0.0	0.36	0.61	0.43	0.0	0.0	86.39	38.37	0.0	0.13	109.97	153.01	0.39	117.94	131.64	1.09	77.96	187.98	467.11	0.0
